abstract-region;['produkt', 'produkt i matematikk'];Resultatet av multiplikasjon
region;['radian', 'absolutt vinkelmål', 'rad', 'rad i matematikk'];avleidd eining for vinkelmål i SI-systemet
relevant-part;['hud', 'hudcelle'];Mjukt ytre organ hos virveldyr
relevant-part;['endotel', 'endotelvev', 'endothelium'];Tynt lag av plateepitelceller som kler innsida av blod- og lymfekar
relevant-part;['overhud', 'epiderm', 'epidermis'];Ytste del av huda
set;['topologisk rom', 'rom i matematikk', 'rom', 'matematisk rom', 'diskret topologi', 'udiskret topologi'];Matematisk omgrep, ei mengd med struktur
simple-collection;['kosmos', 'universet', 'allheimen', 'rommet', 'verdsrommet', 'akselererande univers', 'allheim', 'univers', 'verdensrommet', 'jord', 'jordklode', 'jordklote', 'jordkule', 'verd'];Alt som eksisterer, derfor all fysisk masse og energi, planetar, stjerner, galaksar, og alt i det intergalaktiske rommet
simple-collective;['folkegruppe', 'folk', 'etnisk gruppe', 'etniske grupper', 'folkegrupper', 'folkeslag'];Wikimedia-fleirtydingsside
situation;['sjukdomsteikn', 'klinisk teikn', 'teikn'];Objektiv indikasjon på eit medisinsk faktum eller karakteristikum
situation;['symptom', 'medisinsk symptom', 'symptomatisk'];Teikn på funksjonssvikt, avvik eller sjukdom
situation;['hikke', 'singultus'];Ufriviljug samantrekking av mellomgolvet
situation;['hyperlipidemi'];Uvanleg mengd av lipid og lipoprotein i blodet
situation;['alfanumerisk', 'alfanumerisk teikn'];Som består av alfabetiske og numeriske teikn
situation;['gonoré', 'gonorré', 'dryppert', 'gonore', 'gonokokkinfeksjon'];Seksuelt overførbar sjukdom
situation;['hjartekarsjukdom', 'hjarte- og karsjukdom', 'hjarte-karsjukdom', 'hks'];Klasse av sjukdommar som råkar hjartet eller blodårer
situation;['genetisk sjukdom', 'genetisk liding'];Sjukdom med basis i genetiske variasjonar i det humane genomet
situation;['jernmangelanemi'];anemi som skuldast mangel på jern
situation;['fobi', 'fobisk angstliding', 'fobisk tilstand', 'fobiar'];Type angstliding
situation;['formel i matematikk', 'formel', 'matematisk uttrykk', 'matematisk formel', 'uttrykk'];Matematisk notasjon
situation;['krampe', 'spasme', 'muskelkrampe', 'muskelspasme'];Sjukeleg, ofte ubehageleg og ufrivillig muskelsamantrekking
situation;['aneurisme', 'aneurysme', 'anevrisme'];Bul i åreveggen
situation;['malignt gliom', 'gliom', 'vondarta gliom'];Type svulst med utgangspunkt i hjerne eller ryggmerg
situation;['hypoksi'];Tilstand der kroppen eller delar av kroppen ikkje får tilstrekkeleg tilførsel av oksygen på cellenivå
situation;['lågt blodtrykk', 'hypotensjon', 'arteriell hypotensjon'];Unormalt lågt blodtrykk
situation;['influensa', 'influensasjukdom'];sjukdom som følge av infeksjon med influensavirus
situation;['psykopat'];Pskopat
situation;['konkordans i litteratur', 'konkordans'];Ei liste av ord eller termar i ei utgjeven bok
situation;['frambøsi', 'framboesia', 'framboesia tropica', 'polypapilloma tropicum', 'yaws'];tropesjukdom
situation;['komplikasjon'];Ugunstig eller uynskt utvikling av sjukdom, tilstand eller behandling
situation;['karsinom'];Kreftcelletype med opphav i ukontrollert epitelcellevekst
situation;['malignt melanom', 'føflekkreft', 'melanom', 'vondarta føflekksvulst'];Vondarta svulst med opphav i melanocyttar
situation;['kaldbrann', 'nekrose', 'gangren', 'vevsdød'];Prematur celledød
situation;['anasarka'];Tilstand med utbreidd ødem
situation;['superinfeksjon'];sekundærinfeksjon som oppstår i forløpet av ein alt etablert infeksjon (primærinfeksjonen)
situation;['hjernebetennelse', 'encefalitt'];Akutt betennelse i hjernen med influensaliknande symptom
situation;['augeloksbetennelse', 'augneloksbetennelse', 'blefaritt'];Augelokssjukdom ofte prega av kronisk betennelse i augeloket, vanlegvis den delen der augevippene veks
situation;['bronkitt', 'akutt bronkitt', 'viral bronkitt'];Type nedre luftvegssjukdom
situation;['hjernehinnebetennelse', 'meningitt', 'hjernehinneinflammasjon', 'meningit', 'meningitis', 'meningitus'];Akutt betennelse i hjerne- og ryggmergshinner
situation;['stomatitt', 'gingivostomatitt', 'munnholebetennelse', 'munnhòlebetennelse'];Betennelse i munn og lepper
situation;['hol', 'opning'];opning gjennom ein fast gjenstand
situation;['medial epikondylitt', 'golfalboge'];Betennelse på den indre sida av albogen
situation;['luftforureining', 'luftureining'];(skadeleg) partikkelforureining i jordatmosfæren
situation;['brokk', 'hernia', 'hernie'];Sjukdom i meltingsapparatet
situation;['nevromuskulært samband', 'endeplate', 'junctio neuromuscularis', 'motorisk endeplate', 'nevromuskulær endeplate', 'nevromuskulær overgang', 'nevromuskulær synapse', 'synapsis neuromuscularis'];Samband mellom eit motonevron og ein muskelfiber
situation;['hematuri', 'blod i urin', 'blodig urin'];Blod i urinen
situation;['massemord', 'massemordar'];Kriminell
situation;['kidnapping', 'barnerov', 'bortføring'];bortføre nokon med makt
situation;['massemord', 'massemordar'];Kriminell
situation;['apné'];Opphøyr av pust
social-role;['valuta', 'mynteining', 'monetær eining', 'pengeeining', 'mynteinheit', 'valutaeining', 'valutta'];Bytemiddel for varer eller tenester
socially-constructed-person;['william wordsworth'];Britisk skribent og poet
socially-constructed-person;['georg ohm', 'georg simon ohm', 'george simon ohm'];Tysk matematikar og fysikar
socially-constructed-person;['joseph henry'];Amerikansk fysikar
socially-constructed-person;['dante gabriel rossetti', 'rossetti'];Wikimedia-fleirtydingsside
socially-constructed-person;['alexander graham bell'];Britisk fysikar
socially-constructed-person;['j. m. barrie'];Britisk skribent
socially-constructed-person;['william faulkner'];Amerikansk skribent, manusforfattar og poet
socially-constructed-person;['humphrey bogart'];Amerikansk skodespelar
socially-constructed-person;['papa gregorio i'];Pave
socially-constructed-person;['adam'];person i Bibelen
socially-constructed-person;['neptun', 'guden neptun'];Romersk havgud
socially-constructed-person;['guden merkur', 'merkur'];Romersk gud
socially-constructed-person;['the conduit'];Dataspel frå 2009
socially-constructed-person;['arianrhod'];Kvinnenamn
socially-constructed-person;['james k. polk', 'james knox polk', 'james polk'];Amerikansk politikar
socially-constructed-person;['franklin pierce'];Amerikansk advokat og politikar
socially-constructed-person;['james buchanan'];Amerikansk diplomat og politikar
socially-constructed-person;['katarina ii av russland', 'catherine', 'katarina den store', 'catharina ii av russland', 'catherine ii av russland', 'cathrine ii av russland', 'jekaterina ii av russland', 'katarina ii', 'katerina ii av russland', 'katharina den store', 'katharina ii av russland', 'katrine ii av russland', 'yekaterina ii av russland', 'katrina den store'];Kvinnenamn
socially-constructed-person;['henry james'];Amerikansk skribent
socially-constructed-person;['james a. garfield', 'james abram garfield', 'james garfield'];President i USA
socially-constructed-person;['grover cleveland'];Amerikansk advokat og politikar
socially-constructed-person;['warren g. harding'];Amerikansk politikar
socially-constructed-person;['john a. adams', 'john adams'];Amerikansk advokat, politikar og diplomat
socially-constructed-person;['herbert hoover', 'herbert c. hoover'];Amerikansk ingeniør og politikar
socially-constructed-person;['james monroe'];Amerikansk politikar, advokat og diplomat
socially-constructed-person;['martin van buren'];Amerikansk politikar, advokat og diplomat
socially-constructed-person;['vaktmeister', 'driftsleiar', 'styrar'];person som har heile eller delar av ansvaret for vedlikehaldet av ei eller fleire bygningar og ofte eit overordna koordineringsansvar ved større arbeid på bygningen
socially-constructed-person;['skipsopphogging', 'opphogging'];Fjerning av skip ved å hogge opp skipet for resirkulering
socially-constructed-person;['maskinarbeiar'];person som arbeider materiale
socially-constructed-person;['h.c. andersen', 'andersen', 'h. c. andersen', 'h c andersen', 'hans chr. andersen', 'hans christian andersen', 'hc andersen'];Dansk poet og skribent
socially-constructed-person;['veterinær', 'dyrlege', 'dyrlækjar'];Lege som arbeidar med dyr
socially-constructed-person;['vaksen', 'adult', 'vakse', 'vaksne'];organisme som har nådd kjønnsmognad
socially-constructed-person;['generalløytnant'];Militær grad
socially-constructed-person;['person', 'menneske', 'enkeltperson', 'hovud', 'individ', 'mann'];Vesen med visse evner eller kjennemerke som saman utgjer ein personlegdom
socially-constructed-person;['jurist', 'lovkyndig', 'rettslærd'];akademikar som har studert, lærar eller lagar lover
socially-constructed-person;['baryton', 'barytonrøyst', 'barytonstemme', 'barytonrøysta'];Mannleg stemmeleie
socially-constructed-person;['cuckold', 'cuck', 'hanrei'];Wikimedia-listeartikkel
socially-constructed-person;['skarpskyttar', 'snikskyttar'];Godt trent skyttar
socially-constructed-person;['brannstell', 'brannvesen', 'brannmann'];redningsarbeiarar ved brann
socially-constructed-person;['puck'];Fiskeslekt
socially-constructed-person;['kanadiere'];Borgere av Kanada
socially-constructed-person;['saint patrick'];Irsk prest
socially-constructed-person;['los', 'hamnelos', 'kjentmann', 'kystlos', 'losteneste', 'losvesen', 'skipslos', 'statslos', 'vegvisar'];marin vegvisingsteneste
socially-constructed-person;['redaktør', 'forleggar'];Yrke
socially-constructed-person;['biolog'];Vitskapsperson som studerer biologi
socially-constructed-person;['modell'];Fotomodell
socially-constructed-person;['samuel beckett'];Irsk Forfatter
socially-constructed-person;['thomas malthus', 'thomas robert malthus'];Britisk økonom
socially-constructed-person;['flyktning', 'asylsøkjar', 'flyktningar'];Framand som vert forfulgt i sitt eige land
socially-constructed-person;['samar', 'same', 'samane', 'samen', 'samer', 'samisk kultur'];Samer
socially-constructed-person;['lewis carroll', 'charles dodgson', 'charles lutwidge dodgson'];Britisk matematikar, skribent, fotograf og poet
socially-constructed-person;['arthur sullivan', 'arthur s. sullivan', 'arthur seymour sullivan', 'gilbert and sullivan', 'gilbert og sullivan', 'sir arthur seymour sullivan', 'sir arthur sullivan', 'gilbert & sullivan'];Britisk komponist
socially-constructed-person;['buddha', 'gautama buddha', 'siddharta gautama', 'siddhartha gautama', 'sidhata guatma'];Stiftaren av buddhismen
socially-constructed-person;['hans geiger'];Tysk fysikar
socially-constructed-person;['napaea'];Planteslekt
socially-constructed-person;['gentilitas'];Wikimedia-fleirtydingsside
socially-constructed-person;['general'];Militær grad innan land- og luftforsvar
socially-constructed-person;['dokkespelar', 'dokketeaterspelar'];Person som animerar dokker
socially-constructed-person;['albert einstein', 'einstein'];Tysk-amerikansk fysikar
socially-constructed-person;['bernhard riemann', 'georg friedrich bernhard riemann'];Tysk matematikar
socially-constructed-person;['gaio cassio longino', 'gaius cassius longinus'];Italiensk politikar
socially-constructed-person;['pompeius'];Romersk politikar
socially-constructed-person;['dmitrij mendelejev', 'dmitri mendeleev', 'dmitrij ivanovitsj mendelejev', 'dmitrij mendeleev'];Russisk oppfinnar og kjemikar
socially-constructed-person;['kostymedesignar'];Person som designar kostyme
socially-constructed-person;['wright'];Etternamn
socially-constructed-person;['trommeslagar', 'batterist', 'slagverkar', 'trommis'];perkusjonist som skapar og akkompagnerer musikk med trommer
socially-constructed-person;['militær', 'militærperson', 'soldat'];Medlem av ein væpna styrke
socially-constructed-person;['manusforfattar', 'filmforfattar'];Forfattar som skriv for fjernsyn og film
socially-constructed-person;['michael faraday'];Britisk kjemikar og fysikar
socially-constructed-person;['sjakti', 'shakti'];Wikimedia-fleirtydingsside
socially-constructed-person;['robert frost', 'robert lee frost'];Amerikansk poet
space-region;['mellomvirvelskive', 'nucleus pulposus', 'bandskive', 'discus intervertebralis', 'fibrocartilago intervertebralis', 'intervertebralbrusk', 'intervertebralskive', 'mellomvirvelbrusk', 'nucl. pulposus'];fiberbrusksamband (symfyse) mellom kvar av knoklane i virvelsøyla
space-region;['bolus'];blanding av mat og spytt
spatial-feature;['fjell', 'alp'];Landformasjon som strekkjer seg over det omkringliggande landskapet
spatial-feature;['vasskjelde', 'kjelde', 'ile', 'olle', 'oppkome', 'oppkomme', 'springkjelde', 'fontene'];stad der grunnvatn strøymer opp til jordoverflata
subject;['kunstig intelligens', 'ai', 'artifisiell intelligens', 'ki', 'kognitiv databehandling', 'maskinintelligens', 'mi'];Grein av informatikken som søker å utvikle programvare med menneskeliknande intelligens
subject;['tektonikk', 'platetektonikk', 'tektonisk'];læra om den strukturelle oppbygginga til jordskorpa, korleis ho vart danna, deformert og den historiske utviklinga
subject;['gruppeteori', 'gruppeteori i matematikk'];grein av matematikken som studerer grupper
subject;['kinematikk'];Skildring av rørsle i fysikken utan omsyn til årsaka eller verknaden av rørsla
subject;['aldersforsking', 'geriatri', 'eldremedisin', 'geriatrisk medisin'];Medisinsk spesialområde med fokus på eldreomsorg og behandling av aldringssjukdommar
subject;['serologi'];Læra om blodserum og andre serøse væsker
subject;['angiologi'];Grein av indremedisin som arbeider med karsjukdom
subject;['oftalmologi'];Grein av medisin som studerer auget og sjukdommar derav
subject;['onkologi', 'kreftlære'];Grein av medisinen som studerer kreft
subject;['endokrinologi'];Medisinsk spesialområde
subject;['revmatologi', 'reumatologi'];Medisinsk spesialområde
subject;['nevrofysiologi'];Grein av fysiologi og nevrovitskap
subject;['kjernefysikk', 'atomfysikk'];Grein av fysikken
subject;['talteori'];Grein av matematikken
subject;['mengdelære', 'mengdeteori'];Grein av matematikken som handlar om mengder
subject;['åtferdsbiologi', 'etologi'];Vitskapleg og objektiv lære om åtferd hos dyr
subject;['geometri'];Grein av matematikken
subject;['optikk'];Grein av fysikken
subject;['gensløyd', 'genmodifisering', 'genspleising', 'genteknikk'];Direkte manipulering av genomet til ein organisme ved hjelp av bioteknologi
substance-role;['løysning', 'oppløysning'];homogen blanding av to eller fleire kjemiske stoff
substance-role;['papaina'];Kjemisk sambinding
substance-role;['vassløysning', 'løysning i vatn'];løysning med vatn som løysingsmiddel
substance-role;['messing', 'legeringa messing', 'massing', 'messesong'];Substitusjonslegering av kopar og sink
substance-role;['enzym'];Biomolekyl
substance-role;['allergen'];Type antigen som fører til unormalt kraftig immunrespons
substance-role;['damp'];Væske i gassform
taxonomic-collection;['numerus', 'tal'];Grammatisk kategori som viser til mengd
taxonomic-collection;['tempus', 'tid', 'grammatisk tid'];Grammatisk kategori som indikerer tid
taxonomic-collection;['presens', 'notid'];Grammatisk tid
taxonomic-collective;['familie', 'biologisk familie', 'biologiske familie', 'biologisk underfamilie', 'den biologiske familien', 'plantefamilie', 'plantefamilien', 'underfamilie'];Taksonomisk kategori
taxonomic-collective;['klasse', 'biologisk klasse', 'biologisk underklasse'];Taksonomisk rang
taxonomic-collective;['underart', 'rase', 'ssp.', 'subsp.'];Taksonomisk rang som ligg under artsrangen
taxonomic-collective;['monotypisk', 'monotypisk takson'];Taksonomisk gruppe med berre eitt direkte undertakson
taxonomic-collective;['underslekt'];Taksonomisk rang
taxonomic-collective;['orden', 'biologisk orden', 'biologisk overorden', 'biologisk underorden', 'biologiske orden', 'biologiske ordenar', 'den biologiske orden', 'den biologiske ordenen', 'orden i biologi', 'orden i biologien', 'underorden'];Taksonomisk rang
taxonomic-collective;['biologisk slekt', 'slekt', 'genus', 'biologiske slekt', 'biologiske slekta', 'biologiske slektene', 'biologiske slekter', 'dei biologiske slektene', 'den biologiske slekt', 'den biologiske slekta', 'fugleslekta', 'planteslekt', 'slekt i biologien'];Biologi
taxonomic-collective;['art', 'sp.', 'spp.', 'artar', 'biologisk art', 'biologiske art', 'slag'];Taksonomisk rang
taxonomic-collective;['rekkje', 'biologisk rekkje', 'biologisk avdeling', 'biologisk divisjon', 'biologisk rekke', 'biologiske rekker', 'fylum', 'rekke', 'biologisk rekka'];Taksonomisk rang
taxonomic-collective;['typeart', 'species typica'];Arten (typen) som er definerande for eit slektsnamn
taxonomic-collective;['zostera'];Planteslekt
taxonomic-collective;['orontium'];Planteslekt
taxonomic-collective;['viminaria'];Planteslekt
taxonomic-collective;['dipogon'];Planteslekt
taxonomic-collective;['sanguinaria', 'sanguinaria canadensis'];Planteslekt
taxonomic-collective;['dendromecon'];Planteslekt
taxonomic-collective;['platystemon'];Planteslekt
taxonomic-collective;['bignonia'];Planteslekt
taxonomic-collective;['petteria'];Planteslekt
taxonomic-collective;['parrotiopsis'];Planteslekt
taxonomic-collective;['lablab'];Planteslekt
taxonomic-collective;['romneya'];Planteslekt
taxonomic-collective;['olavsstake', 'olavstake', 'pýrola uniflóra', 'moneses'];Planteslekt
taxonomic-collective;['tolmiea'];Planteslekt
taxonomic-collective;['pyxidanthera'];Planteslekt
taxonomic-collective;['halimodendron'];Planteslekt
taxonomic-collective;['onoclea'];Planteslekt
taxonomic-collective;['parochetus'];Planteslekt
taxonomic-collective;['lindheimera'];Planteslekt
taxonomic-collective;['lophosoria'];Planteslekt
taxonomic-collective;['microstrobos'];Planteslekt
taxonomic-collective;['anadenanthera'];Planteslekt
taxonomic-collective;['ceratopetalum'];Planteslekt
taxonomic-collective;['daboecia'];Planteslekt
taxonomic-collective;['lepechinia'];Planteslekt
taxonomic-collective;['pistacia'];Planteslekt
taxonomic-collective;['tremellaceae'];Soppfamilie
taxonomic-collective;['brunrotfamilien', 'scrophulariaceae'];Plantefamilie i leppeblomordenen
taxonomic-collective;['melastomataceae', 'melastomaceae'];Plantefamilie i myrteordenen
taxonomic-collective;['vinrankefamilien', 'vinfamilien', 'vitaceae'];Plantefamilie
taxonomic-collective;['pomaderris'];Planteslekt
taxonomic-collective;['nomia'];Insektslekt
taxonomic-collective;['ambloplites'];Fiskeslekt
taxonomic-collective;['paracheirodon'];Fiskeslekt
taxonomic-collective;['centrosema'];Planteslekt
taxonomic-collective;['lagidium'];Pattedyrslekt
taxonomic-collective;['nyserotslekta', 'veratrum'];Planteslekt
taxonomic-collective;['todea'];Planteslekt
taxonomic-collective;['astronium'];Planteslekt
taxonomic-collective;['nephelium'];Planteslekt
taxonomic-collective;['onopordum'];Planteslekt
taxonomic-collective;['anogramma'];Planteslekt
taxonomic-collective;['leuciscus'];Fiskeslekt
taxonomic-collective;['chaenopsis'];Fiskeslekt
taxonomic-collective;['rypticus'];Fiskeslekt
taxonomic-collective;['monardella'];Planteslekt
taxonomic-collective;['eucinostomus'];Fiskeslekt
taxonomic-collective;['lodnefaksslekta', 'bromus', 'faks'];Planteslekt
taxonomic-collective;['cenchrus'];Planteslekt
taxonomic-collective;['acalypha'];Planteslekt
taxonomic-collective;['mertensia'];Planteslekt
taxonomic-collective;['alliaria'];Planteslekt
taxonomic-collective;['linanthus'];Planteslekt
taxonomic-collective;['thunbergia'];Planteslekt
taxonomic-collective;['medicago'];Planteslekt
taxonomic-collective;['hexanchus'];Fiskeslekt
taxonomic-collective;['lamna'];Fiskeslekt
taxonomic-collective;['thermobia'];Insektslekt
taxonomic-collective;['limax'];Blautdyrslekt
taxonomic-collective;['euproctis'];Insektslekt
taxonomic-collective;['metroxylon'];Planteslekt
taxonomic-collective;['poecilocapsus'];Insektslekt
taxonomic-collective;['pennisetum'];Planteslekt
taxonomic-collective;['araneus'];Edderkoppslekt
taxonomic-collective;['percina'];Fiskeslekt
taxonomic-collective;['cnidoscolus'];Planteslekt
taxonomic-collective;['cnidoscolus'];Planteslekt
taxonomic-collective;['aeonium'];Planteslekt
taxonomic-collective;['arachis'];Planteslekt
taxonomic-collective;['cadra'];Insektslekt
taxonomic-collective;['euthynnus'];Fiskeslekt
taxonomic-collective;['kirsebærslekta', 'prunus'];Planteslekt
taxonomic-collective;['mercurialis'];Planteslekt
taxonomic-collective;['heterodon'];Krypdyrslekt
taxonomic-collective;['staphylea'];Planteslekt
taxonomic-collective;['neomys'];Pattedyrslekt
taxonomic-collective;['archosargus'];Fiskeslekt
taxonomic-collective;['cochlearia'];Planteslekt
taxonomic-collective;['sarcopoterium'];Planteslekt
taxonomic-collective;['sharon', 'diospyros', 'sharonfrukt', 'sharonfruktar'];Planteslekt
taxonomic-collective;['crescentia'];Planteslekt
taxonomic-collective;['arenga'];Planteslekt
taxonomic-collective;['jams', 'yams'];Planteslekt
taxonomic-collective;['jams', 'yams'];Planteslekt
taxonomic-collective;['polistes'];Insektslekt
taxonomic-collective;['ophrys'];Planteslekt
taxonomic-collective;['gravebier', 'andrenidae', 'gravebie'];biefamilie
taxonomic-collective;['potamogeton'];Planteslekt
taxonomic-collective;['erythroxylum'];Planteslekt
taxonomic-collective;['cynoglossum'];Planteslekt
taxonomic-collective;['phoenix'];Planteslekt
taxonomic-collective;['parietales'];planteorden
taxonomic-collective;['calycanthus'];Planteslekt
taxonomic-collective;['jatropha'];Planteslekt
taxonomic-collective;['euterpe'];Planteslekt
taxonomic-collective;['dactyloctenium'];Planteslekt
taxonomic-collective;['ixia'];Planteslekt
taxonomic-collective;['aplectrum'];Planteslekt
taxonomic-collective;['groenlandia'];Planteslekt
taxonomic-collective;['roystonea'];Planteslekt
taxonomic-collective;['scincella'];Krypdyrslekt
taxonomic-collective;['vårkornellslekta'];Planteslekt
taxonomic-collective;['pastinaca'];Planteslekt
taxonomic-collective;['tropaeolum'];Planteslekt
taxonomic-collective;['syzygium'];Planteslekt
taxonomic-collective;['tragelaphus'];Pattedyrslekt
taxonomic-collective;['xenopus'];Amfibieslekt
taxonomic-collective;['aspidelaps'];Krypdyrslekt
taxonomic-collective;['khaya'];Planteslekt
taxonomic-collective;['pimenta'];Planteslekt
taxonomic-collective;['polyergus'];Insektslekt
taxonomic-collective;['tobakkslekta', 'nicotiana'];Planteslekt
taxonomic-collective;['sabal'];Planteslekt
taxonomic-collective;['micropterus'];Fiskeslekt
taxonomic-collective;['limnobium'];Planteslekt
taxonomic-collective;['pycnanthemum'];Planteslekt
taxonomic-collective;['tamiasciurus'];Pattedyrslekt
taxonomic-collective;['aframomum'];Planteslekt
taxonomic-collective;['melophagus'];Insektslekt
taxonomic-collective;['løvetann', 'løvetannslekta', 'taraxacum'];Planteslekt
taxonomic-collective;['pipturus'];Planteslekt
taxonomic-collective;['algeripithecus'];Pattedyrslekt
taxonomic-collective;['takson', 'biologisk gruppe', 'biologisk kategori', 'biologiske gruppa', 'gruppe', 'grupper i biologi', 'taksa', 'taksonet'];Systematisk eining av éin eller fleire organismar i biologisk nomenklatur
taxonomic-collective;['camelina'];Planteslekt
taxonomic-collective;['jordrøykslekta', 'fumaria'];Planteslekt
taxonomic-collective;['alopecurus'];Planteslekt
taxonomic-collective;['setaria'];Planteslekt
taxonomic-collective;['corydalis'];Planteslekt
taxonomic-collective;['tiriltungeslekta', 'lotus'];Planteslekt
taxonomic-collective;['celosia'];Planteslekt
taxonomic-collective;['strandkålslekta', 'crambe'];Planteslekt
taxonomic-collective;['macrotyloma'];Planteslekt
taxonomic-collective;['byggslekta', 'hordeum'];Planteslekt
taxonomic-collective;['ageratina'];Planteslekt
taxonomic-collective;['arabis', 'skrinneblomslekta'];Planteslekt
taxonomic-collective;['cerapteryx'];Insektslekt
taxonomic-collective;['lønn', 'acer', 'løn', 'lønn tretype', 'lønnefamilien', 'lønnslekta', 'lønnetre', 'lønslekta'];Planteslekt
taxonomic-collective;['arundo'];Planteslekt
taxonomic-collective;['lomatia'];Planteslekt
taxonomic-collective;['lindera'];Planteslekt
taxonomic-collective;['lindera'];Insektslekt
taxonomic-collective;['cynara'];Planteslekt
taxonomic-collective;['calliophis'];Krypdyrslekt
taxonomic-collective;['ptyas'];Krypdyrslekt
taxonomic-collective;['cinnamomum'];Planteslekt
taxonomic-collective;['pterocarya'];Planteslekt
taxonomic-collective;['dacrydium'];Planteslekt
taxonomic-collective;['acanthophis'];Krypdyrslekt
taxonomic-collective;['conospermum'];Planteslekt
taxonomic-collective;['hakea'];Planteslekt
taxonomic-collective;['humleblom', 'geum'];Planteslekt
taxonomic-collective;['taxodium'];Planteslekt
taxonomic-collective;['coleonyx'];Krypdyrslekt
taxonomic-collective;['nesokia'];Pattedyrslekt
taxonomic-collective;['actaea'];Planteslekt
taxonomic-collective;['phegopteris'];Planteslekt
taxonomic-collective;['beteslekta', 'betar', 'planteslekta beta'];Planteslekt
taxonomic-collective;['hesperis'];Planteslekt
taxonomic-collective;['tantilla'];Krypdyrslekt
taxonomic-collective;['leptotyphlops'];Krypdyrslekt
taxonomic-collective;['caulophyllum'];Planteslekt
taxonomic-collective;['narthecium'];Planteslekt
taxonomic-collective;['synaptomys'];Pattedyrslekt
taxonomic-collective;['brachinus'];Insektslekt
taxonomic-collective;['sarda'];Fiskeslekt
taxonomic-collective;['lagenaria'];Planteslekt
taxonomic-collective;['trichomanes'];Planteslekt
taxonomic-collective;['andreaea'];Planteslekt
taxonomic-collective;['bokkveiteslekta', 'fagopyrum'];Planteslekt
taxonomic-collective;['ictiobus'];Fiskeslekt
taxonomic-collective;['myrmecia'];Insektslekt
taxonomic-collective;['smilisca'];Amfibieslekt
taxonomic-collective;['pinguicula'];Planteslekt
taxonomic-collective;['kala'];Planteslekt
taxonomic-collective;['graptophyllum'];Planteslekt
taxonomic-collective;['nellikslekta', 'dianthus', 'nellik'];Planteslekt
taxonomic-collective;['morone'];Fiskeslekt
taxonomic-collective;['trichophaga'];Insektslekt
taxonomic-collective;['orectolobus'];Fiskeslekt
taxonomic-collective;['jortedyr', 'drøvtyggarar', 'ruminantia', 'drøvtyggjarar', 'drøvtyggar', 'drøvtyggere'];undergruppe av klauvdyr
taxonomic-collective;['acrocomia'];Planteslekt
taxonomic-collective;['secale'];Planteslekt
taxonomic-collective;['ictalurus'];Fiskeslekt
taxonomic-collective;['hundekjeksslekta', 'anthriscus', 'kjørvelslekta'];Planteslekt
taxonomic-collective;['xyris'];Planteslekt
taxonomic-collective;['genista'];Planteslekt
taxonomic-collective;['phlebodium'];Planteslekt
taxonomic-collective;['storkenebbfamilien', 'geraniaceae', 'geraniaceæ', 'geraniumfamilien'];Plantefamilie
taxonomic-collective;['myriophyllum'];Planteslekt
taxonomic-collective;['mure'];Planteslekt
taxonomic-collective;['cystopteris'];Planteslekt
taxonomic-collective;['habenaria'];Planteslekt
taxonomic-collective;['lygodium'];Planteslekt
taxonomic-collective;['lønnefamilien', 'sapindaceae'];Plantefamilie
taxonomic-collective;['paprikaslekta', 'capsicum'];Planteslekt
taxonomic-collective;['gravmyrtfamilien', 'apocynaceae'];Plantefamilie
taxonomic-collective;['heilhovud', 'holocephali'];klasse av fiskar
taxonomic-collective;['kjernesoppar', 'sordariomycetes'];Klasse av ekte sekksporesoppar
taxonomic-collective;['deparia'];Planteslekt
taxonomic-collective;['aglaonema'];Planteslekt
taxonomic-collective;['calystegia'];Planteslekt
taxonomic-collective;['turritis'];Planteslekt
taxonomic-collective;['marsilea'];Planteslekt
taxonomic-collective;['xanthium'];Planteslekt
taxonomic-collective;['maneter', 'scyphozoa', 'stormaneter'];klasse av nesledyr
taxonomic-collective;['kaffiplante', 'kaffiplanteslekta', 'coffea', 'kaffibusk', 'kaffitre'];Planteslekt
taxonomic-collective;['crotaphytus'];Krypdyrslekt
taxonomic-collective;['leptinotarsa decemlineata', 'leptinotarsa'];Insektslekt
taxonomic-collective;['polygonia'];Insektslekt
taxonomic-collective;['stjerneblomslekta'];Planteslekt
taxonomic-collective;['haminoea'];Blautdyrslekt
taxonomic-collective;['acheta'];Insektslekt
taxonomic-collective;['eleutherodactylus'];Amfibieslekt
taxonomic-collective;['scaphosepalum'];Planteslekt
taxonomic-collective;['dracula'];Planteslekt
taxonomic-collective;['dryadella'];Planteslekt
taxonomic-collective;['liliopsida'];Planteklasse
taxonomic-collective;['zea'];Planteslekt
taxonomic-collective;['sporobolus'];Planteslekt
taxonomic-collective;['periplaneta'];Insektslekt
taxonomic-collective;['sophora'];Planteslekt
taxonomic-collective;['bakkestjerneslekta', 'erigeron'];Planteslekt
taxonomic-collective;['bakkestjerneslekta', 'erigeron'];Planteslekt
taxonomic-collective;['cotula'];Planteslekt
taxonomic-collective;['mitchella'];Insektslekt
taxonomic-collective;['cynodon'];Planteslekt
taxonomic-collective;['cucumis'];Planteslekt
taxonomic-collective;['andricus'];Insektslekt
taxonomic-collective;['bellis'];Planteslekt
taxonomic-collective;['acherontia'];Insektslekt
taxonomic-collective;['robinia'];Planteslekt
taxonomic-collective;['ostryopsis'];Planteslekt
taxonomic-collective;['ostrya'];Planteslekt
