activity;['সিনেমা'];সিনেমা অইলতা শিল্পর আরাক মেঠেল যেহাত চলমান দৃশ্য পর্দাত দৃম্যমান অয়া নিকুলের।
region;['মরক্কান দিরহাম'];মরক্কান দিরহাম এহান মরক্কোর তাংখার নাংহান। তাংখা এহানর চিনৎহান: د.م.
region;['মোজাম্বিকান মেটিকাল'];মোজাম্বিকান মেটিকাল এহান মোজাম্বিকর তাংখার নাংহান। তাংখা এহানর চিনৎহান: MTn বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: এমজেডএম.
region;['নেপালিজ রুপি', 'নেপালিজ রূপি'];নেপালিজ রূপি এহান নেপাল র তাংখার নাংহান। তাংখা এহানর চিনৎহান: ₨ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: এনপিআর.
region;['নিউজিল্যান্ড ডলার'];নিউজিল্যান্ড ডলার এহান নিউজিল্যান্ডর তাংখার নাংহান। তাংখা এহানর চিনৎহান: $ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: এনজেডডি.
region;['নিকারাগুয়ান করডোবা'];নিকারাগুয়ান করডোবা এহান নিকারাগুয়ার তাংখার নাংহান। তাংখা এহানর চিনৎহান: C$ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: এনআইও.
region;['নাইজেরিয়ান নাইরা'];নাইজেরিয়ান নাইরা এহান নাইজেরিয়ার তাংখার নাংহান। তাংখা এহানর চিনৎহান: ₦ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: এনজিএন.
region;['ঔয়াং কোরিয়ান ৱোন'];ঔয়াং কোরিয়ান ৱোন এহান ঔয়াং কোরিয়া র তাংখার নাংহান। তাংখা এহানর চিনৎহান: ₩ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: কেডব্লিউডি.
region;['পাপুয়া নিউগিনিয়ান কিনা', 'kina'];পাপুয়া নিউগিনিয়ান কিনা এহান পাপুয়া নিউগিনির তাংখার নাংহান। তাংখা এহানর চিনৎহান: K বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: পিজিকে.
region;['পারাগুয়ান গুয়ারানইনি'];পারাগুয়ান গুয়ারানইনি এহান পারাগুয়ের তাংখার নাংহান। তাংখা এহানর চিনৎহান: ₲ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: পিৱাইজি.
region;['পোলিস জ্লোটে'];পোলিস জ্লোটে এহান পোল্যান্ডর তাংখার নাংহান। তাংখা এহানর চিনৎহান: zł বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: পিএলএন.
region;['রোমানিয়ান লিউ'];রোমানিয়ান লিউ এহান রোমানিয়ার তাংখার নাংহান। তাংখা এহানর চিনৎহান: বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: আরওএল.
region;['সৌদি রিয়াল'];সৌদি রিয়াল এহান সৌদি আরব র তাংখার নাংহান। তাংখা এহানর চিনৎহান: ر.س বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: এসএআর.
region;['সেইশেলিয়জ রূপি'];সেইশেলিয়জ রূপি এহান সেইশেল দ্বীপপুঞ্জর তাংখার নাংহান। তাংখা এহানর চিনৎহান: ₨ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: এসসিআর.
region;['খা আফ্রিকান রান্ড'];খা আফ্রিকান রান্ড এহান খা আফ্রিকার তাংখার নাংহান। তাংখা এহানর চিনৎহান: R বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: জেডএএর.
region;['খা কোরিয়ান ৱোন'];খা কোরিয়ান ৱোন এহান খা কোরিয়ার তাংখার নাংহান। তাংখা এহানর চিনৎহান: ₩ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: কেআরডব্লিউ.
region;['সোয়াজি লিলাঙ্গেনি', 'lilangeni'];সোয়াজি লিলাঙ্গেনি এহান সোয়াজিল্যান্ডর তাংখার নাংহান। তাংখা এহানর চিনৎহান: L বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: এসজেডএল.
region;['সুইডিস ক্রোনা'];সুইডিস ক্রোনা এহান সুইডেনর তাংখার নাংহান। তাংখা এহানর চিনৎহান: kr বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: এসইকে.
region;['তাঞ্জানিয়ান শিলিং'];তাঞ্জানিয়ান শিলিং এহান তাঞ্জানিয়ার তাংখার নাংহান। তাংখা এহানর চিনৎহান: Sh বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: টিজেডএস.
region;['থাই বাট'];থাই বাট এহান থাইল্যান্ড র তাংখার নাংহান। তাংখা এহানর চিনৎহান: ฿ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: টিএইচবি.
region;['ডোমিনিকান পেসো'];ডোমিনিকান পেসো এহান ডোমিনিকান প্রজাতন্ত্রর তাংখার নাংহান। তাংখা এহানর চিনৎহান: $ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: ডিওপি.
region;['ফিলিপাইনি পেসো', 'পেসো'];ফিলিপাইনি পেসো এহান ফিলিপাইন র তাংখার নাংহান। তাংখা এহানর চিনৎহান: ₱ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: পিএইচপি.
region;['ত্রিনিদাদিয়ান ডলার'];ত্রিনিদাদিয়ান ডলার এহান ত্রিনিদাদ বারো টোবাগোর তাংখার নাংহান। তাংখা এহানর চিনৎহান: $ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: টিটিডি.
region;['তিউনিসিয়ান দিনার'];তিউনিসিয়ান দিনার এহান তিউনিসিয়ার তাংখার নাংহান। তাংখা এহানর চিনৎহান: د.ت বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: টিএনডি.
region;['তার্কিস লিরা'];তার্কিস লিরা এহান তুরস্ক র তাংখার নাংহান। তাংখা এহানর চিনৎহান: ₤ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: টিআরৱাই.
region;['উগান্ডান শিলিং'];উগান্ডান শিলিং এহান উগান্ডার তাংখার নাংহান। তাংখা এহানর চিনৎহান: Sh বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: ইউজিএক্স.
region;['ভেনেজুয়েলান বোলিভার'];ভেনেজুয়েলান বোলিভার এহান ভেনেজুয়েলার তাংখার নাংহান। তাংখা এহানর চিনৎহান: Bs বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: ভিইবি.
region;['ভিয়েতনামিজ ডং'];ভিয়েতনামিজ ডং এহান ভিয়েতনাম র তাংখার নাংহান। তাংখা এহানর চিনৎহান: ₫ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: ভিএনডি.
region;['জিম্বাবুয়ান ডলার'];জিম্বাবুয়ান ডলার এহান জিম্বাবুয়ের তাংখার নাংহান। তাংখা এহানর চিনৎহান: $ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: জেডডব্লিউডি.
region;['কেপ ভের্দে এসকোড'];কেপ ভের্দে এসকোড এহান কেপ ভের্দর তাংখার নাংহান। তাংখা এহানর চিনৎহান: $ or Esc বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: সিভিই.
region;['মাল্টিজ লিরা'];মাল্টিজ লিরা এহান মাল্টার তাংখার নাংহান। তাংখা এহানর চিনৎহান: ₤ বারো ব্যাংকিংরকা লেপকরা বাট্টি নাংহান ইলতাই: এমটিএল.
situation;['সাউডে'];সাউডে, এহান ব্রাজিলর ঔয়াংমুঙ লয়ার বাহিয়া রাজ্যর পৌরসভা আহান।
situation;['রিকুয়েজা'];রিকুয়েজা, এহান ব্রাজিলর খা লয়ার সান্টা কাটারিনা রাজ্যর পৌরসভা আহান।
social-relationship;['রাজনীতি'];রাজনীতি অইলতা প্রক্রিয়া আহান জেহানর মাধ্যমে মানু কতগলো হংকরা গোষ্ঠী আহানে সিদ্ধান্ত নিতারাগা। রাজনীতি বুলতে সাধারনত নাগরিক সরকারর রাজনীতি হারপেয়ার, তবে অন্যান্য সামাজিক প্রতিষ্ঠান, যেমন ব্যবসায়িক প্রতিষ্ঠান, শিক্ষা প্রতিষ্ঠান, ধর্মীয় প্রতিষ্ঠান যেতাত মানুর মধ্যে পারস্পারিক সম্পর্ক থার, অউতাতউ রাজনীতি চর্চা করতারা।
socially-constructed-person;['মহাত্মা গান্ধী'];মোহনদাস করমচাঁদ গান্ধী বা মহাত্মা গান্ধী ভারতর নাঙজাদা রাজনীতিবিদ আগো, ভারতর স্বাধীনতা আন্দোলনর গজর থাকর বারো প্রভাবশালী নেতা আগো। গিরক এগো সত্যাগ্রহ আন্দোলনর লিংখাতপাগো। আন্দোলন এহার পরিচালিত অসিলতা অহিংসা মতবাদ বা দর্শনর গজে বারো এহানরে ভারতর স্বাধীনতা আন্দোলনর অন্যতম চালিকা শক্তিহান বুলিয়া মাততারা, বিশ্বর হাবি মানুর স্বাধীনতা বারো অধিকার আলথকে পানির অনুপ্রেরণা আহান বুলানি য়াকরের।
socially-constructed-person;['অন্তু', 'antu'];অন্তু, ভারতর উত্তর প্রদেশ রাজ্যর প্রতাপগড় জিলার নগর পঞ্চায়েত-শাসিত শহর আগ।
socially-constructed-person;['হিপোক্রেটিস'];হিপোক্রেটিস থাইনাকার গ্রীক চিকিৎসাবিদ আগো। গিরক এগোই পয়লা নুরারার পর্যবেক্ষণ বারো পরীক্ষাত্ত পাসি তথ্যর মাতুঙ ইলয়া চিকিৎসা করানির চলহান করেসিল। তার সমেইত গ্রীসর মানুয়ে নিঙকরলাতা নুয়ারাপানি এতা দৌ দুকর শিরাপ বারো হবানেই মিল্লেঙেত্ত অর। কিন্তু গিরকে ইজ্জু করে মাতেসিল নুয়ারাপানি এতা প্রাকৃতিক ঘটনার অঙ আকেইহান বারো এতা প্রাকৃতিক নিয়মলো চলের। অহানে হিপক্রেটিস গিরকরে 'চিকিৎসাবিদ্যার জনক'গো বুলানি অর।
socially-constructed-person;['আরেস', 'árés'];আরেস, এহান ব্রাজিলর ঔয়াংমুঙ লয়ার রিও গ্রান্ডে ডো নর্টে রাজ্যর পৌরসভা আহান।
socially-constructed-person;['ভোল্\u200cফগাংক্\u200c আমাডেয়ুস মোৎসার্ট'];।,ম,কমকম ওক
socially-constructed-person;['ভিনসেন্ট ভ্যান গগ'];ভিনসেন্ট ভ্যান গগ গিরক ডাচ দেশর পেইন্টারগ আসিল। চাকুরি কতহান হৎনা করিয়া নুৱারিয়া পিছে আর্টিসগ অনা লেপকরল। তা প্যারিসে থানার কাজে গিয়াসিলগা তার বেয়ক থিয়র লগে, বেয়ক আর্টর ডিলারগ আসিল অহানে গগ গিরকে আবকা নাংকরা আর্টিস্টর লগে উনা ইল যেতাই তারে থৌতাল দিলা বারো পাংকরলা। গিরক জিংতা ইয়া থাইতে থিয়রাং আবকচা চিঠি ইকরিসিল বারো বেয়কে অতা য়মকরিয়া থইল। চিঠি অতাত গগ গিরকে জীবন বারো আর্টর বারাদে আবকচা অভিব্যক্তি ফংকরিয়া গিয়াসে।
socially-constructed-person;['পাবলো পিকাসো'];পাবলো রুইজ পিকাসো স্পেনর চিত্রশিল্পী বারো ভাস্করগ আসিল। গিরকর আস্তা নাঙহান পাবলো ডিয়েগ হুসে ফ্রান্সিকো ডে পাউলা হুৱান নেপোমুসেনো মারিয়া ডে লোস রেমেডিয়োস সিপ্রিয়ানো ডে লা সান্তিসিমা ত্রিনিদাদ ক্লিটো রুইজ য় পিকাসো.
socially-constructed-person;['প্রেসিডেন্টে কেন্নেড্য'];প্রেসিডেন্টে কেন্নেড্য, এহান ব্রাজিলর খামুঙ লয়ার এসপিরিটো সান্টো রাজ্যর পৌরসভা আহান।
socially-constructed-person;['ইমা-বাবা'];ইমা-বাবা ঃ স্বর্গ মর্ত আর পাতাল । তিনো পদে ইমা বাবার পদ উচ্চ । বাংলায় এহানরে এবং ইংরেজিত এহানরে মাততারা । আমি যদি ইমা বাবার সেবা কররাং অতাইলে মুখ্য লাভ বা শ্রী হরির দর্শন নিশ্চিত করিয়া পেইতাঙাই । "পইলা ইমা বাবার সেবা পরে ঈশ্বর সেবা " এহানই ধর্মের আসল নিয়মহান । আমার আদি লেরিক লেইসু অতাত এহানই স্পষ্ট করিয়া মাতেসিহান । ইমা বাবাই এরে জড় সংসার এহার ঙালহান দেখাদিতারা । হোরকাঙ কাল আহাত আমি মানু অতা কতিউও ইমা বাবারে হিনকররাঙ অহান মাতেয়া লম নাইতই । হাবি সহ্য করিয়া ইমা বাবাই আমারে দাঙর করতারা । আতানি অকরারিত্ত অকরিয়া ইমা বাবাই আমারে আতহানন্নো কিসাদে ভাত খানা লাগের অহান পর্যন্ত দেখাদিতারা । অর্থ্যাৎ হুরকাঙ কালেতো সৌ আগোর লালন পালন করিয়া দাঙর করানির আব্বি দায়দায়িত্ব থারতা ইমা বাবারাঙ.
socially-constructed-person;['বোদলেয়ার'];bv
socially-constructed-person;['ডেলাওয়্যার কাউন্টি', 'ডেলাওয়্যার কাউন্টি, পেনসিলভানিয়া'];ডেলাওয়্যার কাউন্টি, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর ঔয়াং বারার হমবুক আটলান্টিক লয়াগর পেনসিলভানিয়া ষ্টেইট/রাজ্যর কাউন্টি আহান।
socially-constructed-person;['সিয়েরা লিওন', 'sierra leone'];সিয়েরা লিওনর পুরা নাঙহান প্রজাতন্ত্রি সিয়েরা লিওন, এহান আফ্রিকা মহাদেশ বারো পিসেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ফ্রিটাউন।রাষ্ট্র এহানর মানুরে/নাগরিকরে সিয়েরা লিওনিয়ান বুলতারা।
socially-constructed-person;['সালেস'];সালেস, এহান ব্রাজিলর খামুঙ লয়ার সাও পাউলো রাজ্যর পৌরসভা আহান।
socially-constructed-person;['ফের্রেইরোস'];ফের্রেইরোস, এহান ব্রাজিলর ঔয়াংমুঙ লয়ার পেরনামবুকো রাজ্যর পৌরসভা আহান।
socially-constructed-person;['সক্রেটিস'];সক্রেটিস প্রাচীন গ্রীক দার্শনিক আগো। ডাঙরিয়া দার্শনিক এগো সম্পর্কে লিখিত তথ্য পেয়ারতা হুদ্দা তাঁর শিষ্য প্লেটো বারো সৈনিক জেনোফন গিরকর ইকরাত্ত। হৌ সমেয়র শাসকে তারে হেমলক নাঙর হু খাওয়াদিয়া মৃত্যুদন্ড দেসিলা। তারে পশ্চিমা দর্শনর মাককগো বুলিয়া হাবিয়ে স্বিকার করতারা। গিরকে এজাত দার্শনিক চিন্তাধারা আহার জরম দেসে যেহান ২০০০ বছর ধরিয়া পশ্চিমা সংস্কৃতি, দর্শন বারো সভ্যতারে জবরে প্রভাবিত করেসে।
socially-constructed-person;['সান্টো আন্ডরে'];সান্টো আন্ডরে, এহান ব্রাজিলর খামুঙ লয়ার সাও পাউলো রাজ্যর পৌরসভা আহান।
socially-constructed-person;['সাও পেড্রো'];সাও পেড্রো, এহান ব্রাজিলর খামুঙ লয়ার সাও পাউলো রাজ্যর পৌরসভা আহান।
socially-constructed-person;['আইজাক নিউটন'];স্যার আইজ্যাক নিউটন নিয়াম নাঙজাদা ইংরেজ পদার্থবিজ্ঞানী, গণিতবিদ, জ্যোতির্বিজ্ঞানী, প্রাকৃতিক দার্শনিক বারো আলকেমিস্ট আগো। ১৬৮৭ সনে গিরকর বিশ্ব নন্দিত লেইরিকহান ফিলসফিয়া ন্যাচারালিস প্রিন্সিপিয়া ম্যাথামেটিকা ফঙিসিল যেপেই গিরকে সর্বজনীন মহাকর্ষ বারো গতির তিনহান সূত্র লিংখাত করেসিল। এরে সূত্র বারো মৌল নীতিউতাই চিরায়ত বলবিজ্ঞানর ভিত্তি বুলিয়া মাতানি য়াকরের।
socially-constructed-person;['কার্ল মার্ক্স্'];কার্ল হাইনরিখ মার্ক্স জার্মানির নাঙজাদা সমাজ বিজ্ঞানীগো বারো মার্ক্সবাদর লিঙ্খাতপাগো। জিঙলা অয়া থাইতে অমাটিক নাইলেউ দৌ অনির পিসেদে সমাজতান্ত্রিক লালফামী উতারাং নিয়াম জনপ্রিয়তা পেইলো। বিংশ শতাব্দীর মানব সভ্যতাত মার্ক্সর তত্ত্ব জবরে আলোড়িত বারো আলোচিত অইল। সোভিয়েত ইউনিয়নে সমাজতন্ত্রর পতনর পিসে মার্ক্সবাদ তত্ত্বর জনপ্রিয়তা কমে আহিলেউ তাত্ত্বিক দৃষ্টিকোণেত্ত মার্ক্স্ববাদ এবাকাউ নিয়াম গুরুত্তপুর্ণ জাগা কালকরিয়া থসে.
socially-constructed-person;['আলবার্ট আইনস্টাইন', 'অালবার্ট আইনস্টাইনর হাননাপাসি কতহান তথ্য'];আলবার্ট আইনস্টাইন জার্মানিত জরম নেসেগা নোবেল পুরস্কার বিজয়ী পদার্থবিজ্ঞানী আগো। গ্রিকে তার বিখ্যাত আপেক্ষিকতার তত্ত্ব বারো ভর-শক্তি সমতুল্যতার সূত্র লিংখাত করিয়া নাঙ পালসে। তা ১৯২১ সালে পদার্থবিজ্ঞানে নোবেল পুরস্কার পাসিল। পুরস্কার পানার কারণহান অইলতা, তাত্ত্বিক পদার্থবিজ্ঞানে গিরকর বিশেষ অবদান বারো বিশেষত আলোক-তড়িৎ ক্রিয়া সম্পর্কীত গবেষণার কা।আইনস্টাইন গিরক পদার্থবিজ্ঞানর নানান ক্ষেত্রত নিয়াম গবেষণা করিয়া গেসেগা বারো নুয়া উদ্ভাবন বারো লিংখাতে তার বপিয়া অবদান আছে। হাবিত্ত বিখ্যাত আপেক্ষিকতার বিশেষ তত্ত্ব বলবিজ্ঞান বারো তড়িচ্চৌম্বকত্বরে আজপেই করেসিল বারো আপেক্ষিকতার সাধারণ তত্ত্ব অসম গতির ক্ষেত্রত আপেক্ষিকতার তত্ত্বউহান প্রয়োগ করিয়া নুয়া মহাকর্ষ তত্ত্ব প্রতিষ্ঠা করেসিল। তার আর আর অবদানরমা আছেতা আপেক্ষিকতাভিত্তিক বিশ্বতত্ত্ব, কৈশিক ক্রিয়া, ক্রান্তিক উপলবৎ বর্ণময়তা, পরিসাংখ্যিক বলবিজ্ঞানর সমস্যাউতা বারো কোয়ান্টাম তত্ত্বৎ উতার প্রয়োগ, অণুর ব্রাউনীয় গতির ব্যাখ্যা আহান, আনবিক ক্রান্তিকর সম্ভ্যাব্যতা, এক-আনবিক গ্যাসর কোয়ান্টাম তত্ত্ব, নিম্ন বিকরণ ঘনত্বে আলোর তাপীয় ধর্ম, বিকিরণর তত্ত্ব আহান যেহানাত উদ্দীপিত নিঃসরণর বিষয় উহানউ আসিল, একীভূত ক্ষেত্র তত্ত্বর পয়লাকার ধারণা আহান বারো পদার্থবিজ্ঞানর জ্যামিতিকীকরণ। আইনস্টাইনর গবেষণাকর্মউতা পেয়ারতা ৫০হার গজে বৈজ্ঞানিক গবেষণাপত্র বারো কতহান বিজ্ঞান-বহির্ভূত লেইরিকে। ১৯৯৯ সালে টাইম সাময়িকীয়ে আইনস্টাইন গিরকরে "শতাব্দীর হাবিত্ত জিঙপা মানুগো" বুলিয়া ঘোষণা করেসিলা। এতাবাদে নাঙজাদা পদার্থবিজ্ঞানী হাবিরাংতো ভোট লয়া হারপাসি, হাবিয়ে তারে হাবি কালর হাবিত্ত ডাঙর পদার্থবিজ্ঞানীগো বুলিয়া য়াকরতারা। এবাকা যেগঊ দৈনন্দিন জীবনে বারো কথাবার্তাত বুদ্ধিলৌশিং বারো চৌখাত নিয়াম ইলে উগরে "আইনস্টাইন" বুলিয়া মাততারা, অর্থাৎ এবাকা "আইনস্টাইন" ওয়াহি এগো 'বুদ্ধিলৌশিং'র সমার্থকগো ইয়াপলগা। == জীবনী == === হুরুকাংকাল বারো প্রাথমিক শিক্ষা === আইনস্টাইন ১৮৭৯ সালর ১৮ মার্চ উল্‌ম নাঙর শহরে জরম নেসিলগা। তার হুরুকাং কালহান কাটেইলো মিউনিখে। আইনস্টাইনর বাপক-মালক আসিলাতা ধর্মনিরপেক্ষ মধ্যবিত্ত ইহুদি। বাপক হেরমান আইনস্টাইন পাহিয়ার ফরিলো মমপাক হিরিয়া বারো বেসিয়া সংসার চালেইলো। পিসেদে মিউনিখে কারেন্তর কারখানা আগো হঙকরিয়া বাক্কা লাভ করেসিল। কোম্পানি উগোর নাংহান Elektrotechnische Fabrik J. Einstein & Cie । মালক পলিন কখ পরিবারর বিতরর হাবি কামদুম করলি। বনক আগো আসিলি, নাংহান মাজা। আইনস্টাইনর জরমর দিবছর থাংনাত তেইর জরম়। হুরকাকালে দুহান জিনিস দেহিয়া তা ঙাকইসিলতা - উতারমা আগো অইলতা পাঁচ বছর বয়সে পাসিল কম্পাস উগো, অদৃশ্য শক্তিআহানে কিসাদে কম্পাস এগোর কাঁটাগরে বুলারতা উহান খাল্করিয়া?
socially-constructed-person;['লেনিন'];ভ্লাদিমির ইলিচ উলিয়ানভ রাশিয়ার মার্ক্সবাদী লালফামী বারো কমিউনিস্ট রাজনীতিবিদ। গিরক এগো অক্টোবর বিপ্লবর প্রধান নেতাগো আসিল। তা সোভিয়েত ইউনিয়নর পয়লা রাষ্ট্রপ্রধানগো বারো লেনিনবাদ বুলতারা তত্বউহার লিঙ্খাতপাগো।
socially-constructed-person;['মেসসইয়াস'];মেসসইয়াস, এহান ব্রাজিলর ঔয়াংমুঙ লয়ার আলাগৱাস রাজ্যর পৌরসভা আহান।
socially-constructed-person;['শক্তি'];হিন্দুর দৌ দেবী দুর্গারে শক্তি নাঙে হারপারাঙ বারো ভগবান বিষ্ণুর শক্তি অবতারর বারে হারপারাঙ।
socially-constructed-person;['ফোর্টুনা', 'fortuna'];ফোর্টুনা, এহান ব্রাজিলর ঔয়াংমুঙ লয়ার মারানহো রাজ্যর পৌরসভা আহান।
socially-constructed-person;['কলি', 'kalī'];কলি, ভারতর গুজরাত রাজ্যর অমদাৱাদ জিলার শহর বারো পৌরসভা এলাকা আগ।
spatial-feature;['পলানাল্টো'];পলানাল্টো, এহান ব্রাজিলর খা লয়ার রিও গ্রান্ডে ডো সুল রাজ্যর পৌরসভা আহান।
spatial-feature;['মোন্টানহা'];মোন্টানহা, এহান ব্রাজিলর খামুঙ লয়ার এসপিরিটো সান্টো রাজ্যর পৌরসভা আহান।
spatial-feature;['জিব্রালটার'];জিব্রালটারর পুরা নাঙহান জিব্রালটার, এহান ইউরোপ মহাদেশ বারো ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ জিব্রালটার।রাষ্ট্র এহানর মানুরে/নাগরিকরে জিব্রালটারিয়ান বুলতারা।
spatial-feature;['ফ্রোনটেইরা'];ফ্রোনটেইরা, এহান ব্রাজিলর খামুঙ লয়ার মিনাস জেরায়িস রাজ্যর পৌরসভা আহান।
