abstract-quality;['personnalité', 'problème de personnalité', 'caractère'];Combinaison de caractéristiques émotionnelles, d'attitude et de comportement d'un individu
system-as-description;['économie socialiste', 'economie socialiste', 'socialisme', 'national-socialisme', 'socialiste'];Terme
system-as-description;['ségrégation raciale', 'ségrégation', 'séparation', 'pigmentocratie', 'segregation raciale', 'ségrégation des races', 'ségrégation raciale en australie', 'ségrégationnisme', 'ségrégationniste', 'séparation raciale', 'barrière de la couleur', 'la ségrégation raciale', 'ségrégation scolaire'];Racisme et dominations envers des communautés n'ayant pas les mêmes cultures et réligions
system-as-description;['organisation sociale', 'structure sociale', 'système social', 'strate sociale', 'structure', "l'organisation sociale", 'structures sociales'];Classification sociologique des sociétés humaines en fonction de leurs caractéristiques sociales, en particulier la stratification sociale
system-as-description;['féodalité', 'féodalisme', 'système féodal', 'féodal', 'féodale', 'société féodale', 'feodalite', 'feodalité', 'régime féodal', 'seigneurial', 'systeme feodal', 'époque féodale', 'mutation féodale', 'pouvoir féodal', 'droit féodal', 'seigneur féodal', 'état féodal'];Système politique au Moyen-Âge
system-as-description;['pouvoir judiciaire', 'magistrature', 'organisation judiciaire', 'judiciaire', 'système judiciaire', 'autorités judiciaires', 'judiciarisation', 'organisation juridictionnelle', 'justice', 'judicatoire', 'juge'];Pouvoir d'un État d'appliquer la loi
task;['batteur', 'batting', 'frappeur', 'batsman', 'cut', 'hook', 'pull', 'balayage inverse', 'batteurs', 'bâton', 'regard jambe'];Cricket
task;['batteur', 'batting', 'frappeur', 'batsman', 'cut', 'hook', 'pull', 'balayage inverse', 'batteurs', 'bâton', 'regard jambe'];position offensive en cricket
task;['comportement', 'conduite', 'comportements', "comportement de l'homme", 'comportementales', 'mauvaise conduite'];Manière de se comporter. attitude
task;['insulte', 'injure', 'insultant', 'insulter', 'insultante', 'insulte religieuse', 'insultes', 'affront', 'compliment équivoque'];État, expression ou comportement considéré comme dégradant ou offensif
task;['slam dunk', 'dunk'];Action de jeu au basket-ball
task;['bras roulé', 'balle courbe', 'hook shot', 'skyhook', 'hameçon', 'crochet tir'];Technique de tir en suspension utilisée au basket-ball.
task;['finger roll', 'rouleau doigt'];variante du double-pas (layup), qui consiste à amener la balle vers le panier en la faisant rouler sur le bout des doigts.
task;['présence officielle au bâton', 'présences officielles au bâton', 'présence au bâton', 'au bâton', 'chauve-souris', 'chauves-souris', 'présences au bâton'];Statistique au baseball, notée AB
task;['soustraction', 'soustraire', '−', 'moins', 'signes plus et moins'];Opération basique de l''arithmétique
task;['multiplication', 'produit', 'fois', 'multiplier', 'times'];Opération mathématique
task;['casus belli'];Locution latine
task;['opération', 'opération mathématique', 'processus mathématique'];Processus visant à obtenir un résultat à partir d''un ou plusieurs objets appelés opérandes
task;['roque', 'o-o', '0-0-0', 'grand roque', 'o-o-o', 'petit roque', 'château', 'château-fort'];Déplacement spécial du roi et d'une des tours au jeu d'échecs
task;['combinaison', 'sélection', 'parmi', 'combinaison en mathématiques', 'combinaisons'];Notion mathématique
task;['permutation', 'permutable', 'permutations'];Bijection d'un ensemble sur lui-même, formalisant l'idée de réarrangement d'objets
task;['ingénierie automobile', 'la technologie automobile'];Discipline de l'ingénierie qui représente une discipline d'ingénierie séparé
task;['addition', 'somme', 'ajout', 'additionner', 'ajouter', 'addition modulo', 'addition vectorielle', 'somme de deux vecteurs', 'terme mathématique', 'plus', 'sommation'];Opération mathématique
task;['exponentiation', 'exposant', "voir l'article puissance", 'involution'];Opération binaire non commutative
taxonomic-collection;['nombre grammatical', 'nombre', 'cheptel', 'numéro', 'proportion', 'paucal'];Trait grammatical caractérisant certains lemmes comme les noms et adjectifs, les pronoms ainsi que les verbes
taxonomic-collection;['temps', 'temps grammatical', 'tendu'];Trait grammatical
taxonomic-collection;['aspect accompli/inaccompli', 'perfectif', 'parfait', 'accompli', 'aspect accompli', 'aspect inaccompli', 'inaccompli', 'aspect parfait', 'passé composé', 'tendue perfective'];Terme de grammaire
taxonomic-collection;['prétérit', 'passé simple', 'passé', 'passé défini'];Notion grammaticale
taxonomic-collection;['présent', 'indicatif présent', 'indicatif présent en français', 'present', "présent de l'indicatif", "présent de l'indicatif en français", 'cadeau', 'temps présent'];Temps de conjugaison
taxonomic-collection;['futur', 'futur simple', 'avenir'];Temps de conjugaison
taxonomic-collection;['syntagme nominal', 'locution nominale', 'phrase nominale', 'locutions nominales', 'nominal', 'syntagmes nominaux'];Locution désignant une chose figurative ou une personne et joue le rôle d'un nom simple, inclus dans son mot principal
taxonomic-collection;['malacostraca', 'malacostracés', 'malacostracé', 'malacostracea', 'sous-classe malacostracés'];Classe de crustacés
taxonomic-collection;['appendicularia', 'copelata', 'larvacea', 'appendiculaires', 'larvacé', 'larvacés', 'appendiculaire', 'classe larvacea'];Classe de tuniciers
taxonomic-collection;['possessif', 'génitif', 'cas possessif', 'forme possessive', 'pronom possessif', 'pronoms possessifs'];Cas grammatical
taxonomic-collection;['possessif', 'génitif', 'cas possessif', 'forme possessive', 'pronom possessif', 'pronoms possessifs'];Construction grammaticale marquant la possession
taxonomic-collection;['ablatif', 'ablatif en latin', 'cas ablatif'];Cas grammatical en latin
taxonomic-collection;['ablatif', 'ablatif en latin', 'cas ablatif'];Cas grammatical
taxonomic-collection;['locatif', 'cas locatif'];Cas grammatical
taxonomic-collection;['accusatif', 'cas accusatif', 'cas objet', 'cas oblique', 'cas régime', "cas l'objectif"];Cas grammatical
taxonomic-collection;['datif', 'cas datif', 'c.o.i.', "complément d'objet indirect", 'quatrième déclinaison', 'troisième déclinaison'];Cas grammatical du complément d'objet indirect ou second
taxonomic-collection;['infinitif', 'infinitif présent'];Forme non conjuguée d'un verbe
taxonomic-collection;['adjectif', 'nom adjectif', 'forme adjectivale', 'adjectival', 'adjective', 'valeur adjectivale', 'adjectif qualificatif', 'adjectif prédicat', 'adjectif épithète', 'adjectifs'];En grammaire, mot qui décrit la qualité ou la propriété d'un nom
taxonomic-collective;['sous-famille', 'subfamily', 'sous-familles'];Rang taxinomique pour la classification biologique
taxonomic-collective;['tribu', 'sous-tribu', 'tribu botanique', 'super-tribu'];Rang taxinomique pour la classification biologique
taxonomic-collective;['famille', 'famille biologique', 'famille botanique', 'familles', 'famille taxonomique'];Rang taxinomique pour la classification biologique
taxonomic-collective;['classe', 'classis', 'subter-classe', 'classes', 'infraclasse'];Rang taxinomique pour la classification biologique (entre l''embranchement et l''ordre)
taxonomic-collective;['sous-espèce', 'race', 'proles', 'subsp.', 'subspecies', 'sous-espèces', 'sousespèce', 'ssp.', 'espèce#sous-esp.c3.a8ce', 'sous-espèce nominale', 'ssp semences'];Rang taxinomique pour la classification biologique
taxonomic-collective;['sous-espèce', 'race', 'proles', 'subsp.', 'subspecies', 'sous-espèces', 'sousespèce', 'ssp.', 'espèce#sous-esp.c3.a8ce', 'sous-espèce nominale', 'ssp semences'];Concept biologique
taxonomic-collective;['taxon monotypique', 'monotypique', 'monospécifique', 'monotypisme', 'genre monotypique', 'polytypique', 'monotype'];Taxon contenant 1 seul taxon immédiatement inférieur
taxonomic-collective;['ordre', 'ordo', 'infraordre', 'parvorder', 'sous-ordre'];Rang taxinomique pour la classification biologique (entre la classe et la famille)
taxonomic-collective;['genre', 'genre botanique', 'genre biologique', 'genre zoologique', 'genus', 'groupe', 'genres', 'nom de genre'];Rang taxinomique pour la classification biologique
taxonomic-collective;['espèce', 'espèce animale', 'espèces', 'species', 'espece', 'especes', 'espèce biologique', 'espèce écologique', 'rang spécifique', "concept d'espèce phylogénétique", 'espèces animales', 'espèces biologiques'];Rang taxinomique pour la classification biologique
taxonomic-collective;['embranchement', 'phylum', 'phyla'];Rang taxinomique pour la classification biologique
taxonomic-collective;['canellaceae', 'canellacée', 'canellacées', 'famille canella', 'famille canellaceae'];Famille de plantes
taxonomic-collective;['casuarinaceae', 'casuarinacées', 'casuarinacée', 'famille casuarinaceae', 'sheoak'];Famille de plantes
taxonomic-collective;['darmera peltata', 'darmera', 'genre darmera', 'genre peltiphyllum', 'peltiphyllum'];Espèce de plantes
taxonomic-collective;['orontium', 'genre orontium'];Genre de plantes
taxonomic-collective;['olfersia', 'genre olfersia'];Genre d''insectes
taxonomic-collective;['aphyllanthe de montpellier', 'aphyllanthes monspeliensis', 'aphyllanthes', 'aphyllanthes genre'];Genre de plantes
taxonomic-collective;['dipogon', 'genre dipogon'];Genre de plantes
taxonomic-collective;['chardon béni', 'cnicus', 'chardon beni', 'cnicus benedictus', 'cnicaut béni', 'genre cnicus'];Espèce de plantes
taxonomic-collective;['sanguinaire du canada', 'sanguinaria', 'sanguinaria canadensis', 'genre sanguinaria'];Genre de plantes
taxonomic-collective;['pickeringia', 'pickeringia montana', 'genre pickeringia'];Genre de plantes
taxonomic-collective;['platystemon', 'genre platystemon'];Genre de plantes
taxonomic-collective;['bignonia', 'genre bignonia'];Genre de plantes
taxonomic-collective;['petteria', 'genre petteria'];Genre de plantes
taxonomic-collective;['parrotiopsis', 'genre parrotiopsis'];Genre d''arbustes ou de petits arbres
taxonomic-collective;['hunnemannia', 'hunnemannia fumariifolia', 'genre hunnemania'];Genre de plantes
taxonomic-collective;['sarcobatus', 'genre sarcobatus'];Genre de plantes
taxonomic-collective;['lablab'];Genre de plantes
taxonomic-collective;['streptosolen jamesonii', 'genre streptosolen', 'streptosolen'];Espèce de plantes
taxonomic-collective;['romneya', 'genre romneya'];Genre de plantes
taxonomic-collective;['laurier rose', 'laurier-rose', 'nerium', 'nerium oleander', 'lauraine', 'nérion', 'oléandre', 'genre nerium'];espèce de plantes
taxonomic-collective;['parasitaxus usta', 'parasitaxus ustus', 'parasitaxus', 'genre parasitaxus'];Espèce de plantes
taxonomic-collective;['saxegothaea conspicua', 'saxegothaea', 'genre saxe-gothea', 'genre saxegothea', 'saxe-gothea', 'saxegothea'];Genre de plantes
taxonomic-collective;['anemonella thalictroides', 'thalictrum thalictroides', 'anemonella', 'anemonella genre'];Espèce de plantes
taxonomic-collective;['onoclea', 'genre onoclea'];Genre de fougère de la famille des Onocleaceae
taxonomic-collective;['spartium junceum', 'spartium', "faux genêt d'espagne", 'genêtière', 'ginestière', 'spartier', 'spartier faux jonc', 'spartier à tiges de jonc', 'spartion', 'genre spartium', "genêt d'espagne"];Espèce de plantes
taxonomic-collective;['adenium', 'rose du désert', 'adenium obesum', 'baobal chacal', 'rose du desert', 'baobab chacal', 'kudu', 'sabi star', 'genre adenium'];Genre de plantes
taxonomic-collective;['comptonia peregrina', 'comptonia', 'genre comptonia'];Genre de plantes
taxonomic-collective;['hugueninia', 'genre hugueninia'];Genre de champignons
taxonomic-collective;['lindheimera', 'genre lindheimera'];Genre de plantes
taxonomic-collective;['heteromeles', 'toyon', 'heteromeles genre'];Genre de plantes
taxonomic-collective;['lophosoria', 'genre lophosoria'];Genre de plantes
taxonomic-collective;['stylomecon heterophylla', 'genre stylomecon', 'stylomecon'];Genre de plantes
taxonomic-collective;['anemopsis', 'genre anemopsis'];Genre de plantes
taxonomic-collective;['microstrobos', 'genre microstrobos'];Genre de plantes
taxonomic-collective;['carmichaelia', 'chordospartium', 'notospartium', 'genre chordospartium'];Genre de plantes
taxonomic-collective;['carmichaelia', 'chordospartium', 'notospartium', 'genre chordospartium'];Genre de plantes
taxonomic-collective;['carmichaelia', 'chordospartium', 'notospartium', 'genre chordospartium'];Genre de plantes
taxonomic-collective;['anadenanthera', 'genre anadenanthera'];Genre de plantes
taxonomic-collective;['érable argenté', 'acer saccharinum', 'erable argente', 'erable argenté', 'érable lacinié', "l'érable argenté"];Espèce de végétal du genre Acer
taxonomic-collective;['ulmaceae', 'ulmacées', 'ulmacée', 'famille des ulmacées', 'famille orme'];Famille de plantes
taxonomic-collective;['citrullus', 'genre citrullus'];Genre de plantes
taxonomic-collective;['symplocaceae', 'symplocacée', 'symplocacées', 'famille sweetleaf', 'famille symplocaceae'];Famille de plantes
taxonomic-collective;['primulaceae', 'primulacée', 'primulacées', "famille d'onagre", 'famille primulaceae'];Famille de plantes
taxonomic-collective;['dictamnus', 'fraxinelle', 'dictamnus albus', 'dictame blanc', 'genre dictamnus'];Genre de plantes
taxonomic-collective;['dictamnus', 'fraxinelle', 'dictamnus albus', 'dictame blanc', 'genre dictamnus'];Espèce végétale du genre Dictamnus
taxonomic-collective;['capparaceae', 'capparidaceae', 'capparacées', 'capparacée', 'capparidacée', 'famille capparidaceae', 'famille câpres'];Famille de plantes
taxonomic-collective;['bryaceae', 'famille bryaceae'];Famille de mousses
taxonomic-collective;['zamiaceae', 'zamiacée', 'zamiacées', 'famille zamia', 'famille zamiaceae'];Famille de plantes
taxonomic-collective;['rutaceae', 'rutacées', 'rutacée', 'famille des rutacées', 'famille rue'];Famille de plantes dicotylédones
taxonomic-collective;['haloragaceae', 'haloragidaceae', 'haloragacées', 'haloragacée', 'halorrhagidaceae', 'haloragidacées', 'famille haloragaceae', 'famille haloragidaceae', 'myriophylle famille'];Famille de plantes
taxonomic-collective;['scrophulariaceae', 'scrofulariacée', 'scrofulariacées', 'scrophulariacée', 'scrophulariacées', 'famille digitale', 'famille scrofulaire', 'famille scrophulariaceae'];Famille de plantes
taxonomic-collective;['nyssaceae', 'nyssacées', 'nyssacée', 'aigre-gum famille', 'famille nyssaceae', 'famille tupelo'];Famille de plantes
taxonomic-collective;['lycopodiaceae', 'lycopodiacées', 'lycopodiacée', 'famille clubmoss', 'famille lycopodiaceae'];Famille de plantes
taxonomic-collective;['zeidae', 'zeidé', 'zéidé', 'famille zeidae'];Famille de poissons
taxonomic-collective;['pholidae', 'famille pholidae', 'famille pholididae'];Famille de poissons
taxonomic-collective;['bothidae', 'bothidés', 'famille bothidés'];Famille de poissons
taxonomic-collective;['nyctaginaceae', 'nyctaginacée', 'nyctaginacées', 'allioniaceae', 'famille allioniaceae', 'famille nyctaginaceae', 'quatre heures de la famille'];Famille de plantes
taxonomic-collective;['hygrophoraceae', 'hygrophoracée', 'hygrophoracées', 'famille hygrophoracées'];Espèce de champignons
taxonomic-collective;['fistulinaceae', 'fistulinacées', 'fistulinacée', 'famille fistulinaceae'];Famille de champignons
taxonomic-collective;['rhizopogonaceae', 'famille rhizopogonaceae'];Famille de champignons
taxonomic-collective;['sclerodermataceae', 'sclérodermatacée', 'famille sclerodermataceae'];Famille de champignons
taxonomic-collective;['parmeliaceae', 'famille parmeliaceae'];Famille de champignons
taxonomic-collective;['dugongidae', 'dugongidé', 'famille dugongidae'];Famille de mammifères aquatiques
taxonomic-collective;['juncaginaceae', 'scheuchzeria palustris', 'scheuchzeriaceae', 'juncaginacée', 'juncaginacées', 'maundia', 'scheuchzériacée', 'scheuchzériacées', 'tetroncium', 'scheuchzeria', 'scheuchzérie des marais', 'famille juncaginaceae', 'famille scheuchzeriaceae', 'troscart famille'];espèce végétale
taxonomic-collective;['juncaginaceae', 'scheuchzeria palustris', 'scheuchzeriaceae', 'juncaginacée', 'juncaginacées', 'maundia', 'scheuchzériacée', 'scheuchzériacées', 'tetroncium', 'scheuchzeria', 'scheuchzérie des marais', 'famille juncaginaceae', 'famille scheuchzeriaceae', 'troscart famille'];Famille de plantes
taxonomic-collective;['strigidae', 'strigidés', 'strigidé', 'asioninae', 'surniinae', 'famille des strigidae', 'hibou typique', 'hibou vrai'];Famille d'oiseaux
taxonomic-collective;['pinaceae', 'pinacée', 'pinacées', 'abiétacée', 'abiétacées', 'famille des pinacées', 'famille des pins'];Famille de végétaux
taxonomic-collective;['euphorbiaceae', 'euphorbiacées', 'euphorbiacée', 'famille des euphorbes', 'famille des euphorbiacées'];Famille de plantes
taxonomic-collective;['ranunculaceae', 'ranunculacées', 'renonculacées', 'ranunculacée', 'renonculacée', 'famille des renonculacées', 'famille des renoncules', 'famille renoncule'];Famille de plantes
taxonomic-collective;['psocidae', 'famille psocidae'];Famille d'insectes
taxonomic-collective;['halictidae', 'abeille de la sueur', 'abeille à sueur', 'halicte', 'halictes', 'famille halictidae'];Famille de petites abeilles
taxonomic-collective;['melastomataceae', 'mélastomatacée', 'mélastomatacées', 'famille melastomaceae', 'famille melastomataceae', 'melastomaceae', 'pré-beauty famille'];Famille de plantes
taxonomic-collective;['aceraceae', 'acéracée', 'acéracées', 'famille aceraceae', 'famille des érables'];Famille de plantes
taxonomic-collective;['bromeliaceae', 'broméliacées', 'broméliacée', 'bromeliacées', 'broméliaceae', "famille de l'ananas", 'famille des broméliacées'];Famille de plantes
taxonomic-collective;['vitaceae', 'vitidaceae', 'ampelidaceae', 'vitacée', 'vitacées', 'famille des vitaceae', 'famille vigne'];Famille de plantes
taxonomic-collective;['oxalidaceae', 'oxalidacées', 'oxalidacée', 'famille oxalidaceae', 'oseille famille'];Famille de plantes
taxonomic-collective;['groseiller', 'groseillier', 'ribes', 'gadelle', 'groseilles', 'grossularia', 'guedelle', 'raisin de mars', 'groseiller à grappes', 'groseilliers', 'genre ribes'];Genre d'arbustes
taxonomic-collective;['lecanoraceae', 'famille lecanoraceae'];Famille de champignons
taxonomic-collective;['clitocybe', 'clitocybes', 'genre clitocybe'];Genre de champignons
taxonomic-collective;['cepphus', 'genre cepphus'];Genre d''oiseaux
taxonomic-collective;['echium', 'vipérine', 'vipérines', 'genre echium'];Genre de plantes
taxonomic-collective;['ambloplites', 'ambloplites genre'];Genre de poissons
taxonomic-collective;['centrosema', 'genre centrosema'];Genre de plantes
taxonomic-collective;['lagidium', 'genre lagidium'];Genre de mammifères
taxonomic-collective;['tilapia', 'berri rouge', 'tilapia/saint-pierre', 'genre tilapia'];Nom commun de centaines d'espèces de la famille Cichlidae
taxonomic-collective;['veratrum', 'vératre', 'vérâtre', 'vératres', 'genre veratrum'];Genre de plantes
taxonomic-collective;['todea', 'genre todea'];Genre de plantes
taxonomic-collective;['astronium', 'astronium genre'];Genre de plantes
taxonomic-collective;['onopordum', 'genre onopordon', 'genre onopordum', 'onopordon'];Espèce de plantes
taxonomic-collective;['chaenopsis', 'chaenopsis genre'];Genre de poissons
taxonomic-collective;['rypticus', 'genre rypticus'];Genre de poissons
taxonomic-collective;['monardella', 'genre monardella'];Genre de plantes
taxonomic-collective;['pseudocolus', 'genre pseudocolus'];Genre de champignons
taxonomic-collective;['neohygrophorus', 'genre neohygrophorus'];Genre de champignons
taxonomic-collective;['mutinus', 'genre mutinus'];Genre de champignons
taxonomic-collective;['nigroporus', 'genre nigroporus'];Genre de champignons
taxonomic-collective;['truncocolumella', 'genre truncocolumella'];Genre de champignons
taxonomic-collective;['wynnea', 'genre wynnea'];Genre de champignons
taxonomic-collective;['gastroboletus', 'genre gastroboletus'];Espèce de champignons
taxonomic-collective;['tilletia', 'genre tilletia'];Genre de champignons
taxonomic-collective;['radiigera', 'genre radiigera'];Genre de champignons
taxonomic-collective;['lentinus', 'genre lentinus'];Genre de champignons
taxonomic-collective;['eucinostomus', 'genre eucinostomus'];Genre de poissons
taxonomic-collective;['muhlenbergia', 'genre muhlenbergia'];Genre de plantes
taxonomic-collective;['cenchrus', 'genre cenchrus'];Genre de plantes
taxonomic-collective;['phalaris', 'genre phalaris'];Genre de plantes
taxonomic-collective;['penelope', 'penelope genre', 'pénélope'];Genre d''oiseaux
taxonomic-collective;['ricin commun', 'ricinus communis', 'ricinus', 'genre ricinus', 'graines de ricin'];Espèce de plantes
taxonomic-collective;['acalypha', 'ricinocarpus', 'genre acalypha'];Genre de plantes
taxonomic-collective;['mertensie', 'mertensia', 'mertensies', 'genre mertensia'];Genre de plantes
taxonomic-collective;['antirrhinum', 'genre antirrhinum', 'muflier'];Genre de plantes
taxonomic-collective;['hexanchus', 'hexanche', 'hexanchidae', 'genre hexanchus'];Genre de poissons
taxonomic-collective;['lamna', 'genre lamna'];Genre de poissons
taxonomic-collective;['euproctis', 'cataphractes', 'dulichia', 'euproctilla', 'euproctillina', 'euproctillopsis', 'knappetra', 'porthesia', 'pygetera', 'sphrageidus', 'tearosoma', 'viettema', 'genre euproctis'];Genre d''insectes
taxonomic-collective;['metroxylon', 'genre metroxylon'];Genre de plantes
taxonomic-collective;['poecilocapsus', 'genre poecilocapsus'];Genre d''insectes
taxonomic-collective;['omphalotus', 'omphalote', 'lampteromyces', 'monodelphus', 'omphalotes', 'genre omphalotus'];Genre de champignons
taxonomic-collective;['pennisetum', 'genre pennisetum'];Genre de plantes
taxonomic-collective;['araneus', 'aranea', 'amamrotypus', 'atea', 'cambridgepeira', 'cathaistela', 'conaranea', 'conepeira', 'neosconella', 'genre aranea', 'genre araneus'];Genre d'araignées de la famille des Araneidae
taxonomic-collective;['perdix', 'genre perdix'];Genre d''oiseaux
taxonomic-collective;['cnidoscolus', 'victorinia', 'cnidolscolus', 'genre cnidoscolus'];Genre de plantes
taxonomic-collective;['padda', 'genre padda'];Genre d'oiseaux
taxonomic-collective;['cacatua', 'cacatuini', 'genre cacatua', 'genre kakatoe', 'kakatoe'];Genre d''oiseaux
taxonomic-collective;['chlamydera', 'genre chlamydera'];Genre d''oiseaux
taxonomic-collective;['euthynnus', 'thonine', 'genre euthynnus'];Genre de poissons
taxonomic-collective;['prunus', 'genre prunus', 'persica'];Genre de plantes
taxonomic-collective;['mercuriale', 'mercurialis', 'genre mercurialis'];Genre de plantes
taxonomic-collective;['elanus', 'élanion', 'elanus genre', 'genre elanus'];Genre d''oiseaux
taxonomic-collective;['neomys', 'musaraigne aquatique', 'musaraignes aquatiques', 'musaraignes de miller', 'souris d’eau', 'la musaraigne aquatique', 'genre neomys'];Genre de mammifères
taxonomic-collective;['peuplier', 'populus', 'pouple', 'peupliers', 'genre populus'];Genre d'arbres
taxonomic-collective;['diospyros', 'maba', 'genre diospyros'];Genre de plantes
taxonomic-collective;['myrcia', 'myrciaria', 'genre myrciaria'];Genre de plantes
taxonomic-collective;['myroxylon', 'baumier du pérou', 'genre myroxylon'];Espèce de plantes
taxonomic-collective;['tamus', 'dioscorea', 'igname', 'tamier commun', 'genre tamus'];Genre de plantes
taxonomic-collective;['tamus', 'dioscorea', 'igname', 'tamier commun', 'genre tamus'];Genre de plantes
taxonomic-collective;['fétuque', 'festuca', 'fetuque', 'fétuques', 'genre festuca'];Genre de plantes
taxonomic-collective;['polistes', 'poliste', 'polistes genre'];Genre d'insectes
taxonomic-collective;['clade', 'clades'];Groupe monophylétique d'organismes vivants
taxonomic-collective;['austrotaxus', 'austrotaxus spicata', 'genre austrotaxus'];Genre de plantes
taxonomic-collective;['ophrys', 'genre ophrys'];Genre de plantes
taxonomic-collective;['érable plane', 'faux sycomore', 'plane', 'plaine', 'érable platane', 'acer platanoides', 'érable de norvège', 'erable de norvège', 'erable plane', 'iseron', 'main-découpée', "l'érable de norvège"];Espèce d'arbres
taxonomic-collective;['andrenidae', 'abeille des sables', 'andrénidé', 'andrènidés', 'andrène', 'famille andrenidae'];Famille d'abeilles
taxonomic-collective;['fabaceae', 'légumineuses', 'fabacées', 'leguminosae', 'fabacé', 'fabacée', 'legumineuse', 'légumineuse', 'légumineux', 'mimosacées', 'papilionaceae', 'papilionacée', 'papilionacées', 'famille des pois', 'famille des fabacées', 'famille des légumineuses'];Famille de plantes des Fabacées
taxonomic-collective;['pluteus', 'plutée', 'champignons toit', 'genre pluteus'];Genre de champignons
taxonomic-collective;['phoenix', 'phénix', 'genre phoenix'];Genre de palmiers
taxonomic-collective;['ascomycota', 'ascomycète', 'ascomycètes', 'ascomycetes', 'ascomycotina', 'ascomycotina subdivision', 'champignons sac', 'subdivision ascomycota'];Embranchement du règne des champignons
taxonomic-collective;['euterpe', 'genre euterpe'];Genre de plantes
taxonomic-collective;['groenlandia', 'groenlandia densa', 'groenlandie dense', 'potamot dense', 'genre groenlandia'];Genre de plantes
taxonomic-collective;['roystonea', 'genre roystonea'];Genre de plantes
taxonomic-collective;['dactylis', 'dactyle', 'dactyle pelotonné', "cock's-pied", 'genre dactylis'];Genre de plantes
taxonomic-collective;['ptérodactyle', 'pterodactylus', 'pterodactyle', 'pterodactylidae', 'genre pterodactylus'];Reptile volant européen du Jurassique supérieur
taxonomic-collective;['scincella', 'paralipinia', 'genre scincella'];Genre de reptiles
taxonomic-collective;['cornaceae', 'cornacées', 'cornacée', 'famille cornaceae', 'famille cornouiller'];Famille de plantes
taxonomic-collective;['pastinaca', 'genre pastinaca'];Genre de plantes
taxonomic-collective;['castanospermum australe', 'castanospermum', "châtaignier d'australie", 'lucky bean', 'genre castanospermum'];Genre de plantes
taxonomic-collective;['enterobacter aerogenes', 'klebsiella aerogenes', 'klebsiella mobilis', 'aerogenes aerobacter'];Espèce de bactéries
taxonomic-collective;['tropaeolum', 'capucine', 'genre tropaeolum'];Genre de plantes
taxonomic-collective;['syzygium', 'genre syzygium'];Genre de plantes
taxonomic-collective;['polemoniaceae', 'polémoniacée', 'polémoniacées', 'phlox family', 'famille phlox', 'famille polemoniaceae'];Famille de plantes
taxonomic-collective;['linaceae', 'linacées', 'linacée', 'famille de lin', 'famille linaceae'];Famille de plantes
taxonomic-collective;['boraginaceae', 'boraginacée', 'boraginacées', 'borraginacée', 'boragacées', 'famille de bourrache', 'famille des boraginaceae'];Famille de plantes dicotylédones
taxonomic-collective;['percidae', 'percidés', 'famille percidae'];Famille de poissons
taxonomic-collective;['tragelaphus', 'limnotragus', 'tragelaphini', 'tragelaphos', 'koudou', 'genre strepsiceros', 'genre tragelaphus', 'strepsiceros'];Genre de mammifères
taxonomic-collective;['khaya', 'genre khaya'];Genre de plantes
taxonomic-collective;['alligatoridae', 'alligatoridés', 'alligatoridé', 'famille alligatoridae'];Famille de reptiles
taxonomic-collective;['faboideae', 'papilionoideae', 'faboïdées', 'papilionoidées', 'papilionoideae sous-famille'];Sous-famille de plantes
taxonomic-collective;['nicotiana', 'genre nicotiana'];Genre de plantes
taxonomic-collective;['sabal', 'genre sabal'];Genre de plantes
taxonomic-collective;['limnobium', 'genre limnobium'];Genre de plantes
taxonomic-collective;['melospiza', 'genre melospiza'];Genre d''oiseaux
taxonomic-collective;['aframomum', 'genre aframomum'];Genre de plantes
taxonomic-collective;['sisyridae', 'famille sisyridae'];Famille d'insectes
taxonomic-collective;['gerridae', "patineur d'eau", 'gerris lacustris', "araignée d'eau", 'gerridés', "araignées d'eau", 'famille gerrididae', 'gerrididae'];Famille d'insectes
taxonomic-collective;['melophagus', 'melophagus genre'];Genre d''insectes
taxonomic-collective;['taraxacum', 'dent-de-lion', 'pissenlit', 'couronne de moine', 'dent de lion', 'fausse chicorée', "florin d'or", 'laitue de chien', 'pisse au lit', 'genre taraxacum', 'pissenlits'];Genre de plantes
taxonomic-collective;['pipturus', 'genre pipturus'];Genre de plantes
taxonomic-collective;['algeripithecus', 'genre algeripithecus'];Genre de mammifères
taxonomic-collective;['pauropoda', 'pauropodes', 'pauropode', 'classe pauropoda'];classe d'arthropodes
taxonomic-collective;['sapindales', 'rutales', 'sapindales ordre'];Ordre de plantes dicotylédones
taxonomic-collective;['gymnophiona', 'apoda', 'gymnophiones', 'apodes', 'cécilie', 'gymnophione', 'amphibien apode', 'afin gymnophiones'];Ordre d'amphibiens
taxonomic-collective;['proboscidea', 'proboscidiens', 'proboscidien', 'afin proboscidea'];Ordre de gros mammifères
taxonomic-collective;['hymenoptera', 'hyménoptères', 'hymenoptère', 'hyménoptère', 'ordre des hyménoptères'];Ordre d'insectes
taxonomic-collective;['neuroptera', 'névroptères', 'neuroptère', 'nevroptera', 'névroptère', 'planipenne', 'hemerobiiformia', 'myrmeleontiformia', 'neuropterida', 'neuroptères', 'nevrorthiformia', 'afin neuroptera', 'chrysopes'];Ordre d'insectes
taxonomic-collective;['geraniales', 'géraniales', 'geraniales ordre'];Ordre de plantes dicotylédones
taxonomic-collective;['taxon', 'taxa', 'taxons', 'catégorie taxonomique', 'groupe taxonomique'];Entité conceptuelle de la taxinomie regroupant des organismes vivants possédant certains caractères communs
