abstract-quality;['osobnosť'];Osobnosť definícií existuje okolo 110.
region;['karát', 'karátového', 'kt'];Karát je staršie označenie miery rýdzosti zlata a platinových zliatin.
region;['radián', 'radiánoch'];Radián je v sústave SI jednotka rovinného uhla.
region;['steradián'];Steradián je v sústave SI jednotka priestorového uhla.
region;['abscisa'];Abscisa je pri zakresľovaní prvých dvoch rozmerov pravouhlej sústavy súradníc vodorovná os súradníc.
region;['ordináta', 'koordinovať'];Ordináta je pri zakresľovaní prvých dvoch rozmerov pravouhlej sústavy súradníc zvislá os súradníc.
region;['deň', 'dvadsaťštyri hodinový interval', 'dvadsaťštyri hodín', 'stredný slnečný deň', 'slnečné deň', '24-hodinová interval', 'dní', 'dvadsať-čtyřihodiny', 'dvadsať-štyri hodín doba', 'znamená slnečné deň'];Deň je jednotka času, ktorej presný význam závisí od kontextu.
region;['144', 'veľtucet'];Veľtucet je synonymný výraz pre sto štyridsať štyri.
regulation;['zákony zachovania', 'zákon zachovania'];Zákony zachovania sú zákony vyjadrujúce časovú nemennosť tzv.
regulation;['zákon zachovania hmotnosti', 'zákon zachovania hmoty', 'zachovanie hmoty', 'zachovaní hmoty'];Zákon zachovania hmotnosti v roku 1748 ako prvý definoval ruský chemik Michail Vasilievič Lomonosov a nezávisle od neho v roku 1774 francúzsky chemik Antoine Laurent Lavoisier.
regulation;['božský zákon'];Božský zákon je večný, absolútne platný zákon, ktorý ako jediný si nárokuje dosiahnuť vyslovené uznanie neproblematickým spôsobom.
regulation;['pravidlo', 'norma'];Pravidlo je kognitívny významový útvar, ktorý je výsledkom poznania spôsobu realizácie konania a je vyjadrovaný v podobe návodu, predpisu alebo normy.
regulation;['akčná veličina'];Akčná veličina je výstupná veličina regulátora a súčasne vstupná veličina regulovanej sústavy.
regulation;['prirodzené právo', 'zákon', 'prirodzený zákon', 'právo', 'prirodzeného práva'];Prirodzené právo je právo, ktoré vyplýva z ľudskej prirodzenosti a zo vzťahov medzi ľuďmi, nezávisle od akéhokoľvek zákonodarstva.
regulation;['pravica'];Pravica je vágne označenie politických skupín, najmä politických strán a politických smerov.
regulation;['ľudské práva', 'ľudské právo', 'porušovanie ľudských práv', 'porušovania ľudských práv', 'univerzálnych ľudských práv', 'ľudských práv'];Ľudské práva sú dané práva, ktoré prislúchajú každému človeku od narodenia.
regulation;['zákon zachovania energie', 'prvá termodynamická veta', 'prvý termodynamický zákon', 'zákon zachovania mechanickej energie', 'prvý zákon termodynamiky', 'zachovania energie', 'zákona o zachovaní energie'];Zákon zachovania energie vo fyzike hovorí, že v izolovanej fyzikálnej sústave je celková energia nemenná, čiže nie je funkciou času.
regulation;['zákon zachovania energie', 'prvá termodynamická veta', 'prvý termodynamický zákon', 'zákon zachovania mechanickej energie', 'prvý zákon termodynamiky', 'zachovania energie', 'zákona o zachovaní energie'];Prvá termodynamická veta alebo prvý termodynamický zákon je vo fyzike nasledujúci zákon: Znenie: formulácia 1: Každá fyzikálna sústava má stavovú veličinu nazývanú vnútorná energia, ktorá sa mení len prostredníctvom výmeny energie s okolím formulácia 2: ΔU = ΔQ + Δ, kde: ΔU: zmena vnútornej energie sústavy ΔQ: zmena tepla sústavy Δ: vykonaná/spotrebovaná objemová práca formulácia 3: Nie je možné skonštruovať perpetuum mobile prvého druhu == Aplikácia == Prvý zákon termodynamiky môžeme aplikovať na deje prebiehajúce v uzavretých sústavách.
regulation;['právo na život'];Právo na život je jedno z osobnostných práv a morálna zásada, vychádzajúca z presvedčenia, že každá ľudská bytosť má právo na život a najmä, že by nemala byť nespravodlivo zabitá inou ľudskou bytosťou.
relation;['párne číslo', 'nepárne číslo', 'nepárny', 'párne a nepárne čísla', 'párne čísla', 'párny', 'nepárne čísla', 'parity'];Párne číslo je každé prirodzené číslo, ktoré je celočíselným násobkom čísla 2.
relation;['exponenciálna funkcia', 'exponenciála', 'exponenciálnej funkcie', 'exponenciálny'];Exponenciálna funkcia je funkcia daná rovnicou: y = a x {\displaystyle y=a^{x}} kde a je reálna konštanta, a > 0, a ≠ 1.
relation;['funkcia', 'zobrazenie', 'matematická funkcia', 'jednoznačné zobrazenie', 'matematické funkcie', 'mapa', 'mapovanie', 'single-cenil funkciu', 'teórii funkcií'];Zobrazenie je predpis, ktorý priraďuje každému prvku jednej množiny práve jeden prvok druhej množiny.
relation;['prístavok', 'apozíciu'];Prístavok alebo apozícia je podľa rôznych názorov: menná polovetná konštrukcia substantívny zhodný prívlastok, ktorý je voľne pripojený a vyjadruje dodatočne takmer samostatnú myšlienku syntaktický vzťah viacerých vetných členov označujúcich tú istú predstavu či pojem viacerými spôsobmiChápanie prístavku ako zhodného prívlastku je bežné iba na školách, inde prevažujú iné definície.
relation;['funkcia', 'zobrazenie', 'matematická funkcia', 'jednoznačné zobrazenie', 'matematické funkcie', 'mapa', 'mapovanie', 'single-cenil funkciu', 'teórii funkcií'];Zobrazenie je predpis, ktorý priraďuje každému prvku jednej množiny práve jeden prvok druhej množiny.
relation;['studená vojna', 'studenej vojny'];Studená vojna označuje druh vojny, v ktorom znepriatelené strany nebojujú proti sebe otvorene.
relation;['neutrálny prvok', 'element identity', 'funkcia identity', 'identita operátor', 'identity mapovanie', 'identity prevádzkovateľa', 'transformácie identity'];Nech je daná binárna operácia ∘ {\displaystyle \circ } na množine M. Hovoríme, že prvok e ∈ M {\displaystyle e\in M} je jej neutrálnym prvkom, ak platí: ∀ a ∈ M : a ∘ e = a = e ∘ a {\displaystyle \forall a\in M:a\circ e=a=e\circ a}.
relation;['nadmorská výška', 'výška', 'absolútna výška', 'geopotenciálu výšky', 'nadmorských výškach', 'vysokej nadmorskej výške'];Nadmorská výška je zvislá vzdialenosť určitého miesta na zemi k hladine niektorého mora.
relation;['goniometrická funkcia', 'trigonometrická funkcia', 'goniometrické funkcie', 'funkcia tangent', 'kruhový funkcie'];Goniometrická funkcia v matematike je termín používaný pre jednu zo šiestich funkcií veľkosti uhla používaných pri skúmaní trojuholníkov a periodických javov.
relation;['hladina mora', 'morská hladina', 'úroveň mora', 'stredná hladina mora', 'amsl', 'eustasy', 'eustatic', 'hladiny morí', 'morom', 'nad hladinou mora', 'nad morom', 'sealevel'];Hladina mora
relation;['kotangens'];Kotangens je jedna z goniometrických funkcií.
relation;['sekans'];Sekans je goniometrická funkcia, ktorá každému reálnemu číslu x {\displaystyle x}, pre ktoré cos x ≠ 0 {\displaystyle \cos \.x\neq 0}, priradí číslo s e c x = 1 cos ⁡ x {\displaystyle sec\.x={\frac {1}{\cos x}}}, kde x {\displaystyle x} je uhol.
relation;['ložisko', 'ložiská'];Ložisko je strojárska súčiastka ktorá slúži na prenos síl medzi pohyblivými a pevnými časťami mechanického stroja, pričom je vyrobené tak, aby minimalizovalo trenie vznikajúce medzi pohyblivými a pevnými časťami stroja.
relation;['sever', 'odtiaľ priamo na sever', 'severnej'];Sever je jedna zo svetových strán.
relation;['juh', 'južným smerom', 'priamo na juh'];Juh je jedna zo svetových strán.
relation;['východ', 'na východ', 'priamo na východ'];Východ je jedna zo svetových strán.
relation;['vlnová dĺžka', 'subwavelength', 'vlnovej dĺžke'];Vlnová dĺžka je vzdialenosť medzi opakujúcimi sa periódami vlnenia.
relation;['ohnisková vzdialenosť', 'fokus'];Ohnisková vzdialenosť je vo fotografii kolmá vzdialenosť prvej šošovky alebo všeobecne člena optickej sústavy od matnice.
relation;['rázvor'];Rázvor je parameter vozidiel, označujúci vzdialenosť stredov predných a zadných kolies.
relation;['inverzná funkcia', 'inverzné zobrazenie', 'inverznej funkcie', 'prostá funkcia'];Inverzné zobrazenie alebo inverzná funkcia k nejakému zobrazeniu f : A → B {\displaystyle f:A\rightarrow B} priraďuje prvkom množiny B prvky z množiny A, teda priraďuje obrazom zobrazení f ich vzory.
relation;['sklon', 'smernica priamky', 'spád', 'stúpanie', 'svah', 'smernica', 'gradient'];Smernica priamky je parameter k v smernicovom tvare rovnice priamky
relation;['parazitizmus', 'cudzopasníctvo', 'cudzopasník', 'cudzopasenie', 'parazitovanie', 'parazitstvo', 'autoinfection', 'ektoparazitmi', 'endoparasites', 'necrotrophic', 'parazitizmu', 'parazitujú', 'parazity', 'príživníctva'];Parazitizmus môže znamenať aj príživníctvo v sociálnom zmysle, pozri príživníctvo.Parazitizmus je vzťah, v ktorom jeden organizmus, tzv.
relation;['symbióza', 'symbiont', 'symbiontov', 'mutualismus', 'biotrophic', 'symbiotické', 'symbiotický vzťah', 'symbióze'];Symbióza znamená: v užšom zmysle: formu vzájomného vzťahu organizmov, spočívajúcu v obojstranne výhodnom spolužití v oblasti ochrany, výživy a podobne
relation;['modalita', 'spôsob', 'slovesný způsob', 'nálady'];Modalita alebo modálnosť je v jazykovede spôsob vyjadrovania vzťahu, postoja hovoriaceho k deju, vzťah obsahu výpovede ku skutočnosti v chápaní hovoriaceho.
relevant-part;['pixel', 'obrazový prvok', 'megapixel', 'megapixelov', 'obrázok element', 'pel', 'pixelov', 'sub-pixel', 'subpixel'];Obrazový prvok alebo pixel
relevant-part;['van allenove radiačné pásy', 'van allenove pásy', 'radiačné pásy', 'van allenov radiačný pás', 'van allenove pásy žiarenia', 'van allen pás', 'radiačnej pás', 'van allen pásu', 'van allenov radiačnej pásy'];Van Allenove radiačné pásy alebo len radiačné pásy sú oblasti v okolí planéty, v ktorých je zachytené korpuskulárne žiarenie.
relevant-part;['slnečná škvrna', 'slnečné škvrna', 'slnečné škvrny', 'slnečných škvŕn'];Slnečná škvrna je tmavé miesto vo fotosfére Slnka.
relevant-part;['kľučka', 'doorhandle', 'dverné gombík', 'kľučke', 'kľučky', 'kľučky dverí'];Kľučka je mechanické zariadenie slúžiace na zatváranie a otváranie dverí, okien a iných zaklápacích mechanizmov.
relevant-part;['listeň', 'hypofyl', 'bract', 'bracteole', 'involucral bract', 'listene'];Listeň alebo hypofyl je metamorfovaný list, z ktorého pazuchy vyrastajú kvety alebo vetvy súkvetia.
relevant-part;['koža', 'pokožka', 'osemenia', 'cutis', 'kožné', 'šupiek'];Koža (lat.
relevant-part;['prídavná látka v potravinách', 'aditívne látky v potravinách', 'potravinárske aditívum', 'aditívum v potravinách', 'potravinová prídavná látka', 'potravinová prísada', 'potravinové aditíva', 'potravinové aditívum', 'potravinárska prídavná látka', 'potravinárska prísada', 'potravinárske aditíva', 'prídavná látka do potravín', 'plnidlo', 'potravinárske prídavné látky', 'umelé aditívum'];Prídavná látka v potravinách je "taká zložka potraviny, ktorá sa spravidla nepoužíva samostatne ako potravina ani ako potravinová zložka, a ktorá sa zámerne pridáva do potraviny bez ohľadu na jej výživovú hodnotu z technologických dôvodov, napr.
relevant-part;['prístavba', 'krídlo', 'nadstavba', 'prístavok', 'rozšírenie', 'príloha'];Krídlo je časť budovy, ktorá je od hlavnej časti oddelená opticky, resp.
relevant-part;['endotel', 'endoteliálne bunky', 'endotelu'];Endotel je vnútorná výstelka ciev a dutých orgánov.
relevant-part;['riasnica', 'riasa', 'mihalnica', 'cilia', 'mihalnice', 'riasy'];Riasnica
relevant-part;['epitel', 'epitelové tkanivo', 'epitelu', 'epiteliálne tkaniva', 'epiteliálnych', 'žliaz epitelu'];Epitel (z gr.
relevant-part;['somit', 'prvosegment', 'somity', 'somite', 'metamere', 'somites'];Somity alebo prvosegmenty sú segmenty pôvodne paraaxiálneho mezodermu na oboch stranách chorda dorsalis, ktoré sú základom stavcov a medzistavcových platničiek chrbtice.
relevant-part;['šupina', 'ctenoid', 'denticle', 'dermálnej denticle', 'šupinka', 'šupinky'];Šupina je útvar na povrchu tela rýb.
relevant-part;['pleva', 'plevica', 'gluma', 'glum'];Pleva alebo zriedkavo gluma
relevant-part;['pleva', 'plevica', 'gluma', 'glum'];Plevica (lat.
relevant-part;['exoskelet', 'exoskeleton', 'exoskeletons', 'zvierat shell'];Exoskelet je vonkajšia kostra živočíchov.
relevant-part;['pokožka', 'epidermis', 'eponychium', 'hrebeň rete'];Pokožka alebo epiderma
relevant-part;['perie', 'operenie', 'pero', 'barbule', 'filoplume', 'perie zatmenie'];Perie je vonkajšia pokrývka vtákov pozostávajúca z tzv.
relevant-part;['hardvér', 'hardware', 'počítačového hardvéru', 'počítačový hardvér'];Hardvér
relevant-part;['vrchol'];Vrchol
relevant-part;['pásmo planétok', 'planétky hlavného pásu', 'hlavné pásmo asteroidov', 'hlavné pásmo planétok', 'pás planétok', 'pásmo asteroidov', 'pásu asteroidov', 'hlavnom páse', 'hlavný pás asteroid', 'pole asteroidov'];Pásmo planétok
relevant-part;['borka', 'kôra', 'rhytidoma', 'kôry', 'periderm', 'stromovej kôry'];Borka je odumretá, vrchná vrstva hustej stonky alebo koreňa, ktorá tvorí pružný a vodu neprepúšťajúci ochranný obal.
set;['topologický priestor', 'matematické priestor', 'priestoru', 'topologické priestory', 'topologické štruktúry'];Topologický priestor je matematická štruktúra, ktorá umožňuje formalizovať a zovšeobecniť koncepty ako konvergencia, spojitosť, či kompaktnosť.
set;['abelovská grupa', 'abelova grupa', 'komutatívna grupa', 'ábelovská grupa', 'abelian skupín', 'komutatívnej skupina', 'skupina abelian'];Abelovská grupa je algebrická štruktúra.
set;['hilbertov priestor', 'hilbertovský priestor', 'hilbert priestor', 'hilbertových priestorov', 'hilbertově priestoru'];Hilbertovský priestor je vektorový priestor so skalárnym súčinom, ktorý je navyše úplný vzhľadom na metriku týmto skalárnym súčinom indukovanej.
set;['interval', 'intervale'];Interval v matematike je množina všetkých reálnych čísel ležiacich medzi dvoma reálnymi číslami a, b.
set;['metrický priestor', 'metrika', 'metrické geometriu', 'metrických priestorov'];Metrický priestor je matematická štruktúra, ktorá na danej neprázdnej množine umožňuje zadefinovať pojem vzdialenosti.
set;['grupa', 'matematické skupina', 'skupina'];Grupa je jednou zo základných algebraických štruktúr.
set;['podmnožina', 'vlastná podmnožina', 'nadmnožinou', 'podmnožiny', 'vlastné podmnožina', 'zahrnutie súboru', 'zahrnutím'];Podmnožina množiny A {\displaystyle A} je taká množina B {\displaystyle B}, že všetky prvky množiny B {\displaystyle B} sú zároveň prvkami množiny A {\displaystyle A}.
set;['definičný obor', 'doména funkcie', 'oblasti funkcie'];Definičný obor alebo obor definície zobrazenia sú všetky prvky množiny, z ktorej sa zobrazuje.
simple-collection;['asterizmus', 'asteris'];Asterizmus je výrazná skupina hviezd, ktorá nie je nijakým z 88 oficiálnych súhvezdí.
simple-collection;['základný súbor', 'populácie', 'subpopulácie', 'štatistické populácie'];Základný súbor alebo populácia je súbor zahŕňajúci všetky štatistické jednotky štatistického súboru.
simple-collection;['súhvezdie', 'súhvezdí'];Súhvezdie v širšom zmysle je skupina hviezd alebo asterizmus, ktoré spolu navzájom zdanlivo súvisia a vytvárajú určitý obrazec na oblohe.
simple-collection;['povozník', 'auriga', 'súhvezdie povozník'];Povozník alebo staršie Voziar je severné súhvezdie.
simple-collection;['centaurus', 'kentaur', 'súhvezdie centaurus', 'súhvezdie kentaur'];Kentaur (lat.
simple-collection;['malý pes', 'canis minor', 'súhvezdie malý pes'];Malý pes je jedno z 88 súhvezdí modernej astronómie, ako aj jedno zo 48 súhvezdí zavedených Ptolemaiom.
simple-collection;['labuť', 'severný kríž', 'súhvezdie labuť'];Labuť alebo Severný kríž je severné súhvezdie, jedno zo 48 súhvezdí zavedených Ptolemaiom a jedno z 88 súhvezdí modernej astronómie.
simple-collection;['vlasy bereniky', 'coma berenices', 'súhvezdie vlasy bereniky'];Vlasy Bereniky sú jedno z 88 súhvezdí modernej astronómie.
simple-collection;['pegas', 'pegasus', 'pegasov štvorec', 'súhvezdie pegas'];Pegas je severné súhvezdie pomenované po mytologickej bytosti Pegasovi.
simple-collection;['pastier', 'bootes', 'boo', 'boötes', 'súhvezdie pastier'];Pastier (angl.
simple-collection;['vlk', 'súhvezdie vlk'];Vlk je južné súhvezdie, jedno z 88 súhvezdí modernej astronómie a tiež jedno z Ptolemaiových súhvezdí.
simple-collection;['vodný had', 'hydrus', 'súhvezdie vodný had'];Vodný had je jedno z 88 súhvezdí modernej astronómie.
simple-collection;['malá medvedica', 'malý medveď', 'strážcovia pólu', 'súhvezdie malá medvedica', 'súhvezdie malý voz', 'ursa minor', 'malý voz'];Malý medveď alebo Malá medvedica je severné cirkumpolárne súhvezdie.
simple-collection;['veľký pes', 'canis major', 'súhvezdie veľký pes'];Veľký pes je jedno z 88 súhvezdí modernej astronómie, ako aj jedným zo 48 Ptolemaiových súhvezdí.
simple-collection;['cefeus', 'súhvezdie cefeus'];Cefeus je severné súhvezdie pomenované po postave gréckej mytológie zobrazujúce kráľa Kéfea.
simple-collection;['pohár', 'crater', 'súhvezdie pohár'];Pohár je jedným z 88 súhvezdí modernej astronómie a tiež bolo jedným zo 48 súhvezdí zavedených Ptolemaiom.
simple-collection;['kozorožec', 'capricornus', 'súhvezdie kozorožec', 'kozorožca'];Kozorožec je jedným zo zvieratníkových súhvezdí, pričom patrí tak medzi 88 moderných súhvezdí, ako aj medzi 48 Ptolemaiových súhvezdí.
simple-collection;['tukan', 'súhvezdie tukan', 'tucana', 'tukana'];Tukan je jedno z 88 súhvezdí modernej astronómie.
simple-collection;['ryby', 'kruhový ornament', 'súhvezdie ryby'];Ryby sú zvieratníkové súhvezdie ležiace medzi súhvezdiami Vodnár na západe a Baran na východe.
simple-collection;['škorpión', 'znamenie škorpióna', '♏', 'scorpius', 'súhvezdie škorpión', 'scorpio'];Škorpión je zvieratníkové súhvezdie ležiace medzi súhvezdiami Váhy smerom na západ a Strelec smerom na východ.
simple-collection;['panna', 'súhvezdie panna'];Panna je jedným zo súhvezdí zverokruhu.
simple-collection;['hydra', 'hlava hydry', 'súhvezdie hydra'];Hydra je najväčšie zo súhvezdí modernej astronómie.
simple-collection;['jednoprvková množina', 'singleton'];Jednoprvková množina je množina, ktorá má jeden prvok.
simple-collection;['trilógia', 'trilógie', 'duology', 'trilógiou'];Trilógia je séria troch umeleckých diel, obyčajne literatúry alebo filmu, ktorá rozvíja jednu tému v troch častiach.
simple-collection;['usporiadaná dvojica', 'pár', 'usporiadaných dvojíc'];Usporiadaná dvojica je, voľne povedané, matematický objekt obsahujúci dva jednoduchšie objekty a informáciu o tom, ktorý z týchto objektov je prvý, a ktorý je druhý.
simple-collection;['južný kríž', 'crux', 'súhvezdie južný kríž', 'crux australis', 'southern cross'];Južný kríž
simple-collection;['severná koruna', 'corona borealis', 'súhvezdie severná koruna'];Severná koruna je malé severné súhvezdie, ktorého najjasnejšie hviezdy tvoria kruhový oblúk.
simple-collection;['lýra', 'lyra', 'súhvezdie lýra'];Lýra (lat.
simple-collection;['váhy', 'súhvezdie váhy'];Váhy sú nevýrazné zvieratníkové súhvezdie, pretože neobsahujú žiadnu hviezdu ani prvej hviezdnej veľkosti.
simple-collection;['havran', 'súhvezdie havran'];Havran je malé južné súhvezdie obsahujúce iba 11 hviezd viditeľných voľným okom, jasnejších ako +5 5 m.
simple-collection;['rak', 'cancer', 'súhvezdie rak'];Rak je malé a nevýrazné súhvezdie a súčasne jedno zo zvieratníkových súhvezdí.
simple-collection;['baran', 'aries', 'súhvezdie baran'];Baran je jedno zo zvieratníkových súhvezdí.
simple-collection;['kasiopeja', 'súhvezdie kasiopeja'];Kasiopeja je súhvezdie severnej oblohy, ktoré v gréckej mytológii reprezentovalo kráľovnú Kasiopeju.
simple-collection;['lev', '♌', 'súhvezdie lev'];Lev je jedno zo zvieratníkových súhvezdí.
simple-collection;['blíženci', 'súhvezdie blíženci'];Blíženci sú jedno zo zvieratníkových súhvezdí.
simple-collection;['vodnár', 'aqr', 'aquarius', 'súhvezdie vodnár', 'vodný pohár'];Vodnár je jedno z najstarších pozorovaných súhvezdí vo zvieratníku, teda ceste Slnka po oblohe.
simple-collection;['mytológia', 'mythographer', 'mythographers', 'mythography', 'mythologist', 'mythos', 'mytologické', 'mytológie', 'mytológii fidži', 'mýty'];Mytológia je veda o mýte, o bájach o pôvode, o náboženstvách a ságach o bohoch, pričom sa v najnovšom čase považuje aj písomne zaznamenaná tradícia o zakladateľoch náboženstiev za mytologizované výklady.
simple-collection;['severská mytológia', 'škandinávskom mytológii', 'mytológii nórčiny', 'severskej mytológie'];Severská mytológia je súhrn povestí, legiend a predstáv o hrdinoch, bohoch, vzniku, účelu a konci sveta pochádzajúci od germánskych kmeňov obývajúcich Škandinávsky polostrov a jeho okolie.
simple-collection;['grécka mytológia', 'gréckeho mýtu', 'gréckej bohyne', 'gréckych mýtov', 'starovekého gréckeho mytológii'];Grécka mytológia je súbor gréckych mýtov.
simple-collection;['rímska mytológia', 'zoznam rímskych bohov a bohýň', 'rímskeho boha', 'rímskej mytológie', 'rímskej mytológii'];Rímska mytológia bola súčasťou rímskej kultúry.
simple-collection;['trimúrti', 'trimurti'];Trimúrti (skt.
simple-collection;['vesmír', 'kozmos', 'makrokozmos', 'svet', 'všehomír', 'všemír', 'všesvet', 'makrokosmos', 'makrokozmu', 'svete', 'vesmíre', 'vesmírov', 'vesmíru'];Vesmír (iné názvy: univerzum, kozmos. trochu nepresne: Metagalaxia. v najširšom zmysle aj svet. zastarano vše(ho)mír alebo všesvet. gr.
simple-collective;['izraeliti', 'hebrejci', '12 kmeňov izraela', 'dvanástich kmeňov izraela', 'dvanásť kmeňov izraela', 'izraelitov', 'starovekého izraela'];Izraeliti sú staroveké semitské kmene, ktoré si pod vedením Jozueho podrobili pôvodné kmene na území Kanánu okolo roku 1230 pred Kr.
simple-collective;['izraeliti', 'hebrejci', '12 kmeňov izraela', 'dvanástich kmeňov izraela', 'dvanásť kmeňov izraela', 'izraelitov', 'starovekého izraela'];Hebrejci
simple-collective;['vojvoda'];Vojvoda je vysoký šľachtický titul, ktorý sa udeľoval na území Európy.
simple-collective;['markíz', 'marchesa', 'marchese', 'marquess', 'marquessate', 'marquisate'];Markíz je vysoký šľachtický titul, ktorý sa udeľoval na území Európy.
simple-collective;['vikomt', 'vicomte'];Vikomt
simple-collective;['elita', 'elitnej skupiny', 'elitou', 'elít', 'politickej elity'];Elita (z lat.
simple-collective;['stav', 'stav feudálnej spoločnosti', 'panstva oblasti', 'tri panstva'];Stav je spoločenská vrstva alebo skupina, ktorá sa odlišuje od ostatných stavov svojím faktickým postavením v spoločnosti a právnym postavením v štáte, a ktorá je spravidla na účely ochrany svojho postavenia v spoločnosti korporatívne organizovaná.
simple-collective;['šľachta', 'šľachtic', 'aristokracia', 'šľachtičná', 'šľachtici', 'aristokracie', 'povýšený do šľachtického stavu', 'titul šľachty', 'vysokej šľachty', 'šľachticov', 'šľachty'];Šľachta alebo aristokracia alebo nepresne nobilita je dedičná vedúca vrstva spoločnosti.
simple-collective;['proletariát', 'robotnícka trieda', 'pracovná sila', 'práca', 'proletári', 'proletárov', 'práce', 'robotníckej triedy'];Proletariát je v sociológii a príbuzných odboroch termín označujúci buď robotnícku triedu alebo niečo podobné.
simple-collective;['proletariát', 'robotnícka trieda', 'pracovná sila', 'práca', 'proletári', 'proletárov', 'práce', 'robotníckej triedy'];Robotnícka trieda je v bežnom vymedzení spoločenská skupina pozostávajúca z námezdne pracujúcich vykonávajúcich manuálnu prácu, a to v užšom zmysle len v priemysle, v širšom zmysle aj inde
simple-collective;['plemeno', 'druh', 'kmeň', 'chované', 'plemien'];Plemeno je umelo vytvorenou taxonomickou jednotkou v rámci potrieb zootechniky a plemenárskej práce.
simple-collective;['inteligencia', 'príslušník inteligencie', 'inteligencie', 'inteligentsia', 'klérus'];Inteligencia je spoločenská vrstva vzdelancov, intelektuálov ako napr.
simple-collective;['sociálna trieda', 'spoločenská trieda', 'sociálna vrstva', 'sociálno-ekonomická vrstva', 'vrstva', 'sociálno-ekonomickej triedy', 'ekonomickej triede', 'nižších tried', 'socio-ekonomickej triedy', 'sociálno-ekonomické skupiny', 'triednej spoločnosti'];Spoločenská trieda alebo sociálna trieda je súbor osôb, ktoré majú podobné sociálne postavenie a spoločné záujmy.
simple-collective;['íri', 'ir', 'írov', 'írskom pôvodu'];Íri sú keltský národ žijúci pôvodne v Írsku.
simple-collective;['krvná skupina', 'ab0', 'krvné skupiny', 'krvné'];Krvná skupina alebo krvný typ je charakteristika vlastností červených krviniek v krvi jedinca, resp.
simple-collective;['trh', 'trhovisko', 'tržnica', 'trhu', 'trhy'];Trh je miesto, kde sa stretávajú kupujúci a predávajúci, aby sa dohodli na kúpe a predaji určitého tovaru alebo služby za určitú cenu.
simple-collective;['fandom', 'česko-slovenského fandomu', 'fanúšikovskú základňu'];Fandom - v slovenčine takmer výlučné označenie pre komunitu priaznivcov a autorov sci-fi a fantasy literatúry.
simple-collective;['národ'];Národ je historicky vzniknuté spoločenstvo ľudí vytvorené pôsobením rôznych faktorov, ako sú spoločné územie, kultúra, jazyk, hospodárska história, psychika, náboženstvo a podobne, a ktoré má spravidla vôľu tieto spoločné faktory brániť či rozvíjať.
simple-collective;['angličania', 'angličan', 'anglický'];Angličania alebo Briti sú základnou etnickou zložkou národa Spojeného kráľovstva.
simple-collective;['francúzi', 'francúzski ľudia'];Francúzi sú potomkovia keltských a ligurských kmeňov, ktoré osídlili územie medzi Rýnom a prielivom La Manche už v priebehu 2.
simple-collective;['kšatrija', 'kshatriya', 'ksatria', 'kshatriyas', 'kṣatriya'];Kšatrija je jedna z kást v Indii.
simple-collective;['stredná trieda', 'buržoázia', 'strednej triedy', 'buržoázie', 'bourgeois', 'buržoáznej spoločnosti', 'na prácu', 'profesionálnej triedy', 'úradnícku prácu'];Buržoázia
simple-collective;['stredná trieda', 'buržoázia', 'strednej triedy', 'buržoázie', 'bourgeois', 'buržoáznej spoločnosti', 'na prácu', 'profesionálnej triedy', 'úradnícku prácu'];Stredná spoločenská trieda je sociálna trieda nachádzajúca sa uprostred spoločenských vrstiev spoločnosti.
simple-planned-collective;['sídlo', 'malé mesto', 'dedina', 'malomesto', 'mestečko', 'obec', 'osada', 'ľudské osídlenie', 'sídelný útvar', 'osídlené miesto', 'ľudských sídiel'];Sídlo alebo sídelný útvar[chýba zdroj] je základná jednotka osídlenia, ktorá je charakterizovaná buď ako miesto s obytným zariadením pre človeka, alebo ako teritoriálne ucelený a kompaktný areál pozostávajúci z týchto sídelných jednotiek.
simple-planned-collective;['osada', 'dedinka', 'usadlosť', 'križovatka', 'rázcestie', 'fermtoun'];Osada je pojem, ktorý má viacero definícií, spravidla označuje veľmi malé sídlo.
simple-planned-collective;['synoda', 'sobor', 'provinčnej synode', 'provinčné synoda', 'synody'];Sobor
simple-planned-collective;['synoda', 'sobor', 'provinčnej synode', 'provinčné synoda', 'synody'];Synoda je cirkevný snem.
simple-planned-collective;['medzinárodný súdny dvor', 'icj', 'medzinárodného súdneho dvora', 'world court'];Medzinárodný súdny dvor je hlavný súdny orgán Organizácie Spojených národov a jedným z jej šiestich hlavných orgánov.
simple-planned-collective;['juvenilná justícia', 'súd pre mládež'];Juvenilná justícia
simple-planned-collective;['triumvirát', 'triumvirate', 'triumvirs', 'triumvirátu'];Slovo triumvirát je bežne používané na označenie politického režimu, v ktorom vládnu traja silní politickí a/alebo vojenskí vodcovia.
simple-planned-collective;['samit', 'summit', 'vrcholná schôdzka', 'sumit', 'konferencia na najvyššej úrovni', 'rokovanie na najvyššej úrovni', 'schôdzka na najvyššej úrovni', 'vrcholná konferencia', 'vrcholné rokovania', 'vrcholné stretnutie', 'vrcholová konferencia', 'vrcholová schôdzka', 'vrcholové rokovania', 'vrcholové stretnutie'];Samit
simple-planned-collective;['zlatá horda', 'ulus džuci', 'golden horde', 'kipchak khanate', 'ulus z joch'];Zlatá horda
