abstract-quality;['особистість', 'особистості'];Відображення соціальної природи людини
quality;['доктор наук', 'доктора наук', 'd.sc', 'доктор біологічних наук', 'доктор природничих наук'];Вчений ступінь, який присуджується в деяких країнах
quality;['егоцентризм', 'користь', 'егоцентри́зм', 'самостійно заклопотаність'];Сторінка значень у проекті Вікімедіа
quality;['монотеїзм', 'монотеї́зм', 'монотеїстична релігія', 'монотеїстичні релігії', 'єдинобожжя', 'монотеїзму', 'монотеїстичних'];Віровчення про існування єдиного Бога, Творця всього сущого, видимого і невидимого, творіннями якого є всі інші істоти, як духовні так і фізичні
quality;['політеїзм', 'багатобо́жжя', 'політеї́зм', 'багатобожжя', 'політїзм', 'багатобожників', 'многобожникам', 'політеїстичних'];Багатобожжя, віра в багатьох богів/богинь
quality;['духовність', 'духовності', 'потойбічність', 'спіритизм', 'спіритизму', 'спіритів'];Духовність - внутрішнє психічне життя людини, її моральний світ.
quality;['чистота', 'чи́стість', 'чистота́'];Абстрактний стан чистоти і відсутності бруду
quality;['розсудливість', 'обачність'];Моральна якість та одна з чотирьох кардинальних чеснот
quality;['фейр-плей', 'фер-плей', 'fair play', 'спортивна етика', 'fair-play', 'феєр-плей', 'спортивну майстерність'];принцип етичного змагання
quality;['темрява', 'мо́рок', 'те́мрява', 'темно́та', 'темнота́', 'тьма́', 'морок', 'пітьма', 'темнота'];Відносна відсутність видимого світла, що сприймається як чорний колір в колірному спектрі
quality;['патріотизм', 'націоналізм', 'націоналі́зм', 'патріот', 'патріоти', 'націоналізму', 'національної гордості', 'націоналістів', 'патріотизму', 'патріотичні', 'ультра-націоналізму', 'ультра-націоналістичної', 'ультранаціоналізму'];Любов до Батьківщини
quality;['зріст людини', 'висота тіла людини', 'довжина тіла людини', 'людський зріст'];Відстань від нижньої частини ніг до верхньої частини голови в людському тілі, що стоїть прямо
quality;['простір', 'архітектурний простір'];Доступний простір усередині будівлі та поза нею
quality;['докторантура', 'докторський ступінь', 'до́кторський сту́пінь', 'доктора́т', 'докторант', 'doctorat', 'докторантурі', 'докторська ступінь'];Форма підготовки кадрів на здобуття ступеня доктора наук
quality;['атараксія', 'атаракс'];душевний спокій
quality;['холод', 'холодний', 'циганське тепло', 'низька температура'];стан низької температури
quality;['тиша', 'мовчання'];Повна або часткова відсутність звуків, факторів, що подразнюють слух
quality;['полісемія', 'багатозначність', 'полісемантичність', 'багатозначнісь', 'polyseme', 'polysemic', 'багатозначним', 'лексична неоднозначність'];Наявність у мовній одиниці (слові, фраземі, граматичній формі, синтаксичній конструкції) кількох значень.
quality;['передавальний коефіцієнт', 'підсилювач звукових частот', 'коефіцієнт передачі', 'коефіцієнт підсилення', 'звукопідсилювач', 'посилення'];відношення значення вихідного сигналу на виході системи до відповідного вхідного сигналу
quality;['окружність', 'довжина кола', 'окружності'];Периметр межі круга
quality;['вірність', 'лояльність', 'вірності', 'байат', 'вірність васала феодалові'];Обов'язок яких суб'єкт або громадянин загалом, як очікується, зобов'язані державі, до якої вони належать.
quality;['деформівність', 'пластичність', 'ductileness'];Властивість тіла змінювати форму або розміри під впливом прикладених сил чи нагрівання
quality;['висота трикутника', 'висота', 'ортоцентр'];Відрізок, проведений з вершини кута до протилежної сторони або до продовження протилежної сторони
quality;['свобода волі', 'свобо́да во́лі', 'вільна воля', 'добровільне', 'зловживання правом', 'розсуд'];Філософське питання про те, чи розум вільний у своїх діях або рішеннях, чи вони визначені наперед, детерміновані
quality;['гендер', 'стать', 'ге́ндер', 'маскулінність і фемінність', 'ґендер', 'гендерна рівність', 'ґендерна рівність', 'статі', 'біологічної статі', 'гендерних питань', 'сексуальність'];Соціальні характеристики, що відрізняють "чоловічість" і "жіночність"
quality;['зелений', 'зелений колір', 'зеле́ний', '00ff00', 'спаржевий колір', 'темно-зелений колір', 'незрілість'];колір
quality;['пластичність', 'пластичність матеріалу', 'ковкість', 'пластичності'];Здатність матеріалу незворотно змінювати свою форму й розміри при деформації
quality;['доступність', 'доступність інформаційна', "безбар'єрність", 'безперешкодний доступ', 'маломобільні групи населення', 'розробка доступних інтерфейсів', 'availableness', 'для інвалідних колясок', 'наявність', 'низькопольних', 'інвалідів'];Необхідна властивість середовища або послуг для людей з інвалідністю
quality;['енергетична яскравість', 'сяйво', 'refulgency', 'блиск', 'світити'];фізична величина
quality;['відданість', 'вірність'];Моральна категорія, що досить часто розглядається як чеснота
quality;['нескінченність', '∞', 'безкінечність', 'безмежжя', 'безмежності', 'необмеженість', 'нескінченності'];Поняття чогось без будь-яких обмежень
quality;['вірність', 'відданість', 'лояльність', 'нелояльності'];Вірність або відданість людині, країні, групі чи справі
quality;['зрада', 'невірність'];Обман, перелюб або інтрижка
quality;['чеснота', 'цноти', 'чесноти', 'добродіяння', 'моральної переваги', 'силу'];Позитивна моральна якість людини
quality;['червоний', 'червоний колір', 'ff0000'];колір
quality;['жовтий', 'жовтий колір', 'ffff00', 'жовтизна'];колір
quality;['границя міцності', 'межа міцності', 'тимчасовий опір', 'тимчасовий опір руйнуванню', 'межа міцності на розрив', 'межа міцності на розтяг'];Умовне механічне напруження, що відповідає найбільшому зусиллю, що досягається в процесі деформування зразка матеріалу, досягнутому до поділу зразка на частини
quality;['християнство', 'христия́нство', 'християнин', 'християнський', 'християнська філософія', 'християнка', 'mainstream християнство', 'християнська релігія', 'християнської віри', 'християнської релігії'];Монотеїстична світова релігія, заснована в першому столітті, яка стверджує, що Ісус є Сином Божим
quality;['протестантизм', 'протестанти́зм', 'протестанство', 'протестант', 'протестанти', 'протестантська релігія', 'протестантство', 'реформатори', 'протестантизму', 'протестантських церков', 'протестантські християнські', 'протестантів'];Християнська конфесія
quality;['реєстр', 'список'];список записів з єдиною структурою, упорядкований за деяким критерієм
quality;['temperantia'];рід грибів
quality;['жіночність', 'жіно́чість', 'фемінність', 'фемінінність', 'жіночності'];якості та характеристики, що асоціюються певними культурою чи суспільством з жінками
quality;['безвідмовність', 'надійність', 'наді́йність', 'надійності', 'dependableness', 'reliableness'];Властивість обладнання (виробу, системи) безупинно зберігати працездатний стан в заданих умовах експлуатації протягом деякого проміжку часу або аж до виконання певного обсягу роботи, без вимушених перерв
quality;['вага тіла людини', 'вага людини', 'вага тіла', 'ваги тіла', 'маси тіла', 'ідеальної маси тіла'];Використовується неформально, у біологічних і медичних науках для позначення маси або ваги людини
quality;['темперамент', 'temperament', 'темпераменти'];Властивість людської психіки
region;['га', 'гектар', 'гекта́р', 'гекто-ар', 'декар'];Метрична одиниця площі
region;['ефемеридний час', 'et', 'ефемеридна секунда', 'tdt', 'другий ефемерид', 'ефемериди час', 'земний час', 'земного часу', 'наземних динамічних time', 'наземні динамічні час'];Шкала рівномірного часу, за допомогою якого описували рух тіл Сонячної системи (1950-1984)
region;['прут', 'род', 'окунь', 'стрижня'];Одиниця довжини
region;['пар', 'par'];Умовний норматив для оцінки рівня гравців у гольф
region;['пар', 'par'];Умовний норматив для оцінки рівня гравців у гольф
region;['модуль юнга', 'модулі пружності', 'модуль пружності першого роду', 'модуль пружності під час розтягу', 'модуль пружності', 'коефіцієнт еластичності', 'модуля пружності'];Фізична величина, що характеризує пружні властивості ізотропних речовин, один із модулів пружності
region;['секунда', 'секу́нда', 'с', 'сек', 'атосекунда', 'аттосекунда', 'гектосекунда', 'гігасекунда', 'декасекунда', 'децисекунда', 'ексасекунда', 'зептосекунда', 'зетасекунда', 'йоктосекунда', 'йотасекунда', 'кілосекунда', 'мегасекунда', 'мс', 'мілісекунда', 'петасекунда', 'пікосекунда', 'сантисекунда', 'терасекунда', 'фемтосекунда', 'секунд'];Одиниця виміру часу у СІ
region;['1728', 'маса', 'великий грос', 'доцанд', 'великі валові'];Натуральне число
region;['арпан'];Старофранцузька міра довжини
region;['ет', 'ет піку', 'піку'];Одиниця довжини
region;['літр', 'l', 'л', 'кубічний дециметр', 'мілілітр', 'гектолітрів', 'літрів', 'gigalitre', 'megalitre', 'megalitres', 'мкл'];Метрична одиниця вимірювання об'єму, що дорівнює 1 кубічному дециметру
region;['кілометр', 'кіломе́тр', 'км', 'klick', 'кілометрів'];Міра довжини в метричній системі
region;['нанометр', 'нм', 'нанометрів', 'micromillimeter', 'micromillimetre', 'міллімікрон', 'нанометровий'];Одиниця довжини
region;['фемтометр', 'фермі', 'фм', 'femtometer', 'femtometre'];Одиниця довжини
region;['дециметр', 'дм'];Одиниця довжини
region;['пікометр', 'пм', 'picometer', 'picometre', 'micromicron'];Одиниця довжини
region;['валюта', 'валю́та', 'валюта національна', 'валюта іноземна', 'валютні операції', 'національна валюта', 'торгівля готівковими валютними цінностями', 'іноземна валюта', 'засобу обміну'];Грошова одиниця, що використовується як засіб розрахунку в торгових операціях
region;['кабельтов', 'довжина кабелю'];Одиниця довжини
region;['модуль', 'модуль числа', 'абсолютна величина', 'абсолютне значення', 'абсолютне значення числа', 'модуль дійсного числа', 'abs', 'чисельна величина'];Математична функція і термін
region;['ірраціональні числа', 'ірраціональне число', 'числа ірраціональні', 'число іррацінальне', 'число ірраціональне', 'ірраціональний', 'ірраціональних чисел', 'ірраціональності'];Числа, які неможливо записати звичайним дробом
region;['верста', 'верста́', 'верст'];Давня міра відстані
region;['узливання', 'лібація', 'узливань'];жертвопринесення вина
region;['абкулон', 'abcoulomb'];одиниця вимірювання
region;['дина', 'дин'];Одиниця сили в системі СГС
region;['ньютон', 'n', 'н', 'newton', 'кілоньютон', 'ньютонів'];Одиниця сили у системі СІ, названа за ім'ям фізика Ньютона.
region;['чейн', 'пікетаж'];Одиниця довжини
region;['дюйм', 'цаль'];Одиниця довжини
region;["п'ядь"];Одиниця довжини
region;['лінк', 'link'];Одиниця довжини
region;['миля', 'англійська миля', 'міжнародні км', 'нестатутна миля, рівна 1609,35 м', 'стат миль'];Одиниця довжини
region;['ярд', 'двір', 'метрів', 'темпами'];Одиниця відстані
region;['ярд', 'двір', 'метрів', 'темпами'];Одиниця довжини
region;['вузол', 'морська миля', 'одиниця швидкості', 'nautical mile', 'морських миль', 'вузлів', 'квадратних морських миль', 'міжнародна морська миля', 'повітряні милі'];Одиниця вимірювання відстані (1852 м)
region;['гаус', 'gauss', 'гс'];Одиниця вимірювання
region;['фунт на квадратний дюйм', 'lb.p.sq.in.', 'lbs', 'psi', 'фунт-сила/дюйм²', 'фунт-сила на квадратний дюйм', 'фунтів на квадратний дюйм', 'фунтів-сили на квадратний дюйм', 'фунтів дюйм ²'];Одиниця тиску
region;['міліметр ртутного стовпа', 'торр', 'torr', 'мм рт. ст.', 'міліметр ртутного стовпчика', 'мм рт.ст.', 'тор'];Традиційна одиниця тиску
region;['паскаль', 'pa', 'па', 'мпа', 'гпа', 'дапа', 'кілопаскаль', 'мегапаскаль', 'gigapascal', 'micropascal', 'гектопаскаля', 'кпа'];Одиниця тиску
region;['хвилина', 'хвили́на', 'хв', 'min', 'хв.', 'хвилину'];Одиниця виміру часу, тривалість, що визначається цією одиницею виміру
region;['кубит', 'лікоть', 'ліктів'];Одиниця довжини
region;['одиниця вимірювання', 'одини́ця', 'одиниця виміру', 'одиниці виміру', 'одиниці вимірювання', 'система мір', 'мір і ваг'];Еталон, з яким порівнюють вимірюваний об'єкт
region;['операція «нептун»', 'нептун', '6 червня 1944', 'd-day посадок', 'd-день', 'd день', 'день початку операції', 'нормандії', 'посадки нормандії'];Морська десантна операція
region;['100', 'сто', 'ⅽ', 'однієї з'];Натуральне число
region;['ампер', 'міліампер', 'а', 'nanoampere', 'млн років'];одиниця сили електричного струму, одна із семи основних одиниць SI
region;['метр', 'м', 'm', 'атометр', 'гектометр', 'гм', 'гігаметр', 'декаметр', 'ексаметр', 'зептометр', 'зетаметр', 'зм', 'йм', 'йоктометр', 'йотаметр', 'мегаметр', 'петаметр', 'тераметр', 'тм', 'метрів'];Одиниця вимірювання довжини у системі SI, а також міра довжини, яка відтворює одиницю довжини
region;['бельгійський франк'];Грошова одиниця Бельгії з 1832 до 2002 року
region;['долар фіджі', 'фіджійський долар'];Національна валюта Фіджі
region;['індонезійська рупія', 'idr', 'рупія', 'рупій', 'індонезійської рупії'];валюта Індонезії
region;['мексиканський песо', 'песо', 'mxn', 'мексиканське песо', 'мексиканський долар', 'мексиканських песо'];валюта Мексики
region;['румунський лей', 'лей', 'rol', 'lei', 'новий лей'];валюта Румунії
region;['саудівський ріал', 'ріал', 'саудівський реал', 'саудівський ріял'];Валюта Саудівської Аравії
region;['південнокорейська вона', 'krw', 'південнокорейський вон', 'південно-корейський вон'];Офіційна валюта Південної Кореї
region;['іспанська песета', 'песета', 'еспанська песета', '₧', 'песет'];Валюта Іспанії
region;['шведська крона', 'sek', 'шведських крон'];Валюта Швеції
region;['бат', 'тайський бат', '฿', 'бата', 'ської'];Офіційна валюта Таїланду
region;['філіппінський песо', '₱', 'філіппінське песо', 'песо', 'філіппінських песо'];Валюта Філіппін
region;['долар тринідаду і тобаго', 'долар тринідаду та тобаго', 'tt$', 'долар трінідаду і тобаго', 'долар трінідаду і тобаґо', 'тринідадський долар'];валюта Тринідаду і Тобаго
region;["в'єтнамський донг", 'vnd', 'донг', '₫', "в'єтнамських джонг", "в'єтнамських донгів", 'дон'];валюта В'єтнаму
region;['кельвін', 'градус кельвіна', 'k', '°к', 'к', 'температурна шкала кельвіна', 'kelvin', 'кельвіна шкала', 'megakelvin', 'кельвіна'];Основна одиниця температури в системі SI
region;['100000', '100 000', 'сто тисяч'];Натуральне число
region;['1000', '1100', '1200', 'ти́сяча', 'тисяча', 'ⅿ', 'ти', 'тисячоліття', 'тисячі'];Натуральне число
region;['1000', '1100', '1200', 'ти́сяча', 'тисяча', 'ⅿ', 'ти', 'тисячоліття', 'тисячі'];Натуральне число
region;['1000', '1100', '1200', 'ти́сяча', 'тисяча', 'ⅿ', 'ти', 'тисячоліття', 'тисячі'];Натуральне число
region;['500', "п'ятсо́т", 'ⅾ'];Натуральне число
region;['50', 'п’ятдесят', "п'ятдеся́т", 'ⅼ'];Натуральне число
region;['40', 'сорок', 'со́рок', 'xl'];Натуральне число
region;['10000', 'де́сять ти́сяч', 'десять тисяч', '10 000', 'десяти тисяч'];Натуральне число
region;['70', 'сі́мдесять', 'сімдесят', 'lxx'];Натуральне число
region;['60', 'шiстьдесят', 'шістьдеся́т', 'шістьдесят'];Натуральне число
region;['30', 'трийцять', 'три́дцять', 'три́йцять', '㉚', 'тридцять'];Натуральне число
region;['120', 'велике сто', 'довго сто'];Натуральне число
region;['9', '0', 'ⅸ', '௯', '⑨', '⑼', '⒐', '⓽', '❾', '➈', '➒', "дев'ять", 'ix', 'niner', "дев'ятка", 'ніна з кароліни'];Натуральне число
region;['19', 'дев’ятна́дцять', '⑲', '⒆', '⒚', '⓳', 'xix', "дев'ятнадцять"];Натуральне число
region;['12', 'дванадцять', 'дюжина', 'двана́дцять', 'ⅻ', '⑫', '⑿', '⒓', '⓬', 'xii'];Натуральне число
region;['16', 'шістна́дцять', '⑯', '⒃', '⒗', '⓰', 'xvi', 'шістнадцять'];Натуральне число
region;['6', 'шість', 'число 6', 'ⅵ', 'vi', '६', '௬', '⑹', '⒍', '⓺', '❻', '➅', '➏', 'sextuplet', 'sise', 'група з шести предметів', 'капітан хікс', 'півдюжини', 'секстет', 'шести', 'шість очок'];Натуральне число
region;['15', 'п’ятна́дцять', '⑮', '⒂', '⒖', '⓯', 'xv', "п'ятнадцять"];Натуральне число
region;['10', 'десять', 'де́сятеро', 'де́сять', 'ⅹ', '⑩', '⑽', '⒑', '⓾', '❿', '➉', '➓'];Натуральне число
region;['20', 'двадцять', 'два́дцять', '⑳', '⒇', '⒛', '⓴'];Натуральне число
region;['3', 'три', 'ⅲ', '௩', '⑶', '⒊', '⓷', '❸', '➂', '➌', 'iii', 'ternion', 'двійки туза', 'потрійний', 'терцет', 'тривірш', 'тріада'];Натуральне число
region;['2', 'два', 'дво́є', 'дві', 'дві́йка', 'дві́йко', 'дві́єчко', 'ii', 'ⅱ', 'в̃', 'ди', '٢', '⑵', '⒉', '⓶', '❷', '➁', '➋', 'дужки'];Натуральне число
region;['8', 'вісім', 'ⅷ', '௮', '⑻', '⒏', '⓼', '❽', '➇', '➑', 'eighter', 'eighter від decatur', 'viii', 'вісімковій', 'огдоада', 'октади'];Натуральне число
region;['7', 'сім', 'ⅶ', '௭', '⑺', '⒎', '⓻', '❼', '➆', '➐', 'sevener', 'vii', 'семерична', 'семивалентном'];Натуральне число
region;['17', 'сімна́дцять', '⑰', '⒄', '⒘', '⓱', 'xvii', 'сімнадцять'];Натуральне число
region;['11', 'одинадцять', 'одина́дцять', 'ⅺ', '⑪', '⑾', '⒒', '⓫'];Натуральне число
region;['14', 'чотирна́дцять', '⑭', '⒁', '⒕', '⓮', 'xiv', 'чотирнадцять'];Натуральне число
region;['4', 'чотири', 'ⅳ', '௪', '⑷', '⒋', '⓸', '❹', '➃', '➍', 'кватерніонів', 'little joe', 'quatern', 'квартерность', 'тетрада', 'тетрактис', 'чотирьох'];Натуральне число
region;['21', 'два́дцять оди́н', '㉑', 'xxi'];Натуральне число
region;['29', "два́дцять де́в'ять", '㉙', 'xxix', "двадцять дев'ять"];Натуральне число
region;['26', 'два́дцять шість', '㉖', 'xxvi', 'двадцять шість'];Натуральне число
region;['25', "два́дцять п'ять", '㉕', 'xxv', "двадцять п'ять"];Натуральне число
region;['22', 'два́дцять два', '㉒', 'xxii'];Натуральне число
region;['28', 'два́дцять ві́сім', 'число 28', '㉘', 'xxviii', 'двадцять вісім'];Натуральне число
region;['27', 'два́дцять сім', '㉗', 'xxvii', 'двадцять сім'];Натуральне число
region;['24', 'два́дцять чоти́ри', '㉔', 'xxiv', 'два десятки', 'двадцять чотири'];Натуральне число
region;['23', 'два́дцять три', '㉓', 'xxiii', 'двадцять три'];Натуральне число
region;['світлова секунда', 'світ другий'];Одиниця довжини
region;['світловий рік', 'світлових років', 'св.р.'];Позасистемна одиниця виміру довжини, що дорівнює відстані, яку світло долає за один рік.
region;['коефіцієнт відбиття'];оптична величина
region;['коефіцієнт пропускання', 'прозорість', 'пропускання'];фізична величина, що дорівнює відношенню потоку випромінювання, котрий пройшов через середовище, до потоку випромінювання, що впав на його поверхню
region;['пальця ширини', 'ширина пальця'];Одиниця довжини
region;['подільність', 'дільник', 'кратне', 'власний дільник', 'ділить', 'ділиться', 'дільників'];ціле число, яке може бути повністю розділене на інше ціле число
region;['мільйон', 'млн', 'млн.', 'лям', 'міліон', '1000000', 'мег', 'мільйонів', 'тисяча тисяч'];Число
region;['простий дільник', 'простий множник', "прем'єр-фактора", 'простих дільника'];Просте число, яке ділить ціле число
region;['модуль всебічного стиску', 'k', "модуль об'ємної пружності", 'модуль об’ємної пружності', "об'ємний модуль"];Характеристика пружних властивостей ізотропних середовищ, один із модулів пружності, що характеризує спроможність матеріалу чинити опір зміні об'єму, яка не супроводиться зміною форми
region;['карат', 'карата', 'каратного', 'тис. т'];Одиниця чистоти золота
region;['доба', 'добу', 'сонячна доба', 'день', '24-годинний інтервал', 'двадцять чотири години', 'днів', 'середні сонячні добу', 'середніх сонячних діб', 'сонячний день', 'сонячні добу'];Одиниця виміру часу, рівна 24 годинам
region;['144', 'грос', 'сто сорок чотири'];Міра рахунку
regulation;['встановлене людиною правило', 'правило'];Будь-яке правило, створене людиною, наприклад, закон, інструкція, рекомендація, соціальна угода
regulation;['права людини', 'пра́во люди́ни', 'права́ люди́ни', 'основоположні права та свободи людини і громадянина', 'права і свободи людини', 'права і свободи людини і громадянина', 'порушення прав людини', 'прав людини'];Невід'ємні фундаментальні права, які людина має від народження
regulation;['рівні можливості', 'рівних можливостей', 'рівності можливостей'];Надання однакових можливостей для людей незалежно від їхніх відмінностей
regulation;['закон збереження енергії', 'перший закон термодинаміки', 'перше начало термодинаміки', 'збереження енергії'];пппро
regulation;['експропріація', 'примусове позбавлення власності', 'експропріації', 'експропрійовані', 'експропріювати', "обов'язкове придбання", 'право держави на примусове відчуження приватної власності', 'реквізовані'];Примусове (без відшкодування чи оплачуване) позбавлення власності
relation;['недоконаний вид дієслова', 'недоконаний вид', 'недоконаного виду', 'недосконалий', 'недосконалого'];вид дієслова
relation;['орієнтація', 'відношення', 'орієнтації', 'просторової орієнтації'];Опис кута, під яким розміщується предмет відносно визначених координатних осей простору, який він займає
relation;['котангенс'];Тригонометрична функція
relation;['північ', 'на північ'];Сторона світу та одна з чотирьох головних точок горизонту
relation;['південь', 'на південь'];Сторона світу та одна з головних точок горизонту
relation;['схід', 'на сході', 'на схід'];Одна з чотирьох сторін світу
relevant-part;['приквіток', 'приквітка', 'bractea', 'bracteolae', 'involucrum', 'lemma', 'lodikula', 'prophylla', 'spatha', 'брактеола', 'брактея', 'лема', 'лодікула', 'лодікули', 'обгортка', 'палеа', 'покривало', 'приквітничок', 'приквітки', 'bracteole', 'лч приквітками', 'приквітками'];Листочок на квітконіжці
relevant-part;['camarhynchus psittacula'];Вид птахів
relevant-part;['іскра'];частинка вогню
relevant-part;['флігель', 'крило́', 'флі́гель', 'додаток', 'прибудова'];бічна прибудова до головної будівлі
relevant-part;['шкіра', 'шкіряна промисловість', 'шкіряна промисловість україни', 'шкіряне виробництво'];Одна з галузей легкої промисловості, яка механічно та фізико-хімічно обробляє шкіри тварин
relevant-part;['вуса', 'ву́са', 'ву́си'];волосся на обличчі, вирощене на верхній губі
relevant-part;['велень'];сорт цупкого глянцевого паперу високої якості.
relevant-part;['лобкове волосся', 'інтимне волосся', 'волосся на лобку', 'промежини волосся'];волосся в області статевих органів підлітків і дорослих людей
relevant-part;['карапакс', 'панцир', 'щиток черепахи і ракоподібних'];Деталь екзоскелету деяких тварин
relevant-part;['полова', 'колоскові луски', 'луска', 'лушпиння'];Відходи при обмолочуванні зерна
relevant-part;['полова', 'колоскові луски', 'луска', 'лушпиння'];відходи молотьби
relevant-part;['вторинні статеві ознаки', 'вторинних статевих ознак', 'вторинний характер сексу', 'вторинних статевих характерних', 'вторинні статеві характеристики', 'другорядні характеристики сексу', 'другорядні характеристики статі'];Формуються під час росту і статевого дозрівання, діяльності статевих залоз
relevant-part;['лема', 'lemma', 'леми', 'цвітіння луски'];Фітоморфологічний термін у ботаніці
relevant-part;['апаратне забезпечення', 'залізо', 'пристрій', 'electronic hardware', 'hardware', 'аз', 'апаратне встаткування', 'апаратні засоби', "комп'ютерна техніка", 'комплектуючі', "комп'ютерне обладнання"];Матеріальна частина інформаційної системи
relevant-part;['вершина', 'вершиною'];Геометричне поняття
relevant-part;['черепашка', 'мушля', 'раковина', 'черепашки', 'морська черепашка', 'раковини'];Твердий захисний зовнішній шар, створений твариною, яка живе в морі
set;['метричний простір', 'метрика простору', 'метричний векторний простір', 'метричних просторів', 'метричної топології', 'метричній геометрії'];безліч, забезпечене метрикою (функцією відстані)
set;['група', 'мультиплікативна група', 'групи', 'математичну групу'];Алгебра
set;['підмножина', 'включення', 'включення власне', 'включення множин', 'включення множини', 'власне включення', 'відношення включення', 'надмножина', 'собственное подмножество', '⊂', '⊃', '⊄', '⊆', '⊇', 'включенню', 'власне підмножина', 'підмножини', 'розширенням'];Бінарне відношення множин, одна містить усі екземпляри іншої
simple-collection;['міфологія', 'міфограф', 'міфографія', 'мітологія', 'міфології', 'mythographer', 'mythographers', 'mythography', 'міф', 'міфології фиджийских'];Описування міфу в літературі або мистецтві
simple-collection;['міфологія', 'міфограф', 'міфографія', 'мітологія', 'міфології', 'mythographer', 'mythographers', 'mythography', 'міф', 'міфології фиджийских'];Письменник і дослідник міфів
simple-collection;['міфологія', 'міфограф', 'міфографія', 'мітологія', 'міфології', 'mythographer', 'mythographers', 'mythography', 'міф', 'міфології фиджийских'];Сукупність пов''язаних міфів певних людських спільнот
simple-collection;['скандинавська міфологія', 'германо-скандинавська міфологія', 'германо-скандинавська мітологія', 'германська міфологія', 'скандинаво-германська міфологія', 'скандинавської міфології', 'міфології'];Германо-скандинавська міфологія
simple-collection;['космос', 'всесвіт', 'світобудова', 'усесвіт', 'всесвіту', 'всесвіті', 'всесвітів', 'макрокосм', 'світі', 'фізичним світом', 'фізичному світі'];Сукупність усього, що існує: час, простір, матерія, енергія
simple-collective;['народ', 'на́ція', 'наро́д', 'нарід', 'людей'];сторінка значень у проекті Вікімедіа
simple-collective;['віртуальна спільнота', 'віртуальне співтовариство', 'віртуальні співтовариства', 'віртуальна громада', 'віртуальні спільноти', 'інтернет-спільнота', 'віртуальних спільнот', 'інтернет-спільноти'];Сукупність людей, об'єднаних одним інтересом, які спілкуються тільки за допомогою певного виду зв'язку
simple-collective;['еліта', 'еліти', 'елітна група', 'політичної еліти'];Невід''ємна частина соціуму, вибрані, найкращі, панівна верства
simple-collective;['дворяни', 'шляхта', 'аристократія', 'аристократ', 'знать', 'аристокра́т', 'аристокра́тка', 'дворя́нство', 'шля́хта', 'дворянство', 'дворянин', 'дворянка', 'польська шляхта', 'ходачкова шляхта', 'челядин князя', 'шляхетство', 'шляхтич', 'шляхтичі', 'аристократії', 'вищої знаті', 'дворян', 'дворянки', 'дворянства', 'дворянський титул', 'облагороджується'];Привілейований стан, який виник у феодальному суспільстві
simple-collective;['дворяни', 'шляхта', 'аристократія', 'аристократ', 'знать', 'аристокра́т', 'аристокра́тка', 'дворя́нство', 'шля́хта', 'дворянство', 'дворянин', 'дворянка', 'польська шляхта', 'ходачкова шляхта', 'челядин князя', 'шляхетство', 'шляхтич', 'шляхтичі', 'аристократії', 'вищої знаті', 'дворян', 'дворянки', 'дворянства', 'дворянський титул', 'облагороджується'];Клас людей, які або мають спадкові титули, надані монархом або пов'язані з такими людьми
simple-collective;['інтелігенція', 'інтелігент', 'інтелігенти', 'інтеліґенція', "суб'єкти культурної творчості", 'творча інтелігенція', 'inteligentsia', 'інтелігенції'];Суспільний прошарок, соціокультурне співтовариство. у широкому розумінні — люди розумової праці, що зайняті у різних галузях культури, освіти, науки, охорони здоров''я
simple-collective;['нація'];Історична спільність людей, що складається в ході формування спільності їх території, економічних зв''язків, літературної мови, деяких особливостей культури і характеру, які складають її ознаки
simple-planned-collective;['партійні збори', 'caucus', 'кокус', 'учасником зборів'];зустріч членів і прихильників певної політичної партії
simple-planned-collective;['населений пункт', 'поселення', 'людських поселень', 'маленьке місто', 'селі'];Поселення, населене людьми
simple-planned-collective;['тріумвірат', 'тріумвіра́т', 'триумвірат', 'тріумвір', 'перший триумвірат', 'triumviri', 'триумвира', 'тріумвірів'];Політичний альянс
simple-planned-collective;['натовп', 'гурт', 'на́товп', 'збіговисько', 'юрба', 'натовпу'];Скупчення неорганізованих людей, стурбованих фактором зовнішньої провокації
simple-planned-collective;['адвокатська палата', 'професія юриста', 'юридичної спільноти'];Професійна організація юристів
simple-planned-collective;['дойл ерен', 'dáil éireann', 'дойл ерян', 'палата представників ірландії', 'нижня палата парламенту ірландії'];Нижня палата парламенту Республіки Ірландія
