abstract-region;['grannizza fìsica scalari', 'rannizza fìsica scalari'];Grannizza fìsica chi si po'' misurari cûn nùmmiru sulu
socially-constructed-person;['carciareri', 'carzareri'];Guardia chi varda e assisti li carcirati ntê càrciri
socially-constructed-person;['prufissuri'];Cu havi lu tìtulu accadèmicu pi nzignari
socially-constructed-person;['minossi', 'minos'];Re di Crita ntâ mituluggìa greca
socially-constructed-person;['mpiraturi'];Suvranu di nu mperiu
socially-constructed-person;["prisidenti dî stati uniti d'amèrica"];Capu dû statu e dû guvernu dî Stati Uniti d''Amèrica
socially-constructed-person;['munarca', 'monarca'];Capu dû Statu ntê munarchìi
space-region;['piràmidi'];Sòlidu geumètricu chi s''otteni cugnuncennu li vèrtici di nu pulìgunu di basi cûn puntu chi nni sta fora
space-region;['sferoidi', 'ellissoidi di rutazzioni'];Forma geumètrica sòlida ca s''otteni facennu rutari n''ellissi attornu a unu dî so assi
spatial-feature;['canyon', 'gula', 'ula'];Vaddi assai stritta e funna
spatial-feature;['muntagna', 'munti'];Parti di terra inclinata ca si jisa cchiu'' auta rispettu ê terri intornu
spatial-feature;['fruntera', 'cunfini', 'finàita', 'lìmitu'];Cunfini geugràficu di n''entità pulìtica o amministrativa
spatial-feature;['vaddi', 'valli'];Parti di terra cchiu'' bascia dî terri circustanti, cchiu'' longa ca larga, di sòlitu scavata dûn ciumi
spatial-feature;['surgenti', 'surgiva', 'fonti', 'funti', 'favara', "flusciu d'acqua", 'scaturìggini', "testa di l'acqua"];Postu unni l''acqua nesci naturalmenti dâ terra in quantità abbunnanti
spatial-feature;['puntu di fini'];Postu unni finisci quarchi cosa
spatial-feature;['catina muntagnusa'];Siguenza di muntagni chi fannu parti di nu stissu sistema muntagnusu
spatial-feature;['ghiacciaiu', 'ghiacciaru', 'ghiacciaju', 'ghiazzaru', 'iazzaru', 'jazzaru', 'ghiacciau'];Massa naturali e pirmanenti di ghiacciu
spatial-feature;['praia', 'plaia', 'plaja', 'praja', 'spiaggia'];Postu unni la terra scinni ducimenti ntô mari, cummigghiatu di rina o petri nichi
spatial-feature;['etna', 'muncibeddu', 'a muntagna', 'la muntagna', 'ettena', 'ettina', 'mongibello', 'muncibbeddu', 'muncibbieddu', 'muncibeddhu', 'muncibieddu', 'muncipeddu', 'muncipieddu', 'mungibbeddru', 'mungibbeddu', 'mungibeddhu', 'mungibeddru', 'mungibeddu', 'mungibieddu', 'mungibiellu', 'èttena', 'èttina'];Vulcanu dâ Sicilia
spatial-feature;['uadi'];Sorta di ciumara quasi sempri sciutta, eccettu quannu chiovi, chi si trova prupiamenti ntê diserti di l''Àfrica e dû Vicinu Orienti
spatial-feature;['costa', 'ripa'];Linia unni la terra scontra l''acqua dûn mari o dûn lagu
spatial-feature;['cima', 'pizzu', 'altura', 'curma', 'picu', 'pizzu di muntagna', 'summità'];Ntâ topugrafìa, puntu cchiu'' autu di na muntagna o di n''altura, o cchiu'' in ginirali, puntu chi si trova a èssiri cchiu'' autu di tutti li punti chi cci stannu attornu
spatial-feature;['cima', 'pizzu', 'altura', 'curma', 'picu', 'pizzu di muntagna', 'summità'];Ntâ topugrafìa, puntu cchiu'' autu di na muntagna o di n''altura, o cchiu'' in ginirali, puntu chi si trova a èssiri cchiu'' autu di tutti li punti chi cci stannu attornu
subject;['scienza', 'scenza', 'scientificu', 'scinziatu'];Insiemi di canuscenzi strutturati e coerenti ottinuti cu ossirvazzioni mitòdichi e rigurusi
subject;['scienzi dâ terra'];Scienzi chi studiunu lu pianeta Terra
subject;['giugrafìa', 'geografia', 'geografìa', 'gioggrafia', 'giografia', 'giografìa', 'geugrafìa'];La scienza chi studia li terri, li carattirìstichi, l''abbitanti, li finòmini dâ Terra e la so rapprisintazzioni
subject;['nfurmàtica', 'infurmàtica', 'tiurìa dâ nfurmazzioni', "'nformatica", "tiurìa di l'infurmazzioni", 'infurmatica', 'ncignirìa di computer', 'nformatica', 'nfurmatica', 'scienza di li computer', 'tiuria ra infurmazzioni'];Scienza chi studìa l''elabburazzioni dî nfurmazzioni pi menzu dî calculatura elittrònici
subject;['nfurmàtica', 'infurmàtica', 'tiurìa dâ nfurmazzioni', "'nformatica", "tiurìa di l'infurmazzioni", 'infurmatica', 'ncignirìa di computer', 'nformatica', 'nfurmatica', 'scienza di li computer', 'tiuria ra infurmazzioni'];Tecnuluggìa dâ pruggittazzioni e di l''applicazzioni dî calculatura elittrònici
subject;["tiurìa di l'insiemi"];Rama dâ matimàtica ca studìa l''insiemi
subject;['fìsica', 'fisica', 'fisìca', 'hìsica'];Scienza ca studia li liggi dâ natura
subject;['bioluggìa', 'biuluggìa', 'bioluggia'];Scienza chi studia la vita
subject;['scienzi naturali'];Scienzi ca studiunu l''aspetti fìsici, chìmici e biulòggici dâ natura
subject;['ncignirìa ginètica', 'ingigniria ginetica', 'ngignirìa ginètica'];sittori ḍḍè biotecnologie ccâ ssì òccupa ḍḍà manipulazzioni ḍḍì gèni
substance-role;['miscela', 'miscugghiu', 'mistioni', 'mistura'];Chiddu ca s''otteni mmiscannu nsèmmula sustanzi diffirenti
substance-role;['suluzzioni'];Miscela omuggenia custituuta di na sula fasi
task;['cumminazzioni'];Scelta di na quantità di cosi a partiri d''un insiemi, unni l''ordini dî cosi scigghiuti nun cunta
taxonomic-collection;['nùmmiru grammaticali', 'nùmmiru'];Nùmmiru chi s''attribbuisci a n''entità grammaticali comu ad esempiu un nomu o n''aggittivu
taxonomic-collective;['tribbù'];Rangu tassunòmicu secunnariu chi sta'' sutta â supratribbù e supra â suttatribbù
taxonomic-collective;['famigghia'];Rangu tassunòmicu chi sta'' sutta a l''òrdini e supra ô gèniri
taxonomic-collective;['classi'];Rangu tassunòmicu chi sta'' supra a l''òrdini e sutta ô filu
taxonomic-collective;['razza', 'suttaspecia', 'suttaspecii', 'suttaspecî'];Rangu tassunòmicu chi sta'' sutta â specia
taxonomic-collective;['razza', 'suttaspecia', 'suttaspecii', 'suttaspecî'];Suttansiemi di l''innividui di na stissa specia ca si ponnu mèttiri a cumuni pi certi carattirìstichi ginètichi
taxonomic-collective;['òrdini'];Rangu tassunòmicu chi sta'' sutta â classi e supra â famigghia
taxonomic-collective;['gèniri'];Rangu tassunòmicu chi sta'' sutta â famigghia e supra â specia
taxonomic-collective;['speci', 'specia', 'specî'];Rangu tassunòmicu chi sta'' sutta ô gèniri e supra â suttaspecia
taxonomic-collective;['filu', 'phylum'];Rangu tassunòmicu chi sta'' supra â classi e sutta ô regnu
taxonomic-collective;['striggidi', 'strigidae'];Famigghia di aceddi rapaci comu â cucca e â pìula
taxonomic-collective;['chiuppu', 'populus', 'chiùppiru', 'ghiuppu', 'chiuppiru'];Specia di àrvulu
taxonomic-collective;['taxon'];Entità cuncittuali ca metti nsèmmula èssiri viventi chi hannu certi carattirìstichi in cumuni
taxonomic-collective;['pipiruni', 'pipi', 'cápsicum', 'pipi ardenti', 'pipi brucenti', 'biezzi', 'biezzu'];Gèniri di chianti, ca cumprenni lu pipi e lu pipi ardenti
taxonomic-collective;['palma', 'palmara'];Specia di chianta
taxonomic-collective;['esapudi', 'hexapoda'];Supraclassi di armali chi hannu sei ciampi
taxonomic-collective;['amenta'];Gèniri di chianti
taxonomic-collective;['charales'];catigurìa di nu pruggettu Wikimedia
taxonomic-collective;['tùrtura'];Specia di aceddu
taxonomic-collective;['canis'];Gèniri ca cunteni specî comu ô cani e ô lupu
taxonomic-collective;['culex'];Gèniri dî Culicidi chi cumprenni li zappagghiuna cumuni
taxonomic-collective;['felis'];Gèniri dî Felidi
technique;['abbilitati', 'abbilità', 'capacità', 'cumpitenza'];Capacità di purtari a tèrmini nu tipu di travagghiu
temporal-region;['primu di giugnettu', '1 di giugnettu'];Data
temporal-region;['1 di jinnaru', '1 di innaru', '1 innaru', '1º di jinnar', 'primu di jinnaru'];Data
temporal-region;['2 di frivaru'];Data
temporal-region;['primu di nuvèmmiru', 'tuttisanti', '1 di nuvemmiru', '1 di nuvèmmiru'];Data
temporal-region;['natali', '25 di dicèmmiru', '25 di dicemmiru'];Festa ca cummèmura la nascita di Gesù Cristu
temporal-region;['natali', '25 di dicèmmiru', '25 di dicemmiru'];Data
temporal-region;['19 di marzu'];Data
temporal-region;['14 di aprili', "14 d'aprili", '14 d’aprili'];Data
temporal-region;['24 di uttùviru', '24 di uttuviru', '24 d’uttùviru'];Data
temporal-region;['12 di uttùviru', '12 di uttuviru'];Data
temporal-region;['4 di giugnettu', '4 di lugliu'];Data
temporal-region;['oluceni', 'oloceni'];Sicunna, e currenti, èpuca dû Quatirnariu, e ùnicu pianu ca la cumponi
temporal-region;['24 di maiu', '24 di maggiu', '24 di maju'];Data
temporal-region;['17 di sittèmmiru', '17 di sittemmiru'];Data
temporal-region;['1 di austu', "1 d'austu", 'primu di austu'];Data
temporal-region;['14 di giugnu'];Data
temporal-region;['29 di giugnu'];Data
temporal-region;['miuceni'];Prima èpuca dû Niugeni
temporal-region;['utc', 'ura univirsali coordinata'];Fusu urariu e ura di rifirimentu univirsali
temporal-region;['29 di sittèmmiru', '29 di sittemmiru', '29 sittiemmiru'];Data
temporal-region;['21 di giugnu'];Data
temporal-region;['1 di maiu', '1 di maggiu', '1 di maju', 'primu di maiu'];Data
temporal-region;['2 di marzu'];Data
temporal-region;['tempu', 'tiempu', 'tèmpura'];Diminsioni chi esprimi la diffirenza tra li fatti chi già succideru, li fatti chi stannu succidennu, e li fatti chi ancora hannu a succèdiri. na succissioni cuntinua e cumpatta di istanti
temporal-region;['dicèmmiru', 'decemmiru', 'dicembri', 'dicemmiru', 'diciemmiri'];Dudicèsimu misi di l''annu ntê calinnarî giulianu e grigurianu
temporal-region;['dicèmmiru', 'decemmiru', 'dicembri', 'dicemmiru', 'diciemmiri'];Dudicèsimu misi di l''annu ntê calinnarî giulianu e grigurianu
temporal-region;['ura di greenwich', 'gmt', 'ura media di greenwich'];Fusu urariu chi s''osserva ntô Regnu Unitu
temporal-region;['marzu'];Terzu misi di l''annu ntê calinnarî giulianu e grigurianu
temporal-region;['austu', 'aùstu', 'agustu'];Ottavu misi di l''annu ntê calinnarî giulianu e grigurianu
temporal-region;['giugnettu', 'lugliu', 'lugghiu'];Sèttimu misi di l''annu ntê calinnarî giulianu e grigurianu
temporal-region;['nuvèmmiru', 'nuvemmiru', 'nuvembri'];Unnicèsimu misi di l''annu ntê calinnarî giulianu e grigurianu
temporal-region;['uttùviru', 'uttuviru', 'ottobbri', 'ottubbri'];Dècimu misi di l''annu ntê calinnarî giulianu e grigurianu
temporal-region;['29 di frivaru'];Data
temporal-region;['23 di giugnu'];Data
temporal-region;['archianu', 'archïanu'];Sicunnu e ùltimu eoni dû Pricambrianu
temporal-region;['ura muntana', 'mt', 'ura dî muntagni'];Fusu urariu statunitensi chi osserva l''ura MST ntô nvernu e l''ura MDT ntâ stati
temporal-region;['ura pacìfica', 'pt', 'ptz', 'ura dû pacìficu', 'zona uraria pacìfica'];Fusu urariu statunitensi chi osserva l''ura PST ntô nvernu e l''ura PDT ntâ stati
temporal-region;["ura di l'alaska"];Fusu urariu statunitensi chi osserva l''ura AKST ntô nvernu e l''ura AKDT ntâ stati
temporal-region;['ura standard atlàntica', 'ast'];Fusu urariu chi s''osserva ntô nvernu nto Canadà e tuttu l''annu nta tanti paìsi di l''Ocèanu Atlànticu
temporal-region;['ura cintrali', 'ct'];Fusu urariu nordamiricanu chi osserva l''ura CST ntô nvernu e l''ura CDT ntâ stati
temporal-region;['6 di jinnaru', 'strina', 'bifanìa', 'pifanìa', '6 di innaru'];Festa chi cummèmura l''arrivu dî Re Maggi, nta l''Italia si cèlibbra lu 6 di jinnaru
temporal-region;['6 di jinnaru', 'strina', 'bifanìa', 'pifanìa', '6 di innaru'];Data
theory;['nfurmazzioni', 'infurmazzioni', "'nfurmazzioni", "'nformazzioni", "'nfurmazziona", 'informazzioni', 'mpurmazioni', 'nformazzioni', 'nfurmazziuni'];Entità stàtica chi cumùnica na canuscenza ôn suggettu chi la ricivi
