abstract-region;['skaler', 'sayısal'];Koordinat sistemlerindeki özelliklerden etkilenmeyen bir niceliktir
political-geographic-object;['edirne', 'adrianopolis', 'edirne merkez', 'hadrianapolis', 'merkez, edirne', 'odrin'];Edirne ilinin merkez ilçesinin eski ismi
political-geographic-object;['utrecht'];Utrecht `teki şehir.
political-geographic-object;['perm'];Perm kentinin 1940 - 1957 yılları arasındaki adı.
political-geographic-object;['hollanda', 'nederland', 'hollânda', 'netherlands', 'niederlande', 'hollanda krallığı'];Avrupa `da ülke
political-geographic-object;['orta afrika cumhuriyeti', 'central african republic', 'merkezi afrika cumhuriyeti', 'orta arfika cumhuriyeti', 'orta afrika'];Afrika `da bir ülke.
political-geographic-object;['cibuti', 'cibuti cumhuriyeti', 'djibouti', 'çibuti', 'afars ve issas'];Resmi adı Cibuti Cumhuriyeti-Doğu Afrika `da küçük bir ülke. Başkenti Cibuti şehri `dir.
political-geographic-object;['i̇ngiltere', 'ingiltere', 'england', 'i̇ngiltere nüfusu'];Aynı şehrin futbol takımı içinde kullanılır.
political-geographic-object;['frankfurt', 'frankfurt am main', 'main frankfurt'];Almanya `nın Hessen eyaletinde yer alan ülkenin beşinci en büyük şehri.
political-geographic-object;['greenwich village'];New York şehrinin Lower Manhattan kısmının batı tarafında bulunan ve çoğunlukla meskun olan bir bölge
political-geographic-object;['new jersey', 'new jersey, abd', 'yeni jersey', 'new jersey eyaleti', 'nj'];Amerika Birleşik Devletleri `nin üçüncü eyaleti.
political-geographic-object;['michigan', 'michigan eyaleti', 'mişigın', 'great lakes devlet', 'wolverine devlet'];ABD `de eyalet
political-geographic-object;['hobart', 'hobart, tazmanya'];Avustralya `nın Tazmanya eyaletinde bir şehir.
political-geographic-object;['bordeaux'];Fransa `da bir şehir.
political-geographic-object;['demokratik kongo cumhuriyeti', 'belçika kongosu', 'kongo demokratik cumhuriyeti', 'zaire', 'kongo kinşasa', 'kongo cumhuriyeti', 'belçika kongo', 'congo-kinshasa', 'congo dr', 'kongo-kinşasa', 'kongo-léopoldville'];Demokratik Kongo Cumhuriyeti `nin 1971 ile 1997 yılları arasındaki resmi adı.
political-geographic-object;['macaristan', 'macaristan cumhuriyeti', 'hungary', 'macar devleti', 'magyarország'];Orta Avrupa `da bir ülke.
political-geographic-object;['meksika', 'meksika birleşik devletleri', 'meksikalı', 'birleşik meksika devletleri'];Belediye) Allende (Municipio)
political-geographic-object;['ermenistan', 'ermenistan cumhuriyeti', 'hayastan'];Kafkasya `da bir ülke.
political-geographic-object;['i̇rlanda', 'i̇rlanda cumhuriyeti', 'eîre', 'ireland', 'irlanda', 'i̇rlanda adası', 'republic of ireland', 'irlanda cumhuriyeti'];Tantra ve dovsing üzerine çalışan Joe Mullally tarafından yürütülen bir kutsal merkez (ANAM Holistic Center)
political-geographic-object;['madagaskar', 'malgaşça cumhuriyeti', 'madagaskarlı', 'madakaskar', 'madagaskar cumhuriyeti'];Afrika yakınında bir ada ve ülke
political-geographic-object;['kızılderili rezervasyonu', 'rezervasyon', 'kızılderili rezervasyonları', 'hint rezervasyon', 'kızılderililere ayrılmış bölge'];ABD `de Kızılderililerin kapatıldıkları açık alanlar
political-geographic-object;['başkent', 'başkentler', 'başşehir', 'baskent', 'bassehir', 'baş kent', 'payitaht', 'başkenti'];Başkent anlamına gelmektedir.
political-geographic-object;['tennessee', 'devlet gönüllü', 'tn'];Amerika Birleşik Devletleri `nde bir eyalet.
political-geographic-object;['georgia', 'güney empire state', 'gürcistan', 'şeftali devlet'];Birleşik Devletler `in güneydoğusundaki bir eyalettir.
political-geographic-object;['kaliforniya', 'california', 'california, abd', 'californiya', 'kalifornia', 'kaliforniya eyaleti', 'kalifornya', 'calif', 'golden state'];ABD `nin federal eyatlerinden birisi.
political-geographic-object;['bihar'];Hindistan `da bir eyalet
political-geographic-object;['bölge', 'i̇lçe', 'müstemleke', 'toprak', 'özel bölge', 'ilçe', 'semt', 'yöre', 'i̇lçedir', 'toprak hakimiyet'];Illerin alt birimi.
political-geographic-object;['argos'];Yunanistan' ın güneyinde Mora Yarımadası `nda yer alan bir kent.
political-geographic-object;['persepolis'];Marjane Satrapi `nin çizgi romanından uyarlanarak hazırlanan çizgi film
political-geographic-object;['cezayir', 'algiers', 'cezayirli', 'cezayirli sermaye'];Cezayir `in başkenti ve en büyük şehridir. Aynı zamanda Cezayir Eyaleti `nin başkentidir
political-geographic-object;['yeşil burun adaları', 'cape verde', 'yeşilburun', 'cabo verde', 'cape verde adaları', 'capo verde', 'kap verde', 'kap verde adaları', 'kap vert', 'kape verde', 'kapo verde', 'yeşil burun', 'yeşilburunlu', 'cape verde cumhuriyeti'];Atlas Okyanusu `nda, Senegal ve Moritanya açıklarındaki takımadalarda bulunan bir Afrika ülkesi
political-geographic-object;['pompeii', 'pompei faciası', 'pompeii felaketi'];Antik Roma şehri
political-geographic-object;['kiev', 'kyiv', 'kiyef', 'kiyev', 'kıyiv', 'kyyiv', "ukrayna'nın başkenti"];Ukrayna `nın başkenti
political-geographic-object;['erivan', 'erevan', 'i̇revan', 'revan', 'yerevan', 'yerivan', "ermenistan'ın başkenti", 'jerevan'];Ermenistan' ın başkenti.
political-geographic-object;['etiyopya', 'habeşistan', 'ethiopia', 'etiopya', 'etiyopyalı', 'etyopya', 'habeş', 'habeşli', 'etiyopya federal demokratik cumhuriyeti', 'yaltopya'];Habeşistan `a, yani Etiyopya `ya dair
political-geographic-object;['rusya sovyet federatif sosyalist cumhuriyeti', 'rsfsc', 'rus sfsc', 'rusya sfsc', 'rusya sovyet federatif sosyalist cumhuriyet', 'sovyet rusya federatif sosyalist cumhuriyeti', 'rus sovyet federe sosyalist cumhuriyeti', 'sovyet rusya'];Eski Sovyet cumhuriyeti. (1917-1991)
political-geographic-object;['trablus', 'tripoli', "libya'nın başkenti", 'tarabulus al-gharb'];Osmanlılar zamanında Trablusgarp, yani batıdaki Trablus adıyla anılırdı.
political-geographic-object;['manhattan', "manhattan'ın şist"];New York kenti `nin 5 ana bölgesinden biri
political-geographic-object;['monrovia', "liberya'nın başkenti", 'liberya sermaye'];Liberya `nın başkenti
political-geographic-object;['kâbil', 'kabil', 'kabil, afganistan', 'kabul', 'kâbil, afganistan', "afganistan'ın başkenti"];Afganistan' ın başkenti ve en büyük şehri
political-geographic-object;['münih', 'munich', 'münchen', 'münich', 'muenchen'];Berlin ve Hamburg `tan sonra Almanya `nın en büyük üçüncü kentidir.
political-geographic-object;['cibuti', 'cibuti sermaye'];Cibuti `nin başkenti ve en büyük şehri.
political-geographic-object;['atina', 'athen', 'athens', 'atina, yunanistan', 'athinai', 'atinalı', 'yunan başkentinde', "yunanistan'ın başkenti"];Yunanistan' ın başkenti
political-geographic-object;['tunus', 'tunis', 'tunus sermaye'];Kuzey Afrika ülkesi olan Tunus `un başkenti olan şehir.
political-geographic-object;['bakü', 'baku', 'bakû', "azerbaycan'ın başkenti"];Azerbaycanın başkenti
political-geographic-object;['porto-novo', 'ajase', 'benin sermaye', 'porto novo'];Batı Afrika ülkesi Benin `in resmi başkenti ve ikinci büyük kenti
political-geographic-object;['yeni delhi', "hindistan'ın başkenti"];Hindistan' ın başkenti.
political-geographic-object;['bişkek', 'bishkek', 'frunze', 'kırgızistan başkenti'];Bişkek kentin Sovyetler Birliği dönemindeki adı.
political-geographic-object;['palermo'];Akdeniz `de bir ada olan Sicilya `nın başkentidir
political-geographic-object;['hartum', 'kartum', 'khartoum', "sudan'ın başkenti"];Sudan' ın başkenti ve en büyük şehri.
political-geographic-object;['ankara', "ankara'nın başkent olması", 'ankara, turkey', 'ankara ili', 'ankara i̇li', 'engürü', 'türk sermayesi', "türkiye'nin sermaye"];Galatya bölgesindeki antik şehir. Günümüzde Ankara.
political-geographic-object;['i̇stanbul', 'istanbul', 'dersaadet', 'istanbul, turkey', 'i̇stanbul, türkiye', 'i̇stanbuldaki ilçeler', 'yeditepe', 'miklagard', 'stamboul', 'stambul'];CeBIT Bilişim Eurasia
political-geographic-object;['new york', 'new york kenti', 'new york city', 'nyc', 'new york şehri', 'new york, new york', 'nev york', 'new york city, new york', 'newyork', 'ny', 'greater new york'];New York kentinin resmi adı. New York eyaletinde yer aldığını gösteren adlandırma biçimi.
political-geographic-object;['philadelphia', 'philadelphia, pensilvanya', 'filadelfiya', 'filadelfiya, pensilvanya', 'filafeldiya', 'filapeldiya', 'filedelfiya', 'filedelfiya, pensilvanya', 'filifeldiya', 'filipeldia', 'philadelphia, pennsylvania', 'kardeşçe sevginin şehri'];ABD `nin Pensilvanya eyaletine bağlı bir şehir.
political-geographic-object;['trablus', 'tripoli', "libya'nın başkenti", 'tarabulus al-gharb'];Osmanlılar zamanında Trablusgarp, yani batıdaki Trablus adıyla anılırdı.
political-geographic-object;['brezilya', 'brezilya cumhuriyeti', 'brezilya federal cumhuriyeti', 'brezilya türkleri', 'türk asıllı brezilyalılar', 'brasil', 'brezilya federatif cumhuriyeti'];Güney Amerika kıtasında bir ülke.
political-geographic-object;['toronto'];Ontario, Kanada
political-geographic-object;['lahey', 'den haag', 'la haye', 'the hague', "'s-gravenhage", 'gravenhage', "'s gravenhage"];Hollanda `nın 3. büyük şehri.
political-geographic-object;['adelaide'];Güney Avustralya (South Australia)
political-geographic-object;['perth, batı avustralya', 'perth'];Batı Avustralya başkenti
practice;['zulüm', 'acımasızlık', 'cefa', 'eziyet', 'kıygı', 'mezalim', 'zulmetmek', 'acımasız'];Bir kişiye veya gruba başka bir kişi veya grup tarafından ısrarlı olarak kötü davranmasıdır.
practice;['karşılıklı yardımlaşma'];Birbirleri için yararlı olan ve aralarında yardımlaşma davranışları sergileyen canlıların davranışlarının doğal seçilim tarafından seçilmiş olması durumu
practice;['barış', 'huzur', 'sulh', 'baris'];Düşmanlığın olmamasını ifade eden kavram
qualitative-role;['ana fikir', 'motif', 'tema'];Herhangi bir yazının asıl düşünce özü
qualitative-role;['ana fikir', 'motif', 'tema'];Anlatım düzeni içinde en küçük birim.
quality;['huzur'];Rahat ve dingin olma durumu
quality;['master of science', 'm.s', 'm.sc', 'msc', 'yüksek lisans'];Kısaca M.Sc. diye anılan üniversite yüksek lisans derecesi
quality;['olasılık', 'fırsat', 'talih', 'şans', 'ihtimal', 'i̇htimaliyet', 'rastgele', 'olasılıksal'];Ihtimal veya rastgelelik
quality;['menekşe', 'mavi kırmızımsı', 'mor'];Bir renk
quality;['i̇mpuls', 'impuls', 'darbe', 'ivme'];Bir cisme etkiyen net kuvveti ile etki süresinin çarpımına denir.
quality;['politeizm', 'çoktanrıcılık', 'politeist', 'politeistik', 'çok-tanrılı dinler', 'çok tanrıcılık', 'çok tanrılı', 'çoktanrıcı', 'çoktanrılı', 'müşrik', 'müşriklerin', 'tanrılı'];Bir dini inanışta birden çok tanrıya inanmak, Tanrı inancı çeşitliliği.
quality;['cool', 'küstahlık', 'soğukkanlılık', 'özgüven'];Bir moda terimi
quality;['sessizlik', 'susmak'];Işitilebilir sesin kısmen ya da tümüyle yokluğu
quality;['mavi', 'gök', 'kök', 'gökçe', 'mavi ışık', 'mavililer'];Bir renk.
quality;['zarf', '✉'];Herhangi bir malzemenin içine yerleştirildiği, korumak, gizlemek veya estetik görünüm amaçlı kâğıt veya plastik maddeden yapılan paketleme aracı.
quality;['i̇slam', 'i̇slam dini', 'islam', 'i̇slamlık', 'muhammedîlik', 'i̇slam dîni', 'i̇slâm dini', 'i̇slâm dîni', 'müslümanlık', 'muhammedizm', 'islamiyet', 'islâm', 'islâmiyet', 'i̇slam inancı', 'i̇slami', 'i̇slamiyet', 'i̇slamiyetin doğuşu', 'i̇slamiyetlik', 'i̇slamî', 'i̇slâm', 'i̇slâmiyet', 'i̇slâmî', 'muhammedilik', 'neo islam', 'islamcılar', 'islamcılık', 'islami', "militan islam'ın", 'muhammadanism'];Kazâ, Allah' ın ezelde takdir buyurduğu olayların, zamanı gelince ilim ve iradesine yani kadere uygun olarak meydana gelmesine verilen isimdir.
quality;['kırmızı', 'al', 'kızıl', 'kirmizi', 'kırmızı ışık'];Bir renk.
region;['par', 'albatros'];Bir deliğin tamamlanması için gereken vuruş sayısı
region;['par', 'albatros'];Bir deliğin tamamlanması için gereken vuruş sayısı
region;['punto'];Baskı yazılarının genel ölçü birimidir. 1 punto, metrik sistemde yaklaşık 0,376 mm.dir. Bir harfin yüksekliği milimetre olarak ölçülüp dörde bölünerek yaklaşık punto değeri bulunabilir. 12 puntoluk harf ölçüsüne pica denilmektedir.4 mm ölçülen bir harfin punto değeri. 1 punto 0,376 mm ise 4mm 0,376 mm `ye bölünür.Punto değeri yaklaşık olarak (10,6) bulunur.
region;['ångström', 'angström', 'angstrom', 'a', 'angström birimi'];Bir uzunluk birimi
region;['pikometre', 'picometer', 'picometre', 'micromicron'];Metrik sistemde, metrenin terametre `de biri
region;['pound-kuvvet', 'pound', 'pound-force', 'pound kuvvet', 'lbf', 'lbf.'];Kuvvet birimi
region;['amper-saat', 'amp-saat'];Elektriksel yük birimi
region;['joule', 'jul', 'kilojoule', 'j', 'nanojul', 'gigajoule', 'megajoule', 'ty', 'watt saniye'];Iş birimi
region;['kilowatt saat', 'kilovat saat', 'kwh', 'kilovatsaat', 'kilowatt-saat', 'kw h', 'kw·', 'twh', 'terawatt saat', 'b.t.u.', 'kw-saat', 'megawatt-saat', 'megawatt saat', 'ticaret biriminin kurulu'];Enerji birimi
region;['kilowatt saat', 'kilovat saat', 'kwh', 'kilovatsaat', 'kilowatt-saat', 'kw h', 'kw·', 'twh', 'terawatt saat', 'b.t.u.', 'kw-saat', 'megawatt-saat', 'megawatt saat', 'ticaret biriminin kurulu'];Enerji birimi
region;['lüks', 'lüks birimi', 'lux'];Bir fizik birimi.
region;['gauss'];Manyetik alan birimi.
region;['tesla', 'nanotesla'];Manyetik akım yoğunluğu birimi
region;['frank', 'frangı'];Eski bir para birimi.
region;['guatemala quetzalı'];Guatemala `nın resmi para birimi.
region;['malavi kwachası', 'malavi kvaçası', 'malavi kwacha'];Malavi `de kullanılan para birimi.
region;['đồng', '₫', 'dong', 'vietnam đồng', 'vietnamca dong'];Vietnam `da kullanılan para birimi.
region;['kare', 'ikinci güç'];Matematikte bir sayının kendisiyle çarpılması işlemi
region;['1', 'bir', 'i', '①', '❶', '➀', '➊', '〡', '１', 'altı misli', 'as', 'başlığın', 'birlik', 'n-tuple'];Bir sayı.
regulation;['sağcılık', 'sağ görüşlü', 'sağcı', 'çoğulculuk'];Politik bir akım ya da ideoloji olarak.
relation;['güney', 'cenup', 'g', 's', 'güneye', 'güneye doğru'];Bir yön
relation;['güneydoğu', 'gd', 'se', 'güney doğu', 'ana yöne', 'güneydoğusunda', 'kardinal yön', 'keşişleme', "sou'-doğu", 'öklid hareket'];Bir yön.
relevant-part;['altın post', 'altin post', 'altın pösteki', 'golden fleece'];Yunan mitolojisinde zenginliği ve iktidarı sembolize eden efsanevi post.
simple-collection;['pegasus', 'feres', 'kanatlıat', 'tulpar', 'kanatlıat takımyıldızı', 'pegasus takımyıldızı', 'peg'];Modern 88 takımyıldızdan biri.
simple-collection;['lupus', 'kurt takımyıldızı', 'lupus takımyıldızı', 'kurt'];Bir takım yıldızı
simple-collection;['pisces', 'balık takımyıldızı', 'pisces takımyıldızı', 'balık', 'balıklar', 'balıklar takımyıldızı', 'psc'];Zodyak kuşağı takımyıldızlarından biridir.
simple-collection;['hydra', 'hydra takımyıldızı', 'suyılanı takımyıldızı', 'suyılanı'];Takımyıldız. Suyılanı takımyıldızı olarak da bilinir.
simple-collection;['libra', 'libra takımyıldızı', 'terazi takımyıldızı', 'terazi'];Bir takımyıldız
simple-collection;['mitoloji', 'mitolog', 'mitolojik', 'mit', 'mitograf', 'mitografi', 'mitologya', 'mitoloji ve atsaga', 'mitolojist', 'mitos', 'söylenbilim', 'söylence bilimi', 'söylencebilim', 'efsanevi', 'fiji mitoloji', 'fiji mitolojisinde', 'mitler', 'mythographer', 'mythographers', 'mythography', 'mythos'];Mısır tanrısı
simple-collective;['laikat', 'lâikât', 'meslekten olmayanlar', 'rahip olmayan kimse', 'yatıyordu bakanı'];Ruhban sınıfından olmayanların tümünü nitelendirmek maksadıyla kullanılan bir Hristiyanlık tabiri.
simple-collective;['pazar', 'borsa', 'fuar', 'panayır', 'sergi', 'çarşı', 'piyasa'];Ekonomi terimi.
situation;['totoloji'];Mantıki biçimi nedeniyle her daim doğru olan bir ifade.
situation;['selamlaşma', 'hitap', 'tebrik', 'selamlama'];Karşılama sözcüğü
situation;['hıçkırık', 'hıçkırmak', 'singultus'];Göğüs boşluğu ile karın boşluğunu birbirinden ayıran diyafram kasının birden kasılması sonucunda ses telleri arasındaki açıklığın istem dışı kapanması ile gerçekleşen ani soluk alımı ve bu sırada bir sesin dışarı çıkmasıdır.
situation;['sistemik lupus eritematozus', 'sle', 'lupus hastalığı', 'lupus eritematozus', 'lupus erythematosus', 'sistemik lupus', 'sistemik lupus eritamatoz', 'sistemik lupus eritematosus', 'yaygın lupus kızarıklığı', 'dissemine lupus eritematozus'];Sistemik lupus eritematozus hastalığının diğer adı
situation;['sedef hastalığı', 'psoriasis', 'plak psoriazis'];Bir tür deri hastalığı.
situation;['anksiyete bozukluğu', 'anksiyete bozuklukları', 'anksiyete nevrozu', 'kaygı bozukluğu', 'kaygı nevrozu', 'kronik anksiyete', 'sinir bozukluğu'];Kişinin işlevselliğini olumsuz yönde etkileyen patolojik düzeydeki korku, kaygı veya anksiyete bozukluklarına verilen genel kapsamlı bir ad
situation;['kansızlık', 'anemi', 'anemik'];Bir sağlık sorunu
situation;['bilmece', 'bulmaca', 'esrar', 'muamma', 'beyin-teaser', 'bilmeceler'];Bir şeyin adını anmadan niteliklerini üstü kapalı söyleyerek o şeyin ne olduğunu bulmayı dinleyene veya okuyana bırakan oyun.
situation;['sağlık', 'sağlık kavramı', 'insan sağlığı', 'sağlık tehlikesi', 'sağlıklı', 'sağlıklı yaşam'];Afiyet gibi anlamlara gelen bir terim
situation;['çiçek hastalığı', 'variola', 'çiçek aşısı', 'çiçek', 'küçük çiçeği'];Ağır ve bulaşıcı bir hastalık
situation;['moonwalk', 'ay yürüyüşü'];Michael Jackson ile özdeşleşen bir dans figürü.
situation;['tik', 'tikler'];Bir tür rahatsızlık
situation;['master of science', 'm.s', 'm.sc', 'msc', 'yüksek lisans'];Kısaca M.Sc. diye anılan üniversite yüksek lisans derecesi
situation;['açlık'];Aç kalma his ve durumu.
situation;['teorem', 'teoremler', 'teoremi', 'matematiksel teoremi', 'teoremleri'];Matematik ve mantıkta kanıtlanması amaçlanan sav, önerme.
situation;['aura'];Bazı migren veya epilepsi nöbetlerinde görülen bir belirti
situation;['veba', 'taun', 'kara ölüm', 'hıyarcıklı veba', 'haşere', 'pestis', 'tarımsal haşere'];Bir hastalık
situation;['gram boyama', 'gram boyası', 'gram leke', 'gram prosedürü', 'gram yöntemi'];Bakterileri Gram-pozitif ve Gram-negatif olarak ayırt etme yöntemi.
situation;['majör depresif bozukluk', 'klinik depresyon', 'major depresif bozukluk', 'majör depresyon', 'depresif bozukluk', 'depresyon', 'şiddetli depresyon'];Ruhsal bozukluk
situation;['kelebekleme yüzme', 'kelebek', 'kelebek inme', 'kelebek stili yüzme'];Bir yüzme stili.
situation;['sarhoşluk', 'alkol zehirlenmesi', 'alkol intoksikasyonu', 'sarhoş', 'ayyaş', 'ayyaşlık', 'tipsiness'];Fazla miktarda alkollü içecek tüketiminin neden olduğu, duyu bozuklukları, hareket uyumsuzlukları, konuşma bozuklukları, saldırganlık veya mutluluk hissi gibi davranışların genel adı
situation;['hata', 'kusur', 'yanılgı', 'yanılma', 'uygunsuz', 'yanlış', 'yanlışlık', 'gaf'];Bilim ve matematikte hata
situation;['kızıl', 'kızıl hastalığı'];Bir enfeksiyon hastalığı.
situation;['diferansiyel denklemler', 'diferansiyel denklem', 'diferansiyel analiz', 'diferensiyel denklemler', 'türevsel denklem', 'türevsel denklemler', 'diferansiyel denklemi'];Matematikte x `in diferansiyeli
situation;['hastalık', 'sayrılık', 'hastalıklar', 'bozukluk', 'maraz', 'maraza', 'marazlık', 'marazi', 'morbidite oranı', 'tıbbi durumdur'];Sağlığı bozulmuş kişi
situation;['lyme hastalığı', 'borreliosis', 'borreliyozu', 'lyme artriti'];Genelde Ixodes ricinus türü kenelerin isirmasi ile insana geçen Borrelia burgdorferi (önemli Borrelia burgdorferi, ama da Borrelia afzelii ve Borrelia garinii) adlı bakterinin yol açtığı bir hastalıktır.
situation;['kundakçılık', 'kundaklama', 'kundakçı', 'kışkırtıcılık', 'yangın yetiştirme'];Kasıtlı olarak yangın başlatma
situation;['gönderme', 'kinaye'];Bir yazın tekniği
situation;['aşı', 'aşılama', 'aşılı'];Bitkilerde, bir bitkiye, diğer bir bitkiden alınan parçanın kaynaştırılması amacıyla gerçekleştirilen işleme de verilen ad
situation;['onur madalyası', 'medal of honor', 'onur kongre madalyası', 'onur madalya'];ABD Ordusu tarafından verilen onur madalyası.
situation;['katliam', 'kitle katili', 'katliamlar', 'toplu katil', 'toplu katliam', 'kitle çekim', 'toplu idamı'];Kelime anlamı
situation;['paradoks', 'paradox', 'paradoksal', 'paradokslar'];Görünüşte doğru olan bir ifade veya ifadeler topluluğunun bir çelişki yaratması veya sezgiye karşı bir sonuç yaratması
situation;['adem-i merkeziyetçilik', 'adem-i merkeziyet', 'adem-i merkeziyetçi', 'ademi merkeziyet', 'ademimerkeziyetçilik', 'ademi', 'dağıtılmış', 'sorumluluğun dağıtılması'];Osmanlı Devleti son döneminde siyasi fikir.
situation;['yoksulluk', 'fakirlik', 'yoksul', 'muhtaçlık', 'düşük gelirli', 'gönüllü yoksulluk', 'göreli yoksulluk', 'kentsel yoksulluk', 'küresel yoksulluk', 'yoksullar', 'yoksulluk oranı', 'yoksulluk yemini'];Günlük temel ihtiyaçlarını karşılayacak yeterli gelire sahip olmayan.
situation;['katliam', 'kitle katili', 'katliamlar', 'toplu katil', 'toplu katliam', 'kitle çekim', 'toplu idamı'];Kelime anlamı
situation;['pazar', 'borsa', 'fuar', 'panayır', 'sergi', 'çarşı', 'piyasa'];Ekonomi terimi.
situation;['uyurgezerlik', 'sleepwalking', 'uykuda dolaşma', 'uykuda gezinme', 'uyurgezer', 'somnambulation'];Bir tür uyku bozukluğu.
socially-constructed-person;['giacomo giralomo casanova', 'casanova', 'giacomo casanova', 'kazanova', 'casanova de seingalt', 'giovanni jacopo casanova', 'giovanni jacopo casanova de seingalt'];Venedikli ünlü yazar ve diplomat
socially-constructed-person;['marquis de sade', 'comte donatien alphonse francois de sade', 'de sade', 'sade'];Fransız aristokrat ve felsefe yazarı
socially-constructed-person;['victor hugo', 'viktor hügo', 'hugo', 'victor-marie hugo'];Fransız yazar .
socially-constructed-person;['otto von bismarck', 'alman savaş gemisi bismarck', 'demir şansölye', 'otto von bismark', 'prens otto eduard leopold von bismarck', 'prens otto von bismarck', 'von bismarck'];Alman Birliğinin kurulmasını gerçekleştiren Alman devlet adamı. Birliğin demir ve kanla kurulması gerektiğini savunmuştur. 1871 `de Almanya `nın siyasi hayatında çığır açarak, Cermenleri birleştirip Prusya `dan aldığı güç ile Almanya İmparatorluğu `nu, Avrupa coğrafyası üzerinde sağlam temellere oturtmuştur.
socially-constructed-person;['alfred dreyfus', 'dreyfus'];Yahudi asıllı Fransız subayıdır.
socially-constructed-person;['adolf hitler', 'führer', 'hitler', 'bohem onbaşı', 'hitlerin ölümü', 'der führer'];Almanya Devlet Başkanı, Nasyonal Sosyalist Alman İşçi Partisi lideri
socially-constructed-person;['attila', 'attilâ', 'atilla', 'attila hun', 'tanrıların scourge', 'tanrının kırbacı'];Hun hükümdarı
socially-constructed-person;['sin', 'ay tanrısı sin', 'nanna'];Sümer mitolojisinde ay-tanrı.
socially-constructed-person;['bel'];Babil dininde çeşitli tanrılara verilen unvan
socially-constructed-person;['marduk', 'baal merodach', 'bel-merodach', 'merodach'];Antik Mezopotamya `daki geç dönem tanrılarından biri
socially-constructed-person;['elealı zenon', 'elealı zeno', "elea'lı zeno", "elea'lı zenon", 'zeno', 'elea zeno'];MÖ 490-MÖ 430 yılları arasında yaşadığı rivâyet edilen Antik Yunan filozof.
socially-constructed-person;['adonis'];Yunan mitolojisinde kurgusal bir kahraman
socially-constructed-person;['ülker', 'pleiades', 'pleiad'];Yunan mitolojisindeki yedi kızkardeşler
socially-constructed-person;['i̇o', 'íó'];Yunan Mitolojisinde Inachus `un kızıdır ve nehir tanrısıdır. Zeus Hera onu yakalamsın diye hemen kızı ineğe dönüştürür.Zeus inek şimdi topraktan çıktı diye Hera ya yalan söyler.Hera dan kaçan io en son Mısır a kadar gelir.Zeus un rica sı üzerine Hera io yu affeder, iO ya tanrıça İSİS olarak tapılınmaya başlanır.
socially-constructed-person;['erebus', 'erebos'];Yunan mitolojisindeki ilk tanrılardan biridir. Kaos `un ürettiği tanrı, karanlığın temsilcisidir.
socially-constructed-person;['eris'];Yunan mitolojisinde anlaşmazlık ve uyumsuzluk tanrıçası
socially-constructed-person;['athena', 'atena', 'athene', 'minerva', 'athena polias', 'pallas athena', 'pallas athene'];Antik Yunan tanrıçası
socially-constructed-person;['i̇apetos', 'i̇apetus', 'iapetos', 'iapetus'];Yunan mitolojisinde bir Titan
socially-constructed-person;['artemis', 'cynthia'];Yunan mitolojisinde bir tanrıçadır.
socially-constructed-person;['adem', 'âdem', 'adem baba', 'ilk insan', 'âdem baba', 'adam', 'adem peygamber', 'hz. adem', 'hz.adem', "hz.adem'in hayati", 'hz adem'];Semavi dinlere göre ilk yaratılan insan.
socially-constructed-person;['ceres'];Roma mitolojisinde anne sevgisinin ve büyüyen bitkilerin tanrıçası.
socially-constructed-person;['zu', 'anzû', 'imdugud', 'i̇mdugud', 'zubird'];Akad mitolojisindeki bir tanrı
socially-constructed-person;['leonardo da vinci', 'da vinci', 'leonarda da vinci', 'leonorda da vinci', 'vinci', 'leonardo'];Rönesans dönemi İtalyan mimarı, mühendisi, mucidi, matematikçisi, anatomisti, müzisyeni, heykeltıraşı ve ressamıdır.
socially-constructed-person;['abraham lincoln', 'rail splitter', 'başkan abraham lincoln', 'başkan lincoln'];ABD `nin 16. başkanı
socially-constructed-person;['carl friedrich gauss', 'karl friedrich gauss', 'carl friedrich', 'carl friedrich gauß', 'gauß', 'karl gauss'];Alman matematikçi ve bilim adamı.
socially-constructed-person;['henry ford'];Otomobil üreticisi Ford Motor Şirketi `nin kurucusu
socially-constructed-person;['george washington', 'başkan washington'];Birleşik Devletler `in ilk başkanı
socially-constructed-person;['john f. kennedy', 'john fitzgerald kennedy', 'j. f. kennedy', 'j.f. kennedy', 'j.f.k.', 'john kennedy', 'başkan john f. kennedy', 'başkan kennedy', 'jack kennedy', 'jfk', 'kennedy yönetimi'];ABD `nin 35. başkanı
socially-constructed-person;['dilencilik', 'dilenci', 'dilenciler', 'yalvarma'];Geçimini başka insanlardan para, yiyecek vb. isteyerek sağlayan kişi.
socially-constructed-person;['arıcı', 'apiculturist', 'arıcılar'];Arıcılık yapan kişi.
socially-constructed-person;['diva', 'prima donna', 'primadonna', 'divas'];Seçkin opera şarkıcısı, büyük kadın şarkıcı.
socially-constructed-person;['kraliçe', 'ece nedir', 'kadın hükümdar', 'kraliçe regnant'];Avrupa monarşilerinde kadın hükümdar ya da kralın eşi.
socially-constructed-person;['manav'];Sebze ve meyvelerin satıldığı yer ve bunları satan kimse.
socially-constructed-person;['çocuk', 'çocukluk', 'çocukluk dönemi', 'çocukluk yaş grubu'];Bebeklik ve ergenlik çağları arasındaki insan.
socially-constructed-person;['nedime', 'bayanlar-in-bekleyen', 'bekleyen bayan'];Saray halkından biri
