abstract-region;['скаларна физичка величина', 'скалар'];Еднодимензионална физичка величина
socially-constructed-person;['претседател на соединетите американски држави', 'претседател на сад', 'претседателот на сад'];Шеф на државата и владата на Соединетите Американски Држави
socially-constructed-person;['главен истражувач', 'главен истражител'];предводник на истражувачки потфат
socially-constructed-person;['doyen'];Презиме (Doyen)
socially-constructed-person;['архимандрит', 'опат', 'игумен'];монашки чин во православието
socially-constructed-person;['фараон'];Владетел во стариот Египет
socially-constructed-person;['автор', 'писател', 'писателка', 'author'];Творец на пишани дела
socially-constructed-person;['штитоносец', 'штитоно́сец'];историско занимање
space-region;['јужен поларен круг', 'антарктички круг', 'антарктички поларен круг'];поларен круг
space-region;['тор'];Прстенесто геометриско тело
spatial-feature;['кањон', 'клисура'];Длабок засек помеѓу карпи
spatial-feature;['пиринеи', 'пирине́и', 'пиринеите', 'пиринејски планини', 'пиринејските планини'];Планински венец во југозападна Европа
spatial-feature;['водотек', 'речно корито'];Дно и страни на водот по кој тече една река или поток
spatial-feature;['месечев кратер', 'кратер на месечината'];Вдлабнатина на Месечината
spatial-feature;['планина', 'гора', 'планини'];значајно возвишение над земјишната површина
spatial-feature;['граница', 'државна граница'];Географски граници на политички ентитети или правни јурисдикции
spatial-feature;['рид', 'брда', 'брдо', 'ридови'];Релјефна форма што се издига над околниот терен
spatial-feature;['тјеншан', 'тјан шан', 'тјен-шан', 'тјен шан'];Планински масив во Централна Азија
spatial-feature;['монт еверест'];Планина во состав на Хималаите, највисока во светот
spatial-feature;['логан', 'mount logan'];Планина во Јукон, Канада
spatial-feature;['кунлун'];Планински венец во Кина
spatial-feature;['алјаски венец', 'алјаски масив'];Планински венец во Северна Америка
spatial-feature;['крајна точка', 'цел'];Место каде нешто завршува
spatial-feature;['син срт', 'blue ridge mountains'];Планински венец во Северна Каролина, САД
spatial-feature;['сент хеленс', 'света елена'];Вулкан во САД
spatial-feature;['мауна кеја', 'mauna kea', 'мауна кеа'];Вулкан на Хаваите
spatial-feature;['вади', 'уед'];Речна долина во сувите краишта
spatial-feature;['арарат', 'агри', 'голем арарат', 'мал арарат'];Планина во Турција
state;['анксиозност', 'грижа', 'тревога', 'anksiznost', 'анксизност'];Чувство
subject;['метеорологија', 'метеоролог'];Меѓудисциплинска наука што ја изучува атмосферата
subject;['машинство', 'машинско инженерство'];Поле на инженерството кое се занимава со проектирање и изработка на машини и помагала
subject;['литологија', 'петрологија'];Наука за карпите
subject;['литологија', 'петрологија'];Наука за карпите
subject;['статика'];Гранка на механиката
subject;['астрономија', 'astronomija'];Наука која ги проучува небесните тела и појавите во вселената
subject;['теорија на броевите'];Област на математиката
subject;['орнитологија'];Наука за птиците
subject;['филозофија', 'философија', 'филозофијата', 'филозофски', 'философи'];Наука за општите и суштинските проблеми
subject;['биологија', 'biologija', 'биолог', 'биологијата'];Наука што ги изучува живите организми
subject;['палеоботани', 'палеофитологија'];Гранка на ботаника
subject;['фолклор', 'фо́лклор'];Заеднички поим за легенди, музика, усна историја, поговорки, шеги, верувања, обичаи и слично на еден народ
system-as-description;['расна сегрегација'];Сепарација на луѓе
taxonomic-collection;['број'];Граматичка категорија
taxonomic-collection;['род', 'граматички род'];Поим во граматиката
taxonomic-collection;['време', 'глаголско време', 'грматичко време', 'граматичко време'];Граматичка категорија
taxonomic-collective;['семејство', 'фамилија', 'потсемејство', 'потфамилија', 'надфамилија', 'натфамилија', 'подфамилија', 'потфамилии', 'фам.'];Таксономски ранг
taxonomic-collective;['подвид', 'раса', 'ssp.', 'subsp.', 'инфравид', 'инфравидови', 'подвидови'];Таксономски ранг под видот
taxonomic-collective;['вид', 'биолошки вид'];Една од основните единици на биолошка класификација и таксономски ранг
taxonomic-collective;['казуарини', 'casuarinaceae'];Семејство растенија
taxonomic-collective;['брестови', 'ulmaceae'];Род на растенија
taxonomic-collective;['лубеничарки', 'capparaceae', 'капри'];Семејство растенија
taxonomic-collective;['борови', 'pinaceae'];Семејство иглолисни растенија
taxonomic-collective;['црноусни', 'melastomataceae', 'меластоми'];Семејство растенија
taxonomic-collective;['киселици', 'oxalidaceae'];Семејство растенија
taxonomic-collective;['огненки', 'gymnopilus'];Род печурки
taxonomic-collective;['класатка', 'bromus', 'класица'];Род растенија
taxonomic-collective;['чавкина уста', 'antirrhinum'];Род растенија
taxonomic-collective;['виук', 'festuca'];Род растенија
taxonomic-collective;['каменоломки', 'saxifragaceae'];Семејство растенија
taxonomic-collective;['дренови', 'cornaceae'];Фамилија на растенија
taxonomic-collective;['klebsiella aerogenes', 'enterobacter aerogenes', 'klebsiella mobilis'];Enterobakter aerogenes
taxonomic-collective;['драгољуб', 'tropaeolum', 'латинче'];вид растение
taxonomic-collective;['лисичинки', 'boraginaceae'];Семејство растенија
taxonomic-collective;['сурлари', 'elephantimorpha', 'proboscidea'];Ред цицачи
taxonomic-collective;['ципокрилци', 'hymenoptera', 'blanokrídlovce', 'blanokřídlí', 'błonkoskrzydłe', 'bộ cánh màng', 'hautflügler', 'himenopteroj', 'himenòpter', 'himenóptero', 'hártyásszárnyúak', 'kiletiivalised', 'kožokrilci', 'opnokrilci', 'pistiäiset', 'plēvspārņu kārta', 'plėviasparniai', 'qaralla rapra', 'steklar', 'vliesvleugeligen', 'zar kanatlılar', 'årevengjer', 'årevinger', 'æðvængjur', 'υμενόπτερα', 'жаргак канаттуулар', 'жарғақ қанаттылар', 'перепончатокрылые', 'перетинчастокрилі', 'ципокрили', 'דבוראים', 'غشائيات الأجنحة', 'कलापक्ष', 'കടന്നൽ', 'แตน', 'ハチ目', '膜翅目', '벌목'];Ред на инсекти
taxonomic-collective;['мрежокрилци', 'neuroptera'];Ред инсекти
taxonomic-collective;['звончевидни', 'campanulales'];Ред растенија
taxonomic-collective;['полевица', 'agrostis'];род растенија
taxonomic-collective;['лутиче', 'ranunculus'];род растенија
taxonomic-collective;['чуднозглобни', 'xenarthra'];Надред цицачи
taxonomic-collective;['баобаб', 'адансонија', 'адансониа'];Дрво што расте во саваните
taxonomic-collective;['копитници', 'aristolochiaceae'];Семејство растенија
taxonomic-collective;['меурка', 'utricularia', 'водна копривка'];Вид растение
taxonomic-collective;['удави', 'бои', 'boidae'];Фамилија на змии
taxonomic-collective;['кардинали', 'apogonidae'];Семејство риби
taxonomic-collective;['елда', 'хелда', 'fagopyrum'];Род растенија
taxonomic-collective;['каранфил', 'dianthus', 'ендемски каранфили во македонија', 'ендемски каранфили на македонија'];Род цветни растенија
taxonomic-collective;['ѕвероноги', 'theropoda', 'тероподи'];Група диносауруси
taxonomic-collective;['’рскавични риби', 'chondrichthyes', '`рскавични риби', "'рскавични риби", '‘рскавични риби'];Класа риби
taxonomic-collective;['ливадарка', 'poa'];Род растенија
taxonomic-collective;['петопрст', 'potentilla'];Род растенија
taxonomic-collective;['двокрилоплодни', 'dipterocarpaceae'];Семејство растенија
taxonomic-collective;['сандали', 'santalaceae', 'viscaceae'];Семејство растенија
taxonomic-collective;['палми', 'arecaceae', 'arecales', 'arecoideae', 'palmae', 'палма', 'палмови', 'палмовидни'];Семејство растенија
taxonomic-collective;['кучешки чемери', 'apocynaceae'];Семејство растенија
taxonomic-collective;['бутрак', 'xanthium'];Род растенија
taxonomic-collective;['лебарки', 'blattodea'];Ред инсекти
taxonomic-collective;['реброносци', 'ctenophora'];колено на безрбетни животни
taxonomic-collective;['ѕвезденка', 'stellaria', 'глувчетина'];Род растенија
taxonomic-collective;['вилороги', 'antilocapridae'];Семејство цицачи
taxonomic-collective;['пченка', 'zea'];Род на растенија
taxonomic-collective;['штирови', 'amaranthaceae'];Семејство растенија
taxonomic-collective;['краксови', 'cracidae'];Семејство птици
taxonomic-collective;['чемпреси', 'cupressaceae', 'кипариси'];Фамилија на четинари од родот на боровидните
taxonomic-collective;['пијанка', 'lolium', 'рајграс', '’ржена трева'];Род растенија
taxonomic-collective;['мртовечки глави', 'acherontia'];Род инсекти
taxonomic-collective;['обична заечка', 'cytisus scoparius'];Вид растение
taxonomic-collective;['удика', 'viburnum'];род растенија
taxonomic-collective;['липа', 'tilia', 'липи'];Род дрва
taxonomic-collective;['кадифени црви', 'onychophora'];вид на животни
taxonomic-collective;['орхидеи', 'orchidaceae', 'орхидеја'];Семејство растенија
taxonomic-collective;['конопјарка', 'galeopsis', 'смрдлива коприва'];Род растенија
taxonomic-collective;['глувчеви', 'muroidea', 'глувчеви глодачи'];Натсемејство глодачи
taxonomic-collective;['боровници', 'vaccinium'];Род растенија
taxonomic-collective;['луда краставица', 'ecballium elaterium', 'лудо кеаставиче'];Вид растение
taxonomic-collective;['австралопитек', 'австралопитеци'];Прв вистински вид на човек
taxonomic-collective;['внатремесести', 'hypocreaceae', 'внатремесести габи'];Семејство габи
taxonomic-collective;['толчници', 'portulacaceae'];Семејство растенија
taxonomic-collective;['слатки папрати'];семејство растенија
taxonomic-collective;['блуни', 'sulidae'];Семејство птица
taxonomic-collective;['линцуровидни', 'gentianales'];Ред растенија
taxonomic-collective;['граорка', 'lathyrus'];Род растенија
taxonomic-collective;['молчеста орхидеја', 'phalaenopsis', 'фаленопсис'];род растенија
taxonomic-collective;['салеп', 'dactylorhiza', 'прстест салеп'];род растенија
taxonomic-collective;['здравци', 'erodium'];Род растенија
taxonomic-collective;['мачкини опашки', 'phleum'];Род растенија
taxonomic-collective;['самрачници', 'sphingidae'];Семејство инсекти
taxonomic-collective;['слез', 'malva'];Род растенија
taxonomic-collective;['волчјак', 'волчец', 'лупин'];Род растенија
taxonomic-collective;['пчели', 'apidae'];Семејство инсекти
taxonomic-collective;['коњска опашка', 'equisetum', 'пршлика'];Род растенија
taxonomic-collective;['грмушарки', 'sylviidae'];Семејство птици
taxonomic-collective;['стапчиња', 'страшилки'];Ред инсекти
taxonomic-collective;['лотоси', 'nelumbonaceae'];Семејство растенија
taxonomic-collective;['влажноносни примати', 'влажноносни мајмуни', 'strepsirrhini'];Подред цицачи
taxonomic-collective;['ѕвончиња', 'campanulaceae'];Семејство растенија
taxonomic-collective;['шаруни', 'carangidae'];Семејство риби
taxonomic-collective;['валавец', 'eryngium'];род растенија
taxonomic-collective;['мекница', 'malaxis'];Род растенија
taxonomic-collective;['лук', 'allium'];Род растенија
taxonomic-collective;['заечка', 'cytisus'];Вид растение
taxonomic-collective;['виткачи', 'tortricidae'];Семејство инсекти
taxonomic-collective;['крлежи', 'acari', 'acarina'];Поткласа инсекти
taxonomic-collective;['хоминиди', 'големи човеколики мајмуни', 'hominidae'];Семејство цицачи
taxonomic-collective;['’рчковци', 'cricetidae'];Семејство глодачи
taxonomic-collective;['рожец', 'cerastium'];Род растенија
taxonomic-collective;['миртовидни', 'myrtales'];Род растенија
taxonomic-collective;['пискалки', 'tyranni'];Подред птици
taxonomic-collective;['американски грмушарки'];Семејство птици
taxonomic-collective;['смокови', 'colubridae'];Семејство змии
taxonomic-collective;['овес', 'avena'];Род на житни растенија
taxonomic-collective;['слезенки', 'aspleniaceae'];семејство растенија
taxonomic-collective;['мачиња', 'asphodeloideae', 'асфодели'];Потсемејство растенија
taxonomic-collective;['лукови', 'allioideae'];Потсемејство растенија
taxonomic-collective;['дневни лилјани', 'hemerocallidoideae'];Потсемејство растенија
taxonomic-collective;['сандаловидни', 'santalales'];Ред растенија
taxonomic-collective;['пеликановидни'];Ред птици
taxonomic-collective;['планински божур', 'trollius'];род растенија
taxonomic-collective;['рогози', 'typhaceae'];Семејство растенија
taxonomic-collective;['фазани', 'phasianidae'];Семејство птици
taxonomic-collective;['тресиопашки', 'motacillidae'];Семејство птици
taxonomic-collective;['полутврдокрилци', 'hemiptera', 'rhynchota', 'рилкари'];Ред инсекти
taxonomic-collective;['штитоцветни', 'apiaceae'];Семејство растенија
taxonomic-collective;['жаброноги', 'branchiopoda'];Класа ракови
taxonomic-collective;['рогоз', 'typha'];Род растенија
taxonomic-collective;['мазни китови', 'balaenidae'];Семејство цицачи
taxonomic-collective;['анамски раце'];семејство растенија
taxonomic-collective;['синап', 'sinapis'];Род растенија
taxonomic-collective;['тикови', 'tectona'];Род растенија
taxonomic-collective;['charales'];Викимедиина категорија
taxonomic-collective;['кокичиња', 'amaryllidaceae'];Семејство растенија
taxonomic-collective;['коњски опашки', 'equisetaceae', 'пршлики'];Семејство растенија
taxonomic-collective;['потсмевалки'];Семејство птици
taxonomic-collective;['сирка', 'ziziphus', 'хинап'];Род растенија
taxonomic-collective;['каменести корали', 'scleractinia', 'модропорни корали'];Ред жаркари
taxonomic-collective;['пиштарковидни', 'apodiformes'];Ред пици
taxonomic-collective;['росилка', 'drosera'];Род месојадни растенија
taxonomic-collective;['груткова бактерија', 'rhizobium'];Род бактерии
taxonomic-collective;['глог', 'crataegus'];Род растенија
taxonomic-collective;['лубеничарка', 'capparis'];Род растенија
taxonomic-collective;['махагонии', 'meliaceae'];Семејство растенија
taxonomic-collective;['слаткопапратовидни', 'polypodiales'];ред растенија
taxonomic-collective;['шуплороги', 'bovidae'];Семејство цицачи
taxonomic-collective;['чурилкари', 'чурулкари', 'curculionidae'];Семејство бумбари
taxonomic-collective;['ситки', 'juncaceae'];Семејство растенија
taxonomic-collective;['губари', 'lymantriidae'];Потсемејство инсекти
taxonomic-collective;['губари', 'lymantriidae'];Семејство инсекти
taxonomic-collective;['шавар', 'sparganium'];Род растенија
taxonomic-collective;['шампињон', 'agaricus'];Род печурки
taxonomic-collective;['мармозети', 'callithrix', 'мармозет'];Род примати
taxonomic-collective;['волци', 'canis'];Род цицачи
taxonomic-collective;['чешленка', 'dipsacus'];род растенија
taxonomic-collective;['млечка', 'euphorbia'];Род растенија
taxonomic-collective;['лозов полжав', 'helix'];Род мекотели
taxonomic-collective;['орев', 'juglans regia', 'juglans'];Род на растенија
taxonomic-collective;['губар', 'lymantria'];род молци
taxonomic-collective;['панголин', 'панголини', 'manis'];Род цицачи
taxonomic-collective;['афион', 'papaver'];Род растенија
taxonomic-collective;['часовниче', 'passiflora', 'исусов венец'];Род растенија
taxonomic-collective;['брос', 'rubia'];Род растенија
taxonomic-collective;['водена папрат', 'salvinia', 'пловечка папрат'];Род растенија
taxonomic-collective;['каменоломка', 'saxifraga'];Род растенија
taxonomic-collective;['сколовранец', 'sturnus', 'gracupica', 'pastor', 'temenuchus'];Род на птици
taxonomic-collective;['лемури', 'lemuridae'];Семејство цицачи
taxonomic-collective;['мртвокопривовидни', 'усноцветовидни', 'lamiales'];Ред растенија
taxonomic-collective;['дворетка', 'diplotaxis'];Род растенија
taxonomic-collective;['бросови', 'rubiaceae'];Семејство растенија
taxonomic-collective;['матруни', 'acanthaceae', 'аканти'];Семејство растенија
taxonomic-collective;['копитник', 'asarum'];Род растенија
temporal-region;['1 јули'];Датум
temporal-region;['1 јануари'];Датум
temporal-region;['2 февруари', 'ден на мрмотот'];Датум
temporal-region;['1 ноември', 'ден на сите светци'];Датум
temporal-region;['25 декември', 'божиќ', 'божик', 'рожденство христово'];Датум
temporal-region;['19 март'];Датум
temporal-region;['14 април'];Датум
temporal-region;['24 октомври'];Датум
temporal-region;['12 октомври', 'колумбовден', 'ден на колумбо', 'колумбов ден'];Датум
temporal-region;['4 јули', 'ден на независноста', 'четврти јули'];Државен празник на САД
temporal-region;['4 јули', 'ден на независноста', 'четврти јули'];Датум
temporal-region;['деценија', 'десетлетие', 'дека́да', 'декада'];Период од десет години
temporal-region;['периодизација', 'историски период', 'историско раздобје', 'непознат период'];Дел од историјата
temporal-region;['сегашност', 'сега'];Миг во времето
temporal-region;['седмица', 'недела', 'arapokõindy', 'chida', 'nädal', 'sedmica', 'seythen', 'tjedan', 'uge', 'viikko', 'атна', 'долоо хоног', 'нюжмар', 'тарго', 'тиждень', 'וואָך', 'ܫܒܘܥܐ', 'सप्ताह', 'கிழமை', '星期', '주', 'теден'];Единица за време која се состои од 7 дена
temporal-region;['24 мај'];Датум
temporal-region;['џеферсон дејвис', 'jefferson davis'];Американски политичар, прв претседател на Конфедеративните Американски Држави, на должноста од 1861 ддо 1865 г.
temporal-region;['17 септември'];Датум
temporal-region;['1 август'];Датум
temporal-region;['14 јуни'];Датум
temporal-region;['29 јуни'];Датум
temporal-region;['ден на трудот', 'labor day'];Државен празник на САД
temporal-region;['креда'];Геолошко раздобје
temporal-region;['29 септември'];Датум
temporal-region;['21 јуни', 'долгоденица', 'тајане', 'долгодневица', 'долгодневница'];Датум
temporal-region;['1 мај'];Датум
temporal-region;['2 март'];Датум
temporal-region;['спасовден', 'вознесение христово', 'вознесението христово', 'свети спас'];Верски празник
temporal-region;['29 февруари'];Датум
temporal-region;['23 јуни', 'тајане'];Датум
temporal-region;['велика сабота'];Саботата пред Велигден
temporal-region;['есен'];Годишно време
temporal-region;['прочка', 'велики поклади'];православен празник, ден на простување пред велигденскиот пост
temporal-region;['млада месечина', 'новина'];Месечева мена
temporal-region;['полна месечина'];Месечева мена
temporal-region;['телово'];Католички празник
temporal-region;['планински часовен појас', 'mst', 'mt'];Часовен појас во Северна Америка
temporal-region;['алјаски часовен појас', 'akst', 'алјаско време', 'алјаско стандардно време'];Часовен појас
temporal-region;['атлантски часовен појас', 'атлантско стандардно време', 'ast', 'атлантско време', 'атлантско стандардно реме'];Часовен појас
temporal-region;['централен часовен појас', 'централна временска зона', 'cst', 'ct', 'central standard time', 'централна стандардна временска зона', 'централно летно време'];Часовен појас во Северна Америка
temporal-region;['6 јануари', 'водици', 'богојавление'];Датум
temporal-region;['споменица', 'memorial day'];Државен празник на САД во спомен на загинатите воени лица
theory;['утопија', 'utopia'];заедница или општество кое поседува многу посакувани вредности или е совршено
theory;['паулиево начело', 'паулиев принцип', 'паулиев принцип на исклучување', 'паулиево начело на исклучување'];Начело во квантната механика
theory;['маглинска хипотеза', 'небуларна хипотеза'];Теорија за настанокот на Сончевиот Систем
