abstract-region;['terfyn', 'terfan', 'cyfyngu ar bwynt', 'pwynt o gasglu'];term mathemategol
subject;['oncoleg', 'gofal canser', 'oncoleg meddygol', 'oncolegwyr', 'oncolegydd'];Cangen o feddygaeth
subject;['endocrinoleg'];Arbenigedd meddygol
subject;['topoleg', 'dadansoddiad situs', 'topolegol', 'topologically', 'topologist'];Isadran o fewn mathemateg
subject;['seicoleg', 'seicolegol', 'seicolegydd', 'gwyddoniaeth seicolegol', 'seicoleg dynol'];Astudiaeth o swyddogaethau ac ymddygiadau meddyliol
subject;['palaeohinsoddeg', 'palaeoclimatology', 'paleoclimatology', 'palaeoclimatologist', 'paleoclimate', 'paleoclimatologist'];Astudiaeth
subject;['llên gwerin', 'chwedl werin', 'chwedlau gwerin', 'llen gwerin', 'llên-gwerin', 'doethineb gwerin', 'storïau gwerin'];Yn cynnwys chwedlau, cerddoriaeth, hanes llafar, proverbiaid, jôcs, crefyddau poblogaidd, ac ati.
substance-role;['f3', 'thromboplastin', 'ffactor iii', 'ffactor meinwe', 'thrombokinase'];Genyn codio-protien yn y rhywogaeth Homo sapiens
substance-role;['f2', 'thrombin'];Genyn codio-protien yn y rhywogaeth Homo sapiens
substance-role;['plg', 'plasmin', 'fibrinolysin'];Genyn codio-protien yn y rhywogaeth Homo sapiens
substance-role;['ensym', 'ensymau', 'biocatalysts', 'enzymatic', 'holoenzyme'];Moleciwl biolegol
substance-role;['cat', 'catalase'];Genyn codio-protien yn y rhywogaeth Homo sapiens
system-as-description;['arwahanu hiliol', 'gwahanu ysgol', 'rhwystr lliw'];Gwahanu pobol
system-as-description;['barnwriaeth', 'farnwriaeth', 'system farnwrol', 'barnweiniaeth', 'barnwrol', 'gangen barnwrol', 'judicatory'];system o lysoedd sy'n dehongli ac yn cymhwyso'r gyfraith. Un o bileri gwladwriaeth.
taxonomic-collective;['is-deulu', 'subfamily', 'subfamilies'];Safle tacsonomegol o dan y teulu
taxonomic-collective;['llwyth', 'subtribe'];Safle o fewn y tacson sydd rhwng y teulu a''r genws
taxonomic-collective;['teulu', 'teulu tacsonomig'];Teulu tacson
taxonomic-collective;['isrywogaeth', 'hil', 'is-rywogaeth', 'isrywogaeth enwebu', 'ssp hadau'];Rheng tacson (is na rhywogaeth)
taxonomic-collective;['urdd', 'gorchymyn', 'infraorder', 'parvorder', 'suborder'];Safle'r tacson o fewn y rheng
taxonomic-collective;['genws', 'tylwyth', 'genera', 'genus', 'enw genws'];Safle tacson
taxonomic-collective;['rhywogaeth', 'rhywiogaeth', 'rhywogaethau', 'teiprywogaeth', 'cysyniad o rywogaethau ffylogenetig', 'rhywogaethau biolegol'];Rheng tacson
taxonomic-collective;['rheidae', 'rheaod', 'rhea', 'rheiformes', 'teulu rheidae'];Teulu o adar
taxonomic-collective;['tylluanod', 'strigidae', 'tylluan', 'dylluan nodweddiadol', 'teulu strigidae'];Teulu o adar
taxonomic-collective;['cytras', 'clade'];Safle o fewn y tacson
taxonomic-collective;['tacson', 'categori tacsonomig', 'grŵp tacsonomig', 'taxa'];Grŵp o organebau a ystyrir yn uned
taxonomic-collective;['breision', 'emberizidae', 'emberizidae subfamily', 'emberizinae subfamily'];Teulu o adar
taxonomic-collective;['falconiformes', 'falconiformes gorchymyn'];Urdd o adar
taxonomic-collective;['psittacoidea', 'parot gwir', 'parrots gwir', 'psittacidae', 'teulu psittacidae'];Uwch-urdd o adar
taxonomic-collective;['plantaginaceae', 'teulu llyriad', 'teulu plantaginaceae'];teulu o blanhigion
taxonomic-collective;['corvidae', 'brain', 'sgrechod', 'corvid', 'teulu corvidae'];Teulu o adar
taxonomic-collective;['cwrasowiaid', 'cracidae', 'teulu cracidae'];Teulu o adar
taxonomic-collective;['colomennod', 'colomen', 'columbidae', 'columbiformes', 'teulu columbidae'];Teulu o adar
taxonomic-collective;['huganod', 'sulidae', 'hugan', 'teulu sulidae'];Teulu o adar
taxonomic-collective;['lari', 'suborder lari'];Is-urdd o adar
taxonomic-collective;['teloriaid yr hen fyd', 'sylviidae', 'teulu sylviidae'];Teulu o adar
taxonomic-collective;['gaviiformes', 'gaviiformes gorchymyn'];Urdd o adar dyfrol
taxonomic-collective;['tyranni', 'is-oscine', 'suborder tyranni', 'suboscine'];Is-Urdd o adar
taxonomic-collective;['teloriaid', 'paruliadae', 'parulidae', 'teulu parulidae'];Teulu o adar
taxonomic-collective;['ciconiiformes', 'ciconiaid', 'chwiboniaid', 'ciconiidae', 'ciconiiformes gorchymyn'];Urdd o adar
taxonomic-collective;['pelecaniformes', 'huganod', 'yr huganod', 'pelecaniformes gorchymyn'];Urdd o adar dyfrol
taxonomic-collective;['phasianidae', 'ffesantod', 'teulu phasianidae'];Teulu o adar
taxonomic-collective;['siglennod', 'motacillidae', 'teulu motacillidae'];Teulu o adar
taxonomic-collective;['cwtiaid', 'charadriidae', 'teulu charadriidae'];Teulu o adar
taxonomic-collective;['lorïaid', 'loridae', 'lorisidae', 'teulu lorisidae'];Teulu o famaliaid
taxonomic-collective;['charales', 'charales gorchymyn'];tudalen categori Wikimedia
taxonomic-collective;['apodiformes', 'sïednod', 'apodiformes gorchymyn'];Rhywogaeth o adar
taxonomic-collective;['ardea', 'genws ardea'];genws o adar
taxonomic-collective;['twrci', 'meleagris', 'genws meleagris', 'meleagrididae', 'tyrcwn'];Genws o adar
temporal-region;['1 gorffennaf', 'dominion day'];Dyddiad
temporal-region;['1 ionawr', 'difrifoldeb mary'];Dyddiad
temporal-region;['2 chwefror', 'groundhog day'];Dyddiad
temporal-region;['1 tachwedd', 'yr holl saint', 'allhallows', "drwy'r dydd saint", 'gwyl yr holl saint', 'hallowmas', 'hallowmass'];Dyddiad
temporal-region;['nadolig', '25 rhagfyr', 'dydd nadolig', 'diwrnod nadolig', 'y nadolig', 'ddydd nadolig', 'xmas'];Dyddiad
temporal-region;['19 mawrth', 'st joseph'];Dyddiad
temporal-region;['14 ebrill', 'pan americanaidd day'];Dyddiad
temporal-region;['24 hydref', 'diwrnod y cenhedloedd unedig'];Dyddiad
temporal-region;['12 hydref', 'columbus day', 'dia de la raza', 'diwrnod darganfod'];Dyddiad
temporal-region;['4 gorffennaf', 'pedwerydd o orffennaf', 'diwrnod annibyniaeth'];Dyddiad
temporal-region;['mileniwm'];mil o flynyddoedd
temporal-region;['terfyn amser', 'dyddiad cau'];Maes cul o ran pryd y mae'n rhaid cyflawni amcan neu dasg
temporal-region;['24 mai', 'diwrnod y gymanwlad', 'diwrnod yr ymerodraeth'];Dyddiad
temporal-region;['17 medi', 'diwrnod dinasyddiaeth'];Dyddiad
temporal-region;['1 awst', 'lammas', 'lammas day'];Dyddiad
temporal-region;['14 mehefin', 'diwrnod baner'];Dyddiad
temporal-region;['29 mehefin', 'seintiau pedr a paul'];Dyddiad
temporal-region;['jwrasig', 'jurasig', 'cyfnod jwrasig', 'oes yr ymlusgiaid'];Ail gyfnod yn yr Era Mesosöig
temporal-region;['29 medi', 'fihangel', 'fihangel day', 'gŵyl fihangel', 'gŵyl fihangel day'];Dyddiad
temporal-region;['21 mehefin', 'hirddydd haf', 'alban hefin', 'calan ieuan fedyddiwr', 'canol haf', 'midsummer'];Dyddiad
temporal-region;['1 mai', 'calan mai', 'gŵyl fai', 'cyntaf o fai', 'mai diwrnod'];Dyddiad
temporal-region;['2 mawrth', 'diwrnod annibyniaeth texas'];Dyddiad
temporal-region;['29 chwefror', 'diwrnod naid', 'diwrnod bissextile', 'neidio dydd'];Dyddiad
temporal-region;['23 mehefin', 'midsummer eve', 'midsummer night', 'sant ioan eve', 'st ioan noswyl', 'st john noson'];Dyddiad
temporal-region;['tymor y swydd', 'cyfnod yn y swydd'];terfyn amser ar gyfer gwleidydd sy'n dal swydd benodol (weithiau adnewyddadwy)
temporal-region;['cylchfa amser y mynyddoedd', 'amser mynydd', 'amser safonol y mynyddoedd', 'mst'];cylchfa amser yng Ngogledd America
temporal-region;['6 ionawr', "diwrnod tri kings '", 'diwrnod twelfth', 'ystwyll ein harglwydd'];Dyddiad
theory;['damcaniaeth', 'damcaniaethau', 'ddamcaniaeth', 'damcaniaeth wyddonol', 'damcaniaethol', 'ddamcaniaeth wyddonol', 'posibilrwydd', 'theori', 'tybiwyd'];Eglurhad arfaethedig ar gyfer arsylwi, ffenomen, neu broblem wyddonol
theory;['cyfraith wyddonol', 'gyfraith gwyddonol'];Datganiad yn seiliedig ar arsylwadau arbrofol ailadroddus sy'n disgrifio rhai agweddau ar y bydysawd
theory;['perthnasedd arbennig', 'damcaniaeth perthnasedd arbennig', 'damcaniaeth perthnasedd arbennig o', 'ddamcaniaeth arbennig perthnasedd', 'ffiseg perthnaseddol', 'mae damcaniaeth einstein arbennig o perthnasedd', 'theori perthynoledd arbennig'];damcaniaeth ffisegol a gynigwyd ym 1905 gan Albert Einstein
