abstract-quality;['persoonallisuus', 'luonne', 'big five'];Kullekin ihmiselle luonteenomainen ajatusten, tunteiden ja käyttäytymisen muodostama kokonaisuus
quality;['km', 'kasv. maist.', 'kasvatustieteen maisteri', 'kasvatustieteiden maisteri', 'kasvatust. maist.', 'master of education', 'opm', 'm.ed', 'masters in education'];maisterintutkinto
quality;['teologian maisteri', 'teol. maist.', 'tm', 'm.th', 'm th', 'th', 'th.m', 'thm'];maisterintutkinto
quality;['kultakanta', 'kultavaranto', 'gold exchange standardin', 'kultakantaan'];valuuttajärjestelmä
quality;['karisma', 'henkilökohtainen vetovoima', 'vetovoima', 'henkilökohtainen magnetismi', 'henkilökohtainen valitus', 'karismaa', 'karismaattinen'];Kyky vaikuttaa ja viehättää
quality;['lähetyssaarnaaja-asento', 'lähetyssaarnaaja', 'lähetyssaarnaaja asennossa'];Seksiasento
quality;['rohkeus', 'urheus', 'pelottomuus', 'urhoollisuus', 'miehuullisuus', 'rohkeutta', 'braveness', 'courageousness', 'urheutta'];Uskallus tehdä asioita välittämättä pelosta, kivusta, vaarasta, epävarmuudesta tai uhkailusta
quality;['nopeus', 'vauhdikkuus', 'vauhti', 'keskinopeus', 'nopeutta'];Nopeuden suuruus (ilman suuntaa)
quality;['mystiikka', 'uskonnollinen mystiikka', 'filosofinen mystiikka', 'mystikot', 'mystisismi', 'mystismi', 'mystinen', 'mystinen kokemus'];Jumaluuden välittömään yhteyteen pyrkivä uskonnollisen elämän muoto
quality;['lootusasento', 'lootusasennossa'];istuma-asento
quality;['kultti', 'uskonnollinen kultti', 'vaarallinen lahko', 'palvonta', 'tuhoisa kultti', 'tuhoisa lahko', 'vaarallinen kultti', 'cultus', 'kulttijohtaja', 'poliittinen kultti'];kultti tai yhteisö, jonka toimet aiheuttavat fyysistä, henkistä tai taloudellista vahinkoa
quality;['ootraus', 'puukuvioinen kudos', 'ootrauksen historia', 'graining', 'woodgraining'];maalaustekniikka
quality;['väri', 'väritys', 'musta', 'värit', 'kylmät värit', 'värejä', 'värioppi'];Näköaistimus
quality;['ominaisuus', 'attribuutti', 'ominaispiirre', 'määrite', 'piirre'];metadata, joka määrittelee ominaisuutta
quality;['kandidaatin tutkinto', 'alempi korkeakoulututkinto', 'baccalauréat', 'luonnontieteiden kandidaatti', 'bachelor of science', 'hallintovirkamiestutkinto', 'kandidaatin tutkinnon', 'kandidaatin tutkinnot', 'baccalaureus', 'bachelorate', 'kandidaatin', 'ylioppilastutkinnon', 'ylioppilastutkinnon tutkinto', 'ylioppilastutkinto'];Ranskalainen ylioppilastutkinto
quality;['šamanismi', 'shamanismi', 'aasian šamanismi', 'samaani', 'samanismi', 'shamaani', 'šamaani', 'šamaanilaitos', 'aasian shamanismia', 'shamaanien', 'shamaanit', 'shamanist', 'shamanistinen'];šamaaniin tukeutuva maailmankatsomus
quality;['korkeakoulututkinto', 'tutkinto', 'akateeminen loppututkinto', 'oppiarvo', 'yliopistotutkinto', 'korkeakoulututkinnon'];Yliopisto- tai ammattikorkeakoulututkinto
quality;['narsismi', 'itserakkaus', 'narcism', 'narsisti', 'narsistinen'];itserakkaus
quality;['mithralaisuus', 'mithran kultti', 'mihtralaisuus', 'mitralaisuus', 'mithraism', 'mithraic', 'mithraicism'];Antiikin ajan mysteeriuskonto
quality;['itsekeskeisyys', 'egoismi', 'itsekkyys', 'egocentrism', 'itsekeskeinen', 'itsestään huolta'];Wikimedia-täsmennyssivu
quality;['avoimuus', 'peittelemättömyys'];käsite
quality;['unitarismi', 'unitarianismi', 'suomen unitaariuniversalistinen seura', 'suomen unitaariuniversalistinen seura ry', 'unitaari', 'unitaarikirkko', 'unitaarit', 'unitarianism'];kristillinen suuntaus, joka kiistää kolminaisuusopin
quality;['parisuhde', 'läheinen suhde', 'läheisyys', 'ystävyys', 'intiimiys', 'parinvalinta', 'parisuhteen päättyminen', 'henkilökohtainen suhde', 'intiimi suhde', 'läheisyyttä'];Kiintymykseen ja seksuaalisuuteen perustuva kahdenvälinen suhde
quality;['lasite', 'lasitus', 'keraamiset lasite'];esineen pinnalla oleva ohut lasimainen kerros
quality;['synti', 'pahuus', 'synnillisyys', 'syntisyys', 'syntisiä', 'syntinen', 'syntisyyden'];Uskonnollinen käsite pahasta asiasta, teosta tai olemuksesta, joka on Jumalan tahtoa vastaan
quality;['jainalaisuus', 'dzaina', 'dzainalaisuus', 'dzhaina', 'džaina', 'jaina', 'jainaismi', 'jainalainen filosofia', 'jainalaiset', 'jainilaisuus', 'jainismi', 'jain', 'jainisti', 'mahavrata', 'nirgrantha'];Kaiken elävän kunnioittamista korostava intialainen uskonto
quality;['bruttokansantuote', 'bkt', 'bruttokansantuotos', 'kansantuote', 'nettokansantuote', 'nkt', 'bkt asukasta kohti'];Kotimaisen tuotannon mitta kansantaloudessa
quality;['lihavuus', 'liikalihavuus', 'ylipaino', 'pyylevyys', 'obesiteetti', 'corpulency', 'fleshiness', 'lihavia', 'painonhallinta', 'sairaalloisen lihavia', 'sairaalloisen lihavuuden'];tila, jossa kehossa on terveydelle haitallisen suuri määrä rasvakudosta
quality;['ihmisen pituus', 'koko', 'pituus', 'ihmisen korkeus', 'kasvupyrähdys'];Ihmiskehon mitta
quality;['tohtorinarvo', 'tohtori', 'promootio', 'tohtorin tutkinto', 'phd', 'doctor of arts', 'doctor of business administration', 'doctor of laws', 'doctor of philosophy', 'doctor of science', 'll.d', 'ph.d', 'ph.d.', 'riemutohtori', 'tohtorintutkinto', 'tutkijakoulutus', 'tohtorin', 'ammatillinen tohtorin', 'doctorat', 'tohtorin tutkinnot', 'tutkimus tohtorin'];Yliopistotutkinto
quality;['ph', 'happamuus', 'ph-asteikko', 'emäksisyys', 'hapan', 'happamuusaste', 'ph-arvo', 'ph-luku', 'ph asteikko'];Liuoksen vetyionien aktiivisuuden määritelmä
quality;['ahkeruus', 'työteliäisyys', 'uutteruus', 'huolellisuutta', 'industriousness'];hyve
quality;['opportunismi', 'itsekkyys', 'oman edun tavoittelu', 'omanvoitonpyynti', 'oma etu', 'opportunisti', 'itsekäs', 'opportunismin'];Tilannetta hyväksi käyttävä asenne
quality;['sininen', 'sinisyys', 'sini'];väri
quality;['lämpötila', 'ilman lämpötila', 'pinnan lämpötila'];Fysikaalinen suure, joka kuvaa lämpöä
quality;['syväys', 'kulkusyvyys', 'vesiraja'];Aluksen rungon alimman osan etäisyys vesirajasta
quality;['mormonismi', 'mormoni', 'mormonit', 'mormooni', 'mormoonit'];Yhdysvalloissa perustettu uskonto
quality;['presbyteriaaninen kirkko', 'presbyteeriläisyys', 'presbyteerikirkko', 'presbyterianismi', 'presbyterianism', 'presbyteerejä', 'presbyteerikirkolta', 'presbyterian'];Reformoiduista kirkkokunnista käytetty nimitys englanninkielisissä maissa
quality;['shinto', 'šintolaisuus', 'šinto', 'shintolaisuus', 'shintolainen', 'shintolaiset', 'shintoo', 'shintō', 'sintolaisuus', 'šintolainen', 'šintolaiset', 'shintoist'];Japanilainen uskonto
quality;['absoluuttinen nollapiste', 'absoluuttinen nolla', '0 k', '0k'];lämpötilan alaraja, jossa atomien lämpöliike pysähtyy
quality;['vapaa tahto', 'tahdonvapaus', 'oma harkinta', 'valinnanvapaus', 'satunnaisoppi', 'tahdon vapaus', 'tahdonvapauden ongelma', 'vapaa tahto ja determinismi', 'vapaan tahdon ongelma', 'freewill', 'harkintavallan väärinkäyttöön'];Kyky tehdä todellisia valintoja
quality;['veto-oikeus', 'veto', 'veto-oikeuden veto-oikeus', 'kaatoi', 'lykkäävä veto', 'presidentin veto'];osapuolelle annettu oikeus kieltää päätös
quality;['helluntailaisuus', 'helluntailiike', 'helluntaiherätys', 'helluntaiseurakunta', 'helluntailainen', 'helluntailaiset', 'helluntaiseurakunnat', 'helluntalaiset', 'helluntalaisuus', 'siionin temppeli', 'siionseurakunta', 'siiontemppeli', 'suomen helluntaiherätys', 'helluntailiikkeen', 'pentacostal'];Kristinuskon protestanttinen suunta
quality;['massa', 'paino'];Fysiikan perussuure, joka kuvaa kappaleen hitautta ja kykyä tuntea ja aiheuttaa gravitaatiovoimia
quality;['vihreä', 'vihreys', 'viridity'];väri
quality;['kovuus', 'kova', 'pehmeä', 'vickers-kovuus'];Materiaalinen mekaaninen ominaisuus
quality;['ylipaino', 'liikalihavuus', 'pulleus', 'paksuus', 'ylipainoinen', 'lihava', 'lihominen', 'liikapaino', 'obeesi', 'obesiteetti', 'päärynälihavuus', 'ylipainoisuus', 'adiposis', 'lihavuus'];Kehon paino, joka lisää lievästi terveysriskejä
quality;['kolmiulotteisuus', 'kolmiulotteinen', '3-ulotteinen', 'kolmessa ulottuvuudessa', 'kolmiulotteisessa avaruudessa'];Tila, jossa paikka määritellään kolmen koordinaatin avulla
quality;['musikaalisuus', 'sointuisuus', 'musicalness', 'musikaalisuuteen'];yksilön kiinnostus tai kyky musiikkiin
quality;['värisävy', 'sävy', 'kromaattisuus', 'väri', 'kromaattisuutta', 'väridiagrammiin'];Värin ominaisuus
quality;['rationaalisuus', 'järkiperäisyys', 'järkevyys', 'järjellisyys', 'rationaliteetti', 'irrationaalinen', 'rationaalinen', 'rationaalisuuden', 'rationalness'];järkeilyyn perustuva päätöksenteko
quality;['pyhyys', 'pyhä', 'pyhät', 'pyhyyden', 'sanctitude'];arkisen ja maallisen vastakohta. erityisasema uskonnollisessa yhteydessä
quality;['ääretön', 'äärettömyys', 'rajattomuus', 'loputtomuus', 'mittaamattomuus', 'suunnattomuus', '∞', 'rajaton', 'ääretön joukko', 'infiniteness', 'limitlessness', 'rajattomuudesta', 'unboundedness'];Jotakin, millä ei ole rajaa
quality;['hyväsydämisyys', 'ystävällisyys'];Wikimedia-luetteloartikkeli
quality;['itsetunto', 'itsekunnioitus', 'omanarvontunto', 'omantunnonarvo', 'itseluottamus', 'itsevarmuus', 'itse-ylpeys', 'omanarvontuntonsa'];Tietoisuus omasta arvosta
quality;['hyveellisyys', 'hyve', 'moraalinen erinomaisuus', 'hyveellinen', 'hyveet', 'antiikin hyveet', 'moraalinen huippuosaamisen', 'virtuousness'];eettisesti ja moraalisesti arvokas luonteenpiirre
quality;['uskonnottomuus', 'epäuskonnollisuus', 'uskonnoton', 'ei-uskova', 'uskonnoton elämänkatsomus', 'uskonnoton elämänkäsitys', 'uskonnoton elämäntapa', 'uskonnoton maailmankatsomus', 'uskonnoton todellisuuskäsitys', 'uskonnottomat', 'ei-uskonnollinen', 'irreligionist', 'uskonnollista', 'uskonnottomia'];katsomus, jossa uskonnolla ei ole väliä
quality;['musta', 'mustuus', 'inkiness'];väri
quality;['punainen', 'punaisuus'];väri
quality;['keltainen', 'keltaisuus', 'kelta'];väri
quality;['suolapitoisuus', 'suolaisuus', 'veden suolaisuus', 'saliniteetti', 'brininess'];veden suolapitoisuus
quality;['metodismi', 'metodisti', 'metodistikirkko', 'metodistit', 'metodisti kirkko', 'metodisti liikkeen', 'wesleyans'];Kristillinen kirkkokunta
quality;['entalpia', 'lämpösisältö', 'h', 'ionisaatioentalpia', 'isentalpinen', 'liukenemisentalpia', 'moolientalpia', 'muodostumisentalpia', 'ominaisentalpia', 'palamisentalpia', 'palamislämpö', 'perusmuodostumisentalpia', 'reaktioentalpia', 'reaktiolämpö', 'sekoittumisentalpia', 'sekoitusentalpia', 'sidosentalpia', 'standardientalpia', 'aktivoitumisentalpia', 'enthalpia', 'faasimuutosentalpia', 'ionisoitumisentalpia', 'muodostumislämpö', 'entalpian muutos', 'erityisiä entalpia', 'lämpösisällön', 'yhteensä lämpö'];suure, joka kuvaa termodynaamisen järjestelmän energian määrää
quality;['kiehumispiste', 'kiehuminen', 'kiehumapiste', 'kiehumispisteet', 'kyllästyspaine', 'normaali kiehumispiste'];lämpötila, jossa neste muuttuu kaasuksi
quality;['täysikuu', 'koko', 'koko kuun', 'täysi-of-the-moon'];Kuun vaihe
quality;['huumorintaju', 'huumori', 'hassutus', 'hauskuus', 'hullutus', 'humoristi', 'hupsutus', 'ilkamointi', 'ilveily', 'jekku', 'kujeellisuus', 'kujeilu', 'leikillisyys', 'leikinlasku', 'pelleily', 'pilailu', 'huumoria', 'humoristinen'];Vuorovaikutuksen muoto, jonka on tarkoitus naurattaa ja ilahduttaa
quality;['askeettisuus', 'asketismi', 'koruttomuus', 'askeesi', 'askeetti', 'askeettinen', 'ankaruus', 'ascetical', 'ascetism', 'askeettien', 'askeettisuutta', 'nonindulgence'];niukkuudessa ja pidättäytymisessä eläminen
quality;['tietoinen läsnäolo', 'tietoisuustaito', 'tietoisuus', 'mindfulness', 'hyväksyvä tietoinen läsnäolo', 'heedfulness', 'tarkkaavaisuus'];Oman olotilan ja kokemusten havainnointi
quality;['paino', 'kevyt', 'massa vastaan paino', 'painava', 'painot', 'raskas', 'kokonaispaino', 'punnita'];Kappaleeseen kohdistuva taivaankappaleen vetovoima, joka aiheutuu gravitaatiosta ja pieneltä osin taivaankappaleen pyörimisestä
quality;['ballistinen ohjus', 'ballististen ohjusten'];Ohjus, jonka lentorata on korkealla ilmakehässä
region;['hehtaari', 'hehtoaari', 'ha', 'hm', 'hm2', 'hm^2', 'hehtaaria', 'aaria', 'hehtaarin'];Pinta-alan yksikkö
region;['baudi', 'baudinopeus', 'bd', 'siirtonopeus', 'baudia', 'merkittävä ehto', 'symboli', 'symbolinopeus'];signaalinmuutosnopeuden mittayksikkö
region;['milligramma', 'mg'];Gramman tuhannesosa
region;['sekunti', 's', 'sek', 'millisekunti', 'nanosekunti', 'sekuntti', 'sekuntia'];SI-järjestelmän mukainen ajan yksikkö
region;['pauna', 'lb', 'naula', 'avoirdupoids', 'avoirdupois', 'troy-naula', 'troy-pauna', 'lbf', 'lbs', 'poundaali', 'poundal', 'slug', 'kiloa'];Massan ja painon mittayksikkö
region;['1728', 'krossi', 'suuri brutto'];Luku
region;['neliömetri', 'm', 'm^2', 'neliö', 'cm', 'neliömillimetri', 'neliömetriä', 'kohden', 'centare', 'neliösenttimetriä'];SI-järjestelmän mukainen pinta-alan yksikkö
region;['si-järjestelmä', 'si-yksikkö', 'kansainvälinen mittayksikköjärjestelmä', "systeme international d'unites", 'kansainvälinen yksikköjärjestelmä', 'si', 'etuliitteet', 'hehto', 'kerrannaisyksiköt', 'mitat', 'si-järjestelmän kerrannaisyksiköt', 'si-järjestelmän perusyksiköt', 'si-yksikköjärjestelmä', "système international d'unités", 'kansainvälisen mittayksikköjärjestelmän', 'kansainvälinen järjestelmä', 'systeme international', 'yksikkö'];maailman yleisin mittayksikkö­järjestelmä.
region;['sentti', 'cent'];Rahayksikön sadasosa
region;['jalka', 'ft', 'jalkaa', 'englanninjalka', 'neliöjalka'];Pituuden yksikkö
region;['desibeli', 'db', 'beli', 'dbu', 'dbuv', 'dbw', 'dbµ', 'melumittaus', 'desibeleinä', 'desibeliä'];Äänenvoimakkuuden sekä jännitteen ja virran välisen tehon mittayksikkö
region;['aste', 'kaariaste', 'kulma-aste', 'asteen merkki', 'astemerkki', 'kulmatertia', 'arcdegree'];Tasokulman mittayksikkö
region;['litra', 'l', 'kuutiodesimetri', 'dekalitra', 'desilitra', 'eksalitra', 'hehtolitra', 'jottalitra', 'kilolitra', 'millilitra', 'petalitra', 'pikolitra', 'senttilitra', 'tsettalitra', 'hehtolitraa', 'litraa', 'gigalitre', 'kuutiodesimetriä', 'kuutiometriä decimeter', 'litran', 'megalitre', 'megalitres'];Tilavuuden yksikkö
region;['km', 'kilometri', 'kilsa', 'klick'];Tuhat metriä
region;['senttimetri', 'cm', 'sentti', 'sm', 'senttimetreinä', 'senttimetrin', 'senttimetriä'];Metrin sadasosa
region;['mikrometri', 'mikroni', 'µ', 'mikrometriä', 'mikronia', 'mikronin', 'mikrotason', 'um'];Metrin miljoonasosa
region;['desimetri', 'dm'];Metrin kymmenesosa
region;['millimetri', 'mm', 'milli', 'millimetrin', 'millimetriä'];Metrin tuhannesosa
region;['millilitra', 'kuutiosenttimetri', 'ml', 'cc', 'mil', 'cm', 'cm3', 'cm^3', 'kuutiosenttimetriä', 'millilitraa'];Tilavuuden yksikkö
region;['kuutiometri', 'kilolitra', 'kuutio', 'm', 'm3', 'm^3', 'motti', 'km', 'km3', 'kuutiodesimetri', 'kuutiokilometri', 'kuutiomillimetri', 'kuutiosenttimetri', 'kiloliter', 'kuutiometriä'];SI-järjestelmän mukainen tilavuuden yksikkö
region;['gramma', 'g', 'gr', 'grammaa', 'gm', 'gramman'];Kilogramman tuhannesosa
region;['valuutta', 'maksuväline', 'raha', 'käteisvaluutta'];Yleisesti hyväksytty kauppaväline
region;['neliöjuuri', '√', 'neliöjuuria'];matemaattinen laskutoimitus
region;['tunti', '60 minuuttia', 'h', '60 min', 't', 'hr'];Ajan yksikkö, 60 minuuttia
region;['virsta', 'neliövirsta', 'virstaa'];Vanha pituusmitta
region;['tavu', 'mib', 'eksatavu', 'eksbi', 'eksbitavu', 'gigatavu', 'jottatavu', 'kib', 'kibitavu', 'kilotavu', 'megatavu', 'nibble', 'oktetti', 'pebitavu', 'petatavu', 'tebitavu', 'teratavu', 'tib', 'tsettatavu', 'yobi', 'yobitavu', 'yottatavu', 'zebi', 'zebitavu', 'zettatavu', 'tavua'];Tietotekniikassa käytettävä mittayksikkö tallennuskapasiteetille
region;['pisara', 'tippa', 'tilkka', 'hiukkanen', 'pisaran', 'pisaroita', 'sadepisara'];pieni määrä nestettä
region;['peninkulma', 'mil', 'ruotsalainen maili', 'penikulma', 'pnk', 'ruotsin kilometriä'];Vanha suomalainen pituusyksikkö
region;['kaariminuutti', 'kulmaminuutti', 'minuutti', '′', 'kulmaminuutin', 'arc-sekunti', 'arc minuutin', 'arcseconds', 'kaari minuutti', 'kaarimin', 'kaariminuutteina', 'kulmaminuutissa', 'milliarcsecond', 'milliarcseconds', 'minuutin kaaren', 'minuutin kulma'];Tasokulman mittayksikkö
region;['milliradiaani', 'piiru', 'milliradian'];kulman mittayksikkö
region;['parsek', 'kiloparsec', 'megaparsec', 'parsec', 'gigaparsec', 'gigaparsek', 'gpc', 'kiloparsek', 'kpc', 'megaparsek', 'mpc', 'parsekki', 'kiloparsecs', 'parsecs', 'secpar', 'tähtiväli'];matkan mittayksikkö
region;['siemens', 'mho', 's', 'käänteisohmi', 'vastavuoroiset ohm'];SI-järjestelmässä sähköjohtavuuden eli konduktanssin yksikkö
region;['coulombi', 'ampeerisekunti', 'c', 'ampeeri sekunnin', 'coulombinen', 'keskiarvolla', 'luokan pisteen keskiarvon'];SI-järjestelmän mukainen sähkövarauksen mittayksikkö
region;['joule', 'wattisekunti', 'kilojoule', 'j', 'kj', 'terajoule', 'joulea', 'kilojoulea', 'megajoule', 'terajoulea'];SI-järjestelmän mukainen työn ja energian mittayksikkö
region;['joule', 'wattisekunti', 'kilojoule', 'j', 'kj', 'terajoule', 'joulea', 'kilojoulea', 'megajoule', 'terajoulea'];Energian yksikkö
region;['joule', 'wattisekunti', 'kilojoule', 'j', 'kj', 'terajoule', 'joulea', 'kilojoulea', 'megajoule', 'terajoulea'];Työn ja energian yksikkö
region;['volttiampeeri', 'vari', 'va', 'v·', 'var'];SI-järjestelmään perustuva näennäistehon yksikkö sähkötekniikassa
region;['ohmi', 'ohm', 'ω'];SI-järjestelmän mukainen resistanssin, reaktanssin ja impedanssin mittayksikkö
region;['kilowattitunti', 'kwh', 'kilowattituntia', 'b.t.u.', 'board of trade-yksikön', 'gigawattituntia tunnin', 'kilowattitunnilta', 'kw-hr', 'megawattitunnilta', 'megawattituntia', 'terawattitunnin', 'terawattitunti'];Työn ja energian yksikkö
region;['kilowattitunti', 'kwh', 'kilowattituntia', 'b.t.u.', 'board of trade-yksikön', 'gigawattituntia tunnin', 'kilowattitunnilta', 'kw-hr', 'megawattitunnilta', 'megawattituntia', 'terawattitunnin', 'terawattitunti'];Työn ja energian yksikkö
region;['elektronivoltti', 'ev', 'gev', 'mev', 'elektroni volttia', 'electronvolts', 'elektroni-voltin', 'elektronivolttia', 'megaelectronvolt'];Energian mittayksikkö
region;['g-voima', 'g', 'painovoimavakio', 'kiihtyvyysvoima', 'g-voimat', 'jannu'];Kiihtyvyyden yksikkö
region;['newton', 'n', 'kilonewton', 'newtonia'];SI-järjestelmän mukainen voiman mittayksikkö
region;['btu', 'brittiläinen terminen yksikkö', 'brittiläinen lämpöyksikkö', 'b.th.u.', 'british thermal unit', 'englantilainen lämpöyksikkö'];Brittiläinen energian yksikkö
region;['henry', 'h'];SI-järjestelmän induktanssin mittayksikkö
region;['maili', 'maamaili', 'mi', 'kansainvälinen maili', 'neliömaili', 'survey mile', 'kansainvälinen kilometriä', 'kilometrin', 'maa kilometriä', 'ohjesääntö kilometriä', 'stat mi'];Matkan yksikkö (n. 1609 m)
region;['astronominen yksikkö', 'tähtitieteellinen yksikkö', 'au', 'astronomical unit', 'astronomisen yksikön'];Etäisyys Maan ja Auringon välillä
region;['solmu', 'merimaili', 'meripeninkulma', 'ilmamaili', 'kansainvälinen merimaili', 'mi', 'nopeuden yksikkö', 'nmi', 'kias', 'ktas', 'kn', 'knot', 'kt', 'm', 'mpk', 'nm', 'meripenikulma', 'meripeninkulman', 'air maili', 'kansainvälinen meripeninkulma', 'neliön merimailin'];Matkan yksikkö (1852 metriä)
region;['solmu', 'merimaili', 'meripeninkulma', 'ilmamaili', 'kansainvälinen merimaili', 'mi', 'nopeuden yksikkö', 'nmi', 'kias', 'ktas', 'kn', 'knot', 'kt', 'm', 'mpk', 'nm', 'meripenikulma', 'meripeninkulman', 'air maili', 'kansainvälinen meripeninkulma', 'neliön merimailin'];Nopeuden mittayksikkö (1,852 km/h)
region;['lm', 'lumen', 'luumen', 'lumenia'];SI-järjestelmän mukainen valovirran mittayksikkö
region;['tesla', 'gaussi', 't', 'nanoteslan'];SI-järjestelmän magneettivuon tiheyden mittayksikkö
region;['voltti', 'v', 'kilovoltin', 'voltin', 'volttia'];SI-järjestelmän mukainen jännitteen yksikkö
region;['watti', 'w', 'gigawatti', 'megawatti', 'milliwatti', 'mwe', 'gigawatin', 'gigawattia', 'kilowattia', 'megawattia', 'petawatt', 'terawattituntia'];SI-järjestelmän tehon ja säteilyvirran mittayksikkö
region;['megawatti', 'megawatt', 'mw'];Tehon mittayksikkö
region;['pascal', 'pa', 'hehtopascal', 'kpa', 'mpa', 'gigapascal', 'kilopascal', 'megapascal', 'micropascal', 'pascalia'];SI-järjestelmän mukainen paineen yksikkö
region;['minuutti', 'min', 'm', 'minuutin'];Ajan yksikkö, 60 sekuntia
region;['busheli', 'bushel', 'bushels', 'vakka'];Tilavuusmitta
region;['rationaaliluku', 'nimittäjä', 'osoittaja', 'rationaaliluvut', 'järkevä', 'järkevä määrä', 'rationals'];luvut, jotka voidaan esittää kahden kokonaisluvun osamääränä
region;['mittayksikkö', 'yksikkö', 'mittayksiköt', 'amerikkalaiset mittayksiköt', 'lisäyksikkö', 'mailijärjestelmä', 'mittajärjestelmä', 'yksikköjärjestelmä', 'johdannaisyksikkö', 'perusyksikkö', 'fyysinen yksikkö', 'painoja ja mittoja'];Asioiden mittaamiseen tarkoitettu suure
region;['kokonaisluku', 'positiivinen kokonaisluku', 'kokonaisluvut', 'negatiivinen kokonaisluku', 'ei-negatiivinen kokonaisluku', 'kokonaislukuja', 'luonnollinen luku', 'luonnolliset luvut', 'positiivisia kokonaislukuja'];positiiviset ja negatiiviset luonnolliset luvut
region;['operaatio neptunus', '6. heinäkuuta 1944', 'd-day', 'normandian maihinnousu', 'operaatio neptune', '06 kesäkuu 1944', 'd-day laskua', 'd-päivä', 'd-päivän', 'd päivä', 'normandian maihinnousun'];Koodinimi liittoutuneiden maihinnousulle Normandian rannikolle
region;['mikrogramma', 'mcg', 'μg', 'µ', 'mikrog', 'mikrogrammaa', 'ug'];Kilogramman miljardisosa
region;['algebrallinen luku', 'algebraic numero', 'algebrallinen numerot'];reaali- tai kompleksiluku, joka on kokonaislukukertoimisen polynomin nollakohta
region;['cgs', 'cgs-järjestelmä', 'absoluuttinen mittajärjestelmä', 'c. g. s.-järjestelmä', 'fysikaalinen mittajärjestelmä', 'cgs järjestelmä', 'sentin gramman toisen järjestelmän yksiköitä'];Mittayksikköjärjestelmä
region;['100', 'sata', 'yksi c', 'c', 'vuosisata', 'satanen'];Luku
region;['ampeeri', 'a', 'amppeeri', 'ampeeria', 'ma', 'milliampeeria', 'nanoampere'];Sähkövirran SI-perusyksikkö
region;['metri', 'm', 'metriä', 'desimetri', 'mikroni', 'millimetri', 'myriametri', 'nanometri', 'pikometri'];SI-järjestelmän mukainen pituuden mittayksikkö
region;['kandela', 'cd', 'candela', 'vakio kynttilä'];SI-järjestelmän mukainen valovoiman yksikkö
region;['ngultrum', 'bhutanin ngultrum'];Bhutanin rahayksikkö
region;['pula', 'botswanan pula', 'botswana pula'];Botswanan rahayksikkö
region;['kanadan dollari', 'loonie', 'kanadan dollaria'];Kanadan rahayksikkö
region;['chilen peso', 'peso'];Chilessä käytetty valuutta
region;['djiboutin frangi', 'djibouti frangi', 'djiboutian frangi'];Djiboutin rahayksikkö
region;['egyptin punta', 'punta'];Egyptin rahayksikkö
region;['ranskan frangi', '₣', 'ranskan frangia'];entinen Ranskan rahayksikkö
region;['irakin dinaari', 'dinaari'];Irakin rahayksikkö
region;['libanonin punta', 'punta'];Libanonin rahayksikkö
region;['malawin kwacha', 'kwacha', 'malawi kwacha'];Malawin rahayksikkö
region;['meksikon peso', 'peso', 'mxn', 'meksikon dollari', 'meksikon pesoa'];Meksikon rahayksikkö
region;['uuden-seelannin dollari', 'uuden-seelannin dollari', 'nzd'];Uuden-Seelannin rahayksikkö
region;['zloty', 'puolan zloty', 'puolan złoty', 'złoty', 'pln', 'zlotya', 'puolan zlotya'];Puolan rahayksikkö
region;['floriini', 'guldeni', 'florin', 'kultaa florin'];vanha eurooppalainen rahayksikkö
region;['baht', 'tical', 'thaimaan baht', '฿', 'bahtia', 'tisia'];Thaimaan rahayksikkö
region;['caymansaarten dollari', 'caymansaaret dollari'];Caymansaarten rahayksikkö
region;['venezuelan bolívar', 'bolivar', 'venezuelan bolivar'];Laillisen maksuvälineen valuutta Venezuelassa tasavallan perustuslain mukaan
region;['vietnamin đồng', 'dong', 'vietnamin dong', '₫', 'vietnam dong', 'vietnam đồng'];Vietnamin rahayksikkö
region;['kelvin', 'k', 'absoluuttinen lämpötila', 'kelviniä', 'megakelvin'];SI-järjestelmän mukainen lämpötilan yksikkö
region;['faradi', 'f', 'farads'];SI-järjestelmän mukainen kapasitanssin mittayksikkö
region;['100000', 'satatuhatta', 'lakh'];Luku
region;['1000', 'tuhat', 'g', 'jaardi', 'k', 'm', 'tuhat dollaria', 'tuhatluku', 'yksi tuhat', '1100', '1200', 'chiliad', 'sinä'];Luku
region;['1000', 'tuhat', 'g', 'jaardi', 'k', 'm', 'tuhat dollaria', 'tuhatluku', 'yksi tuhat', '1100', '1200', 'chiliad', 'sinä'];Luku
region;['1000', 'tuhat', 'g', 'jaardi', 'k', 'm', 'tuhat dollaria', 'tuhatluku', 'yksi tuhat', '1100', '1200', 'chiliad', 'sinä'];Luku
region;['500', 'viisisataa', 'd'];Luku
region;['50', 'viisikymmentä', 'l'];Luku
region;['40', 'neljäkymmentä', 'xl'];Luku
region;['kymmenentuhatta', '10000', 'myriadi', 'myria', 'lukemattomia'];Luku
region;['70', 'seitsemänkymmentä', 'lxx'];Luku
region;['60', 'kuusikymmentä', 'lx'];Luku
region;['30', 'kolmekymmentä', 'xxx'];Luku
region;['120', 'isosata', 'pitkä sata', 'suuri sata'];Luku
region;['9', 'yhdeksän', 'ix', 'yhdeksikkö', 'yhdeksännes', 'yhdeksäsosa', '0', 'ennead', 'nina carolina', 'niner'];Luku
region;['19', 'yhdeksäntoista', 'xix'];Luku
