abstract-quality;['ವ್ಯಕ್ತಿತ್ವ'];ವ್ಯಕ್ತಿತ್ವವು ಒಬ್ಬ ವ್ಯಕ್ತಿಯ ಭಾವನಾತ್ಮಕ, ಮನೋಭಾವದ, ಮತ್ತು ವರ್ತನಾತ್ಮಕ ಪ್ರತಿಕ್ರಿಯೆ ಮಾದರಿಗಳ ನಿರ್ದಿಷ್ಟ ಸಂಯೋಜನೆ.
spatial-feature;['ಖಗೋಳ'];ಖಗೋಳ ವಿಜ್ಞಾನ ಮತ್ತು ದಿಶಾದರ್ಶನದಲ್ಲಿ, ಖಗೋಳವು ಭೂಮಿಗೆ ಏಕಕೇಂದ್ರಿತ ಮತ್ತು ಸಹಾಕ್ಷವಾಗಿರುವ "ದೈತ್ಯಾಕಾರದ ಅರ್ಧವ್ಯಾಸದ" ಒಂದು ಕಾಲ್ಪನಿಕ ಆವರ್ತಿಸುವ ಗೋಳ.
spatial-feature;['ಗ್ರ್ಯಾಂಡ್ ಕ್ಯಾನ್ಯನ್', 'grand canyon'];ಗ್ರ್ಯಾಂಡ್ ಕ್ಯಾನ್ಯನ್ ಅಮೇರಿಕಾದ ಅರಿಜೊನ ಪ್ರಾಂತ್ಯದಲ್ಲಿದ್ದು, ಇದು ಕೊಲೆರಾಡೋ ನದಿಯ ಕೊರೆತದಿಂದ ಉಂಟಾದ ಕಂದರಗಳನ್ನು ಒಳಗೊಂಡಿದೆ.ಇದು ಪ್ರಪಂಚದ ಏಳು ಪ್ರಾಕೃತಿಕ ಅದ್ಭುತಗಳಲ್ಲಿ ಒಂದಾಗಿದೆ.
spatial-feature;['ಕರಾವಳಿ'];ಕರಾವಳಿ ಎಂದರೆ ಸಮುದ್ರಕ್ಕೆ ತಾಗಿಕೊಂಡಿರುವ ಭೂ ಪ್ರದೇಶ.
spatial-feature;['ಶಿಖರ', 'ಕಕುದ'];ಶಿಖರ ಎಂದರೆ ಅದಕ್ಕೆ ತಕ್ಷಣ ಪಕ್ಕದಲ್ಲಿರುವ ಎಲ್ಲ ಬಿಂದುಗಳಿಂತ ಹೆಚ್ಚು ಎತ್ತರದಲ್ಲಿರುವ ಒಂದು ಮೇಲ್ಮೈ ಮೇಲಿನ ಬಿಂದು.
spatial-feature;['ಬೋದಿಗೆ'];ವಾಸ್ತುಕಲೆಯಲ್ಲಿ, ಬೋದಿಗೆ ಎಂದರೆ ಒಂದು ಕಂಬದ ಅತ್ಯಂತ ಮೇಲಿನ ಘಟಕವಾಗಿರುತ್ತದೆ.
spatial-feature;['ಅಂಗುಳು'];ಅಂಗುಳು ಮಾನವನಲ್ಲೂ ಬೆನ್ನೆಲುಬುಗಳಿರುವ ಪ್ರಾಣಿಗಳಲ್ಲೂ ಬಾಯಿಯ ಒಳಗೆ ಛಾವಣಿಯಾಗಿರುವ ಭಾಗ .ಮೂಗಿನ ಹೊಳ್ಳುಗಳಿಗೆ ಇದೇ ತಳ. ಅಂದರೆ ಮೂಗು ಬಾಯಿಗಳ ನಡುವೆ ಇದೆ.
spatial-feature;['ಶಿಖರ', 'ಕಕುದ'];ಶಿಖರ ಎಂದರೆ ಅದಕ್ಕೆ ತಕ್ಷಣ ಪಕ್ಕದಲ್ಲಿರುವ ಎಲ್ಲ ಬಿಂದುಗಳಿಂತ ಹೆಚ್ಚು ಎತ್ತರದಲ್ಲಿರುವ ಒಂದು ಮೇಲ್ಮೈ ಮೇಲಿನ ಬಿಂದು.
spatial-feature;['ಅಲಘನಿ ಪರ್ವತಗಳು'];ಈ ಪರ್ವತವು ಉತ್ತರ ಅಮೇರಿಕ ಖಂಡದ 'ಉನೈಟೆಡ್ ಸ್ಟೇಟ್ಸ್ ಆಫ್ ಅಮೇರಿಕ' ದೇಶದಲ್ಲಿದೆ.
state;['ಖಿನ್ನತೆ'];ಮನೋವಿಜ್ಞಾನ ಮತ್ತು ಮನೋವೈದ್ಯಶಾಸ್ತ್ರದ ಕಾರ್ಯಕ್ಷೇತ್ರಗಳಲ್ಲಿ, ಖಿನ್ನತೆಯು ಕುಗ್ಗಿದ ಮನಃಸ್ಥಿತಿ ಮತ್ತು ಚಟುವಟಿಕೆಗೆ ಜುಗುಪ್ಸೆಯಿರುವ ಸ್ಥಿತಿಯನ್ನು ತಿಳಿಸುತ್ತದೆ.
state;['ಆಲ್\u200cಝೈಮರ್\u200c\u200cನ ಕಾಯಿಲೆ', 'ಆಲ್ ಝೈಮರ್ ನ ಕಾಯಿಲೆ', 'ಅಲ್ಜಿಮರ್ ಕಾಯಿಲೆ'];ಆಲ್‌ಝೈಮರ್‌‌ನ ಕಾಯಿಲೆ/ಅಲ್ಜಿಮರ್ ಎಂಬುದು ಬುದ್ಧಿಮಾಂದ್ಯತೆಯ ಅತ್ಯಂತ ಸಾಮಾನ್ಯ ಸ್ವರೂಪವಾಗಿದ್ದು, ಇದನ್ನು ಆಲ್‌ಝೈಮರ್‌‌ ಕಾಯಿಲೆ/ಅಲ್ಜಿಮರ್, ಸಿನೈಲ್‌ ಡಿಮೆನ್ಷಿಯಾ ಆಫ್‌ ದಿ ಆಲ್‌ಝೈಮರ್‌ ಟೈಪ್‌, ಪ್ರೈಮರಿ ಡೀಜನರೇಟಿವ್‌ ಡಿಮೆನ್ಷಿಯಾ ಆಫ್‌ ದಿ ಆಲ್‌ಝೈಮರ್‌ ಟೈಪ್‌, ಅಥವಾ ಆಲ್‌ಝೈಮರ್‌‌ನ ಎಂಬ ಹೆಸರುಗಳಿಂದಲೂ ಕರೆಯಲಾಗುತ್ತದೆ.
state;['ಆತಂಕ'];ಆತಂಕ ಶಬ್ದದ ಇತರ ಬಳಕೆಗಳಿಗಾಗಿ ಆತಂಕ ನೋಡಿ.
state;['ಸಂಮೋಹನ ಶಾಸ್ತ್ರ'];ಸಂಮೋಹನ ವು ಮಾನಸಿಕ ಸ್ಥಿತಿಅಥವಾ ಮನೋಭಾವನೆಗಳು ಮತ್ತು ನಂಬಿಕೆಗಳ ಗುಂಪಾಗಿದ್ದುಸಾಮಾನ್ಯವಾಗಿ ಸಂಮೋಹನ ಪ್ರವೇಶ ಎಂಬ ವಿಧಾನದ ಮೂಲಕ ಉಂಟುಮಾಡಲಾಗುತ್ತದೆ.ಇದು ಆರಂಭಿಕ ಅಂತಸ್ಸೂಚನೆ ಮತ್ತು ಸಲಹೆಗಳ ಸುದೀರ್ಘ ಸರಣಿಯನ್ನು ಸಾಮಾನ್ಯವಾಗಿ ಒಳಗೊಂಡಿರುತ್ತದೆ.
state;['ಸ್ಕಿಝೋಫ್ರೇನಿಯ', 'ಇಚ್ಛಿತ್ತ ವಿಕಲತೆ', 'ಸ್ಕಿಜೋಫ್ರೇನಿಯಾ'];ಇಚ್ಛಿತ್ತ ವಿಕಲತೆ ಅಥವಾ ಸ್ಕಿಜೋಫ್ರೇನಿಯ ಒಂದು ರೀತಿಯ ಮಾನಸಿಕ ಕಾಯಿಲೆ.
state;['ಭ್ರಮೆ'];ಭ್ರಮೆ ಎಂಬುದನ್ನು ಶಬ್ದದ ವಿಶಾಲಾರ್ಥದಲ್ಲಿ ಯಾವುದೇ ಪ್ರಚೋದನೆ ಇಲ್ಲದೇ ಆಗುವ ಅನುಭವ ಎಂದು ಅರ್ಥೈಸಬಹುದು.
state;['ಬುದ್ಧಿಮಾಂದ್ಯತೆ'];ಬುದ್ಧಿಮಾಂದ್ಯತೆ ಯೊಂದು ಮಾನಸಿಕ ಸ್ಥಿತಿಗೆ ಸಂಬಂಧಿಸಿದ ಗಂಭೀರವಾದ ಕಾಯಿಲೆಯಾಗಿದೆ.
state;['ಮಾನಸಿಕ ಆರೋಗ್ಯ'];ಮಾನಸಿಕ ಆರೋಗ್ಯ ವು,ಆರೋಗ್ಯಕರವಾಗಿರುವ ಗ್ರಹಣಶಕ್ತಿಯ ಅಥವಾ ಭಾವನೆಯ ಮಟ್ಟವನ್ನು ಅಥವಾ ಮಾನಸಿಕ ಅಸ್ವಸ್ಥತೆ ಇಲ್ಲದಿರುವುದನ್ನು ವಿವರಿಸುತ್ತದೆ.
status;['ಪೌರತ್ವ', 'ಪೌರ'];ಪೌರನೆಂದರೆ ಪೌರತ್ವ ಹೊಂದಿರುವ ಒಬ್ಬ ವ್ಯಕ್ತಿ.
subject;['ಸಂಖ್ಯಾಶಾಸ್ತ್ರ'];ಸಂಖ್ಯಾಶಾಸ್ತ್ರ ವು ಅಂಕಿಅಂಶ ಸಂಗ್ರಹಣೆ, ಅನುಕ್ರಮ ವಿಶ್ಲೇಷಣೆ, ವ್ಯಾಖ್ಯಾನ ಅಥವಾ ಅರ್ಥವಿವರಣೆ ಮತ್ತು ಪ್ರಸ್ತುತ ಸಂಬಂಧ ಹೊಂದಿದೆ.
subject;['ವಿಜ್ಞಾನ', 'ನೈಸರ್ಗಿಕ ವಿಜ್ಞಾನ'];ವಿಜ್ಞಾನವು ಬ್ರಹ್ಮಾಂಡದ ಬಗ್ಗೆ ಪರೀಕ್ಷಣೀಯ ವಿವರಣೆಗಳು ಮತ್ತು ಭವಿಷ್ಯವಾಣಿಗಳ ರೂಪದಲ್ಲಿ ಜ್ಞಾನವನ್ನು ನಿರ್ಮಿಸುವ ಮತ್ತು ಸಂಘಟಿಸುವ ಒಂದು ವ್ಯವಸ್ಥಿತ ಯೋಜನೆ..
subject;['ಗಣಿತ', 'ಗಣಿತಜ್ಞ', 'ಗಣಿತಶಾಸ್ತ್ರ'];ಗಣಿತ ಎಂಬುದು ಪ್ರಮಾಣ, ವಿನ್ಯಾಸ, ಅವಕಾಶ, ಬದಲಾವಣೆ ಮುಂತಾದ ಪರಿಕಲ್ಪನೆಗಳ ಬಗ್ಗೆ ಜ್ಞಾನವನ್ನು ಸಂಪಾದಿಸುವ ಅಧ್ಯಯನ ಪ್ರಕಾರ.
subject;['ಭೂರಚನಶಾಸ್ತ್ರ', 'ಭೂವಿಜ್ಞಾನ'];ಭೂರಚನಶಾಸ್ತ್ರವು ಭೂಮಿಯನ್ನು ರಚಿಸುವ ಘನ ಮತ್ತು ದ್ರವ ಪದಾರ್ಥಗಳ ವೈಜ್ಞಾನಿಕ ಅಧ್ಯಯನ.
subject;['ಗೆಸ್ಟಾಲ್ಟ್\u200c ಮನೋವಿಜ್ಞಾನ'];ಗೆಸ್ಟಾಲ್ಟ್‌ ಮನೋವಿಜ್ಞಾನ ಜರ್ಮನಿಯಲ್ಲಿ ಹುಟ್ಟಿ ಬೆಳೆದ ಒಂದು ಮನೋವೈಜ್ಞಾನಿಕ ಪಂಥ.
subject;['ಭೂಶಾಸ್ತ್ರ', 'ಭೂ ಶಾಸ್ತ್ರ', 'ಭೂಮಿ ಶಾಸ್ತ್ರ', 'ಭೂಮಿಗೆ ಸಂಬಧಪಟ್ಟ ಸಂಶೋಧನಾ ವಿಷಯಗಳು', 'ಭೂಮಿಶಾಸ್ತ್ರ'];ಭೂಶಾಸ್ತ್ರ ಭೂಮಿಯ ಬಗ್ಗೆ ಅಧ್ಯಯನ ನಡೆಸುವ ವೈಜ್ಞಾನಿಕ ವಿಧಿಗಳನ್ನು ಒಳಗೊಂಡಿದೆ.
subject;["ಯುಕ್ಲಿಡ್ 'ನ ಜ್ಯಾಮಿತಿ"];'ಯೂಕ್ಲಿಡ್ 'ನ ಜ್ಯಾಮಿತಿಯು ಗಣಿತಶಾಸ್ತ್ರದ ವ್ಯವಸ್ಥೆಯಾಗಿದ್ದು,ಯುಕ್ಲಿಡ್ ಒಬ್ಬ ಅಲೆಕ್ಸಾಂಡ್ರಿಯನ್ ಪ್ರಾಚೀನ ಗ್ರೀಕ್ ಗಣಿತಜ್ಞ.
subject;['ಸ್ಥಳ ವರ್ಣನೆ'];ಟೋಪೋಗ್ರಫಿ ಯು ಭೂಮಿ,ಚಂದ್ರ ಹಾಗೂ ಇತರ ಗ್ರಹ,ಕ್ಷುದ್ರಗ್ರಹ ಮತ್ತು ಇತರ ಖಗೋಳ ವಸ್ತುಗಳ ಮೇಲ್ಮೈ ಲಕ್ಷಣಗಳ ಅಧ್ಯಯನದ ಭೌಗೋಳಿಕ ವಿಷಯವಾಗಿದೆ.
subject;['ಕಾವ್ಯಮೀಮಾಂಸೆ'];ಕಾವ್ಯಮೀಮಾಂಸೆ ಎಂದರೆ ಕವಿ ಮತ್ತು ಕಾವ್ಯದ ಲಕ್ಷಣಗಳು, ಕಾವ್ಯಪ್ರಭೇದಗಳು, ಕಾವ್ಯಗಳಲ್ಲಿ ಅಲಂಕಾರ, ರೀತಿ, ರಸ, ಧ್ವನಿ ಮೊದಲಾದುವುಗಳ ಸ್ಥಾನ, ಕಾವ್ಯದ ವಸ್ತು ಮತ್ತು ಆತ್ಮಗಳ ಪರಿಶೀಲನ--ಇತ್ಯಾದಿಯಾಗಿ ಕಾವ್ಯವಿದ್ಯೆಗೆ ಸಂಬಂಧಿಸಿದ ವಿಷಯಗಳ ಶಾಸ್ತ್ರೀಯ ನಿರೂಪಣೆ.
subject;['ಭೂಗೋಳ ಶಾಸ್ತ್ರ', 'ಭೂಗೋಳಶಾಸ್ತ್ರ'];ಭೂಗೋಳ ಶಾಸ್ತ್ರವು ಭೂಮಿಯ ಅಧ್ಯಯನವಾಗಿದೆ.
subject;['ಜನಾಂಗಶಾಸ್ತ್ರ', 'ನಾಡರಿಮೆ'];ಎಥನಾಲಜಿ ಇದು ಅಂಥ್ರೊಪೊಲೊಜಿಇದರ ಒಂದು ಶಾಖೆಯಾಗಿದ್ದು ಮಾನವನ ಮೂಲ, ಹಂಚಿಕೆ, ತಂತ್ರಜ್ಞಾನ, ಧರ್ಮ, ಭಾಷೆ ಮತ್ತು ಜನಾಂಗದ, ಕುಲದ ಮತ್ತು/ಅಥವಾ ರಾಷ್ಟ್ರೀಯ ಮಾನವಿಯ ಮೌಲ್ಯಗಳ ಹಂಚಿಕೆಯ ಸಾಮಾಜಿಕ ವ್ಯವಸ್ಥೆಯನ್ನು ತುಲನಾತ್ಮಕವಾಗಿ ವಿಮರ್ಷಿಸುತ್ತದೆ.
subject;['ಪುರಾತತ್ತ್ವ ಶಾಸ್ತ್ರ'];ಪುರಾತತ್ತ್ವ ಶಾಸ್ತ್ರ ಅಥವಾ archeology ವು ಹಿಂದಿನ ಕಾಲದ ಮಾನವ ಸಮಾಜಗಳ ಅಭಿವೃದ್ಧಿ ಬಗೆಗಿನ ಅಧ್ಯಯನವಾಗಿದೆ, ಇದನ್ನು ಪ್ರಾಥಮಿಕವಾಗಿ ಕೈಗಳಿಂದ ಮಾಡಿದ ಹಸ್ತಕೃತಿಗಳು, ವಾಸ್ತುಶಿಲ್ಪ, ಜೈವಿಕ ಸಂಗತಿಗಳು ಮತ್ತು ಸಾಂಸ್ಕೃತಿಕ ಭೂದೃಶ್ಯಗಳು ಮೊದಲಾದವುಗಳನ್ನು ಒಳಗೊಂಡಂತೆ ಅವರು ಬಿಟ್ಟುಹೋದ ಪರಿಸರದ ಮಾಹಿತಿಗಳ ಮತ್ತು ಭೌತಿಕ ಸಂಸ್ಕೃತಿಯ ಪುನಸ್ಸಂಪಾದನೆ ಮತ್ತು ವಿಶ್ಲೇಷಣೆಯ ಮೂಲಕ ಮಾಡಲಾಗುತ್ತದೆ.
subject;['ಖಭೌತ ಶಾಸ್ತ್ರ'];ಖಭೌತ ಶಾಸ್ತ್ರವು ಭೌತಶಾಸ್ತ್ರದ ಹಲವಾರು ತತ್ವಗಳನ್ನು ಖಗೋಳ ಶಾಸ್ತ್ರದ ಹಲವಾರು ಕ್ಷೇತ್ರಗಳಲ್ಲಿ ಅನ್ವಯಿಸುವ ವಿಜ್ಞಾನದ ಒಂದು ವಿಭಾಗವಾಗಿದೆ.ಇದು ಖಗೋಳ ಶಾಸ್ತ್ರದ ಒಂದು ಪ್ರಮುಖ ಅಂಗವಾಗಿದೆ.ಇದರಲ್ಲಿ ಭೌತ ಶಾಸ್ತ್ರದ ಹಲವಾರು ವಿಭಾಗಗಳು,ಅಂದರೆ ಯಂತ್ರ ಶಾಸ್ತ್ರ,ವಿದ್ಯುತ್ಕಾಂತತೆ,ಉಷ್ಣಬಲ ವಿಜ್ಞಾನ,ಕಣ ಭೌತಶಾಸ್ತ್ರ,,ಸಾಪೇಕ್ಷತ ಸಿದ್ಧಾಂತ,ಅಣು ವಿಜ್ಞಾನ ಮುಂತಾದವುಗಳು ಸಕ್ರಿಯವಾಗಿ ಉಪಯೋಗಿಸಲ್ಪಡುತ್ತವೆ.
subject;['ಪ್ರಾಣಿಶಾಸ್ತ್ರ', 'ಪ್ರಾಣಿ ಶಾಸ್ತ್ರ'];ಪ್ರಾಣಿಶಾಸ್ತ್ರ ಜೀವಶಾಸ್ತ್ರದಲ್ಲಿ ಪ್ರಾಣಿಗಳನ್ನು ಅಧ್ಯಯನ ಮಾಡುವ ವಿಧಾನ.
subject;['ಸೂಕ್ಷ್ಮ ಜೀವ ವಿಜ್ಞಾನ'];ಸೂಕ್ಷ್ಮ ಜೀವವಿಜ್ಞಾನ ಎಂಬುದು ಸೂಕ್ಷ್ಮಜೀವಿಗಳ ಅಧ್ಯಯನವಾಗಿದ್ದು, ಈ ಸೂಕ್ಷ್ಮಜೀವಿಗಳು ಏಕಕೋಶೀಯ ಅಥವಾ ಜೀವಕೋಶ-ಗುರ್ಚಛದ ಅತಿಸೂಕ್ಷ್ಮ ಜೀವಿಗಳಾಗಿರುತ್ತವೆ.
subject;['ಸಸ್ಯಶಾಸ್ತ್ರ', 'ಗಿಡದರಿಮೆ', 'ಸಸ್ಯಶಾಸ್ತ್ರಜ್ಞ'];ಸಸ್ಯಶಾಸ್ತ್ರವು ಸಸ್ಯಗಳ ಬಗ್ಗೆ ವೈಜ್ಞಾನಿಕ ಅಧ್ಯಯನ ನಡೆಸಲಾಗುವ ಜೀವಶಾಸ್ತ್ರದ ಭಾಗ.
subject;['ಅಂಗಾಂಶಶಾಸ್ತ್ರ'];ಅಂಗಾಂಶಶಾಸ್ತ್ರಗಿಡಮರಗಳ, ಪ್ರಾಣಿಗಳ ಸಹಜವಾದ ಮಿಣಿದರ್ಶಕ ರಚನೆಯನ್ನು ವಿವರಿಸುವ, ಮಿಣಿದರ್ಶಕದಿಂದ ತಿಳಿಯಬಹುದಾದ, ಬದುಕಿರುವ ಜೀವಾಣುಗಳ ನಡೆವಳಿಕೆಯ ನಿಜಗೆಲಸದ ವಿಚಾರಗಳನ್ನು ತಿಳಿಸುವ, ಜೀವವಿಜ್ಞಾನದ ಶಾಸ್ತ್ರಗಳೊಂದಿಗೆ ಅಂಗಾಂಶಶಾಸ್ತ್ರ, ರೂಪವನ್ನು ವಿವರಿಸುವ ಇತರ ಶಾಸ್ತ್ರಗಳೊಂದಿಗೆ ಇದರ ಸಂಬಂಧವನ್ನು ತಿಳಿವ ಮುಂಚೆ, ಹಲವು ಕಣಗಳ ಜೀವಾಣುಗಳ ರಚನೆಯ ಓರಣದಲ್ಲಿ ಹಲವಾರು ಆಕಾರಗಳ ಮಟ್ಟದವು ಇರುವುದನ್ನು ಅರಿಯಬೇಕು.
subject;['ಕೃತಕ ಬುದ್ಧಿಮತ್ತೆ'];ಕೃತಕ ಬುದ್ಧಿಮತ್ತೆ ಅಥವಾ ಯಾಂತ್ರಿಕ ಬುದ್ಧಿಮತ್ತೆ Artificial Intelligence ಗಣಕ ವಿಜ್ಞಾನದ ಒಂದು ವಿಭಾಗ.
subject;['ಲೋಕೋಪಯೋಗಿ ಶಿಲ್ಪ ವಿಜ್ಞಾನ', 'ಸಿವಿಲ್\u200c ಇಂಜಿನಿಯರಿಂಗ್\u200c'];ಲೋಕೋಪಯೋಗಿ ಶಿಲ್ಪ ವಿಜ್ಞಾನದ ತಂತ್ರಜ್ಞಾನ ವು ವೃತ್ತಿಪರ ಎಂಜಿನೀಯರಿಂಗ್ ಕ್ಷೇತ್ರದ ಶಿಸ್ತು ಬದ್ದ ಕಾರ್ಯಾಚರಣೆ ಎನಿಸಿದೆ.ಇದು ವಿನ್ಯಾಸ,ನಿರ್ಮಾಣ ಮತ್ತು ಭೌತಿಕ ಮತ್ತು ನೈಸರ್ಗಿಕ ವಾತಾವರಣದ ಉಸ್ತುವಾರಿ,ಅಂದರೆ ಸೇತುವೆಗಳು,ರಸ್ತೆಗಳು,ಕಾಲುವೆ-ನಾಲೆಗಳು,ಅಣೆಕಟ್ಟೆಗಳು ಮತ್ತು ಕಟ್ಟಡಗಳ ಕೆಲಸವನ್ನು ಒಳಗೊಂಡಿದೆ.
subject;['ಗಣಕ ವಿಜ್ಞಾನ', 'ಕಂಪ್ಯೂಟರ್ ವಿಜ್ಞಾನ', 'ಗಣಕಯಂತ್ರ ವಿಜ್ಞಾನ', 'ಗಣನಾ ವಿಜ್ಞಾನ'];ಗಣಕ ವಿಜ್ಞಾನವು ಮಾಹಿತಿ ಹಾಗೂ ಗಣನೆಯ ಸೈದ್ಧಾಂತಿಕ ಆಧಾರಗಳ, ಮತ್ತು ಗಣಕಯಂತ್ರ ವ್ಯವಸ್ಥೆಗಳಲ್ಲಿ ಅವುಗಳ ಕಾರ್ಯಾನ್ವಯ ಹಾಗೂ ಬಳಸುವಿಕೆಗಾಗಿ ಕಾರ್ಯೋಪಯೋಗಿ ವಿಧಾನಗಳ ಅಧ್ಯಯನ.
subject;['ಕೆಮಿಕಲ್ ಇಂಜಿನಿಯರಿಂಗ್'];ಕೆಮಿಕಲ್ ಇಂಜಿನಿಯರಿಂಗ್ ಎಂಬುದು ಒಂದು ಇಂಜಿನಿಯರಿಂಗ್ನ ವಿಧ.ಇದು ರಸಾಯನಶಾಸ್ತ್ರ ಹಾಗೂ ಮೆಕ್ಯಾನಿಕಲ್ ಇಂಜಿನಿಯರಿಂಗ್ ವಿಭಾಗಗಳ ಹಲವು ಅಂಶಗಳನ್ನು ಒಳಗೊಂಡಿರುತ್ತದೆ.
subject;['ಭೂರೂಪಶಾಸ್ತ್ರ'];ಭೂರೂಪಶಾಸ್ತ್ರ ದೂರೂಪಶಾಸ್ತ್ರವು ಯಾವುದೇ ಗ್ರಹದ ಒಂದು ಭೂಗಳ ವಿಕಾಸನ ಹಾಗೂ ಇನ್ನೂ ವಿಶಾಲವಾಗಿ ಅವುಗಳಿಗೆ ಆಕಾರ ಕೊಡುವ ಪದ್ಧತಿಗಳು ಮತ್ತು ಭೂರಚನೆಯ ವೈಜ್ಞಾನಿಕ ಅಧ್ಯಯನವಾಗಿದೆ.
subject;['ವಾಯುಬಲವಿಜ್ಞಾನ'];ವಾಯುಬಲವಿಜ್ಞಾನ ಚಲನಶಾಸ್ತ್ರದ ವಿಭಾಗವಾಗಿದೆ.
subject;['ನರವಿಜ್ಞಾನ'];ನರವಿಜ್ಞಾನ ನರಮಂಡಲದ ಅಸ್ವಸ್ಥತೆಗೆ ಸಂಬಂಧಪಟ್ಟ ಒಂದು ವೈದ್ಯಕೀಯ ಅಧ್ಯಯನ.
subject;['ನೇತ್ರಶಾಸ್ತ್ರ', 'ನೇತ್ರವಿಜ್ಞಾನ'];ನೇತ್ರವಿಜ್ಞಾನ ವು ಕಣ್ಣಿನ ಅಂಗರಚನಾಶಾಸ್ತ್ರ, ಕಾರ್ಯಚಟುವಟಿಕೆಗಳು, ಮತ್ತು ರೋಗಗಳ ಬಗೆಗೆ ಅಧ್ಯಯನ ಮಾಡುವ ವೈದ್ಯಕೀಯ ಶಾಸ್ತ್ರದ ಒಂದು ಶಾಖೆಯಾಗಿದೆ.
subject;['ಮನೋವೈದ್ಯಶಾಸ್ತ್ರ'];ಮನೋವೈದ್ಯಶಾಸ್ತ್ರ ವು ಒಂದು ವೈದ್ಯಕೀಯ ತಜ್ಞತೆ ಯಾಗಿದ್ದು, ಮಾನಸಿಕ ಅಸ್ವಸ್ಥತೆಯ ಅಧ್ಯಯನ ಮತ್ತು ಚಿಕಿತ್ಸೆಗೆ ಸಂಬಂಧಿಸಿದೆ.
subject;['ಅಂತಃಸ್ರಾವ ಶಾಸ್ತ್ರ'];ಅಂತಃಸ್ರಾವ ಶಾಸ್ತ್ರ ವು ಔಷಧ ವೈದ್ಯಶಾಸ್ತ್ರದ ಒಂದು ಶಾಖೆಯಾಗಿದೆ.
subject;['ಹೃದಯಶಾಸ್ತ್ರ'];ಹೃದಯಶಾಸ್ತ್ರವು ಹೃದಯ ಮತ್ತು ರಕ್ತನಾಳಗಳ ಕಾಯಿಲೆಗಳನ್ನು ನಿರ್ವಹಿಸುವ ಒಂದು ವೈದ್ಯಕೀಯ ಪರಿಣತಿ.
subject;['ಕೀಲುರೋಗಶಾಸ್ತ್ರ'];ಕೀಲುರೋಗಶಾಸ್ತ್ರ ವು ಆಂತರಿಕ ವೈದ್ಯಕೀಯದ ಮತ್ತು ಮಕ್ಕಳರೋಗಶಾಸ್ತ್ರದ ಅಧ್ಯಯನವಾಗಿದ್ದು, ಕೀಲುಗಳು, ಮಾಂಸಖಂಡಗಳು ಮತ್ತು ಮೂಳೆಗಳಿಗೆ ಸಂಬಂಧಿಸಿದ ರೋಗಗಳ ಲಕ್ಷಣ ತಿಳಿಯುವಿಕೆ ಮತ್ತು ಚಿಕಿತ್ಸೆಗೆ ಮೀಸಲಾದ ವೈದ್ಯಕೀಯ ಶಾಸ್ತ್ರದ ಒಂದು ಉಪ-ವಿಶೇಷ ವಿಭಾಗವಾಗಿದೆ.
subject;['ನರವಿಜ್ಞಾನ'];ನರವಿಜ್ಞಾನ ನರಮಂಡಲದ ಅಸ್ವಸ್ಥತೆಗೆ ಸಂಬಂಧಪಟ್ಟ ಒಂದು ವೈದ್ಯಕೀಯ ಅಧ್ಯಯನ.
subject;['ಜೈವಿಕತಂತ್ರಜ್ಞಾನ', 'ಜೀವ ತಂತ್ರಜ್ಞಾನ', 'ಜೀವತಂತ್ರಜ್ಞಾನ', 'ಜೈವಿಕ ತಂತ್ರಜ್ನಾನ ಮೇಳ'];ಜೈವಿಕ ತಂತ್ರಜ್ಞಾನ ವು ಜೀವಶಾಸ್ತ್ರ, ಕೃಷಿ, ಆಹಾರ ವಿಜ್ಞಾನ ಮತ್ತು ಔಷಧ ವೈದ್ಯಶಾಸ್ತ್ರಗಳನ್ನು ಆಧರಿಸಿರುವ ಒಂದು ತಂತ್ರರ್ಜ್ಞಾನವಾಗಿದೆ.
subject;['ಅಂಗರಚನಾವಿಜ್ಞಾನ', 'ಅಂಗರಚನ ಶಾಸ್ತ್ರ'];ಅಂಗರಚನಾಶಾಸ್ತ್ರ ಎಂಬುದು ಜೀವಿಗಳ ರಚನೆ ಮತ್ತು ಅವುಗಳ ಭಾಗಗಳ ಅಧ್ಯಯನಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ಜೀವಶಾಸ್ತ್ರ ಶಾಖೆಯಾಗಿದೆ.
subject;['ಪ್ರಕಾಶ ವಿಜ್ಞಾನ'];ಪ್ರಕಾಶ ವಿಜ್ಞಾನ ಒಂದು ತಂತ್ರವಾಗಿದ್ದು, ಇದು ಒಂದು ವಸ್ತುವಿನಿಂದ ಬೀರಲ್ಪಟ್ಟ ಬೆಳಕನ್ನು ದಾಖಲಿಸಿಕೊಳ್ಳಲು ಅವಕಾಶ ನೀಡುತ್ತದೆ.
subject;['ವಿಷವೈದ್ಯ ಶಾಸ್ತ್ರ'];ವಿಷವೈದ್ಯ ಶಾಸ್ತ್ರ ಎಂದರೆ ಸಜೀವಿಗಳ ಮೇಲೆ ರಾಸಾಯನಿಕಗಳಿಂದ ಉಂಟಾಗುವ ವ್ಯತಿರಿಕ್ತ ಪರಿಣಾಮಗಳ ಬಗ್ಗೆ ಅಧ್ಯಯನ ಮಾಡುವುದು.
