abstract-quality;['זהות אישית', 'אינדיבידואליות'];מודל סוציולוגי
space-region;['זקיף', 'נטיף תחתי'];תופעת טבע הנוצרת במערה
space-region;['נתיב אווירי', 'מסדרון אוויר', 'נתיב אוויר', 'נתיב טיסה', 'skyway', 'skybridge', 'skybridges', 'גשר שמים'];רצועה במרחב האווירי אשר נקבעה בידי רשויות פיקוח התעופה, המקומיות והבינלאומיות, כנתיב לתנועת כלי טיס מנקודה לנקודה
space-region;['מעוינון', 'רומבוהדרון', 'rhombohedron'];פאון תלת-ממדי בעל שש פאות, שכולן מעוינים
space-region;['פירמידה', 'פירמידה ישרה', 'פירמידה ריבועית', 'פירמידה משולשת'];פאון במרחב האוקלידי התלת-ממדי
space-region;['תיבה', 'קוביות'];גוף גאומטרי תלת-ממדי
space-region;['ספרואיד', 'אליפסואיד ייחוס', 'ספירואיד', 'אליפטית', 'אליפסואיד של מהפכה'];צורה גיאומטרית
space-region;['פאון', 'שמות פאונים', 'פוליהדרון', 'פאונים'];גוף גאומטרי תלת-ממדי (בעל נפח הכלוא בין פאותיו)
space-region;['עלייה ישרה', 'עליה ישרה', 'אורך האקליפטית', 'אורך שמימי', 'במערכת קואורדינטות האקליפטית', 'התרוממות זכות', 'לקו האורך השמימי'];המקבילה האסטרונומית לקו אורך
space-region;['ארבעון', 'טטראדר', 'טטראהדר', 'טטרהדר', 'טטרהדרון', 'פירמידה משולשת', 'tetrahedra', 'זווית טטראהדרלי', 'טטראהדרלי', 'לזווית טטראהדרלי'];פאון רגולרי יסודי, אחד מחמשת הפאונים האפלטוניים
space-region;['עשרימון משוכלל', 'עשרימון', 'איקוסאדר', 'איקוסהדרון', 'icosahedra'];פאון משוכלל בעל עשרים פאות, אשר כל אחת מהן היא משולש שווה-צלעות, כלומר, משולש שכל צלעותיו שוות זו לזו וכל זוויותיו שוות זו לזו
space-region;['חלל', 'חלל החיצון', 'החלל', 'החלל החיצון', 'המראה לחלל', 'חלל חיצון', 'חלל שמיימי', 'בחלל החיצון'];המרחב הקיים מחוץ לכדור הארץ
space-region;['מזקו"ם', 'זחליל\u200e', 'גלגלי מרכוב', 'ויקרס', 'מזקו"מ', 'מזקום', 'זחל', 'טרקטור זחל', 'לדרוך זחל', 'מעקב אחר כלי רכב'];מערכת זחלים, קפיצים ומרכובים המשמשת להנעת כלי רכב כבדים
space-region;['מים לבנים', 'whitewater', 'אטאר'];זרם בועתי, אוורירי ובלתי יציב
space-region;['תכווין'];בניווט, הזווית האופקית בין כיוון של עצם לעצם אחר
space-region;['זניט', 'זנית', 'זֶנִית', 'זֶנִית\u200e', 'שיא'];כיוון המצביע ישירות "מעל" מיקום מסוים
space-region;['נדיר', 'נָדִיר', 'nadir', 'נאדיר'];כיוון המצביע ישירות "מתחת" מיקום מסוים
spatial-feature;['קניון', 'קֶנְיוֹן'];מונח בגיאולוגיה
spatial-feature;['הר בדד', 'הר משאר', 'koppie', 'התל', 'inselberg', 'monadnock', 'monadnocks'];מונח בגאומורפולוגיה
spatial-feature;["לוח ויג'י", 'ouija', "אויג'ה", "לוח אויג'ה", 'לוח סיאנס', 'סיאנס', 'בלוחות סיאנס', 'לוחות סיאנס'];לוח הנועד לתקשור עם ישויות שונות במהלך סיאנס
spatial-feature;['גיא', 'עָרוּץ'];שטח צר וארוך
spatial-feature;['הרי האלפים', 'האלפים', 'האלפים המערביים'];רכס הרים בדרום מרכזה ומערבה של אירופה
spatial-feature;['גיברלטר', 'צוק גיברלטר', "ג'יברלטר", 'calpe'];טריטוריה בריטית
spatial-feature;['מטמנה', 'מזבלה', 'הטמנת פסולת', 'אתר הטמנה', 'הטמנה סניטרית', 'כמזבלה'];אתר אליו מפונה פסולת לקבורה
spatial-feature;['דלתה', 'delta'];עיירה בקנדה
spatial-feature;['הר דנאלי', 'הר דנלי', 'הר מקינלי', 'denali', 'ההר מקינלי', 'הר. מקינלי'];הר בארצות הברית
spatial-feature;['ויסהורן', 'weisshorn'];הר בשווייץ
spatial-feature;['mercedario'];הר בארגנטינה
spatial-feature;['אוחוס דל סלאדו', 'ojos del salado', 'אוחוס דל סלד'];הר בצ&#39.ילה
spatial-feature;['ננגה פרבט', 'nangá parbat', 'הנאנגה parbat'];הר בפקיסטן
spatial-feature;['shishāpāngmā', 'gosainthan'];הר ברפובליקה העממית של סין
spatial-feature;['tirich mir', 'tirich מיר'];הר בפקיסטן
spatial-feature;['ulugh muz tagh', 'ulugh muztagh'];הר ברפובליקה העממית של סין
spatial-feature;['גרנד טיטון', 'grand teton'];הר בארצות הברית
spatial-feature;['nacimiento'];הר בארגנטינה
spatial-feature;['illampu', 'וillampu'];הר בבוליביה
spatial-feature;['ancohuma'];הר בבוליביה
spatial-feature;['אילימני', 'illimani'];הר בבוליביה
spatial-feature;["צ'ימבורסו", 'צימבורסו', 'chimborazo', "צ'ימבורזו"];הר באקוודור
spatial-feature;['rakaposhi'];הר בפקיסטן
spatial-feature;['k2', 'k-2', 'דאפסאנג', 'לאמבה פהאר', 'פסגת גודווין-אוסטן', 'פסגת גודווין אוסטן', "צ'וגורי", "קצ'ו", 'dapsang', 'גודווין אוסטן', 'ההר גודווין אוסטן'];הר בפקיסטן
spatial-feature;['pobeda שיא', 'pobedy שיא'];הר בקירגיזסטן
spatial-feature;['רכס טיטון', 'הרי טיטון', 'רכס גרנד טטון', 'רכס גרנד טיטון', 'רכס טטון', 'טווח טיטון'];רכס הרים בצפון אמריקה
spatial-feature;['מעיין חם', 'מַעֲיָן חַם\u200e', 'מעיינות חמים', 'מעיין תרמי', 'hotspring'];מעיין מי תהום חמים מעומק קרום כדור הארץ
spatial-feature;['סוף', 'סיום'];היכן שמסתיים משהו
spatial-feature;['הרי סנט אליאס', 'רכס סנט אליאס', 'הרי אליאס', 'טווח סנט אליאס'];תת רכס
spatial-feature;['שונית אלמוגים', 'שוניות אלמוגים', 'היווצרות שוניות אלמוגים'];סוג של בית גידול ימי
spatial-feature;['שרטון', 'בנק חול', 'שרטונות'];מלשון שריטה בתוואי הקרקע
spatial-feature;['רכס הרים', 'שרשרת הרים', 'רכס', 'טווח של הרים', 'רכסי הרים', 'שרשרת ההרים'];קבוצת הרים
spatial-feature;['דרדרת', 'מהמתלול', 'מפולת', 'מתלול'];צורת נוף של אוסף של שברי סלע בבסיס צוקים
spatial-feature;['גייזר', 'גייזר\u200e', 'גיזר', 'אינדיקטור של גייזר', 'גייזר חרוט', 'גייזר מזרקה', 'גייזרים'];מעיין מים חמים המתפרץ תקופתית, ומעלה לאוויר עמוד של מים חמים וקיטור
spatial-feature;['שקע', 'דיכאון', 'דיכאון גיאולוגי', 'דיכאון טבעי', 'הדיכאון הגיאולוגי'];מונח המבטא צורת נוף השקועה מתחת לסביבתה
spatial-feature;['דרך סולינג', 'macadamized'];כביש
spatial-feature;['עמק ביקוע', 'בקע'];מושג בגאולוגיה
spatial-feature;['גלראס', 'galeras', 'פסטו'];הר בקולומביה
spatial-feature;['קולימה', 'colima', 'nevado דה קולימה', 'volcan דה קולימה'];הר במקסיקו
spatial-feature;['פיקו דה אוריסאבה', 'פיקו דה אוריסבה', 'סיטלאלטפטל', 'citlaltepetl', 'ההר אוריסאבה'];הר במקסיקו
spatial-feature;['sangay'];הר באקוודור
spatial-feature;['purace'];הר בקולומביה
spatial-feature;['הר מצולה', 'הר תת-ימי', 'הר תת-מימי', 'seamount', 'הרי ים'];מבנה תת-ימי
spatial-feature;['ערוצון', 'גאלי', 'ערוץ נחל', 'ערוץ'];גאומורפולוגיה
spatial-feature;['הר שולחן', 'הַר שֻׁלְחָן\u200e', 'mesa'];סוג הר
spatial-feature;['מיז-אנ-סצנה', 'מיזנסצנה', 'מופע כל סצנת en', 'תפאורה'];היבטים חזוטיים ועיצוביים של הפקת תיאטרון או קולנוע
spatial-feature;['חזית', 'חזות כוזבת', 'חזיתות'];החלק הקדמי של מבנה
spatial-feature;['מון בלאן', 'מון בלן', 'מונטה ביאנקו'];ההר הגבוה ביותר בהרי האלפים
spatial-feature;["קילימנג'רו", 'קילימנגרו', "קלימנג'ארו", "ההר הקילימנג'רו", "הקילימנג'רו"];הר בטנזניה
spatial-feature;['mount elbert', 'ההר אלברט'];הר בארצות הברית
spatial-feature;['הר ויטני', 'mount whitney', 'ההר ויטני'];הר בארצות הברית
spatial-feature;['אררט', 'אררט\u200e', 'הר אררט', 'ההר אררט', 'הר. אררט'];הר בטורקיה
spatial-feature;['ירכתיים', 'לאחר חלק'];חלקו האחורי של כלי השיט
spatial-feature;['קו חוף', 'החוף', 'חוף ים', 'אזור החוף', 'שפת ים'];מפגש היבשה והים
spatial-feature;['פסגה', 'פִּסְגָּה', 'רֹאשׁ-הַר', 'פִּסְגָּה\u200e', 'הפסגה'];הנקודה הגבוהה מבין נקודות המרכיבות פני שטח מסוים
spatial-feature;['פסגה', 'פִּסְגָּה', 'רֹאשׁ-הַר', 'פִּסְגָּה\u200e', 'הפסגה'];הנקודה הגבוהה מבין נקודות המרכיבות פני שטח מסוים
spatial-feature;['קוטופקסי', 'cotopaxi', 'קוטופקחי', 'קוטופחי', 'קוטופשי'];הר באקוודור
state;['מחלת אלצהיימר', 'מחלת אלצהיימר\u200e', 'אלצהיימר'];מחלה של מערכת העצבים המרכזית
state;['דחק', 'מתח נפשי', 'עקה', 'לחץ נפשי', 'סטרס', 'מצוקה', 'מועקה', 'לחץ סביבתי'];לחץ
state;['סכיזופרניה', 'סכיזופרן', 'שטיון טרום זיקנתי', 'שיטיון הבחרות', 'שיטיון טרום-זקנתי', 'שסעת', 'praecox דמנציה', 'הפרעה סכיזופרנית', 'סימפטומים שליליים', 'פסיכוזה סכיזופרנית'];הפרעה נפשית כרונית, המתבטאת בבוחן מציאות לקוי, ופגיעה ברגשות בחשיבה ובתפקוד
state;['פסיכוזה', 'הפרעה דלוזיונלית משותפת', 'התקף פסיכוטי', 'פסיכוזה אורגנית', 'שיגעון בשניים', 'ופסיכוזות'];מונח מתחום הפסיכיאטריה, המתאר מצב קיצוני של אובדן חלקי או מלא של קשר עם המציאות
state;['מלנכוליה', 'מלאנכוליה', 'מרה שחורה'];הפרעת מצב רוח
state;['הזיה', 'הֲזָיָה', 'הָלוּצִינַצְיָה', 'הזיה\u200e', 'הזייה', 'הלוסינציה', 'הלוצינציה', 'חזיון שווא', 'הוזה', 'הזיות', 'להזות'];מצב שבו אדם חוֹוֶה חוויה שאינה קיימת במציאות
status;['ידוע בציבור', 'ידועה בצבור', 'ידועה בציבור', 'ידועים בציבור', 'ידוע בציבור נישואים', 'נישואי משפט מקובלים', 'נישואים ידועים בציבור'];בני זוג המקיימים יחדיו מסגרת משפחתית, אך אינם נשואים זה לזה
status;['shoot for the stars, aim for the moon'];אלבום הבכורה של הראפר האמריקאי פופ סמוק
status;['פוליאנדריה', 'polyandry', 'polyandrous'];ריבוי של גברים הנשואים לאישה אחת
status;['אנדוגמיה', 'endogamous', 'inmarriage', 'בולה', 'נשואי פנימים', 'קבוצת endogamous'];הדחף או הציווי להנשא לבן זוג הבא מרקע דומה
status;['סטטוס חברתי', 'מַעֲמָד חֶבְרָתִי', 'מצב חברתי', 'סטטוס', 'דרגה חברתית', 'מעמד חברתי', 'תחנה חברתית'];מיקומו של האדם במבנה החברתי בהקשרים שונים
status;['הטעמה', 'מבטא', 'טַעַם\u200e', 'מלעיל', 'מלרע', 'מבטא מתח'];הדגשה של אחת ההברות במילה באמצעות שינוי בתדירות הקול או בעוצמתו בעת הגיית ההברה
status;['אנונימיות', 'אלמוניות\u200e', 'אנונימי', 'אלמוניות', 'בעילום שם'];מצב בו זהותו של אדם אינה ידועה
subject;['מדע', 'מַדָּע', 'מדעים', 'דיסציפלינה מדעית', 'זרם מרכזי במדע'];סך הידע העולמי המוסק על ידי המחקר האנושי
subject;['בחינה פסיכומטרית', 'פסיכומטריה', 'מבחן פסיכומטרי', 'פסיכומטריקה', 'psychometrics', 'psychometrician', 'psychometrika'];בחינה המשמשת להערכת כישורים מנטליים וקוגניטיביים של אדם ביחס ליכולותיהם של אנשים אחרים
subject;['מדעי כדור הארץ', 'geoscience'];מדע טבע העוסק בחקר כדור הארץ
subject;['אלקטרוכימיה', 'אלקטרוכימי', 'אלקטרוכימיים'];ענף בכימיה
subject;['גאומטריה אוקלידית', 'גאומטריה אוקלידית\u200e', 'גאומטריה פרבולית', 'גאומטריית המישור', 'גאומטריית המרחב', 'גיאומטריה אוקלידית', 'הנדסת המישור', 'הנדסת המרחב', 'בגיאומטריה של מישור', 'גיאומטריה אוקלידית מטוס', 'גיאומטריה האוקלידית', 'גיאומטריה יסודית', 'גיאומטרית פרבוליות'];התורה המתמטית של נקודות, ישרים ומעגלים במישור, המבוססת על האקסיומות שהציג וסיכם אוקלידס בספרו יסודות, והכללות שלה למרחב התלת-ממדי
subject;['טופוגרפיה', 'טופוגרפי', 'אוכף', 'שו"ח', 'שולחן חול', 'topographer'];חקר צורות פני השטח של כדור הארץ
subject;['מטאורולוגיה', 'מטאורולוגיה\u200e', 'מטאורולוג', 'מטאורולוגים'];חקר מזג האוויר וחיזויו באטמוספירה
subject;['מדעי הרוח', 'humaniora', 'אמנויות', 'בלימודים ליברליים', 'לאמנויות', 'למדעים חופשיים', 'מדעי רוח', 'משמעת הומניסטית'];תחומי הידע האנושי אשר עוסקים בחקר והתחקות אחר חוקיות הרוח בקיום
subject;['ספרות משווה', 'ספרות השוואתית'];מחקר אקדמי בין-תחומי של הספרות, או ביטויים תרבותיים אחרים של האדם, כמו מוזיקה וציור, ללא מגבלות של שפה, לאום או מקום
subject;['גאוגרפיה', 'גאוגרפי', 'גיאוגראפית', 'גיאוגרפי', 'גיאוגרפיה', 'geographics', 'מבחינה גיאוגרפית'];תחום מדעי העוסק בשטחי כדור הארץ
subject;['פונטיקה', 'phonetician', 'פונטית'];תורת ההגייה. ענף בבלשנות
subject;['אנתרופולוגיה פיזית', 'אנתרופולוגיה סומאטית', 'אנתרופולוגיה פיזיולוגית', 'אנתרופולוג פיזי'];ענף באנתרופולוגיה העוסק בחקר האדם בעיקר מההיבט הביולוגי והאבולוציוני
subject;['אנתרופולוגיה חברתית', 'אנתרופולוגיה תרבותית'];תחום שחוקר את ההתנהגות החברתית כפי שהיא באה לידי ביטוי בצורות ממוסדות, כפי שהחברה ממסדת אותה
subject;['אנתרופולוגיה חברתית', 'אנתרופולוגיה תרבותית'];אחד מארבעת ענפי האנתרופולוגיה
subject;['פלאונטולוגיה', 'פליאונטולוגיה', 'פליאונטולוג', 'חקר המאובנים', 'חקר הסביבה הקדומה', 'מיקרופלאונטולוגיה', 'מיקרופליאונטולוגיה', 'פאליאונטולוגיה', 'פלאואקולוגיה', 'פלאוביולוגיה', 'פלאונטולוג', 'פלאונתולוגיה', 'פליאואונטולוגיה', 'פליאואקולוגיה', 'פליאובוטניקה', 'פליאוביולוגיה', 'פליאונתולוג', 'פליאונתולוגיה', 'fossilology', 'palaeontological', 'הפליאונטולוג', 'הפליאונתולוגים', 'כפליאונטולוג', 'פליאונטולוגים'];ענף במדע העוסק בחקר המאובנים והטבע הקדמוני
subject;['טרטולוגיה', 'teratogenicity', 'teratogens', 'טרטוגנים'];רפואה
subject;['מדעי הסביבה', 'אקולוגיה', 'אקולוגיה\u200e', 'אקולוג', 'ביוספרה', 'תורת הסביבה', 'bionomics', 'ecospace', 'ביולוגיה סביבתית', 'מדען סביבתי'];ענף מדעי בביולוגיה העוסק בחקר הסביבה ויחסים בין אורגניזמים
subject;['מיקרוביולוגיה', 'מיקורביולוג', 'מיקרו ביולוגיה', 'מיקרוביולוג'];תחום בביולוגיה, העוסק במבנה ובתפקוד של מיקרואורגניזמים
subject;['היסטולוגיה', 'תורת הרקמות', 'היסטולוגית', 'histomorphologic', 'histomorphology', 'ביסטולוגיה'];תורת הרקמות, חקר הרקמות
subject;['כימיה פיזיקלית', 'כימיה פיסיקלית', 'כימאי פיזי'];מיישמת את העקרונות והרעיונות של פיזיקה כגון תנועה, אנרגיה, כח, זמן, תרמודינמיקה, כימיה קוואנטית, מכניקה סטטיסטית ועוד
subject;['הנדסת ביוטכנולוגיה', 'מהנדס ביוטכנולוגיה', 'bioengineering', 'ארגונומיה', 'ergonomy', 'ארגונומי', 'גורם אנושי', 'הנדסת גורמי אנוש', 'מהנדס גנטי'];ענף הנדסי שמשתמש בדברים מן החי ליצירת מוצרים
subject;['מדעי המחשב', 'מחשוב', 'חישוב', 'מדעי המחשב\u200e', 'מדמ"ח', 'computer science', 'מדעי מחשב', 'במדעי מחשב', 'במחשוב', 'טכנולוגיית מחשוב', 'מדעני מחשב'];תחום מחקר של תיאוריות בסיסיות הקשורות במידע ובמחשוב.
subject;['אונומסטיקה', 'אונומטולוגיה', 'onomastics', 'אונומסטית'];תחום מדעי העוסק בחקר שמות העצם הפרטיים
subject;['אווירודינמיקה', 'אוירודינמיקה\u200e', 'אווירודינמי', 'אוירודינמיקה', 'אווירודינמיות', 'אירודינמיקה', 'ארודינמיקה', 'aerodynamicist', 'aeromechanics'];חקר תנועת האוויר
subject;['אפידמיולוגיה', 'אפידמיולוג', 'שיעור היארעות', 'שיעור הימצאות', 'אפידמיולוגיים', 'אפידמיולוגים', 'מחקר אפידמיולוגי', 'ממחקרים אפידמיולוגיים'];חקר המחלות והתפשטותן ברמת האוכלוסייה
subject;['גריאטריה', 'גרונטולוגיה', 'גרונטולוג', 'ביוגרונטולוגיה', 'מדעי הזקנה', 'מחלות זקנה', 'biogerontologist', 'biogerontology', 'גריאטרי', 'מחקר הזדקנות'];תחום ברפואה העוסק בחקר מחלות המלוות את תהליך ההזדקנות והטיפול בהן
subject;['בקטריולוגיה', 'בקטריולוג', 'קטריולוג'];ענף במיקרוביולוגיה העוסק בחקר הפרוקריוטיים
subject;['אימונולוגיה', 'אימונולוגיה\u200e', 'אימונוביולוגיה', 'אימיונולוגיה', 'תורת החיסון', 'אימונולוג', 'תורת חיסון'];ענף בביולוגיה העוסק בחקר מערכת החיסון על היבטיה השונים
subject;['אופתלמולוגיה', 'אופתלמולוגיה\u200e', 'רפואת עיניים', 'אופתלמולוג', 'מחלות עיניים', 'רופא עיניים', 'ophthalmological', 'רופאי עיניים'];רפואת עיניים
subject;['פרוקטולוגיה', 'פרוקטולוג'];רופא חלחולת,מעי גס ופי הטבעת
subject;['פסיכיאטריה', 'פסיכופתולוגיה', 'פְּסִיכִיאַטְרְיָה\u200e', 'פסיכולוגיה אבנורמלית', 'פסיכיאטרי', 'פסיכיאטרייה', 'פסכיאטריה', 'הפסיכו', 'טיפול פסיכיאטרי', 'רפואה פסיכולוגית'];תחום במדע הרפואה הקלינית העוסק בבריאות הנפש
subject;['ראומטולוגיה', 'ראומטולוג', 'ראומטלוג', 'רימטולוגיה'];תחום רפואי העוסק באבחון מחלות מפרקים, רקמות חיבוריות ורקמות רכות
subject;['המטולוגיה', 'המטולוג', 'המטולוגית', 'מחלות דם'];תחום ברפואה העוסק במערכת תאי הדם
subject;['ביוטכנולוגיה', 'ביו-טק', 'ביוטק', 'ביוטכנולוגיות'];תחום של מחקר ופיתוח יישומי, המנצל את תהליכי החיים במערכות ביולוגיות לצורך ייצור מוצרים בתחומי התעשייה, הרפואה, החקלאות והקוסמטיקה לרווחת האדם
subject;['אנטומיה', 'אנאטומיה', 'אנטומיסט', 'אנטומיה כללית', 'האנטומי'];חקר מבנה הגוף החי
subject;['אסתטיקה'];תורת היופי
subject;['אלקטרומגנטיות', 'הכוח האלקטרומגנטי', 'אלקטרומגנטיות\u200e', 'הכוח האלקטרו-מגנטי', 'הכח האלקטרומגנטי', 'הכח האלקטרו-מגנטי', 'אינטראקציה אלקטרומגנטית', 'אלקטרודינמיקה', 'אלקטרומגנטי', 'אלקטרומגנטיות קלאסית', 'דחייה חשמלית', 'דחייה מגנטית', 'הכוח החשמלי', 'התורה האלקטרומגנטית', 'חשמל ומגנטיות', 'כוח אלקטרו-מגנטי', 'כוח אלקטרומגנטי', 'משיכה חשמלית', 'תורה אלקטרומגנטית', 'תורת האלקטרומגנטיות', 'תורת החשמל והמגנטיות הקלאסית', 'פיזיקת חשמל'];ענף בפיזיקה העוסק בתופעות הקשורות למטען חשמלי
subject;['תרמודינמיקה', 'תֶּרְמוֹדִינָמִיקָה\u200e', 'תרמוכימיה', 'התרמודינמית', 'תרמודינאמיקה', 'תרמודינאמיקה קלסית'];ענף בפיזיקה הקלאסית
subject;['מכניקה', 'מכניקה\u200e'];ענף מדעי העוסק בהתנהגות גוף פיזי כאשר מופעל עליו כוח או העתק, וההשלכות מכך על סביבת הגוף
subject;['אסטרונומיה', 'אסטרונומיה ואסטרופיסיקה', 'חכמת התכונה', 'uranology', 'באסטרונומיה של כוכבים'];חקר היקום וגופים שמיימיים
subject;['ראולוגיה', 'ריאולוגיה', 'rheology'];חקר הזרימה הפלסטית והאלסטית, והעיוותים הנוצרים במבנה המרחבי של חומר במצב שבו מופעלים עליו כוחות ולחצים
subject;['פיזיקה אטומית', 'פיזיקה גרעינית', 'פיזיקה גרעינית\u200e', 'פיסיקה אטומית', 'פיסיקה גרעינית', 'מדע גרעיני', 'תורת גרעין'];ענף בפיזיקה המודרנית העוסק בחקר גרעין האטום ותהליכי הגומלין המתרחשים בו
subject;['נוירופסיכולוגיה', 'פסיכופיזיולוגיה', 'פסיכו', 'נוירופסיכולוג', 'נוירופסיכולוגיים', 'פסיכולוגיה פיזיולוגית'];תחום במדעי המוח
subject;['פסיכולוגיה קלינית', 'פסיכולוגיה קלינית\u200e', 'פסיכולוג קליני', 'פסיכולוגים קליניים'];ך קרקעות כ רי
subject;['פסיכולוגיה חברתית', 'פסיכולוג חברתי', 'התנהגות חברתית'];תחום מחקר במדע הפסיכולוגיה
subject;['תורת המספרים'];ענף מתחום המתמטיקה
subject;['טופולוגיה', 'topologist', 'טופולוגי', 'טופולוגית', 'ניתוח מנח'];ענף במתמטיקה
subject;['אוקינוגרפיה', 'אוקיינוגרפיה', 'אוקיאנוגרפיה', 'אוקייאנוגרפיה', 'מדעי הים', 'אוקיינוגרף', 'oceanology', 'אוקיאנוגרפיים', 'מדעי ים'];ענף מדעי העוסק בחקר האוקיינוסים
subject;['מדעי החברה', 'מדעי חברה'];קבוצת מדעים העוסקים בחקר החברה האנושית
subject;['קריסטלוגרפיה', 'קריסטלוגרף', 'קריסטלוגרפיים'];תחום מחקר על המבנה הפנימי של מולקולות
subject;['פיזיולוגיה', 'פִיזְיוֹלוֹגְיָה\u200e', 'ביולוגיה פיזית', 'פיזאולוגיה', 'פיזיולוג', 'פיסיולוגיה', 'פיזיולוגים'];המדע העוסק בחקר התפקוד המכני, הפיזי והביוכימי של גופם של יצורים חיים
subject;['כימיה', 'כִּימְיָה', 'כִימְיָה\u200e', 'חימיה', 'כימייה', 'מדע כימי'];חקר מבנה החומר ותכונותיו
subject;['הרפטולוגיה', 'חקר הזוחלים', 'herpetology', 'herpetofauna', 'מומחים לזוחלים'];חקר הזוחלים והדו-חיים
subject;['איכתיולוגיה', 'איכטיולוגיה', 'דגאות'];ענף בזואולוגיה העוסק בחקר הדגים
subject;['אנטומולוגיה', 'אֶנְטוֹמוֹלוֹגְיָה\u200e', 'אינסקטולוגיה', 'אנטומולוג', 'תורת החרקים', 'bugology', 'אנטומולוגיים', 'חוקרי חרקים'];תורת החרקים
subject;['אתולוגיה', 'התנהגות בעלי-חיים', 'התנהגות בעלי חיים', 'ethologists'];מדע העוסק בחקר התנהגותם של בעלי חיים בסביבתם הטבעית, ובתגובתם לסביבה
subject;['מתמטיקה טהורה', 'מתמטיקה עיונית'];ענף מתמטי
subject;['כימיה אורגנית', 'כִּימְיָה אוֹרְגָּנִית\u200e', 'בכימיה אורגנית', 'כימאי אורגני'];ענף בכימיה העוסק במבנה, במאפיינים ובתגובות של תרכובות אורגניות - מגוון החומרים המכילים אטומי פחמן ומימן
subject;['כימיה אי-אורגנית', 'כימיה אי אורגנית', 'כימיה אנאורגנית', 'כימאי אורגני', 'כימיה אורגנית'];ענף בכימיה העוסק בחקר תרכובות אי-אורגניות, שהן תרכובות שאינן מכילות אטומי פחמן ומימן הקשורים ביניהם
subject;['אנימטרוניקה', 'בובה אנימטרונית', 'אנימטרוניקס', 'animatronic'];יצירת בובות רובוטיות בעלות יכולת תנועה, לרוב למטרות בידור
subject;['אדריכלות', 'אַדְרִיכָלוּת\u200e', 'ארדיכלות', 'ארכיטקטורה'];האמנות והמדע של תכנון מבנים
subject;['הנדסת המרחב', 'גיאומטריה מוצקה'];גאומטריה במרחב אוקלידי תלת-ממדי
subject;['גאומטריה פרויקטיבית', 'גאומטריה תיאורית', 'גיאומטריה פרויקטיבית', 'גאומטריה פרוייקטיבית', 'גיאומטרית התאוריה'];סוג של גאומטריה לא אוקלידית
subject;['טריגונומטריה', 'טריגו', 'תשבורת', 'טריגונומטריות'];ענף מתמטי העוסק בחקר המשולשים וביחס שבין הצלעות שלהם לזוויות שלהם
subject;['אונטולוגיה', 'תורת ההוויה', 'אונטולוגיה\u200e', 'אונתולוגיה', 'תורת היש'];תחום בפילוסופיה החוקר את מושג הקיום
subject;['אלגברה ליניארית', 'אלגברה לינארית', 'אלגברה לינארית\u200e', 'אלברה ליניארית'];ענף באלגברה
subject;['מטאפיזיקה', 'מטאפיזי', 'מטאפיסיקה', 'מטפיזיקה', 'מטהפיזיקה', 'מטאפיסיקאי', 'מטפיזיקה האיסלמית', 'מטפיסיקה'];ענף של הפילוסופיה העוסק בהסבר טבעם של המציאות, הקיום והעולם.
subject;['גאומטריה', 'גֵּאוֹמֶטְרְיָה', 'הַנְדָּסָה', 'גיאומטריה', 'גאומטרי', 'גאומטריה - מונחים', 'גאומטריה אקסיומטית', 'גאומטרייה', 'גאומטרית המישור', 'גיאומטריה - מונחים', 'זוויות משלימות לזווית ישרה', 'זוויות משלימות לזווית שטוחה', 'בגיאומטריה'];ענף במתמטיקה
subject;['פילוסופיה', 'הגות', 'היסטוריה של הפילוסופיה', 'זרמים פילוסופיים', 'פילוסופי', 'philosphy'];חקר מושגי היסוד הכולל את שאלות הקיום והמציאות
subject;['פיזיקה', 'פילוסופיית הטבע', 'פִֿיזִיקָה\u200e', 'פיסיקה', 'פילוסופיה של טבע', 'פילוסופים של טבע'];ענף במדעי הטבע
subject;['פסיכולוגיה', 'פסיכולוגי', 'מדע פסיכולוגי', 'פסיכולוגיה אנושית'];תחום במדעי החברה החוקר את ההתנהגות של בני אדם יחידים
subject;['ביולוגיה', 'ביולוגיה אבולוציונית', 'מדע ביולוגי', 'מדעי חיים', 'מחקר ביולוגי'];חקר הרכב עולם החי
subject;['עיבוד מידע', 'מדעי המידע', 'מדעי המחשב', 'מדע המידע', 'טכנולוגיות מידע', 'מדע המידע וטכנולוגיות אינטרנט', 'מדעי המידע וטכנולוגיות אינטרנט', 'אינפורמטיקה', 'ה-ip'];מדעי המידע וטכנולוגיות אינטרנט
subject;['מדעי הטבע', 'מדעי טבע'];מדעים העוסקים בעולם הטבע, החומר והמתמטיקה
subject;['פלאואנתרופולוגיה', 'פליאואנתרופולוגיה', 'הפליאואנתמפולוגיה', 'אנתרופולוג', 'פלאונטולוגיה האנושית', 'פליאונטולוגיה האנושית'];חקר אבולוציית האדם
subject;['מדעי המוח', 'חקר המוח', 'מדעי העצב', 'נוירוביולוג', 'נוירוביולוגיה', 'מדעי המח', 'הנוירוביולוגי'];מדע בין-תחומי החוקר את כל ההיבטים השונים של מערכת העצבים בבעלי חיים ובבני-אדם
subject;['אנתרופולוגיה', 'אנטרופולוגיה', 'תורת האדם'];ענף מדעי העוסק בחקר האדם
subject;['סוציולוגיה', 'סוציולוגיה\u200e', 'סוציולוגי', 'סוציולוגים'];תחום מחקר העוסק בחברה
