abstract-quality;['ідэнтычнасьць'];Ідэнты́чнасьць — самавызначэньне асобы, індывіда, асэнсаваньне свайго месца ў прасторы і часе.
political-geographic-object;['парафія', 'паства', 'прыхаджане', 'прыход'];Парафія
political-geographic-object;['заходні бэрлін'];Заходні Бэрлін — асаблівае палітычнае ўтварэньне, якое існавала з 1949 па 1990 год на тэрыторыі амэрыканскага, францускага і брытанскага сэктараў акупацыі Бэрліну.
political-geographic-object;['таронта', 'toronto'];Таро́нта (па-ангельску: Toronto, мянушкі: T.O., Hogtown, The Big Smoke, Toronto the Good, T-Dot) — самы вялікі горад Канады, які знаходзіцца ў паўднёвай частцы правінцыі Антарыё, зьяўляецца яе сталіцай.
political-geographic-object;['шарлёттаўн', 'charlottetown'];Шарлёттаўн (па-ангельску: Charlottetown) — сталіца і найбуйнейшы горад самай дробнай канадзкай правінцыі Востраў Прынца Эдўарда.
political-geographic-object;['рэджайна', 'regina'];Рэджайна (па-ангельску: Regina) — ангельскамоўны горад у Канадзе, у правінцыі Саскачэван.
political-geographic-object;['вэнэцыя'];Вэнэцыя — горад у паўночнай Італіі.
political-geographic-object;['п’емонт', "п'емонт"];П’емонт (па-італьянску: Piemonte) — рэгіён у паўночна-заходняй Італіі.
political-geographic-object;['прэторыя', 'pretória'];Прэторыя (па-ангельску: Pretoria) — горад у Паўднёва-Афрыканскай Рэспубліцы, адна з трох сталіц краіны, у якой знаходзіцца выканаўчая ўлада, дэ-факта зьяўляецца нацыянальнай сталіцай.
political-geographic-object;['кейптаўн'];Кейптаўн (па-ангельску: Cape Town, па-афрыкаанс: Kaapstad, коса: iKapa) — другі па колькасьці насельніцтва горад у Паўднёвай Афрыцы, сталіцы Заходне-Капскай правінцыі, разьмешчаны ў Паўднёва-Афрыканскай Рэспублікі.
political-geographic-object;['тэхас', 'téxas', 'тэксас'];Тэха́с, Тэ́ксас (па-ангельску: Texas) — штат на паўднёвым усходзе ЗША. Займае 2-е месца па тэрыторыі пасьля Аляскі (695 622 км²) і 2-е месца пасьля Каліфорніі па колькасьці насельніцтва (22,8 млн).
political-geographic-object;['гаага'];Гаа́га (па-нідэрляндзку: Den Haag / 's-Gravenhage, [dɛnˈɦaˑχ] / [ˈsχraˑvə(n)ˌɦaˑɣə]) — другое па велічыні места Нідэрляндаў з колькасьцю насельніцтва 494 898 чал.
political-geographic-object;['камуны францыі'];Камуна (па-француску: commune ад па-лацінску: communia — супольнасьць) у Францыі — адміністрацыйна-тэрытарыяльная адзінка самага ніжняга структурнага ўзроўню (за выключэньнем такіх камун, як Парыж, Марсэль і Ліён).
political-geographic-object;['фінікс', 'phoenix', 'фэнікс'];Фінікс (па-ангельску: Phoenix, мянушка: «Даліна Сонца») — сталіца і найбуйнейшы горад амэрыканскага штату Арызона.
political-geographic-object;['дэнвэр', 'denver'];Дэнвэр (па-ангельску: Denver) — места штату Каларада, ЗША.
political-geographic-object;['адэлаіда', 'adélaïde'];Адэлаіда (па-ангельску: Adelaide) — горад у Аўстраліі, сталіца і самы вялікі горад штату Паўднёвая Аўстралія.
political-geographic-object;['пэрт', 'perth'];Пэрт — найбуйнейшы горад і сталіца штата Заходняя Аўстралія, разьмешчаны на паўднёвым-захадзе Аўстраліі на беразе Індыйскага акіяна.
political-geographic-object;['дэпартамэнты францыі'];Дэпартамэнты Францыі — асноўныя адміністрацыйна-тэрытарыяльныя адзінкі ў Францускай Рэспубліцы.
political-geographic-object;['дыяцэзія'];Дыяцэзія (па-лацінску: dioecesis), біскупства — адміністрацыйна-тэрытарыяльная адзінка ў Рыма-каталіцкай царкве.
political-geographic-object;['краіна', 'краіны'];Краі́на — геаграфічная тэрыторыя, што мае вызначаныя межы, карыстаецца дзяржаўным сувэрэнітэтам ці знаходзіцца пад уладай іншай дзяржавы.
political-geographic-object;['правінцыя'];Праві́нцыя — адміністрацыйна-тэрытарыяльная адзінка ў некаторых дзяржавах.
political-geographic-object;['атыка'];А́тыка — пэрыфэрыя і гістарычная вобласьць у Грэцыі.
practice;['сацыяльны інстытут'];Сацыяльны інстытут або грамадзкі інстытут (ад па-лацінску: institutum — установа) — устойлівая форма арганізацыі сумеснае дзейнасьці людзей, якія рэалізуюць пэўныя функцыі ў грамадзтве, галоўная зь якіх — задавальненьне сацыяльных патрэбнасьцяў.
practice;['кансэнсус'];Кансэнсус (ад лац.
practice;['мір'];Мір — стан спакою і гармоніі, пэрыяд між войнамі.
qualitative-role;['трансфэрт'];Трансфэрт (па-француску: transfert ад лац.
qualitative-role;['гасьцінец'];Гасьці́нец — дадатковая прэмія, даплата за добрую паслугу, выражэньне задавальненьня кліента.
qualitative-role;['элемэнт'];Элемэнт — аб’ект, які ўваходзіць у мноства.
qualitative-role;['алімэнты'];Алімэнты (лац.
qualitative-role;['стыпэндыя'];Стыпэндыя — штомесячная грашовая дапамога, якая выдаецца студэнтам ВНУ, навучэнцам сярэдніх спэцыяльных навучальных установаў, асьпірантам і г. д.
qualitative-role;['пасаг'];Паса́г — звычай даваць маёмасьць нявесьце яе родзічамі.
qualitative-role;['зьменная', 'зьменная велічыня', 'пераменная велічыня'];Зьме́нная велічыня́ (або проста зьме́нная) — велічыня, якая можа зьмяняць сваё значэньне.
qualitative-role;['цана'];Цана — фундамэнтальная эканамічная катэгорыя, якая абазначае колькасьць грошай, якую пакупнік аддае за тавар прадаўца.
qualitative-role;['абменны курс', 'валютны курс'];Абме́нны курс — цана грашовай адзінкі адной краіны, выражаная ў грашовых адзінках іншай краіны або міжнароднай валютнай адзінцы.
qualitative-role;['уліковая стаўка', 'дысконтная стаўка', 'стаўка рэфінансаваньня'];Уліковая стаўка — адсоткавая стаўка(en) пазычаньня галоўнага банка краіны для папаўненьня грашовых запасаў камэрцыйных банкаў на пазычаньне прадпрыемствам.
qualitative-role;['кошт'];Пад коштам у эканоміцы разумеецца каштоўнасьць грошай, якія былі патрачаныя прадпрыемствам на вырабніцтва тавара й таму больш не даступныя да выкарыстаньня.
quality;['валентнасьць'];Валентнасьць — лік роўны колькасьці хімічных сувязяў, якімі дадзены атам злучаны зь іншымі атамамі.
quality;['адносная атамная маса', 'атамная маса'];Адно́сная а́тамная ма́са — значэньне масы атама, вызначаецца ў атамных адзінках масы.
quality;['адносная атамная маса', 'атамная маса'];Адно́сная а́тамная ма́са — значэньне масы атама, вызначаецца ў атамных адзінках масы.
quality;['вялікі набор загадаў', 'cisc', 'complex instruction set computer'];Вялікі набор загадаў скарочана ВНЗ — сьпіс загадаў для ЭВМ, які неабмежаваны.
quality;['скарачэньне набору загадаў', 'risc'];Скарачэньне набору загадаў для ЭВМ — спосаб карыстаньня ЭВМ з кароткім наборам загадаў, якія можа справіць ЭВМ. СНЗ дае магчымасьць авалодаць напісаньнем загадаў для ЭВМ больш шырокаму колу людзей.
quality;['бародаўка'];Бародаўка — пераважна дабраякасны наватвор скуры, часьцяком віруснай этыялёгіі, якая мае выгляд вузельчыка або смочкі.
quality;['індуктыўнасьць'];Індуктыўнасьць — фізычная велічыня, якая характарызуе здольнасьць правадніка назапашваць энэргію магнітнага поля, калі ў ім цячэ электрычны ток.
quality;['індуізм'];Індуізм — адна з найбуйнейшых паводле колькасьці вернікаў рэлігіяў сьвету.
quality;['доктар філязофіі'];До́ктар філязо́фіі — гэта вышэйшая ўнівэрсытэцкая ступень, якая атрымваецца пасьля праходжаньня адпаведнага курса навучаньня ва ўнівэрсытэтах большасьці краінаў.
quality;['ёга', 'yóga'];Ёга (дэванагары: योग) — паняцьце індыйскай культуры, у шырокім сэнсе азначае сукупнасьць розных духоўных і фізычных практык, якія былі распрацаваны ў розных напрамках індуізма й будызма й галоўнай мэтай якой зьяўляецца кіраваньне псыхікай і псыхафізыялёгіяй індывідуума дзеля дасягненьня найвышэйшага псыхічнага й духоўнага стану.
quality;['блакітны колер', 'блакітны'];Блакітны (Цыян, сіне-зялёны) — каляровы дыяпазон паміж зялёным і сінім, з даўжынёй хвалі прыкладна ад 485 да 500 нанамэтраў.
quality;['імавернасьць', 'верагоднасьць', 'вераемнасьць', 'праўдападобнасьць'];Імаве́рнасьць, праўдападо́бнасьць, верае́мнасьць — лікавая мера магчымасьці наступленьня пэўнай падзеі.
quality;['адлегласьць'];Адлегласьць, у шырокім сэнсе, ступень аддаленасьці аб’ектаў адзін ад аднаго.
quality;['залаты стандарт'];Залаты стандарт — міжнародная валютная сыстэма, заснаваная на афіцыйным замацаваньні краінамі залатога ўтрыманьня ў адзінцы нацыянальнай валюты з абавязкам цэнтральных банкаў купляць і прадаваць нацыянальную валюту ў абмен на золата.
quality;['мужчына зьверху', 'місыянэрская пазыцыя'];Мужчына зьверху або Місіянэ́рская — адна з найболей вядомых спосабаў каханьня з жанчынай для прадаўжэньня роду чалавечага.
quality;['рэлігія'];Рэлі́гія (ад лац.
quality;['колер'];Колер (па-лацінску: Color) — якаснае суб’ектыўнае апісаньне электрамагнітнага выпраменьваньня аптычнага дыяпазону, што вызначаецца на падставе фізыялягічнага глядзельнага адчуваньня й залежыць ад фізычных і псыхічных чыньнікаў.
quality;['бакаляўр'];Бакаля́ўр — акадэмічная ступень ці кваліфікацыя, якая прысуджаецца асобам, засвоіўшым адпаведныя адукацыйныя праграмы.
quality;['шаманізм'];Шамані́зм — вера ў асобна-магутныя надпрыродныя магчымасьці старажытных адмысловых служыцеляў культу.
quality;['імпульс сілы'];І́мпульс сі́лы — фізычная вэктарная велічыня, якая характарызуе дзеяньне сілы на працягу пэўнага прамежку часу.
quality;['паганства', 'язычніцтва'];Пага́нства — сыстэма рэлігійных культаў, якія адухаўляюць навакольныя рэчы і зьявы прыроды
quality;['ліквіднасьць'];Ліквіднасьць
quality;['монатэізм'];Монатэізм (літар.
quality;['політэізм'];Політэізм (ад грэц.
quality;['анабаптызм', 'анабаптысты'];Анабапты́зм (па-грэцку: ἀναβαπτισμός — перахрост) — хрысьціянская пратэстанцкая плынь XVI стагодзьдзя ў Эўропе, аднак існуе меркаваньне, што анабаптызм адрозьніваецца ад пратэстанцкага руху.
quality;['паліва'];Палі́ва — шклопадобнае пакрыцьцё на паверхні керамічнага вырабу.
quality;['грэх'];Грэх — пераклад грэцкага слова αμαρτια, якое літаральна азначае промах або нетрапляньня ў мэту.
quality;['джайнізм'];Джайнізм (санскрыт: जैन, ад санскр.
quality;['сьвятлыня'];Сьвятлыня (па-ангельску: lightness) — адна з асноўных характарыстак колеру нароўні з насычанасьцю і тонам.
quality;['сумленныя намеры'];Сумленныя намеры, ці на латыні bona fides (сумленныя сродкі,сумленна) — маральнае сумленьне, вера у праўдзівасьць ці памылковасьць меркаваньня ці існасьці меркаваньня, ці адносна шчырасьці ці заганнасьці лініі паводзінаў.
quality;['няроўнасьць'];Няро́ўнасьць — сустасунак між двума аб'ектамі (лікамі, велічынямі, выразамі), у якім адзін з аб'ектаў большы (ня большы) за іншы.
quality;['размах крыла'];Размах крыла азначае адлегласьць ад вяршыні левага крыла да вяршыні правага ў крылатых жывёл ці штучных аб'ектаў.
quality;['вымярэньне'];Вымярэньне — апэрацыя для вызначэньня дачыненьня адной (вымяранай) велічыні да іншай аднароднай велічыні, якая бярэцца за адзінку.
quality;['сукупны ўнутраны прадукт', 'суп'];Сукупны ўнутраны прадукт (СУП, ВУП) — валавы ўнутраны прадукт, абагульняючы эканамічны статыстычны паказчык. паказвае сукупны кошт усіх тавараў і паслугаў, створаных у межах краіны як рэзыдэнтамі, так і нерэзыдэнтамі.
quality;['сэксуальная этыка'];Сэксуальная этыка — катэгорыя этыкі, што вывучае сэксуальныя паводзіны чалавека, сэксуальныя кантакты ў прыватнасьці.
quality;['атлусьценьне'];Атлусьценьне (затлусьценьне) — адклады тлушчу, павелічэньне масы цела за кошт тлушчавой тканкі.
quality;['улада'];Ула́да — ажыцьцяўленьне волі асобы праз узьдзеяньне на кшталт і кірунак дзейнасьці і паводзінаў іншых людзей.
quality;['зараастрызм', 'зораастрызм'];Зараастрызм альбо маздаізм — рэлігія, заснаваная ў VIII ці VII стагодзьдзях да н. э.
quality;['лютэранства', 'лютэранская царква', 'лютаранства', 'лютэране', 'лютэраны'];Лютэра́нства — пратэстанцкая плынь у хрысьціянстве.
quality;['абсалютная тэрмадынамічная тэмпэратура'];Абсалю́тная тэмпэрату́ра — гэта безумоўная мера тэмпэратуры і адна з галоўных характарыстак тэрмадынамікі.
quality;['шчыльнасьць'];Шчы́льнасьць — скалярная велічыня ў фізыцы, якая вызначае адносіны масы цела да аб’ёму, якое займае гэтае цела.
quality;['тэмпэратура', 'тэмпература'];Тэмпэрату́ра (па-лацінску: temperatura — належнае зьмешваньне, нармальны стан) — фізычная велічыня, якая прыкладна характарызуе сярэднюю кінэтычную энэргію часьцінак макраскапічнай сыстэмы, якая прыходзіцца на адну ступень свабоды, зьмешчанай у стане тэрмадынамічнай раўнавагі.
quality;['тэізм'];Тэі́зм (па-грэцку: Τέος — Бог) — у шырокім значэньні — вера ў Бога ці багоў. у вузкім разуменьні — рэлігійна-філязофскі сьветапогляд, які сьцьвярджае, што сьвет быў створаны Богам, і што тварэц працягвае сваю дзейнасьць у сьвеце, які стварыў.
quality;['мармоны', 'царква ісуса хрыста сьвятых апошніх дзён'];Мармоны — неафіцыйная назва Царквы Ісуса Хрыста Сьвятых апошніх дзён.
quality;['прэсьбітэрыянства'];Прэсьбітэрыянства (па-грэцку: πρεσβύτερoς — старэйшы) — адна з галінаў пратэстанцкага хрысьціянства, якая звычайна прытрымліваецца кальвінісцкай багаслоўскай традыцыі й чые кангрэгацыі арганізаваны ў адпаведнасьці з прэсьбітэрыянскай палітыкай.
quality;['англіканства', 'англіканская царква'];Англіканства (па-ангельску: Anglicanism) — хрысьціянская царква, якая зьмяшчае Царкву Ангельшчыны й цэрквы, якія гістарычна зьвязаныя зь ёй ці маюць падобныя вераваньні, пакланеньні, практыкі й царкоўныя структуры.
quality;['сынтаізм', 'сінтаізм'];Сынтаізм (па-японску: 神道, «шлях багоў») — традыцыйная рэлігія Японіі, заснаваная на анімістычных вераваньнях старажытных японцаў, аб'ектамі глыбокай пашаны зьяўляюцца шматлікія бажаствы й духі памерлых.
quality;['радыюс'];Ра́дыюс (на лаціне radius — літаральна прамень. сьпіца кола) — адцінак, які злучае пункт акружыны або сфэры зь ейным цэнтрам.
quality;['абсалютны нуль тэмпэратуры'];Абсалютны нуль тэмпэратуры — мінімальная мяжа тэмпэратуры, якую можа мець фізычнае цела.
quality;['асьветленасьць'];Асьветленасьць — фізычная велічыня, якая характарызуе асьвятленьне паверхні, стваранае сьветлавым струменем, які падае на паверхню.
quality;['канвэрт', 'канверт', 'капэрта'];Канвэрт, капэрта — абалонка для ўкладаньня, захоўваньня і перасылкі папераў або плоскіх прадметаў, звычайна лістоў.
quality;['іслам'];Іслам (па-арабску: الإسلام‎, што значыць «пакорнасьць Боскай волі») — манатэістычная рэлігія, другая ў сьвеце па колькасьці прыхільнікаў.
quality;['юдаізм', 'юдэй'];Юдаі́зм — адна з найстарэйшых монатэістычных рэлігіяў і найбольш старажытная з захаваных да цяперашняга часу.
quality;['вышыня трыкутніку'];Вышыня́ трыку́тніку — пэрпэндыкуляр, апушчаны зь любой вяршыні трыкутніку на процілеглы бок, або на яго працяг (бок, на які апускаецца пэрпэндыкуляр, у дадзеным выпадку называецца асновай трыкутніку).
quality;['свабода волі'];Свабода волі (па-грэцку: τὸ αὐτεξούσιον ці τὸ ἐφ᾽ ἡμῖν, па-лацінску: liberum arbitrium) — відавочная здольнасьць чалавека зрабіць выбар свабодны ад пэўных відаў абмежаваньняў.
quality;['гендэр'];Гендэр
quality;['маса'];Ма́са (ад грэцкага па-старажытнагрэцку: μᾶζα) — адна з найважнейшых фізычных велічынь.
quality;['зялёны колер', 'зялёны'];Зялёны колер — адзін з трох асноўных колераў, зялёны дыяпазон спэктру з даўжынёй хвалі 500—565 нанамэтраў.
quality;['плястычная дэфармацыя'];Плясты́чная дэфарма́цыя — дэфармацыя, пры якой цела ня здольна вярнуць сваю першапачатковую форму і памер пасьля спыненьня дзеяньня сілы, што выклікала дэфармацыю.
quality;['астэнія', 'слабасьць'];Астэнія (хваравітая слабасьць. стар.-грэц.
quality;['тон'];Тон — адна з трох асноўных характарыстак колеру нараўне з насычанасьцю й сьветлатой.
quality;['бясконцасьць'];Бяско́нцасьць (у выглядзе сымбалю — ∞) — паняцьце ў матэматыцы і філязофіі, якое зьвяртаецца да нейкай велічыні, якая ня мае межаў або канца.
quality;['яркасьць'];Я́ркасьць — сьветлавая характарыстыка цел.
quality;['шчырасьць'];Шчырасьць — адзін з аспэктаў сумленнасьці, праўдзівасьці, адсутнасьць супярэчнасьцяў паміж рэальнымі пачуцьцямі й намерамі ў дачыненьні да іншага чалавека (або групы людзей) і тым, як гэтыя пачуцьці й намеры падаюцца яму на словах.
quality;['самаацэнка'];Самаацэнка — ацэнкавае самаўспрыманьне, што залежыць ад думак, пачуцьцяў ды схільнасьцяў, скіраваных на ўласныя ўчынкі, выгляд, рысы цела й паводзінаў.
quality;['альтруізм'];Альтруізм — паняцьце, якім асэнсоўваецца актыўнасьць, зьвязаная зь безкарысьлівым клопатам пра дабрабыт іншых. суадносіцца з паняцьцем самаадданасьць — гэта значыць з прынашэньнем у ахвяру сваіх выгод на карысьць іншага чалавека, іншых людзей або ў цэлым — дзеля агульнага дабра.
quality;['роўнасьць', 'эквівалентнасьць'];Ро́ўнасьць — тасунак паміж двума аб’ектамі, які азначае іх супадзеньне па пэўных характарыстыках.
quality;['белы колер'];Бе́лы ко́лер — колер у спэктры электрамагнітнага выпраменьваньня роўнай магутнасьці на ўсіх даўжынях хваляў у бачнай частцы.
quality;['чырвоны колер'];Чырво́ны ко́лер — колер зь мінімальнай частасьцю, успрыманай чалавечым вокам.
quality;['жоўты колер', 'жоўты'];Жоўты — колер з даўжынёй хвалі ад 565 нм да 590 нм.
quality;['энтальпія'];Энтальпі́я, цеплазьмест (па-старажытнагрэцку: ἐνθάλπω [enthálpō] — «награю») — поўная энэргія сыстэмы, у дадзеным выпадку такая энэргія, якую магчыма цалкам перавесьці ў цеплыню.
quality;['хрысьціянства', 'хрысьціяне', 'хрысьціянін'];Хрысьція́нства — монатэістычная і абрамістычная рэлігія, заснаванай на жыцьці і вучэньні Ісуса Хрыста, прадстаўленыя ў кананічных эвангельлях і іншых новазапаветных пісаньнях.
quality;['кропка кюры'];Тэмпэратура Кюры — тэмпэратура, вышэй за якую фэрамагнэтык раптоўна губляе свае магнэтычныя ўласьцівасьці й робіцца парамагнэтыкам.
quality;['тэмпэратура кіпеньня'];Тэмпэратура кіпеньня, пункт кіпеньня — тэмпэратура, пры якой адбываецца кіпеньне вадкасьці, якая знаходзіцца пад сталым ціскам.
quality;['тэмпэратура плаўленьня'];Тэмпэрату́ра плаўле́ньня і зацьвярдзе́ньня — тэмпэратура, пры якой цьвёрдае крышталічнае цела зьдзяйсьняе пераход у вадкі стан і наадварот.
quality;['пратэстанцтва', 'пратэстант', 'пратэстанты', 'пратэстантызм'];Пратэста́нцтва, пратэстанты́зм (па-лацінску: protestans) — адзін з трох, нараўне з каталіцтвам і праваслаўем, галоўных кірункаў хрысьціянства, які ўяўляе сабой сукупнасьць шматлікіх і самастойных Цэркваў і дэнамінацыяў, зьвязаных сваім паходжаньнем з Рэфармацыяй — шырокім антыкаталіцкім рухам XVI стагодзьдзя ў Эўропе.
quality;['кальвінізм', 'кальвіністы'];Кальвінізм — кірунак пратэстантызму, найболей выразна сфармуляваны францускім тэолягам і прапаведнікам Жанам Кальвінам.
quality;['гумар'];Гу́мар (ад лац.
quality;['намінал'];Намінал (па-лацінску: nominalis ад nomen - імя), вартасьць манэты, банкноты іншых грашовых знакаў.
quality;['вага'];Вага́ — сіла, зь якой цела ўзьдзейнічае на нерухомыя адносна яго апору ці падвес.
region;['гектар', 'га'];Гекта́р (ад гекта і ар) — мэтрычная адзінка плошчы, роўная плошчы квадрата 100 × 100 м: 1 га = 10 000 м² = 100 ар = 100 сотак = 0,01 км².
region;['род', 'пэрч'];Род (поль, пэрч) (па-ангельску: rod. pole. perch) — брытанская й амэрыканская адзінка вымярэньня адлегласьці.
region;['гравітацыйная канстанта'];Гравітацыйная канстанта — канстанта гравітацыйнага ўзаемадзеяньня, якая фігуруе ў законе гравітацыі як каэфіцыент прапарцыйнасьці G. Гравітацыйная канстанта належыць да фундамэнтальных фізычных канстантаў.
region;['сэкунда', 'секунда'];Сэку́нда (па-лацінску: secunda — другая. ад выразу pars minuta secunda — другая малая частка (гадзіны) — у адрозьненьне ад хвіліны, якая зьяўляецца pars minuta prima — першай малой часткай) — адзінка вымярэньня часу, якая складае 1/60 частку хвіліны і 1/3600 частку гадзіны.
region;['лепта'];Лепта (па-старажытнагрэцку: λεπτό) — манэта ў Старажытнай Грэцыі, грашовая адзінка ў сучасным сьвеце.
region;['пфэніг', 'pfennig'];Пфэніг (па-нямецку: Pfennig) — нямецкая разьменная манэта вартасьцю ў 1/100 маркі, якая мела хаджэньне да ўвядзеньня эўра.
region;['кібібайт', 'кілябайт'];Кібібайт (па-ангельску: kibibyte: скар.
region;['кібібайт', 'кілябайт'];Кіляба́йт (Кбайт, КБ) — адзінка вымярэньня колькасьці інфармацыі, роўная ў залежнасьці ад кантэксту 1000 або 1024 (210) стандартным (8-бітным) байтам.
region;['унцыя'];У́нцыя (па-лацінску: uncia) — назва некалькіх адзінак вымярэньня масы, а таксама двух мер аб’ёму вадкіх цел і адной адзінкі вымярэньня сілы ў ангельскай сыстэме мер і ў расейскай сыстэме мер.
region;['галён'];Галё́н — мера аб'ёму, ужывальная ў краінах, дзе гістарычна склалася сыстэма мер і ваг, якая адрозьніваецца ад мэтрычнай.
region;['джыл', 'gill'];Джыл — меры аб’ёму для вадкасьцяў
region;['ангельская тона', 'доўгая тона'];Ангельская тона (доўгая тона) (па-ангельску: long ton, gross ton, weight ton) — назва адзінкі вымярэньня масы, якая ў ангельскай сыстэме мер завецца «тона», гэта робіцца для таго, каб адрозьніць яе ад іншых адзінак з той жа назвай (у іншых сыстэмах мер).
region;['квадратны мэтар', 'квадратны сантымэтар', 'м²'];Квадратны мэтар (м²) — адзінка вымярэньня плошчы ў сыстэме СІ.
region;['эрг', 'erg'];Эрг — адзінка працы й энэргіі ў сыстэме адзінак СГС.
region;['міжнародная сыстэма сі', 'сыстэма сі', 'сі', 'si', 'міжнародная сыстэма адзінак', 'міжнародная сыстэма адзінак вымярэньня'];СІ (SI, па-француску: Système International d’Unités) — міжнародная сыстэма адзінак, сучасны варыянт мэтрычнай сыстэмы.
region;['мэтрычная сыстэма мер'];Мэтрычная сыстэма — агульная назва міжнароднай дзесятковай сыстэмы адзінак, заснаванай на выкарыстаньні мэтру й граму.
region;['лічбы', 'лічба'];Лічбы - гэта знакі, што ўжываюцца для напісаньня лікаў.
region;['цэнт'];Цэнт (ад лац.
region;['абол'];Абол (па-старажытнагрэцку: ὀβολός obolós — прут) — 1) у старажытнай Грэцыі тавар-грошы ў выглядзе 4-граннага жалезнага прута, які складаў 1/6 драхмы. вагавая адзінка для срэбра (0,73 г.). медная манэта — 1/6 драхмы.
region;['фут'];Фут (па-ангельску: foot — ступня) — брытанская, амэрыканская і стараруская адзінка вымярэньня адлегласьці, роўная 30,48 сантымэтрам.
region;['літар', 'літр', 'l'];Літар (л, l, L, ℓ) — адзінка вымярэньня аб’ёму, дапушчальная да ўжываньня нараўне з адзінкамі СІ, аднак якая не зьяўляецца базавай.
region;['кілямэтар', 'кіламетр', 'км'];Кілямэ́тар — адзінка вымярэньня даўжыні ў сыстэме СІ, роўная 1000 мэтраў.
region;['сантымэтар', 'сантыметр', 'кубічны сантымэтар', 'см'];Запыт «см» перанакіроўваецца сюды.
region;['мікрамэтар', 'мікрон'];Мікрамэ́тар — адзінка вымярэньня даўжыні, роўная 10−6 мэтра.
region;['ангстрэм', 'angstrom'];А́нгстрэм, А́нгстрам (Å) (па-швэдзку: ångström, вымаўляецца [ˈɔ̀ŋstrœm]) — адзінка вымярэньня даўжыні, роўная 10−10 м (0,1 нм або 100 пм).
region;['дэцымэтар'];Дэцымэтар (ад дэцы… і мэтар) — адзінка вымярэньня адлегласьці роўная 1/10 дзелі мэтра.
region;['мілімэтар'];Мілімэтар (ад мілі… і мэтар) — адзінка вымярэньня адлегласьці роўная 1/1000 дзелі мэтра.
region;['кубічны мэтар', 'кубамэтар', 'м³'];Кубі́чны мэ́тар (м³, кубамэтар) — мера аб'ёму, куб з даўжынёй рэбраў у 1 мэтар.
region;['грам', 'g'];Грам — адзінка вымярэньня масы, адна з асноўных адзінак сыстэмы СГС.
region;['валюта', 'грашовая адзінка'];Валю́та (ад італ.
region;['кабэльтаў'];Кабэльтаў (па-нідэрляндзку: kabeltouw — якарны канат) — трос акружнасьцю ад 150 да 350 мм для швартоваў і буксіраў (кабэльтавы трос), а таксама пазасыстэмная адзінка вымярэньня адлегласьці, выкарыстоўвальная ў мараплаўстве.
region;['камплексны лік'];Кампле́ксны лік — пашырэньне мноства рэчаісных лікаў, звычайна пазначаецца як C {\displaystyle \mathbb {C} }.
region;['квадратны корань', 'квадратовы корань'];Квадратны корань ці квадратовы корань з
region;['маштабны каэфіцыент', 'каэфіцыент расьцягненьня'];Маштабны каэфіцыент — лік, які паказвае, у колькі разоў адна велічыня большая за іншую.
region;['абсалютная велічыня', 'модуль ліка', 'модуль ліку'];Мо́дуль (абсалю́тная велічыня́) ліку (лат.
region;['гадзіна'];Гадзіна (пазначэньне: г, h) — адзінка вымярэньня часу.
region;['вярста'];Вярста́ — старадаўняя ўсходнеславянская адзінка вымярэньня адлегласьці, вядомая з XI ст.
region;['пуд'];Пуд — састарэлая адзінка вымярэньня масы ў расейскай і літоўскай сыстэмах мераў.
region;['высакосная сэкунда', 'сэкунда каардынацыі'];Высако́сная сэку́нда, або сэку́нда каардына́цыі — аднасэкундная карэкцыя, якая зрэдку прымяняецца да Сусьветнага каардынаванага часу для таго, каб утрымліваць працягласьць содняў блізкай да сярэдняга сонечнага часу.
region;['байт'];Байт (па-ангельску: byte) — адзінка вымярэньня колькасьці інфармацыі, па змаўчаньні байт лічыцца роўным васьмі бітам (у гэтым выпадку можа прымаць 256 (28) розных значэньняў).
region;['нібл'];Нібл (па-ангельску: nibble, nybble), або паўбайт — адзінка вымярэньня інфармацыі, роўная чатыром бітам, можа прымаць 24 розных значэньняў, зручная тым, што прадстаўляльная адной шаснаццатковай лічбай.
region;['морг', 'morgen'];Морг — даўняя мера зямельнай плошчы.
region;['рад', 'rad'];Рад, rad — пазасыстэмная адзінка вымярэньня паглынутай дозы іянізавальнага выпраменьваньня.
region;['тройская унцыя'];Тро́йская у́нцыя — адзінка вымярэньня масы, роўная 31,1034768 граму.
region;['парсэк'];Парсэ́к (скарочана пк) — распаўсюджаная ў астраноміі пазасыстэмная адзінка вымярэньня адлегласьці.
region;['ампэр-гадзіна', 'маг', 'ма•г'];Ампэр-гадзіна (А·г) — пазасыстэмная адзінка вымярэньня электрычнага зараду, ужываная пры абслугоўваньні электрычных акумулятараў, а таксама пры ўліку спажываньня электраэнэргіі.
region;['сымэнс', 's', 'siémens'];Сымэнс (пазначэньне: См, S) — адзінка вымярэньня электрычнай праводнасьці ў сыстэме СІ, велічыня зваротная ому.
region;['кулён'];Кулён (пазначэньне: Кл, C) — адзінка вымярэньня электрычнага зараду і колькасьці электрычнасьці ў міжнароднай сыстэме адзінак СІ.
region;['джоўль', 'дж'];Джоўль (у СІ: Дж, J) — адзінка вымярэньня працы і энэргіі ў СІ.
region;['ом', 'ohm', 'ω'];Ом (пазначэньне: Ом, Ω) — адзінка вымярэньня супору ў СІ. Ом роўны электрычнаму супраціву правадніка, паміж канцамі якога ўзьнікае напруга 1 вольт пры сіле сталага току 1 ампэр.
