abstract-quality;['ஆளுமை'];ஆளுமை என்பது என்ன என்பது பற்றி உறுதியான எல்லோராலும் ஏற்றுக் கொள்ளப்பட்ட வரையறை இல்லை.
political-geographic-object;['தென் கரொலைனா', 'தெற்கு கரோலினா', 'தென் கரோலினா', 'தெற்கு கரொலைனா'];தென் கரொலைனா ஐக்கிய அமெரிக்க மாநிலங்களுள் ஒன்றாகும்.
political-geographic-object;['வர்ஜீனியா', 'விர்ஜினியா', 'வர்சீனியா', 'வர்ஜினியா', 'விர்ஜீனியா', 'வெர்ஜினியா', 'வெர்ஜீனியா', 'வேர்ஜினியா', 'வேர்ஜீனியா'];வர்ஜீனியா ஐக்கிய அமெரிக்க மாநிலங்களுள் ஒன்றாகும்.
political-geographic-object;['ஐடஹோ', 'idaho', 'இடாஹோ', 'இடாகோ'];ஐடாகோ ஐக்கிய அமெரிக்க மாநிலங்களுள் ஒன்றாகும்.
political-geographic-object;['அலபாமா', 'alabama'];அலபாமா ஐக்கிய அமெரிக்க மாநிலங்களுள் ஒன்றாகும்.
political-geographic-object;['ஹவாய்', 'ஹவாயி', 'அவாய்'];ஹவாய் ஐக்கிய அமெரிக்க மாநிலங்களுள் ஒன்றாகும்.
political-geographic-object;['நெவாடா', 'névada', 'நிவாடா'];நிவாடா ஐக்கிய அமெரிக்க மாநிலங்களுள் ஒன்றாகும்.
political-geographic-object;['கலிபோர்னியா', 'கலிஃபோர்னியா'];கலிபோர்னியா ஐக்கிய அமெரிக்கா நாட்டின் மேற்குப்பகுதியின் தென்பாதியைக் கொண்டு பசிபிக் மாக்கடலுக்கு அடுத்து இருக்கும் ஒரு பெரிய மாநிலமாகும்.
political-geographic-object;['வயோமிங்', 'wyoming', 'வியோமிங்'];வயோமிங் ஐக்கிய அமெரிக்க மாநிலங்களுள் ஒன்றாகும்.
political-geographic-object;['யூட்டா', 'utah', 'உடஹ்', 'உற்ரா'];யூட்டா ஐக்கிய அமெரிக்க மாநிலங்களுள் ஒன்றாகும்.
political-geographic-object;['கொலராடோ', 'colorado'];கொலராடோ ஐக்கிய அமெரிக்க மாநிலங்களுள் ஒன்றாகும்.
political-geographic-object;['வடக்கு டகோட்டா', 'நோர்த் டகோட்டா', 'வட டகோட்டா', 'வட டகோரா'];வட டகோட்டா ஐக்கிய அமெரிக்க மாநிலங்களுள் ஒன்றாகும்.
political-geographic-object;['பீகார்', 'bihâr', 'பிகார்', 'பிஹார்', 'பீஹார்'];பிகார் அல்லது பீகார் இந்திய நாட்டின் கிழக்குப் பகுதியில் அமைந்துள்ள ஒரு மாநிலம்.
political-geographic-object;['செபீல்டு', 'sheffield'];செபீல்டு (Sheffield, /ˈʃɛfiːld/ ஐக்கிய இராச்சியத்தில் இங்கிலாந்தின் வடபகுதியில் தெற்கு யார்க்சையரில் உள்ள ஓர் நகரமாகும்.
political-geographic-object;['ஓமான்', 'ஓமன்'];ஓமான் அல்லது ஒமான் சுல்தானகம் தென்மேற்கு ஆசியாவில் உள்ள ஒரு நாடாகும்.
political-geographic-object;['ஈரானின் மண்டலங்கள்'];ஈரானின் மண்டலங்கள் என்பதை அந்நாட்டினர் சாரெசுடன் என்றே அழைக்கின்றனர்.
political-geographic-object;['வட ஆட்புலம்', 'வட ஆஸ்திரேலியா', 'வட ஆள்புலம்', 'வட மண்டலம்', 'நற்தேர்ன் டெரிடாரி', 'வட பிரதேசம்', 'வட மண்டலம், ஆஸ்திரேலியா'];வட மண்டலம் அல்லது வட பிராந்தியம் அல்லது வடக்கு ஆள்புலம் ஆஸ்திரேலிய மாநிலங்களுள் ஒன்று.
political-geographic-object;['யூக்கான்', 'யூக்கோன்'];யூக்கான் கனடாவில் வடமேற்கில் அமைந்த ஆட்சி நிலப்பகுதி ஆகும்.
political-geographic-object;['சக்காரா'];சக்காரா, மெம்பிசை தலைநகராகக் கொண்ட பண்டைய எகிப்திய பார்வோன்களின் கல்லறைகள் கொண்ட தொல்லியல் நகரம் ஆகும்.
political-geographic-object;['அமெரிக்க சமோவா'];அமெரிக்க சமோவா தெற்கு பசிபிக் பெருங்கடலில் சுதந்திர நாடான சாமோவாவுக்கு தென்கிழக்கில் அமைந்துள்ள ஐக்கிய அமெரிக்காவின் உள்ளிணைக்கப்படாத ஆட்சிப் பகுதியாகும்.
political-geographic-object;['திமிஷ்கு', 'டமாஸ்கஸ்', 'டமஸ்கஸ்', 'டமாசுக்கசு', 'தமஸ்கஸ்', 'தமாசுக்கசு', 'தமாஸ்கஸ்'];தமசுகசு அல்லது திமிஷ்கு என்பது சிரியாவின் தலைநகரம் ஆகும்.
political-geographic-object;['கீசா', 'கிசா', 'giza'];கீசா எகிப்து நாட்டின் மூன்றாவது பெரிய நகரமும், கீசா மாகாணத்தின் தலைநகரமும் ஆகும்.
political-geographic-object;['எசுபார்த்தா'];எசுபார்த்தா, அல்லது லாசெடெமன் பண்டைய கிரேக்கத்தில் இருந்த முதன்மையான நகர அரசு ஆகும்.
political-geographic-object;['அல்ஜியர்ஸ்', 'அல்ஜியேர்ஸ்', 'அல்ஜீயர்ஸ்', 'அல்ஜீர்ஸ்'];அல்ச்சியர்சு அல்சீரியா நாட்டின் தலைநகரம்.
political-geographic-object;['குவைத்', 'குவைத்து', 'குவெய்த்', 'குவேட்', 'குவெய்ட்'];குவைத், அதிகாரபூர்வமாக குவைத் நாடு என்பது தென்மேற்கு ஆசியாவில் அமைந்துள்ள ஓர் அரபு நாடாகும்.
political-geographic-object;['ஜோர்தான்', 'யோர்தான்', 'ஜொர்டான்', 'ஜோர்டான்'];ஜோர்தான் அல்லது அதிகாரப்பட்சமாக ஜோர்தான் இராச்சியம் தென்மேற்கு ஆசியாவில் அமைந்துள்ள ஓர் அரபு நாடாகும்.
political-geographic-object;['திபெத் தன்னாட்சிப் பகுதி', 'திபெத்து', 'திபெத்'];திபெத் தன்னாட்சி பகுதி அல்லது சுருக்கமாக திபெத் என்பது சீன மக்கள் குடியரசால் 1958-ல் திபெத்திய ஆன்மிகம் மற்றும் அரசியல் தலைவரான 14வது தலாய் லாமாவை விரட்டிவிட்டு, ஆக்கிரமிக்கப்பட்ட திபெத் நாடாகும்.
political-geographic-object;['திபெத் தன்னாட்சிப் பகுதி', 'திபெத்து', 'திபெத்'];திபெத் நடுவண் ஆசியாவில் உள்ள மேட்டுச் சமவெளியில் அமைந்த ஒரு நிலம்.
political-geographic-object;['லெபனான்', 'இலெபனான்', 'லேபனோன்'];33°51′39″N 35°51′28″E
political-geographic-object;['நியூ சவுத் வேல்ஸ்', 'நியூ தெற்கு வேல்ஸ்', 'நியூ சவுத் வேல்சு', 'நியூ சௌத் வேல்ஸ்'];நியூ சவுத் வேல்ஸ் அவுஸ்திரேலியாவின் மக்கள் அடர்த்தி கூடிய மாநிலமாகும்.
political-geographic-object;['செபு நகரம்', 'cebú city'];செபு நகரம் என்பது பிலிப்பைன்சின் செபு மாகாணத்தின் தலை நகரமும்.
political-geographic-object;['வத்திக்கான் நகர்', 'வத்திக்கான் நகர', 'வாடிகன்', 'வத்திக்கான்', 'வத்திக்கான் நகரம்', 'வாடிகன் நகரம்', 'வாட்டிகன்', 'வாட்டிகன் நகரம்'];வத்திக்கான் நகர் இத்தாலி நாட்டின் உரோம் நகரிலுள்ள ஒரு தன்னாட்சியுடைய சுதந்திர நாடாகும்.
political-geographic-object;['பிஜி', 'ஃபிஜி', 'ஃபிஜி தீவுகள்', 'ஃபீஜி', 'பிசி', 'பீஜி', 'பீஜித் தீவுகள்'];பிஜி
political-geographic-object;['ஆம்ஸ்டர்டம்', 'amsterdam', 'எம்ஸ்டர்டம்', 'அம்சுடர்டாம்', 'அம்சுட்டர்டாம்', 'அம்ஸ்டர்டாம்', 'ஆம்சிட்டர்டாம்', 'ஆம்ஸ்டர்டாம்'];ஆம்ஸ்டர்டம் ஆம்ஸ்டர்டம், நெதர்லாந்து நாட்டின் தலைநகரமாகும்.
political-geographic-object;['பிரிஸ்டல்', 'bristol', 'பிரிஸ்டோல்'];பிரிஸ்டல் இங்கிலாந்தின் தென்மேற்கு பகுதியில் உள்ள ஒரு நகரம் ஆகும்.
political-geographic-object;['கிராக்கோவ்', 'க்ரகோவ்', 'கிராக்கோ'];கிராக்கோ என்னும் நகரம் போலந்து நாட்டின் இரண்டாவது பெரிய நகரம் ஆகும்.
political-geographic-object;['தோனெத்ஸ்க்'];தோனெத்ஸ்க் உக்ரைன் நாட்டின் ஓர் முதன்மை நகரமாகும்.
political-geographic-object;['தியூசல்டோர்ஃபு', 'டுசல்டோர்ஃப்', 'dússeldorf', 'டுஸ்சல்டோர்ப்'];தியூசல்டோர்ஃபு செருமனியின் வடக்கு ரைன்-வெஸ்பாலியா மாநிலத்தின் தலைநகரமும் ரைன்-ரூர் பெருநகரப்பகுதியின் மையமும் ஆகும்.
political-geographic-object;['ஒசாக்கா', 'ôsaka', 'ஒசாகா', 'ஓசாகா', 'ஒஸாகா'];ஒசாகா ஜப்பான் நாட்டில் அமைந்துள்ள ஒரு நகரமாகும்.
political-geographic-object;['கேப் வேர்ட்', 'கேப் வர்டி', 'கேப் வெர்டே', 'கேப் வெர்டெ', 'கேப் வேர்டே'];கேப் வர்டி
political-geographic-object;['செயிண்ட். வின்செண்ட் கிரெனேடின்ஸ்', 'செயின்ட் வின்செண்டு மற்றும் கிரெனடீன்கள்', 'செயின் வின்சன்ட் மற்றும் கிரெனடைன்ஸ்', 'சென் வின்செண்ட் மற்றும் கிரெனாடின்ஸ்', 'செயிண்ட். விண்சண்ட் கிரனடீன்ஸ்', 'செயிண்ட். வின்செண்டும் கிரெனேடின்சும்', 'செயிண்ட். வின்செண்ட்டும் கிரெனடைன்சும்', 'செயின்ட் வின்சென்ட் மற்றும் கிரெனேடின்ஸ்'];செயின்ட் வின்செண்டு மற்றும் கிரெனடீன்கள் கரிபியக்கடலில் அமைந்துள்ள ஒரு தீவு நாடாகும்.
political-geographic-object;['பகுரைன்', 'பஹ்ரேய்ன்', 'பகுறைன்', 'பஹ்ரைன்', 'பஃரேய்ன்', 'பக்ரைன்', 'பாகாரேயின்', 'பாரேன்', 'பஹ்\u200cரைன்'];பகுரைன் என்பது பாரசீக வளைகுடாவில் உள்ள ஒரு சிறிய மேற்கு ஆசியத் தீவு நாடு ஆகும்.
political-geographic-object;['இளவரசர் எட்வர்ட் தீவு', 'பிரின்ஸ் எட்வர்ட் ஐஸ்லாந்து', 'பிரின்ஸ் எட்வேர்ட் தீவு'];இளவரசர் எட்வர்ட் தீவு கனடாவின் தென்கிழக்கு பகுதியில் அமைந்த மாகாணம் ஆகும்.
political-geographic-object;['வனுவாட்டு', 'vanuatu', 'வனாட்டு', 'வனுவாத்து', 'வானுவாட்டு'];வனுவாட்டு, அல்லது வனுவாட்டு குடியரசு என்பது பசிபிக் பெருங்கடலின் தெற்கே ஓசியானியாப் பகுதியில் அமைந்துள்ள ஒரு தீவு நாடு ஆகும்.
political-geographic-object;['கிரிபட்டி', 'கிரிபடி', 'kiribati', 'கிரிபட்டிக் குடியரசு', 'கிரிபாட்டி', 'கிரிபாதி', 'கில்பேர்ட் தீவுகள்'];கிரிபாஸ், என்பது மத்திய பசிபிக் கடலில் அமைந்துள்ள ஒரு தீவு நாடாகும்.
political-geographic-object;['டிரினிடாட் மற்றும் டொபாகோ', 'திரினிடாட் டொபாகோ', 'ட்ரினிடாட் மற்றும் டுபாகோ', 'ட்ரினிடாட்டும் டொபாகோவும்', 'ட்றினிடாட் மற்றும் டொபாகோ', 'திரினிடாட்டும் டொபாகோவும்'];டிரினிடாட் மற்றும் டொபாகோ குடியரசு என்பது அமெரிக்கக் கண்டத்தில் இருக்கும் கெறிபியன் பிரதேசத்தில் உள்ள இரு தீவுகளை முதன்மை நிலப்பகுதியாக கொண்ட நாடு ஆகும்.
political-geographic-object;['ஐசுலாந்து', 'ஐஸ்லாந்து'];ஐசுலாந்து அல்லது ஐசுலாந்துக் குடியரசு வடக்கு ஐரோப்பாவிலுள்ள ஒரு தீவு நாடாகும்.
political-geographic-object;['கிரெனடா', 'கிரனெடா', 'grenada', 'கிரனாடா', 'கிரெனாடா'];கிரெனடா கரிபியக் கடலில் அமைந்துள்ள ஒரு தீவு நாடாகும்.
political-geographic-object;['சாவோ பாவுலோ', 'sâo paulo', 'ஸௌ பௌலோ', 'சாம் பாவுலோ', 'சாவோ போலோ'];சாவோ பாவுலோ São Paulo பிரேசில் நாட்டின் மிகப் பெரிய நகரம்.
political-geographic-object;['நகராட்சி'];நகராட்சி ஒரு தெளிவாக வரையறுக்கப்பட்ட நிலப்பகுதி மற்றும் அங்கு வாழும் மக்களின் நிர்வாக அமைப்பாகும்.
political-geographic-object;['பொம்பெயி', 'போம்பெய்'];பொம்பெயி மாநகரமானது இன்றைய இத்தாலி நாட்டின் நேபிள்ஸ் நகரத்திலிருந்து, தென் கிழக்குப் பகுதியில் சுமார் 23 கிலோமீட்டர் தொலைவில் அமைந்த பண்டைய நகரம் ஆகும்.
political-geographic-object;['ஹெர்குலியம்', 'herculaneum'];ஹெர்குலியம் என்னும் நகரம் இத்தாலியின் தென் பகுதி கடற்கரையோரத்தில் அமைந்திருந்த நகரமாகும்.
political-geographic-object;['போர்ட் லூயிஸ்', 'port louis', 'போர்ட் லூயி'];போர்ட் லூயிஸ், மொரீசியஸ் நாட்டின் தலைநகரமும் மிகப்பெரிய நகரமும் ஆகும்.
political-geographic-object;['லிஸ்பன்', 'லிசுபன்'];லிஸ்பன் போர்த்துகல் நாட்டின் தலைநகரமும் மிகப்பெரிய நகரமும் ஆகும்.
political-geographic-object;['அபுஜா', 'abuja'];அபுஜா நைஜீரியாவின் தலைநகரம் ஆகும்.
political-geographic-object;['லிமா', 'lima', 'லீமா'];இலிமாய் என்பது தென் அமெரிக்கக் கண்டத்தில் உள்ள பெரு நாட்டின் தலைநகரமும் அந்நாட்டின் மிகப்பெரிய நகரமும் ஆகும்.
political-geographic-object;['டப்லின்', 'dublin', 'டப்ளின்'];டப்லின் அயர்லாந்து நாட்டின் தலைநகரம் ஆகும்.
political-geographic-object;['காபரோனி', 'gaborone', 'கபோறோன்', 'காபோரோனே'];காபரோனி, பொட்ஸ்வானாவின் தலைநகரமும் பெரிய நகரமும் ஆகும்.
political-geographic-object;['சோஃவியா', 'சோஃபியா', 'ஸோபியா', 'சோபியா', 'ஸோஃபையா'];சோஃபியா பல்கேரியாவின் தலைநகரமும் மிகப்பெரிய நகரமும் ஆகும்.
political-geographic-object;['பொகோட்டா', 'bogotá', 'பகோடா', 'பொகொட்டா'];பொகோட்டா என்பது கொலொம்பியாவின் தலைநகரமும், அந்நாட்டிலுள்ள அதிக மக்கள்தொகை கொண்ட நகரமுமாகும்.
political-geographic-object;['அவானா', 'ஹவானா', 'ஹவனா'];அவானா கூபா நாட்டின் தலைநகரமும் மிகப்பெரிய நகரமும் முக்கியமான துறைமுகமும்.
political-geographic-object;['பிராகா', 'பிராக்'];பிராகா, செக் குடியரசின் தலைநகரமும், மிகப்பெரிய நகரமும், முக்கியமான வர்த்தக நகரமும் பண்பாட்டு நகரமும் ஆகும்.
political-geographic-object;['புடாபெஸ்ட்', 'புடாபெசுட்டு', 'budapest', 'பெஸ்ட்'];புடாபெசுட்டு அங்கேரி நாட்டின் தலைநகரமும், மிகப்பெரிய நகரமும், முக்கியமான வணிக நகரமும் ஆகும்.
political-geographic-object;['ஜகார்த்தா', 'சகார்த்தா', 'சக்கார்த்தா', 'ஜகார்ட்டா', 'ஜகார்தா', 'ஜக்கார்த்தா', 'ஜாகர்தா', 'ஜாகார்த்தா'];ஜகார்த்தா இந்தோனேசியாவின் தலைநகரம் ஆகும்.
political-geographic-object;['பாக்தாத்', 'பகுதாது', 'bagdād', 'பக்தாத்'];பகுதாது என்பது ஈராக் நாட்டின் தலைநகரமாகும்.
political-geographic-object;['உரோமை நகரம்', 'உரோம்', 'ரோம்', 'உரோமை'];உரோம் இத்தாலியின் தலைநகரம் ஆகும்.
political-geographic-object;['பெய்ரூத்', 'பைறூத்து', 'பேய்ருட்', 'பெய்ரூட்'];பெய்ரூத் லெபனான் நாட்டின் தலைநகரமும் மிகப்பெரிய நகரமும் ஆகும்.
political-geographic-object;['பெல்பாஸ்ட்', 'belfast', 'பெல்ஃபாஸ்ட்'];பெல்பாஸ்ட், வட அயர்லாந்தின் தலைநகரமும் மிகப்பெரிய நகரமும் ஆகும்.
political-geographic-object;['ஓக்லஹோமா நகரம்', 'oklahoma city', 'ஒக்லகோமா நகரம்'];ஓக்லஹோமா நகரம் அமெரிக்காவின் ஓக்லஹோமா மாநிலத்தின் தலைநகரம் ஆகும்.
political-geographic-object;['பிரிஸ்பேன்', 'brisbane', 'பிறிஸ்பன்', 'பிறிஸ்பேன்', 'ப்ரிஸ்பேன்'];பிரிஸ்பேன் அல்லது பிறிஸ்பேன் ஆத்திரேலியாவின் குயின்சுலாந்து மாநிலத்தின் தலைநகரும், அம்மாநிலத்தின் மக்கள் அடர்த்தி கூடிய நகரமும், ஆத்திரேலியாவின் மூன்றாவது பெரிய மக்கள்தொகை கொண்ட நகரமும் ஆகும்.
political-geographic-object;['புக்கரெஸ்ட்', 'புக்காரெஸ்ட்'];புக்கரெஸ்ட் ருமேனியாவின் தலைநகரமும், மிகப்பெரிய நகரமும், மிக முக்கியமான வர்த்தக நகரமும் ஆகும்.
political-geographic-object;['எருசலேம்', 'யெரூசலம்', 'ஜெருசலேம்', 'ஜெருஸெலம்', 'செருசலேம்', 'ஜெருசலெம்', 'ஜெரூசலம்', 'ஜெரூசலெம்', 'யெருசலம்', 'யெருசலேம்'];யெரூசலம் அல்லது எருசலேம் என்பது நடு ஆசியாவில் அமைந்து, யூதம், கிறித்தவம், இசுலாம் ஆகிய மதங்களுக்கும், இசுரயேலர், பாலத்தீனியர் ஆகியோருக்கும் மிக முக்கியத்துவம் வாய்ந்த நகராகவும், பழமைமிக்க நகராகவும் அமைந்துள்ளது.
political-geographic-object;['கீவ்', 'கியவ்'];கீவ் உக்ரைன் நாட்டின், தலைநகர் மற்றும் அதிக மக்கள் தொகை கொண்ட மாநகர்.
political-geographic-object;['லோமே', 'lome'];லோமே, டோகோ நாட்டின் தலைநகரமும் மிகப்பெரிய நகரமும் ஆகும்.
political-geographic-object;['பெல்கிறேட்', 'பெல்கிரேடு', 'பெல்க்ரேட்', 'பெல்கிரேட்'];பெல்கிறேட் சேர்பியாவின் தலைநகரமும் அந்நாட்டின் மிகப் பெரிய நகரமும் ஆகும்.
political-geographic-object;['துரின்', 'டூரின்', 'தூரின்'];துரின் என்பது ஐரோப்பாவிலுள்ள இத்தாலியின் வடமேற்கு பகுதியில் உள்ள வியமாந்தின் தலைநகரம் ஆகும்.
political-geographic-object;['யெரெவான்', 'எரிவன்', 'யெரவான்'];யெரெவான் ஆர்மீனியாவின் தலைநகரமும் பெரிய நகரமும் ஆகும்.
political-geographic-object;['பெர்லின்', 'berlín', 'பேர்லின்'];பெர்லின் இடாய்ச்சுலாந்து நாட்டின் தலைநகராகும்.
political-geographic-object;['நவாக்சோட்', 'நுவாக்சூத்', 'nouakchott', 'நுவாக்ஷாட்', 'நோவக்க்கோட்'];நுவாக்சூத் மவுரித்தேனியாவின் தலைநகரமும் மிகப்பெரிய நகரமும் ஆகும்.
political-geographic-object;['பியொங்யாங்', 'பியோங்கியங்', 'பியோங்யாங்'];பியொங்யாங் வட கொரியாவின் தலைநகரமும் மிகப்பெரிய நகரமும் ஆகும்.
political-geographic-object;['ரியாத்', 'ரியாட்', 'றியாத்'];ரியாத் சவுதி அரேபியாவின் தலைநகரமும் மிகப்பெரிய நகரமும் ஆகும்.
political-geographic-object;['இம்பபான்', 'mbabane'];இம்பபான் என்பது சுவாசிலாந்தின் தலைநகரமும், மிகப்பெரிய நகரமும் ஆகும்.
political-geographic-object;['பெய்ஜிங்', 'பீக்கிங்', 'பீசிங்', 'பீஜிங்', 'பெய்ச்சிங்'];பெய்ஜிங் சீன மக்கள் குடியரசின் தலைநகரமாகும்.
political-geographic-object;['போர்ட் விலா', 'port vila'];போர்ட் விலா என்பது வனுவாட்டுவின் தலைநகரமும், அந்நாட்டின் மிகப்பெரிய நகரமும் ஆகும்.
political-geographic-object;['தாய்லாந்து', 'சியாம்', 'சீயம்'];தாய்லாந்து, அதிகாரப்பூர்வமாக தாய்லாந்து இராச்சியம், முன்னர் சயாம், என அழைக்கப்படும் நாடு. தென்கிழக்கு ஆசியாவில் உள்ள ஒரு நாடு.
political-geographic-object;['எதியோப்பியா', 'எத்தியோப்பியா'];எத்தியோப்பியா, அதிகாரப்பூர்வமாக எத்தியோப்பியக் கூட்டாட்சி சனநாயகக் குடியரசு என்பது கிழக்காப்பிரிக்காவில் ஆப்பிரிக்காவின் கொம்பில் அமைந்துள்ள ஓர் இறைமையுள்ள நாடு ஆகும்.
political-geographic-object;['மாஸ்கோ', 'மசுக்கோ', 'மாசுகோ', 'மாசுக்கோ', 'மாசுக்கோவ்', 'மொஸ்கோ'];மாஸ்கோ
political-geographic-object;['பெனின்'];பெனின் அல்லது உத்தியோகப் பட்சமாக பெனின் குடியரசு மேற்கு ஆபிரிக்காவில் உள்ள ஒரு நாடாகும்.
political-geographic-object;['புர்க்கினா பாசோ', 'புர்கினா பாசோ', 'புர்கினா ஃபாஸோ', 'அப்பர் வோல்ட்டா', 'புர்கினா ஃபாசோ', 'புர்க்கினா ஃபாசோ'];புர்க்கினா பாசோ என்பது மேற்கு ஆபிரிக்காவில் உள்ள ஒரு நாடாகும்.
political-geographic-object;['நில ஆள்வரை', 'நிலாள்வரை'];நில ஆள்வரை என்பது, அண்டைப் பகுதிகளுக்கு பொருந்தாத, நீதிமன்றங்கள் அல்லது அரசு கட்டுப்பாட்டில் அமைந்த சட்டங்களைக் கொண்டுள்ள ஒரு நிலப்பகுதி ஆகும்.
political-geographic-object;['பகாமாசு', 'பஹாமாஸ்', 'பகாமாஸ்'];பகமாசு பொதுநலவாயம் அட்லாண்டிக் பெருங்கடலில் சுமார் 2000 மணல் மேடுகளையும் 700 தீவுகளையும் கொண்ட ஒரு நாடாகும்.
political-geographic-object;['சாவோ டொமே மற்றும் பிரின்சிப்பி', 'சாவோ தொமே மற்றும் பிரின்சிப்பி', 'சாவ் தோம் மற்றும் ப்ரின்சிபி', 'சாவோ தோமே பிரின்சிபே'];சாவோ தொமே மற்றும் பிரின்சிப்பி என்பது ஆபிரிக்காவின் மேற்குக் கரையில் கினி குடாவில் உள்ள ஒரு தீவு நாடாகும்.
political-geographic-object;['இசுரேல்', 'இஸ்ரேல்', 'இசுரயேல்', 'இசுரவேல்', 'இஸ்ரயேல்', 'இஸ்ரவேல்'];இசுரேல் என்பது மேற்கு ஆசியாவில், மத்திய தரைக்கடலின் தென்கிழக்கு கரையில் உள்ள ஒரு நாடு.
political-geographic-object;['சிகாகோ', 'chicago', 'ஷிகாகோ', 'சிக்காகோ'];சிகாகோ என்பது ஐக்கிய அமெரிக்காவின் இலினொய் மாநிலத்திலுள்ள ஒரு மாநகராகும்.
political-geographic-object;['மினியாப்பொலிஸ்', 'minneapolis', 'மினியாபொலிஸ்', 'மினியாபோலிஸ்'];மினியாபோலிஸ் ஐக்கிய அமெரிக்காவின் மினசோட்டா மாநிலத்தின் மிகப்பெரிய நகரம் ஆகும்.
political-geographic-object;['மெம்ஃபிஸ், டென்னிசி', 'மெம்பிசு', 'memphis', 'மெம்ஃபிஸ்'];மெம்ஃபிஸ் அமெரிக்காவின் டென்னசி மாநிலத்தின் மிகப்பெரிய நகரம் ஆகும்.
political-geographic-object;['தேர்தல் தொகுதி', 'தொகுதி'];தேர்தல் தொகுதி அல்லது தொகுதி என்பது ஓர் சட்டமியற்றும் அவைக்கு, ஒன்று அல்லது அதற்கு மேற்பட்ட சார்பாளர்களை, தனியான தேர்தல் மூலம் தேர்ந்தெடுக்கவல்ல, தெளிவாக வரையறுக்கப்பட்டுள்ள, நிலப் பகுதிப் பிரிவாகும்.
political-geographic-object;['திரிப்பொலி', 'tripoli', 'டிரிபோலி', 'ட்ரிபலீ', 'தறாபுலுஸ்', 'திரிபோலி'];திரிப்பொலி லிபியா நாட்டின் தலைநகரமும் மிகப்பெரிய நகரமும் ஆகும்.
political-geographic-object;['மன்ஹாட்டன்', 'manhattan', 'மான்ஹட்டன்', 'மேன்காட்டன்', 'மேன்ஹட்டன் தீவு', 'மேன்ஹேட்டன்'];நியூயார்க் நகரத்தின் அதிகளவு அடர்த்தியான சனத்தொகையைக் கொண்ட மாநகராட்சிகளில் மன்ஹாட்டன் என்பதும் ஒன்றாகும்.
political-geographic-object;['ஸ்காட்லாந்து', 'இசுக்கொட்லாந்து', 'ஸ்கொட்லாந்து', 'ஆல்பா', 'இசுக்காட்லாந்து', 'எசுக்காத்துலாந்து', 'சுகொட்லாந்து'];ஸ்காட்லாந்து வடமேற்கு ஐரோப்பாவில் பெரிய பிரித்தானியத் தீவில் உள்ள நாடு.
political-geographic-object;['மானிட்டோபா', 'manitoba', 'மனித்தோபா மாகாணம்', 'மனிரோபா'];மானிட்டோபா கனடாவின் நடுப்பகுதியில் ஒரு மாகாணம் ஆகும்.
political-geographic-object;['பின்லாந்து', 'ஃபின்லாந்து', 'ஃபின்லாண்ட்', 'சுவோமி'];பின்லாந்து வடகிழக்கு ஐரோப்பாவில் உள்ள ஒரு குடியரசு நாடு.
political-geographic-object;['அட்லான்டா', 'atlanta', 'அட்லாண்டா'];அட்லான்டா அமெரிக்காவின் ஜோர்ஜியா மாநிலத்தின் தலைநகரமும் மிகப்பெரிய நகரமும் ஆகும்.
political-geographic-object;['பாஸ்டன்', 'bóston', 'பொஸ்டன்', 'போஸ்டன்'];பாஸ்டன் அமெரிக்காவின் மஸ்ஸாசூசெட்ஸ் மாநிலத்தின் தலைநகரம் ஆகும்.
political-geographic-object;['ஆல்பெனி', 'albany'];ஆல்பெனி அமெரிக்காவின் நியூ யோர்க் மாநிலத்தின் தலைநகரம் ஆகும்.
political-geographic-object;['ஒடிசா', 'ஒரிஸ்சா', 'orissâ', 'ஒரிசா', 'ஒரிஸா', 'ஒரிஸ்ஸா', 'ஓடிஸா'];ஒடிசா, இந்தியாவின் கிழக்குப் பகுதியில் அமைந்த மாநிலமாகும்..
political-geographic-object;['அசாம்', 'அஸ்ஸாம்', 'assam', 'அசம்'];அசாம் என்பது இந்தியாவின் வடகிழக்குப் பகுதியில் அமைந்துள்ளது, 28 மாநிலங்களுள் ஒன்றாகும்.
political-geographic-object;['சமர்கந்து', 'samarkand', 'சமர்க்கண்ட்'];சமர்கந்து உசுபெக்கிசுத்தான் நாட்டின் இரண்டாவது பெரிய நகரமும் சமர்கந்து மாகாணத்தின் தலைநகரமும் ஆகும்.
political-geographic-object;['ராட்டர்டேம்', 'rotterdam', 'ராட்டர்டாம்', 'ரொட்டர்டாம்'];ராட்டர்டேம் நெதர்லாந்து நாட்டின் தெற்கு ஆலந்தில் உள்ள ஒரு நகரமும் நகராட்சியும் ஆகும்.
political-geographic-object;['டோர்சான்', 'torshavn', 'டோர்ஷான்'];டோர்சான், டென்மார்க் ராச்சியத்திலுள்ள பரோயே தீவுகளின் தலைநகரமும், பெரிய நகரமும் ஆகும்.
political-geographic-object;['டைம்ஸ் சதுக்கம்', 'times square'];டைம்ஸ் சதுக்கம் என்பது அமெரிக்காவின் நியூயார்க் மாநகரில் மன்ஹாட்டன் பெருநகரில் பகுதியில் உள்ள ஒரு வணிக மற்றும் பல்நோக்கு சதுக்கம் ஆகும்.
political-geographic-object;['நோவா ஸ்கோசியா', 'நோவா ஸ்காட்டியா', 'நோவா இசுக்கோசியா', 'நோவா ஸ்கோஷியா'];நோவா ஸ்கோசியா கனடாவின் தென்கிழக்கு பகுதியில் அமைந்த மாகாணமாகும்.
